Avg Threads Running,1,1,1.6,2.3,2.6,3.4,3.6,3.9,4.4,4.8,5.3,6,6.300000000000001,6.5,6.6,6.699999999999999,7,7.6,7.799999999999999,8.2,8.9,9.8,9.777777777777779,9.75,10.428571428571427,10.5,11.4,11.75,13,15,17,48,48,66.5,79.33333333333333,92,105,117,129.42857142857142,140.875,151.44444444444446,173.33333333333334,180.5,196.3,209.70000000000002,218.55555555555557,227.44444444444446,235.11111111111111,236.77777777777777,234,229.33333333333334,222.77777777777777,217.22222222222223,211.55555555555554,207.11111111111111,206.5,204.6,201.4,202.3,203,208.66666666666666,211.49999999999997,213.85714285714286,216.85714285714286,216.57142857142856,215.71428571428572,213.71428571428572,212.28571428571428,209.14285714285717,209.62500000000003,209.625,209.625,211.22222222222223,211,213.00000000000003,216,218.4,222,227.33333333333334,234.5,224,224,67,67,57,57,43.33333333333333,43.33333333333333,43.33333333333333,43.33333333333333,43.33333333333333
Peak Threads Connected,1,1,7,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,13,17,17,17,17,17,17,17,17,17,17,48,48,85,105,130,157,177,204,221,236,245,245,245,245,245,245,246,246,246,246,246,246,246,246,246,246,219,228,228,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,224,224,67,67,67,67,67,67,67,67,67
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,30,30,77,97,125,155,174,196,214,229,242,242,242,242,242,242,242,242,242,242,242,236,235,227,227,212,212,223,223,223,223,223,223,223,223,223,223,217,217,241,241,241,241,241,241,241,241,241,241,189,189,45,45,45,45,45,45,45,45,45
Questions,39.44444444444444,36.66666666666667,76.77777777777779,209.8888888888889,336.6666666666667,488,588.1111111111111,731.2222222222223,852.2222222222223,1002.6666666666667,1117.7777777777778,1183.7777777777778,1180.888888888889,1178,1173.7777777777778,1204.3333333333335,1171.2222222222222,1185.4444444444446,1155.4444444444446,1156.111111111111,1166.5555555555557,1154.888888888889,996.2720999999999,858.7816285714285,737.2493333333333,634.83624,507.95779999999996,393.95286666666664,287.5023,179.06879999999998,380.08377976190474,399.26177566926464,478.88888888888886,560.78670470612,657.0783851453536,730.1423823910228,888.0643944157968,896.324433024243,788.8254032766225,809.1773922775601,780.3333333333334,757,641.800125,641,580.5555555555555,549.3333333333334,564.7777777777778,623.5555555555555,695.7777777777778,777.2222222222223,796.6666666666667,847.3023,898.2222222222223,971.3333333333334,1008.1111111111111,996.4444444444446,834.286275,836.6666666666667,697.7563107142857,615.1057523809523,686.6666666666667,706.1111111111111,688.8888888888889,669.4444444444445,634.2222222222223,707,743.2222222222223,694.7755714285714,663.4285714285713,752.2222222222223,623.6448321428571,551.5917904761903,460.5690333333333,394.47408,303.9606166666667,194.37439999999998,150.6365,444.6157458563536,560.085359116022,667.9848722124781,782.1166687546981,683.25,814.1877035830619,700.0559070408419
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7777777777777779,1.2222222222222223,1,0.969975,0.9799714285714284,0.9933,0.7870800000000001,0.80885,0.8451333333333334,0.9177,0.16219999999999998,6.851785714285714,8.66614706879024,11.25,14.065249444556656,15.843735506637538,18.628549848942598,21.758269400075463,21.226678583398503,18.887699275362316,18.914381645215446,17.22222222222222,15.444444444444446,12.0708,13.88888888888889,13.333333333333334,11.222222222222223,9.555555555555555,10,9.333333333333334,10.555555555555555,10.222222222222223,8.4402,8.666666666666668,7.555555555555555,9.88888888888889,11.333333333333334,9.807525,14,11.844796428571428,11.337847619047619,11.777777777777779,11.333333333333334,11.222222222222223,10.11111111111111,9.333333333333334,7.625,8.333333333333334,11.011085714285715,10.514285714285714,12.777777777777779,12.279467857142857,11.227771428571426,10.195033333333331,9.54002,8.26045,7.0986666666666665,3.5903,0,0,0,0,0,0,0
Created Tmp Disk Tables,9.222222222222223,8.777777777777779,8.88888888888889,8.88888888888889,8.88888888888889,9,9,8.88888888888889,9,9,9.11111111111111,9.11111111111111,8.88888888888889,9.222222222222223,9,9.222222222222223,9.222222222222223,9.11111111111111,8.88888888888889,9,8.88888888888889,9.11111111111111,7.652025,6.8598,5.849433333333333,4.947360000000001,4.1598,3.2598,2.3598,1.4598,3.616220238095238,4.178320908166723,5.277777777777778,5.990754393051908,6.861460258780037,7.620770392749245,9.181235064771727,9.160987599150932,8.446672967863893,8.953553441522104,9,9,7.8675749999999995,8.222222222222223,8.11111111111111,8.11111111111111,8.11111111111111,8.222222222222223,8.11111111111111,8.11111111111111,8,8.20575,8.88888888888889,9.11111111111111,9,9,7.652025,8.11111111111111,6.954742857142857,5.944114285714285,5.666666666666667,5.444444444444445,5.555555555555555,5.555555555555555,5.444444444444445,6.25,6.888888888888888,7.779571428571428,7.428571428571428,7.555555555555555,6.520071428571429,5.503809523809523,4.593366666666666,3.79302,2.7534833333333335,1.4197333333333333,0.4683,3.6745102963335006,4.628804620793571,5.279353545477324,6.181383112002004,5.4,6.43485342019544,5.532823853670759
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,1.4444444444444444,3.666666666666667,6,7.333333333333334,9.11111111111111,9.666666666666668,11,11.333333333333334,11.88888888888889,12.88888888888889,13.222222222222223,11.666666666666668,15.88888888888889,16.555555555555557,19.77777777777778,19.77777777777778,22.88888888888889,23.88888888888889,24.666666666666668,21.447225,20.90605714285714,15.672066666666666,13.492799999999999,9.937299999999999,8.934266666666668,5.6373,4.5416,1.3322916666666664,1.08326838359878,1.6666666666666665,1.6930392849929305,1.996061166190556,2.540256797583081,3.2700289271789713,3.239861467992403,3.050187460617517,2.9099048684946838,3.3333333333333335,3,2.80215,2.888888888888889,2.4444444444444446,2.3333333333333335,2.888888888888889,2.666666666666667,3,2.666666666666667,2.666666666666667,3.04785,3.3333333333333335,3.666666666666667,3.444444444444444,3.444444444444444,3.1254750000000002,3,2.8253642857142856,2.641828571428571,2.666666666666667,2.4444444444444446,2.2222222222222223,2.2222222222222223,1.8888888888888888,2.625,3.3333333333333335,5.0268,4.8,6.666666666666667,6.302735714285714,6.1642666666666655,6.049799999999999,5.63206,5.267533333333334,4.517333333333333,2.8098,5.028277247614264,6.334153691612255,7.772381608619393,9.100369581558507,7.95,9.473534201954397,8.145546229015284
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.22222222222222,27.888888888888893,29.111111111111114,27.77777777777778,28,29.444444444444446,29.444444444444446,28.444444444444446,29.22222222222222,29,29.333333333333336,28.444444444444446,29,30,28.666666666666668,29.333333333333336,29.555555555555554,29,29.22222222222222,29.333333333333336,29.111111111111114,29.333333333333336,24.5727,21.66825714285714,18.983066666666666,16.078920000000004,13.51935,9.537933333333333,7.0794,4.2172,12.18095238095238,13.308725855642155,17.083333333333332,19.535068672995354,22.580441942530662,24.555815709969785,30.05911206137593,29.605630655792645,26.630482829237554,29.434806939003913,29.333333333333336,29.111111111111114,25.327125000000002,26.555555555555554,25.77777777777778,25.666666666666668,25.77777777777778,26.555555555555554,24.77777777777778,26.666666666666668,25.333333333333336,25.437825,28.111111111111114,29,29.22222222222222,29.444444444444446,25.003800000000002,27.111111111111114,22.168242857142857,19.923790476190472,21.11111111111111,19.22222222222222,20.11111111111111,19.88888888888889,19.11111111111111,22.625,22.11111111111111,23.338714285714286,22.285714285714285,24.22222222222222,21.62490357142857,18.492799999999995,14.90043333333333,12.75834,8.380166666666668,6.7114666666666665,3.5903,12.377297840281265,15.591762933199396,17.157899022801303,20.089495114006517,17.55,20.91327361563518,17.981677524429966
Sort Rows,77.77777777777779,62.22222222222223,70,70,70,70,70,62.22222222222223,70,70,70,70,62.22222222222223,77.77777777777779,62.22222222222223,77.77777777777779,77.77777777777779,70,62.22222222222223,77.77777777777779,70,77.77777777777779,60.354,60.976,46.354,39.354,40.4425,33.80533333333334,18.354,11.354,27.787797619047616,33.890825144018976,50.69444444444444,57.042400525146434,54.642174424466475,61.81291540785499,73.44988051817381,73.39962015417271,77.07589083175803,73.53105763850027,73,73,62.940599999999996,81.11111111111111,73,73,73,73,73,73,73,59.90197500000001,64.88888888888889,73,73,73,55.073024999999994,73,63.462028571428576,48.21337142857142,56.777777777777786,48.66666666666667,56.777777777777786,56.777777777777786,56.777777777777786,54.75,48.66666666666667,52.54202857142857,50.171428571428564,57,55.746610714285715,40.3979619047619,32.937799999999996,25.40174,17.718066666666665,19.101866666666666,11.5514,42.93375188347564,54.0839276745354,54.260022550739166,63.530881984465054,55.5,66.13599348534203,56.86513405161613
