Avg Threads Running,1,1,1.6,2,3,3.5,4.5,4.800000000000001,5.1,5.8,6.599999999999999,7.4,7.444444444444445,7.749999999999999,7.285714285714286,7.5,7.666666666666666,8.666666666666668,9.6,10,10.333333333333334,11,11,11,11,11,10,18,17,17,17,17,17,17,17,17,16,15,14,14,14,14,14,14,14,14,34,44,59.666666666666664,78,98.19999999999999,118.16666666666666,137.42857142857142,151.875,163.11111111111111,172.1,194,213.9,229.39999999999998,239.8,245.7,247,244.70000000000002,242.29999999999998,239.9,237.5,230,222.4,207.79999999999995,186.5,164.9,143.29999999999998,122.19999999999999,101.3,79.69999999999999,59.20000000000001,42.6,26.3,18.11111111111111,17.375,16.71428571428571,17,16.6,15.75,18,16.5,18,20,20,20,20,20,20,18,12,7.333333333333333,6.5,6,5.666666666666667,5.428571428571429,5.25,5.111111111111111,5,4,4,4,4,4,4,4
Peak Threads Connected,1,1,7,7,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,10,18,18,18,18,18,18,18,18,18,18,16,14,14,14,14,14,14,14,14,34,54,91,133,179,218,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,246,238,238,231,230,229,229,229,178,177,100,24,24,24,24,24,24,24,22,22,22,22,22,22,22,22,22,18,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,10,52,86,129,172,213,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,242,232,230,212,167,159,159,159,159,159,75,9,9,9,9,9,7,8,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1
Questions,38.111111111111114,37.333333333333336,135.44444444444446,288,419.88888888888886,539.8888888888889,675.4444444444445,846.2222222222223,945.3333333333334,1097.4444444444446,1226.7777777777778,1271.111111111111,1081.306575,956.4521142857142,848.7196666666666,723.1016400000001,1211.3893197429647,1232.2222222222222,1210.125,1003.8759428571427,910.4478999999999,216.8,216.8,216.8,216.8,179.07145790554415,249.8456032719837,208.4,208.4,208.4,208.4,208.4,208.4,208.4,1130.845273797623,1138.816199376947,201.06489141675283,214.7598118962888,251.8577350859454,299.9614192084699,342.4288182001208,369.3888805094688,364.3844153048043,360.9584740178235,347.71941563510643,259.55555555555554,223.44444444444443,199.44444444444446,170.77777777777777,158.55555555555557,158.44444444444446,158.11111111111111,159.66666666666669,159.55555555555557,157.88888888888889,160.88888888888889,141.44444444444446,301.22222222222223,462.9465276236965,559.3333333333334,667.3333333333334,788.1111111111111,906.2846990894959,1004.4444444444446,1071.0953121528548,1222.5555555555557,1166.7777777777778,938.6511629727022,818.2761428571428,717.9351666666666,603.69036,493.0181835252879,403.853,1207.9592062964198,1151.111111111111,1147,177.8,177.8,177.8,177.8,177.8,177.8,1178.2024219531163,1092.2222222222222,25.92327935222672,29.96471774193548,32.29979879275653,34.08113344051447,37.89183400267738,40.82754341415465,45.378855315947845,48.3511586452763,38.66666666666667,38.88888888888889,37.111111111111114,37.22222222222222,39.66666666666667,37.88888888888889,38.44444444444444
Threads Created,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.21555,0.21777142857142856,0.11036666666666665,0.11244000000000001,2.1050299135829826,2.111111111111111,2.375,2.249780952380952,2.4136333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5543707653004555,3.9875389408099684,4.575129265770424,9.49964412811388,14.333367037411525,19.38709352155281,23.36482987718945,26.824375733199265,26.104437244971187,25.56496014811096,24.31136388981822,22.11111111111111,18,14.222222222222223,10,7.666666666666667,5.333333333333334,5.333333333333334,5.333333333333334,5.333333333333334,5.333333333333334,5.333333333333334,4.444444444444445,3.555555555555556,1.5531395606833815,0,0,0,0.33311125916055967,0.33333333333333337,0.8886914019106864,0.888888888888889,0.888888888888889,0.8636238417230151,0.8710857142857142,0.8829333333333332,0.8995200000000001,0.5785240360540811,0.6036666666666667,4.101540849129809,4.111111111111112,4.625,0,0,0,0,0,0,4.666148205754916,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,8.88888888888889,8.777777777777779,9,9.222222222222223,8.88888888888889,9.11111111111111,9.222222222222223,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,9.222222222222223,7.7598,6.968685714285714,6.070166666666666,5.059800000000001,8.974074894748506,9,9.125,7.4597999999999995,6.732766666666666,1.6,1.6,1.6,1.6,1.3215605749486652,2.397750511247444,2,2,2,2,2,2,2,8.997000999666778,8.847352024922118,1.6855739400206826,2.8838205388917135,3.6564711830131444,4.712140786488531,5.617773303805114,6.644570135746608,7.304452623592856,8.208932157650308,8.921601427456228,9.11111111111111,9.11111111111111,9.11111111111111,9.11111111111111,9,8.777777777777779,9,9.11111111111111,8.88888888888889,9,8.88888888888889,9.11111111111111,8.88888888888889,8.98602174395385,9.11111111111111,9.11111111111111,9,9.216078170108817,9,9.109086869584536,8.777777777777779,9.11111111111111,7.8805675557225126,6.968685714285714,6.070166666666666,5.17224,4.165373059589384,3.3805333333333336,8.979048885932825,9.11111111111111,8.875,1.6,1.6,1.6,1.6,1.6,1.6,8.776802577491388,8.88888888888889,3.2192307692307693,4.238911290322581,5.114134808853119,5.871655948553054,6.766398929049531,7.54291857798165,8.442577733199599,9.13547237076649,9.11111111111111,8.88888888888889,9,8.777777777777779,9,9,9
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.2222222222222223,2.555555555555556,4.777777777777778,6.222222222222223,9.222222222222223,9.777777777777779,10.11111111111111,16.333333333333336,20.333333333333336,21,19.076175,17.09505714285714,15.8928,13.15548,22.822955905162864,22.88888888888889,18.75,13.498685714285713,12.322233333333333,0.6,0.6,0.6,0.6,0.4955852156057494,0.7193251533742332,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.32855714761746,15.700934579439252,1.4447776628748705,1.187455516014235,1.4625884732052579,1.8848563145954125,2.170503321924703,2.2148567119155356,2.155412249584777,2.110868269110079,2.007360321177651,1.3333333333333335,1.2222222222222223,0.888888888888889,0.6666666666666667,0.4444444444444445,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,2.4444444444444446,8.875083203905037,12.444444444444446,13,14.11111111111111,14.101709971130358,14.555555555555557,14.663408131526328,17.22222222222222,16.11111111111111,9.283956298522414,5.879828571428571,5.407966666666666,4.385160000000001,4.512487481221832,4.225666666666667,16.184458485755464,13.666666666666668,14,0,0,0,0,0,0,20.553271858682365,20.555555555555557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.111111111111114,28.22222222222222,28.444444444444446,30.22222222222222,27.888888888888893,29.77777777777778,30.444444444444446,29.22222222222222,28.666666666666668,28.77777777777778,28.888888888888893,30.22222222222222,24.788249999999998,22.212685714285712,19.5349,15.854040000000001,29.581209838245076,29.111111111111114,28.875,23.918723809523808,21.214566666666666,3.6,3.6,3.6,3.6,2.973511293634497,9.591002044989777,8,8,8,8,8,8,8,28.990336554481836,27.538940809968846,6.501499482936919,9.669280630401627,13.309555106167846,15.617380892361988,19.023823233340046,21.7794243338361,24.54775062027107,27.08947612024602,29.106724657075944,30.444444444444446,29.666666666666668,29,30.22222222222222,28.444444444444446,28.555555555555554,28.444444444444446,29.666666666666668,29.555555555555554,28.333333333333336,28.22222222222222,29.888888888888893,28.888888888888893,29.842467273130687,29.555555555555554,29.666666666666668,29.333333333333336,29.202753719742397,28.666666666666668,30.882026216396355,28.333333333333336,28.77777777777778,25.153044390182817,22.539342857142856,19.755633333333332,16.303800000000003,13.537462443665499,11.2282,28.378228577763004,28.888888888888893,28.625,4.8,4.8,4.8,4.8,4.8,4.8,28.663481835351625,28.666666666666668,9.149392712550608,13.73991935483871,16.284481891348086,17.870257234726687,21.03734939759036,23.586586664482304,27.321119608826486,29.634581105169342,29.555555555555554,29.666666666666668,28.22222222222222,28.333333333333336,30.444444444444446,29,29.555555555555554
Sort Rows,70.22222222222223,70.22222222222223,79,87.77777777777779,70.22222222222223,79,87.77777777777779,79,79,79,79,87.77777777777779,68.1138,68.81577142857142,61.03276666666666,44.4138,78.77243518723688,79,79,65.48046666666667,50.17816666666666,0,0,0,0,0,37.884458077709624,31.6,31.6,31.6,31.6,31.6,31.6,31.6,87.74852826835499,78.75389408099689,0,26.802567361464163,23.108897876643077,31.907924754222336,40.34582645460036,58.447607675548866,56.878934364042735,65.08510496422744,70.81521133043381,88.33333333333334,79.66666666666667,88.55555555555556,88.66666666666667,88.77777777777779,71.11111111111111,80,80,80,71.11111111111111,71.11111111111111,80,80,71.0006656312403,80,80,80,88.82966910948258,88.88888888888889,88.86914019106864,71.11111111111111,80,77.72614575507137,69.68685714285714,61.80533333333333,53.971199999999996,37.02553830746119,28.976,79.81376787495844,88.88888888888889,80,16,16,16,16,16,16,71.10321075436062,71.11111111111111,40.663967611336034,46.774193548387096,53.83299798792757,61.26945337620579,68.8942436412316,67.04816513761467,75.04513540621866,80.21390374331551,88.88888888888889,71.11111111111111,80,71.11111111111111,71.11111111111111,71.11111111111111,80
