Avg Threads Running,1,1,1.2,1.4000000000000001,2,3,3.8,4.3999999999999995,5.2,6.2,7.2,7.888888888888889,10,10.875,11.428571428571429,11.5,12,21.799999999999997,25,29.666666666666668,39,39,56,56,64,64,64,72,88.5,88.5,88.5,88.5,88.5,88.5,79.5,79.5,79.5,79.5,54,54,54,54,54,54,29,29,29,29,29,29,29,29,29,29
Peak Threads Connected,1,1,3,3,7,11,11,11,11,11,11,11,22,22,22,22,22,56,56,56,56,56,56,56,72,72,72,72,105,105,105,105,105,105,105,105,105,105,54,54,54,54,54,54,29,29,29,29,29,29,29,29,29,29
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,2,2,8,8,8,8,8,35,35,35,35,35,35,35,57,57,57,57,79,79,79,79,79,79,79,79,79,79,26,26,26,26,26,26,14,14,14,14,14,14,14,14,14,14
Questions,38.22222222222222,38.111111111111114,102.88888888888889,212.44444444444443,323.55555555555554,473.2222222222223,617.8888888888889,781.3333333333334,936.2222222222223,1067.5555555555557,1189.3333333333335,1085.4020249999999,1301.0645375914835,1162.3834461746783,1024.6576446280992,892.2970588235294,741.4214776803508,1206.6977156797516,1204.6645048640557,1215.5884867483614,1169.8,1169.8,1126.857142857143,1126.857142857143,1126.857142857143,781.5978859144358,1139.6047035276458,1139.6047035276458,1139.6047035276458,813.1649362021516,699.2044658493871,1172.0519653564293,1172.0519653564293,1172.0519653564293,1172.0519653564293
Threads Created,0,0,0,0,0,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4311,1.2197826569084051,1.195308769554217,0.990645483043602,0.8962180126287803,0.9194499800717418,5.544466622310933,6.2359690695934145,7.124536905101169,8.6,8.6,6.428571428571429,6.428571428571429,6.428571428571429,6.00569176882662,8.756567425569177,8.756567425569177,8.756567425569177,6.248248686514886,5.372591943957969,1.9986675549633581,1.9986675549633581,1.9986675549633581,1.9986675549633581
Created Tmp Disk Tables,9.11111111111111,9,9,9.11111111111111,8.88888888888889,9,8.88888888888889,8.88888888888889,9,9.11111111111111,9.11111111111111,7.652025,8.871146595697493,7.932503652496169,6.934518381305215,6.049471585244268,5.2868373854125155,9.09292526058993,8.855076078822648,8.976916500427473,9,9,9.142857142857142,9.142857142857142,9.142857142857142,6.177282962221666,9.006755066299727,9.006755066299727,9.006755066299727,6.426770077558169,5.526094570928196,8.82744836775483,8.82744836775483,8.82744836775483,8.82744836775483
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.22222222222222224,3.2222222222222223,6,8.333333333333334,10.222222222222223,11.333333333333334,14.11111111111111,16.11111111111111,15.627375,21.956087824351293,18.581618144888285,16.070471169373988,14.003406447324693,12.412574730968513,24.72832113550676,24.69443751558992,25.648332858364206,25,25,14,14,14,12.354565924443332,18.013510132599453,18.013510132599453,18.013510132599453,12.853540155116338,11.052189141856392,29.98001332445037,29.98001332445037,29.98001332445037,29.98001332445037
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.111111111111114,29,29.555555555555554,29.666666666666668,28.666666666666668,28.666666666666668,29,27.666666666666668,29.111111111111114,29.555555555555554,29.444444444444446,23.818275,28.165890441339542,25.64480632861775,22.344559228650134,18.70855101362579,17.12475587883619,28.720337103570632,28.061860813170362,28.783129096608725,28.8,28.8,30,30,30,20.934125594195645,30.522892169126845,30.522892169126845,30.522892169126845,21.77960970728046,18.727320490367777,26.648900732844773,26.648900732844773,26.648900732844773,26.648900732844773
Sort Rows,53.333333333333336,48,48,53.333333333333336,42.66666666666667,53.333333333333336,48,48,48,48,53.333333333333336,41.3856,42.581503659347966,41.72714250080177,31.700655457395264,26.886540378863412,27.583499402152256,47.90419161676646,41.90571214766775,41.03733257338273,48,48,54.857142857142854,54.857142857142854,54.857142857142854,32.94550913184888,48.0360270202652,48.0360270202652,48.0360270202652,34.27610708031023,29.472504378283713,47.96802131912059,47.96802131912059,47.96802131912059,47.96802131912059
