Avg Threads Running,1,1,1.7000000000000002,2.1999999999999997,3.1999999999999997,3.7,4.1,4.7,5.8999999999999995,6.7,7.1,8,7.9,7.8,7.3,7.1000000000000005,7.333333333333333,8.222222222222223,7.625,7.428571428571428,7.833333333333334,7.4,7.5,8.333333333333332,9.5,15,15,84,84,84,84,84,84,64.5,64.5,64.5,64.5,45,45,39.5,39.5,39.5,39.5,42,42,42,42,42,42,50,50,50,50,34,33,33,33,33,33,33,33,33,33,32
Peak Threads Connected,1,1,8,8,11,11,11,11,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,84,84,84,84,84,84,84,84,84,84,45,45,45,45,45,45,50,50,50,50,50,50,50,50,50,50,34,34,34,34,34,34,34,34,34,34,32
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47,47,47,47,47,47,47,47,47,47,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,14,17,17,17,17,17,17,17,17,17,17
Questions,37.22222222222222,37.88888888888889,68.77777777777779,208.22222222222223,324.6666666666667,499.11111111111114,657.7777777777778,821.7777777777777,941,1060.7777777777778,1195.4444444444446,1273.4444444444446,1245.3333333333335,1217.5555555555557,1152.7777777777778,1123.888888888889,927.1883250000001,1113.452367749806,968.8537821415206,844.0318512184692,745.5436014625228,644.5371536774966,570.7475230271347,483.52693901226377,397.1436539414973,1167.3048110537707,1167.3048110537707,1167.3048110537707,1167.3048110537707,1155.2213868003341,1155.2213868003341,1155.2213868003341,1155.2213868003341,810.1585878818229,1182.0230345518275,1182.0230345518275,1182.0230345518275,843.2552328492739,725.0529293940912,256.417758444217,213.8,213.8,213.8,213.8,213.8,213.8,213.8,176.2154042988741
Threads Created,0,0,0,0,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.6666666666666667,0.4444444444444445,0.4444444444444445,0.4311,1.1090163025396473,0.6519877403374971,0.6604318084651559,0.6721655309955127,0.6895903926649393,0.7182225541448843,0.7742625124295657,0.9362915220624691,0.499417346429166,0.499417346429166,0.499417346429166,0.499417346429166,4.177109440267335,4.177109440267335,4.177109440267335,4.177109440267335,4.118577866800201,6.00901352028042,6.00901352028042,6.00901352028042,4.286830245368052,3.68592889334001,0.23986693961105426,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1648413510747185
Created Tmp Disk Tables,8.88888888888889,9.11111111111111,9.222222222222223,9.222222222222223,9,8.88888888888889,8.777777777777779,9.222222222222223,9,9,8.88888888888889,8.777777777777779,8.88888888888889,9,8.88888888888889,9.222222222222223,7.7598,9.093933680825108,7.823852884049965,7.0446059569616635,6.161517367458867,5.171927944987045,4.309335324869306,3.61322505800464,2.652825979176996,8.98951223572499,8.98951223572499,8.98951223572499,8.98951223572499,9.022556390977444,9.022556390977444,9.022556390977444,9.022556390977444,6.349474211316976,9.263895843765647,9.263895843765647,9.263895843765647,6.608863294942414,5.68247371056585,2.158802456499488,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.4835721596724665
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1,4.777777777777778,7.111111111111112,12.444444444444446,15.555555555555557,16.666666666666668,18.22222222222222,20.333333333333336,23.11111111111111,22.11111111111111,19.666666666666668,18.88888888888889,16.11111111111111,15.333333333333334,13.7952,13.973605411999557,11.627114702685365,9.02590138235713,9.186262256938672,8.045221247757626,6.703410505352254,4.258443818362611,1.8725830441249383,21.308473447644417,21.308473447644417,21.308473447644417,21.308473447644417,17.209690893901417,17.209690893901417,17.209690893901417,17.209690893901417,17.503955933900855,25.538307461191785,25.538307461191785,25.538307461191785,18.219028542814222,15.665197796695043,4.077737973387922,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.8023029682702147
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.333333333333336,28.888888888888893,29.888888888888893,29.22222222222222,28.111111111111114,28.888888888888893,28.444444444444446,29.77777777777778,29,28.77777777777778,29,28.77777777777778,28.555555555555554,29.22222222222222,28.77777777777778,30.333333333333336,25.4349,29.27803038704669,25.10152800299364,22.124465583582726,18.93266245637361,16.43523769184772,13.406821010704508,10.83967517401392,7.490332176499753,29.132678541701353,29.132678541701353,29.132678541701353,29.132678541701353,28.23725981620718,28.23725981620718,28.23725981620718,28.23725981620718,21.622533800701056,31.547320981472204,31.547320981472204,31.547320981472204,22.505858788182273,19.351126690035052,8.155475946775844,6.8,6.8,6.8,6.8,6.8,6.8,6.8,5.6046059365404295
Sort Rows,42.66666666666667,48,53.333333333333336,53.333333333333336,48,48,42.66666666666667,53.333333333333336,48,48,48,42.66666666666667,42.66666666666667,48,42.66666666666667,53.333333333333336,41.3856,53.232782521903076,46.94311730429979,42.26763574176998,37.64126973574871,33.10033884791709,28.72890216579537,24.7764003977461,14.980664352999506,47.94406525719994,47.94406525719994,47.94406525719994,47.94406525719994,48.1203007518797,48.1203007518797,48.1203007518797,48.1203007518797,41.18577866800201,60.0901352028042,60.0901352028042,60.0901352028042,42.86830245368053,36.8592889334001,11.513613101330604,9.6,9.6,9.6,9.6,9.6,9.6,9.6,7.91238485158649
