Avg Threads Running,1,1,1.8,2.2,2.9000000000000004,3.1111111111111116,3.375,3.7142857142857144,4.166666666666666,4.8,5.75,7.333333333333333,6.5,8,35,36.5,37,44.5,55.6,69,83,99.125,115.77777777777777,129.1,150.5,171.6,192.70000000000002,209.1,222.29999999999998,231.6,236.79999999999995,238.2,235.20000000000002,233.89999999999998,233.9,233.9,233.9,235.3,234.2,234.7,235.60000000000002,236.3,236.8,236.7,233.9,233.9,233.9,234.29999999999998,236.8,236.5,217.60000000000002,215.88888888888889,214.875,212,210.5,202.8,191.25,172,135,39
Peak Threads Connected,1,1,9,9,9,9,9,9,9,9,9,9,8,8,35,38,38,67,100,136,167,212,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,246,231,39
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,19,24,65,97,134,165,210,248,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,248,248,248,248,248,248,248,248,248,248,248,244,224,30
Questions,37.66666666666667,38.66666666666667,93.66666666666667,274.11111111111114,426.44444444444446,408.25169999999997,410.06359999999995,410.34326666666664,412.87968,422.10415,435.8473333333333,402.0837,226.75560000000002,278.65882352941173,313.4486024844721,371.9548885857208,418.3762589013225,461.1100081103001,504.9742245448416,558.4286044019456,613.4615071860817,601.9928347514555,474.7137934867178,403,335.33333333333337,303,301.6666666666667,304.6666666666667,308.11111111111114,315,365.8888888888889,426.33333333333337,439.88888888888886,434.44444444444446,407.11111111111114,366.22222222222223,337,340,320.77777777777777,309.77777777777777,304.44444444444446,334.11111111111114,362.77777777777777,410.55555555555554,405.55555555555554,383.33333333333337,325.8888888888889,306.33333333333337,507.7777777777778,434.9799,391.5530285714285,363.9892666666666,319.21716000000004,318.80245,326.2214666666667,340.9911,376.304
Threads Created,0,0,0,0,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666,0.44976000000000005,0.4622,0.4829333333333333,0.5244,0.6487999999999999,2.192245989304813,1.5340062111801243,5.424647567075944,9.438072227873857,13.547023519870233,16.869414475162962,21.80519330640508,25.69288010590015,24.51858486341245,23.34111370456819,23.333333333333336,20.22222222222222,16.555555555555557,14.11111111111111,12.11111111111111,8.777777777777779,7.222222222222223,9.11111111111111,11.777777777777779,12.88888888888889,12.88888888888889,12.88888888888889,11.333333333333334,9.88888888888889,10.666666666666668,9.11111111111111,9.11111111111111,7.555555555555555,8.555555555555555,9.666666666666668,12.444444444444446,12.444444444444446,12.444444444444446,10,9.333333333333334,7.777777777777779,6.466499999999999,4.464314285714286,3.4213666666666662,0.67464,0.6933,0.7243999999999999,0.7866,0.4866
Created Tmp Disk Tables,8.88888888888889,9,9,8.777777777777779,8.88888888888889,7.652025,6.968685714285714,5.9597999999999995,4.947360000000001,4.27535,3.2598,2.4909,1.6219999999999999,6.333155080213904,6.647360248447205,7.037380627557981,7.415628179043743,8.17933495539335,8.98881209260508,10.063935372186961,10.793356026222893,11.195700850873264,9.225297321329332,9,8.777777777777779,9.222222222222223,9,9,8.777777777777779,8.88888888888889,9.222222222222223,9,9,9.11111111111111,8.88888888888889,9.11111111111111,9,9,9.11111111111111,8.88888888888889,9.222222222222223,8.777777777777779,8.88888888888889,8.88888888888889,9,9.222222222222223,9.11111111111111,9,8.88888888888889,7.54425,6.8598,5.9597999999999995,5.059800000000001,4.04425,3.0183333333333335,2.2287,1.2975999999999999
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,2.922994652406417,2.0453416149068326,1.7593451568894953,1.6179552390640892,1.533625304136253,1.4776129467296024,1.4377050531695659,1.4078290468986385,1.3434841021047919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.8888888888888888,5.666666666666667,7.444444444444445,7.220924999999999,7.295342857142856,7.394566666666665,7.53348,7.7418499999999995,8.089133333333333,6.555,2.5951999999999997,3.653743315508021,3.749792960662526,6.890768531150523,9.572901831129197,11.75779399837794,14.283591818386157,14.017624268403267,16.190034039334343,16.56963725929243,14.782705346226521,14,11.222222222222223,8.555555555555555,8.555555555555555,8,11,11.222222222222223,12.666666666666668,13.555555555555557,13.555555555555557,13.555555555555557,13.555555555555557,11.222222222222223,9.333333333333334,8.555555555555555,7,7,9.444444444444445,10.777777777777779,10.88888888888889,12.88888888888889,13.333333333333334,13.11111111111111,10.777777777777779,9.777777777777779,8.555555555555555,5.065424999999999,3.811,3.752466666666666,1.7990400000000002,1.3866,1.4487999999999999,1.5732,1.9464
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.666666666666668,29.444444444444446,28.22222222222222,27.555555555555554,29.22222222222222,24.1416,22.757114285714284,18.983066666666666,15.40428,14.097100000000001,10.745266666666668,8.3904,5.677,24.60187165775401,21.64653209109731,24.337608003638017,24.26932858596134,26.455036496350363,29.05972128568218,32.707789959607624,34.609130736258194,36.38602776533811,28.34278092697566,29.888888888888893,27.555555555555554,30.444444444444446,29.555555555555554,29,28.333333333333336,28.888888888888893,29.77777777777778,28.666666666666668,28.666666666666668,29.888888888888893,27.888888888888893,28.666666666666668,29.111111111111114,28.77777777777778,30.22222222222222,28.22222222222222,29.555555555555554,27.666666666666668,28.111111111111114,28.555555555555554,29.22222222222222,30.888888888888893,29.77777777777778,28.22222222222222,29,24.5727,22.321571428571424,18.983066666666666,16.416240000000002,13.1727,8.572066666666668,6.948300000000001,4.3793999999999995
Sort Rows,117,117,117,104,104,88.267725,89.17739999999999,77.47739999999999,52.62192,54.0774,42.3774,30.6774,18.9774,57.729144385026736,61.019358178053835,70.22719417917236,64.58337995930825,76.68126520681265,88.77991121600361,115.37583051685765,127.17389056984366,121.36139722346618,107.59141936200956,121,107.55555555555557,134.66666666666669,121.22222222222221,121.33333333333334,108,108.11111111111111,135.22222222222223,121.77777777777779,122,122,108.44444444444446,135.55555555555557,122,122,135.55555555555557,108.44444444444446,135.55555555555557,108.44444444444446,122,122,108.44444444444446,135.55555555555557,122,122,122,92.03985,92.98839999999998,80.7884,68.58840000000001,56.388400000000004,29.458933333333334,31.988400000000002,0
