Avg Threads Running,1,1,1.6,2,3.3,4.3999999999999995,4.8,5.500000000000001,6,7.599999999999999,8.6,9.4,9.666666666666666,10.25,9.714285714285714,9.333333333333334,10.2,10.75,12.333333333333332,10,9,42,42,42,42,49,49,47.25,47.25,47.25,47.25,49,49,49,49,45.5,42,24,24,24,24,24,24,24,24,24,24
Peak Threads Connected,1,1,7,7,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,11,9,42,42,42,42,56,56,56,56,56,56,56,56,56,56,49,42,24,24,24,24,24,24,24,24,24,24
Peak Threads Running,1,1,1,1,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,2,1,21,21,21,21,35,35,35,35,35,35,35,35,35,35,25,23,10,10,10,10,10,10,10,10,10,10
Questions,39.333333333333336,37.44444444444444,113.11111111111111,265.55555555555554,391,528.5555555555555,681.5555555555555,814.2222222222223,943.4444444444446,1077.3333333333335,1192.7777777777778,1239.3333333333335,1050.698475,934.6749714285713,806.4492333333333,661.37208,537.6541500000001,415.92633333333333,288.9444,183.77259999999998,784.8878551672115,843.65361718904,894.1177676348547,1141.7427385892115,936.4764232365145,822.3021493775934,344.85,344.85,344.85,304.21337890625,148.93676470588235
Threads Created,0,0,0,0,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,1,1.777777777777778,2,1.93995,1.633285714285714,1.5451333333333332,1.5741600000000002,1.6177,1.6902666666666668,1.1799,0.32439999999999997,4.627068141815438,4.615479006505026,4.289269709543569,5.477178423236515,4.492473029045643,3.9447551867219923,0.9,0.9,0.9,0.7939453125,0
Created Tmp Disk Tables,9.11111111111111,8.88888888888889,9,9,9,9,9.11111111111111,9.222222222222223,9.11111111111111,8.88888888888889,9,9,7.8675749999999995,6.968685714285714,5.9597999999999995,4.947360000000001,4.04425,3.139066666666667,2.3598,1.4598,10.79649233090269,10.349862014587028,10.658185338865836,13.609958506224066,11.163114799446749,9.802118948824344,2.85,2.85,2.85,2.51416015625,1.4067226890756301
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5988307769675636,2.937123004139562,2.7295352697095434,3.485477178423236,2.8588464730290455,2.510298755186722,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.888888888888889,1.6666666666666667,1.777777777777778,4.444444444444445,6.555555555555555,7.777777777777779,8.88888888888889,11.333333333333334,12.333333333333334,13.444444444444446,12.28635,12.304085714285714,9.822633333333332,7.8708,6.817449999999999,5.915933333333333,3.5397,2.9196,11.139238119185315,12.168081017149614,12.607853388658366,16.099585062240664,13.205147994467495,11.595189488243431,4.8,4.8,4.8,4.234375,1.7584033613445378
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.22222222222222,28.555555555555554,28.444444444444446,29.555555555555554,29,29.555555555555554,29.666666666666668,29.666666666666668,29.77777777777778,29.22222222222222,29.22222222222222,29.666666666666668,25.111575,22.865999999999996,19.314166666666665,15.40428,12.82605,9.055,6.686099999999999,4.3793999999999995,35.988307769675636,35.52520205006899,35.873892116182574,45.80912863070539,37.573410788381736,32.992497925311206,9.9,9.9,9.9,8.7333984375,3.868487394957983
Sort Rows,91.11111111111111,82,82,82,82,82,91.11111111111111,91.11111111111111,91.11111111111111,72.88888888888889,72.88888888888889,91.11111111111111,79.53795,71.42902857142857,63.35046666666666,46.1004,37.900400000000005,29.700400000000002,32.2506,26.6008,42.15773195876288,58.18300808200276,65.11891286307053,83.15352697095435,68.20390871369294,59.88855601659751,38.25,38.25,38.25,33.74267578125,14.946428571428573
