Avg Threads Running,2,2,2,2,2,2,2,2,2,2,2,29,29,29,29,29,29,29,29,29,29,37,37,37,37,40.5,40.5,40.5,40.5,40.5,40.5,44,44,44,44,66,66,66,66,66,66,66,66,66,66,254,254,254,262,262,262,262,262,262,262,270,270,270
Peak Threads Connected,2,2,2,2,2,2,2,2,2,2,2,29,29,29,29,29,29,29,29,29,29,37,37,37,37,44,44,44,44,44,44,44,44,44,44,66,66,66,66,66,66,66,66,66,66,254,254,254,270,270,270,270,270,270,270,270,270,270
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,38,38,38,38,38,38,38,38,38,38,245,245,245,245,245,245,245,245,245,245,245,245,245
Questions,39.6446418656302,37.88888888888889,32.009175,28.745828571428568,26.267266666666664,22.60044,16.6392,14.246533333333335,11.2746,5.5339698492462315,756.6069381598793,1108.0945198592258,1108.0945198592258,1108.0945198592258,789.8497737556561,679.0403217697335,602.3843771043771,715.7850505050504,829.1857239057239,865.0203367003367,751.6196632996632,638.21898989899,524.8183164983164
Threads Created,0,0,0,0,0,0,0,0,0,0,3.089592760180995,4.524886877828054,4.524886877828054,4.524886877828054,3.225339366515837,2.7728506787330316,6.081077441077441,7.225858585858586,8.370639730639729,8.732390572390575,7.5876094276094275,6.442828282828283,5.298047138047138
Created Tmp Disk Tables,9.217101610216545,9,7.652025,6.8598,5.9597999999999995,5.17224,4.04425,3.139066666666667,2.4909,1.302110552763819,6.007541478129713,8.798391151332329,8.798391151332329,8.798391151332329,6.271493212669683,5.39165409753645,4.65023569023569,5.525656565656566,6.40107744107744,6.677710437710438,5.8022895622895625,4.926868686868687,4.051447811447812
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0,0,0,0,0,0,0,10.641930618401206,15.585721468074407,15.585721468074407,15.585721468074407,11.109502262443439,9.550930115635996,8.763905723905724,10.413737373737373,12.063569023569022,12.584915824915827,10.935084175084175,9.285252525252528,7.635420875420875
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.316490838423096,29,24.5727,22.1038,20.1971,17.4282,12.9416,11.107466666666667,8.9148,4.39462311557789,18.194268476621417,26.646556058320765,26.646556058320765,26.646556058320765,18.993665158371037,16.329009552538963,15.73925925925926,18.702222222222222,21.665185185185184,22.601481481481482,19.638518518518516,16.675555555555558,13.712592592592591
Sort Rows,56.635202665186,45.333333333333336,38.475675,38.8722,28.1435,28.672200000000004,17.67915,12.314800000000002,13.372199999999998,0,35.01538461538461,51.282051282051285,51.282051282051285,51.282051282051285,36.55384615384615,31.42564102564102,18.243232323232323,21.67757575757576,25.11191919191919,26.19717171717172,22.762828282828284,19.32848484848485,15.894141414141412
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0.17164404223227753,0.2513826043237808,0.2513826043237808,0.2513826043237808,0.17918552036199092,0.15404725992961285,0.5365656565656566,0.6375757575757575,0.7385858585858586,0.7705050505050506,0.6694949494949495,0.5684848484848486,0.4674747474747475
table_open_cache_hits,281.84342032204324,278.44444444444446,239.2605,212.10937142857142,186.18856666666665,158.42796,127.33609999999999,101.41600000000001,75.2514,43.9462311557789,1600.7523378582202,2344.3941679235795,2344.3941679235795,2344.3941679235795,1671.0841628959274,1436.6447461035696,1276.8474074074072,1517.2177777777777,1757.5881481481479,1833.5451851851853,1593.174814814815,1352.8044444444445,1112.434074074074
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0.17164404223227753,0.2513826043237808,0.2513826043237808,0.2513826043237808,0.17918552036199092,0.15404725992961285,0.5365656565656566,0.6375757575757575,0.7385858585858586,0.7705050505050506,0.6694949494949495,0.5684848484848486,0.4674747474747475
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.110494169905608,0.888888888888889,0.754425,0.7621999999999999,0.5518333333333333,0.5622,0.34665,0.24146666666666666,0.2622,0,0.6865761689291101,1.0055304172951232,1.0055304172951232,1.0055304172951232,0.7167420814479637,0.6161890397184514,0.3577104377104377,0.425050505050505,0.4923905723905723,0.5136700336700337,0.44632996632996635,0.37898989898989904,0.3116498316498316
Slow Queries,4.330927262631871,3.7777777777777777,3.2332499999999995,2.9399142857142855,2.538433333333333,2.02392,1.5021499999999999,1.3280666666666667,1.0488,0.4882914572864322,7.723981900452488,11.312217194570135,11.312217194570135,11.312217194570135,8.063348416289593,6.9321266968325785,8.763905723905724,10.413737373737373,12.063569023569022,12.584915824915827,10.935084175084175,9.285252525252528,7.635420875420875
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
