Avg Threads Running,1,1,1.5,2,2.5,3.0999999999999996,3.7,4.2,4.7,5.5,5.9,6.4444444444444455,6.500000000000001,6.571428571428572,6.666666666666667,6.6,6.5,6.666666666666667,7,5,76,76,76,76,76,76,76,76,76,76,25,19.5,19.5,19.5,19.5,19.5,22.666666666666664,22.666666666666664,22.666666666666664,22.666666666666664,21.5,29,29,29,29,29,16,16,19.5,18.666666666666668,18.666666666666668,18.666666666666668,18.666666666666668,18.666666666666668,18.666666666666668,18.666666666666668,20,20,17,39,39,39,39,39,39,39,39,39,39,23,20,20,20,20
Peak Threads Connected,1,1,6,6,6,7,7,7,7,9,9,9,9,9,9,9,9,9,9,5,76,76,76,76,76,76,76,76,76,76,25,25,25,25,25,25,29,29,29,29,29,29,29,29,29,29,16,16,23,23,23,23,23,23,23,23,23,23,17,39,39,39,39,39,39,39,39,39,39,23,23,23,23,23
Peak Threads Running,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,44,44,44,44,44,44,44,44,44,44,13,13,13,13,13,13,13,13,13,13,8,8,8,8,8,8,1,1,6,6,6,6,6,6,6,6,6,6,2,9,9,9,9,9,9,9,9,9,9,3,3,3,3,3
Questions,37.66666666666667,39.44444444444444,119.11111111111111,274.55555555555554,433.2222222222223,566.5555555555555,655.7777777777778,802.5555555555555,942.3333333333334,1079.111111111111,1191.4444444444446,1072.684575,928.7951428571427,778.5264666666666,654.06348,575.5545500000001,437.5376,303.49649999999997,171.76979999999998,240.19694323144103,195.4,195.4,195.4,195.4,1103.3204112590597,1103.3204112590597,1103.3204112590597,840.9784004719365,1110.0259118995414,419.46248138957816,516.800419322375,501.9,501.9,501.9,501.9,546.3206474337471,434.0764340825227,232,192.73291925465838,260.17600205549843,216.6,216.6,216.6
Threads Created,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311,0,0,0,0,0,0,0,0,2.1911343333895164,2.1911343333895164,2.1911343333895164,1.6701373672678241,2.59118995415587,0.9594292803970224,0.7722660181147265,0.75,0.75,0.75,0.75,0.8163787319691378,0.648649781952365,0,0,0,0,0,0
Created Tmp Disk Tables,9,9.11111111111111,8.88888888888889,9,8.88888888888889,8.88888888888889,9.222222222222223,9.11111111111111,8.88888888888889,9.11111111111111,9,7.975350000000001,6.968685714285714,6.070166666666666,5.17224,4.1598,3.2598,2.622,1.4598,1.7209606986899566,1.4,1.4,1.4,1.4,8.764537333558065,8.764537333558065,8.764537333558065,6.6805494690712965,8.969503687462627,3.645831265508684,4.324689701442468,4.2,4.2,4.2,4.2,4.571720899027172,3.632438778933244,1.8,1.4953416149068324,2.1621274409044196,1.8,1.8,1.8
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,4.666666666666667,8.666666666666668,10.333333333333334,11.222222222222223,16.88888888888889,19.22222222222222,21.555555555555557,23.77777777777778,22.848300000000002,18.728342857142856,15.009866666666664,13.60524,13.057149999999998,7.485466666666667,5.3751,3.2439999999999998,0,0,0,0,0,16.349233102983312,16.349233102983312,16.349233102983312,12.461794201921457,19.334263504086106,6.140347394540942,8.649379402884936,8.4,8.4,8.4,8.4,9.143441798054344,7.264877557866488,4.8,3.987577639751553,2.1621274409044196,1.8,1.8,1.8
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.666666666666668,30.111111111111114,27.888888888888893,28.666666666666668,28.666666666666668,28.555555555555554,29.555555555555554,29.333333333333336,27.22222222222222,29.555555555555554,28.666666666666668,25.65045,22.865999999999996,19.424533333333333,16.416240000000002,13.51935,10.745266666666668,9.0459,4.5416,4.425327510917031,3.6,3.6,3.6,3.6,27.304904769930896,27.304904769930896,27.304904769930896,20.81248103826058,28.702411799880405,10.36183622828784,13.591881918819187,13.2,13.2,13.2,13.2,14.368265682656826,11.416236162361624,6.8,5.649068322981367,6.72661870503597,5.6,5.6,5.6
Sort Rows,46,51.111111111111114,46,46,40.88888888888889,40.88888888888889,51.111111111111114,46,40.88888888888889,51.111111111111114,46,44.618849999999995,40.069942857142856,35.538066666666666,31.033440000000002,21.2612,16.6612,18.0918,7.4612,0,0,0,0,0,38.76622282150683,38.76622282150683,38.76622282150683,29.54858419012304,45.84412995814231,17.653498759305208,21.314542099966452,20.7,20.7,20.7,20.7,22.532053002348206,17.902733981885273,9.2,7.642857142857143,11.05087358684481,9.2,9.2,9.2
