Avg Threads Running,1,1,1.5,1.8,1.9,2.4,2.5999999999999996,2.9,3.1,3.4000000000000004,3.5999999999999996,4,3.8999999999999995,3.9,4.199999999999999,4.3,4.4,4.4,4.5,4.7,4.6000000000000005,4.399999999999999,4.6,4.5,4.4,4.3,4.5,4.7,4.4,4.1,4.3,4.500000000000001,4.3,4.4,4.5,4.500000000000001,4.3999999999999995,4.5,4.7,4.6000000000000005,4.6000000000000005,4.7,4.7,4.5,4.6000000000000005,4.4,4.3999999999999995,4.199999999999999,4.3,4.3999999999999995,4.299999999999999,4.3,4.4,4.5,4.199999999999999,4.3,4.3,4.3,4.199999999999999,4.199999999999999,4.299999999999999,4.3,4.3999999999999995,4.6,4.9,5.300000000000001,6.3,6.7,6.8,7.299999999999999,8.1,8.333333333333334,8.5,9,12.857142857142858,13.5,13.2,14.25,17.666666666666664,22.5,33,28.5,28.5,28.5,24,24,24,24,24,24,24,29,29,29,29,29,29,22,22,22,22,15,15
Peak Threads Connected,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,9,15,15,15,15,15,15,15,15,33,33,33,33,33,33,33,33,33,33,24,24,24,24,24,24,24,29,29,29,29,29,29,29,29,29,29,15,15
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,2,2
Questions,37,38.55555555555556,70.77777777777779,162.77777777777777,230.11111111111114,294.44444444444446,381.11111111111114,449.11111111111114,503.2222222222223,571.6666666666667,660.2222222222223,705.6666666666667,665.7777777777778,674.7777777777778,681,683.4444444444445,693.1111111111111,720.5555555555555,729.3333333333334,714.1111111111111,697.4444444444445,729,740.8888888888889,760.1111111111111,764.1111111111111,782,767.5555555555555,773.4444444444445,758.3333333333334,770.4444444444445,773.6666666666667,770.5555555555555,740.2222222222223,731.6666666666667,720.4444444444445,740,717.4444444444445,740.7777777777778,750.6666666666667,726.3333333333334,708.1111111111111,733.6666666666667,725.5555555555555,705.4444444444445,697.2222222222223,701.4444444444445,674.8888888888889,684.6666666666667,688.2222222222223,710.8888888888889,672.6666666666667,666,684.1111111111111,700.3333333333334,721.1111111111111,715.8888888888889,698.7777777777778,723.7777777777778,731.6666666666667,766.5555555555555,787.7777777777778,785.6666666666667,772.1111111111111,754.2222222222223,852.5555555555557,921,954.4444444444446,1000.1111111111111,1066.888888888889,1142.3333333333335,1194.111111111111,1077.1033499999999,1017.5369999999999,880.1741666666667,1269.2307692307693,1147.4376938419348,1024.7094488749644,901.232696778479,772.9862007168458,737.9266534062656,1175.092830619823,1175.092830619823,1175.092830619823,1213.7163732979077,1213.7163732979077,1213.7163732979077,1213.7163732979077
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.64665,0.6533142857142856,0.6622,4.876967412990468,4.46083271004737,4.455258473369411,4.629010295582863,4.969743130227,5.815266036797612,1.570979720079977,1.570979720079977,1.570979720079977,3.8193291265360343,3.8193291265360343,3.8193291265360343,3.8193291265360343
Created Tmp Disk Tables,9,9.222222222222223,8.88888888888889,8.777777777777779,9.11111111111111,9,9,8.777777777777779,8.777777777777779,8.777777777777779,8.88888888888889,9.11111111111111,9.222222222222223,9,9,9,9.11111111111111,9.11111111111111,9.222222222222223,8.88888888888889,8.88888888888889,8.88888888888889,9,9.11111111111111,9,9.11111111111111,8.88888888888889,9,9.11111111111111,9.11111111111111,9.11111111111111,9,8.88888888888889,9.222222222222223,9,9,9,9,8.777777777777779,8.777777777777779,9,9.11111111111111,9,9,9.11111111111111,9,9,9.222222222222223,9.222222222222223,9,9,8.88888888888889,9,9.11111111111111,8.88888888888889,9.11111111111111,9,8.88888888888889,9,8.777777777777779,9,8.88888888888889,8.88888888888889,9,9,9,9.11111111111111,9,9.11111111111111,9.11111111111111,9.11111111111111,7.8675749999999995,6.968685714285714,5.9597999999999995,8.978053646641543,8.029498878085267,7.196955995442894,6.528091442488654,5.73431899641577,5.509199403281949,8.997429305912597,8.997429305912597,8.997429305912597,8.967120557954168,8.967120557954168,8.967120557954168,8.967120557954168
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,0.22222222222222224,0.33333333333333337,0.5555555555555556,0.6666666666666667,1.777777777777778,2.4444444444444446,3.2222222222222223,4.444444444444445,7.111111111111112,7.666666666666667,8.666666666666668,9.666666666666668,11.444444444444445,11.88888888888889,13.666666666666668,12.88888888888889,14.222222222222223,14.666666666666668,15.11111111111111,15.11111111111111,14.777777777777777,13.666666666666668,16.11111111111111,16.11111111111111,17.22222222222222,16.11111111111111,14.222222222222223,14.333333333333334,14.555555555555557,13.666666666666668,14.222222222222223,12.444444444444446,11.222222222222223,11.777777777777779,12.777777777777779,13.444444444444446,12.222222222222223,12.444444444444446,12.555555555555555,12.444444444444446,12.777777777777779,12.333333333333334,11.555555555555555,10,9.777777777777779,11.11111111111111,10.333333333333334,10.88888888888889,9.666666666666668,7.111111111111112,7.666666666666667,11.333333333333334,10.666666666666668,9.333333333333334,9,8.444444444444445,10,10.222222222222223,10.777777777777779,11.333333333333334,7.555555555555555,10.777777777777779,12.88888888888889,14.333333333333334,16.88888888888889,15.555555555555557,18.666666666666668,22.22222222222222,19.722825,19.163885714285712,16.003166666666665,20.72711150520949,18.4009349289454,15.993235545428655,15.667419461972766,12.99778972520908,9.947165589259075,27.849185946872325,27.849185946872325,27.849185946872325,31.218864164729325,31.218864164729325,31.218864164729325,31.218864164729325
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.333333333333336,29.555555555555554,28.444444444444446,27.888888888888893,29.555555555555554,28.555555555555554,28.888888888888893,27.666666666666668,28.77777777777778,28.666666666666668,29,29.555555555555554,30.22222222222222,29,28.666666666666668,29.888888888888893,29.888888888888893,28.555555555555554,29.444444444444446,28.111111111111114,27.888888888888893,29.111111111111114,29.111111111111114,30.111111111111114,28.555555555555554,29.111111111111114,28.888888888888893,29,29.22222222222222,29.555555555555554,29.111111111111114,28.111111111111114,28.111111111111114,29.555555555555554,28.555555555555554,29.333333333333336,29.444444444444446,29.666666666666668,28.22222222222222,27.333333333333336,29.111111111111114,30.111111111111114,29.888888888888893,29.77777777777778,29.111111111111114,29.444444444444446,28.77777777777778,30.333333333333336,30.111111111111114,29.333333333333336,28.333333333333336,27.888888888888893,28.22222222222222,29.555555555555554,28.333333333333336,28.77777777777778,29.22222222222222,28.666666666666668,29.111111111111114,28.333333333333336,28.444444444444446,28.333333333333336,29.111111111111114,29.333333333333336,29.555555555555554,29.22222222222222,29,28.22222222222222,29.555555555555554,30.111111111111114,29.888888888888893,25.111575,21.886028571428568,19.424533333333333,28.485923298603417,26.43043380703067,23.98985331814298,21.127277759326912,18.349820788530465,17.904898060666333,29.27734932876321,29.27734932876321,29.27734932876321,28.894055131185656,28.894055131185656,28.894055131185656,28.894055131185656
Sort Rows,46,51.111111111111114,46,40.88888888888889,51.111111111111114,51.111111111111114,46,40.88888888888889,40.88888888888889,40.88888888888889,40.88888888888889,46,51.111111111111114,46,46,46,46,46,51.111111111111114,46,40.88888888888889,40.88888888888889,46,46,46,51.111111111111114,46,46,51.111111111111114,51.111111111111114,51.111111111111114,46,40.88888888888889,51.111111111111114,46,46,46,40.88888888888889,40.88888888888889,40.88888888888889,46,51.111111111111114,46,46,46,46,51.111111111111114,51.111111111111114,51.111111111111114,46,46,40.88888888888889,46,51.111111111111114,40.88888888888889,46,46,46,46,40.88888888888889,46,40.88888888888889,46,46,46,46,46,46,46,51.111111111111114,51.111111111111114,39.661199999999994,40.069942857142856,30.461199999999998,45.88782974950122,41.03966093243581,36.784441754485904,38.219008081479025,29.30874153723616,28.158130283441075,45.986860896886604,45.986860896886604,45.986860896886604,45.83194951843241,45.83194951843241,45.83194951843241,45.83194951843241
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7758811793393926,0.7806457242582898,0.7996617772714327,0.8308480017712832,0.8920051772202309,1.0712332173048233,0.4284490145672665,0.4284490145672665,0.4284490145672665,0.16605778811026237,0.16605778811026237,0.16605778811026237,0.16605778811026237
table_open_cache_hits,276.55555555555554,278.44444444444446,342,522.3333333333334,651.1111111111111,777.5555555555555,946.1111111111111,1079.888888888889,1182,1316.7777777777778,1489,1577.2222222222222,1497.7777777777778,1516.5555555555557,1527.3333333333335,1532.888888888889,1549.4444444444446,1606.3333333333335,1622.111111111111,1593.6666666666667,1560.6666666666667,1624.3333333333335,1648.7777777777778,1686.6666666666667,1696,1732.6666666666667,1703.3333333333335,1715.5555555555554,1684.4444444444446,1710,1714.3333333333335,1708,1647.3333333333335,1628.3333333333335,1606.4444444444446,1644.7777777777778,1599,1645.7777777777778,1662.8888888888891,1614.8888888888891,1578.4444444444446,1628.111111111111,1612.6666666666667,1572.6666666666667,1557.6666666666667,1565.5555555555557,1513.3333333333335,1533.111111111111,1540.7777777777778,1585,1512.2222222222222,1498.6666666666667,1534.2222222222222,1564.111111111111,1606,1594.4444444444446,1559.6666666666667,1610.2222222222222,1625.6666666666667,1694.8888888888891,1736.8888888888891,1732.8888888888891,1705.5555555555554,1667.6666666666667,1861.6666666666667,1996.2222222222222,2060.4444444444443,2150.666666666667,2279.3333333333335,2428.222222222222,2528.222222222222,2273.2980749999997,2140.2576,1851.1801,2675.349146530703,2416.321558214909,2157.7159498718315,1899.0811469057899,1631.8597570688967,1559.2564644455492,2480.0057126535276,2480.0057126535276,2480.0057126535276,2560.9432082364665,2560.9432082364665,2560.9432082364665,2560.9432082364665
