Avg Threads Running,2,2,2.2,2.7,3.0999999999999996,4,4.3,4.7,5,5.4,6.3,7.2,7.555555555555555,7.625,9.25,9,9.666666666666668,10.4,11.75,13.666666666666666,15,19,19,19,23,23,23,23,23,26.5,26.5,26.5,26.5,26.5,30,30,30,30,30,90,85,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,76.33333333333334,69.5,39.5,20,20,20,20,20,20.5,20.5,18.333333333333336,17,16,16,17.25,17.25,19.2,19.2,18.75,18.75,20.333333333333332,24,24,24,27,27,26,26,19,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,17.333333333333336,19.75,17.666666666666668,17.666666666666668,20.5,27,27,27,27,27,27,21,23
Peak Threads Connected,2,2,4,7,7,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,23,23,23,23,23,30,30,30,30,30,30,30,30,30,30,90,90,90,90,90,90,90,90,90,90,80,59,20,20,20,20,20,21,21,21,21,21,21,21,21,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,21,25
Peak Threads Running,1,1,1,1,2,2,2,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,50,71,71,71,71,71,71,71,71,71,71,44,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Questions,36.77777777777778,37.111111111111114,39.22222222222222,201.22222222222223,329.77777777777777,452.33333333333337,597.6666666666667,737.7777777777778,881.6666666666667,986.2222222222223,1091.5555555555557,1254,1055.11725,934.7838571428571,1212.4237382140875,1051.6465034310668,924.5295652173912,796.2004821280133,710.6659322033898,638.0163698630138,534.6951741293532,1153.7382240930046,1153.7382240930046,1153.7382240930046,1153.7382240930046,1153.7382240930046,204.19323621227892,342.4322921978582,302.55,302.55,302.55,302.55,302.55,302.55,268.6847654258031,189.93619999999999,1157.9822616407982,1124.1873645607602,1124.1873645607602,1107.3036518259128,1115.3674832962138,490.8,490.8,861.8647191198534,1096.6827804634106,1104.3021510755375,1104.3021510755375,911.4772462077013,799.458576429405,708.2709571286142,578.8688282423635,466.14974962443665,353.4306710065097,416.3044265593561,475.0633243606999,461.1,461.1,461.1,461.1,503.19683714670253,1129.8210514615982,1143.1017263518333,1143.1017263518333,1176.9294605809127,257.2931654676259
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.21555,0.21777142857142856,0.9983361064891845,0.9886993137866501,1.0056521739130435,1.0307543640897756,1.0718943170488533,1.1523474470734745,1.07832504145937,4.6101423130887955,4.6101423130887955,4.6101423130887955,4.6101423130887955,4.6101423130887955,0.7240894901144642,0.5093192248852626,0.45,0.45,0.45,0.45,0.45,0.45,0.39963029066802647,0,4.878048780487805,1.8336389398233037,1.8336389398233037,1.5007503751875937,1.3363028953229399,0.15,0.15,1.572028671445241,2.0003333888981496,2.6263131565782887,2.6263131565782887,2.7127298994276825,2.3793410012779908,2.548654037886341,2.3144466700050073,1.863770655983976,1.4130946419629442,0,0,0,0,0,0,0,1.889518728465044,2.4254529890141248,2.4254529890141248,2.821576763485477,0.4804727646454265
Created Tmp Disk Tables,8.88888888888889,8.88888888888889,9,8.88888888888889,8.88888888888889,9.11111111111111,8.777777777777779,8.88888888888889,9.222222222222223,9.11111111111111,9.11111111111111,9,7.8675749999999995,6.8598,8.985024958402661,8.019449989602828,7.151304347826087,6.069997921862012,5.240372216683284,4.609389788293898,4.159253731343283,9.220284626177591,9.220284626177591,9.220284626177591,9.220284626177591,9.220284626177591,1.9309053069719044,2.716369199388067,2.4,2.4,2.4,2.4,2.4,2.4,2.1313615502294745,1.2975999999999999,9.201773835920177,9.001500250041675,9.001500250041675,8.754377188594296,8.797327394209354,3.75,3.75,6.812124242929377,8.668111351891982,8.879439719859928,8.879439719859928,7.4600072234261265,6.543187753514475,5.861904287138584,4.886054081121683,3.934626940410616,2.983199799699549,3.8672032193158956,4.172644683714671,4.05,4.05,4.05,4.05,4.419751009421265,9.003001000333445,8.703096019403622,8.703096019403622,8.962655601659751,2.642600205549846
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,1.2222222222222223,2.555555555555556,2.555555555555556,7,9.444444444444445,11,13,13.88888888888889,16.666666666666668,14.980725000000001,13.828485714285714,22.739877981142538,18.126154086088583,15.978695652173915,14.774145885286785,13.220029910269194,13.187976338729763,12.015621890547262,10.823812387251955,10.823812387251955,10.823812387251955,10.823812387251955,10.823812387251955,3.620447450572321,4.244326874043855,3.75,3.75,3.75,3.75,3.75,3.75,3.330252422233554,1.6219999999999999,18.29268292682927,20.67011168528088,20.67011168528088,20.51025512756378,20.824053452115812,9.45,9.45,14.14825804300717,18.00300050008335,19.009504752376184,19.009504752376184,15.191287436795022,13.32430960715675,11.341510468594219,11.315072608913372,9.111767651477216,6.908462694041061,3.480482897384306,3.0908479138627185,3,3,3,3,3.2738896366083443,23.452261865066134,27.53602511057212,27.53602511057212,31.701244813278002,4.324254881808839
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.111111111111114,28.111111111111114,29.111111111111114,28,27.888888888888893,29,27.666666666666668,28.22222222222222,30.111111111111114,29,28.666666666666668,29,25.758225,22.43045714285714,29.284525790349413,26.035748596381787,22.571304347826086,19.24074812967581,17.150309072781653,15.23659402241594,13.093946932006634,29.865704550010026,29.865704550010026,29.865704550010026,29.865704550010026,29.865704550010026,6.758168574401665,7.979334523202448,7.05,7.05,7.05,7.05,7.05,7.05,6.2608745537990815,3.0818,29.711751662971174,29.838306384397402,29.838306384397402,27.888944472236112,28.06236080178174,10.95,10.95,21.48439184308496,27.33788964827471,28.51425712856428,28.51425712856428,24.95711507473468,21.889937211757516,19.752068793619145,16.458287431146722,13.253480220330497,10.048673009514271,13.728571428571431,13.29064602960969,12.9,12.9,12.9,12.9,14.077725437415882,28.898521729465376,26.965330289627623,26.965330289627623,28.87966804979253,9.369218910585817
Sort Rows,87,87,77.33333333333334,77.33333333333334,87,96.66666666666667,77.33333333333334,77.33333333333334,96.66666666666667,87,96.66666666666667,87,75.01140000000001,56.838342857142855,86.85524126455906,86.01684029943854,77.7704347826087,59.783753117206984,51.80822532402791,44.55743462017435,53.608159203980094,104.63018641010224,104.63018641010224,104.63018641010224,104.63018641010224,104.63018641010224,20.99859521331946,14.770257521672615,13.05,13.05,13.05,13.05,13.05,13.05,11.589278429372767,0,96.45232815964523,87.01450241706951,87.01450241706951,76.16308154077038,77.50556792873051,26.1,26.1,56.986039339889984,72.51208534755793,76.16308154077038,76.16308154077038,70.80225037506251,62.10080013335556,55.43322532402792,44.74596895343014,36.03289934902354,27.319829744616925,50.467002012072435,40.33556527590848,39.15,39.15,39.15,39.15,42.7242597577389,87.02900966988997,74.47567413325723,74.47567413325723,86.6390041493776,41.8011305241521
