Avg Threads Running,2,2,3,4.3,5,5.3,5.666666666666668,6.125000000000001,6.714285714285714,7.5,8.6,10.25,9.666666666666668,7,5,20,20,20,20,20,20,20.5,20.5,20.5,20.5,23.5,23.5,23.5,23.5,23.5,23.5,30.5,30.5,30.5,30.5,35,35,35,35,35,35,10,9.5,10.333333333333334,16,16,16,20.2,26,31.857142857142858,31.857142857142858,35.5,40.8,48,67.25,67.25,67.25,77.33333333333333,88.5,110,110,110,110,110,48,48,48,48,40.5,40.5,40.5,40.5,40.5,40.5,33,33,33,33,50,50,50,50,50,50,50,50,50,50
Peak Threads Connected,2,2,12,15,15,15,15,15,15,15,15,15,15,9,5,20,20,20,20,20,20,21,21,21,21,26,26,26,26,26,26,35,35,35,35,35,35,35,35,35,35,10,10,12,33,33,33,37,55,67,67,67,67,67,110,110,110,110,110,110,110,110,110,110,48,48,48,48,48,48,48,48,48,48,33,33,33,33,50,50,50,50,50,50,50,50,50,50
Peak Threads Running,1,1,4,4,4,4,4,4,4,4,4,4,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,1,3,3,12,12,12,14,38,59,59,59,59,59,91,91,91,91,91,91,91,91,91,91,29,29,29,29,29,29,29,29,29,29,11,11,11,11,26,26,26,26,26,26,26,26,26,26
Questions,38.333333333333336,36.77777777777778,121,257.6666666666667,409,572,550.9458,552.595,556.6894666666666,561.86268,573.5902,504.66533333333336,381.501,245.08419999999995,1198.965977318212,1198.965977318212,1198.965977318212,1198.965977318212,790.2179564237415,1153.518657650889,1153.518657650889,1153.518657650889,823.0932381667919,707.7413724017031,1169.4152923538231,1169.4152923538231,1169.4152923538231,1169.4152923538231,227.93861439312568,374.1787286380114,439.1338280450358,399.33333333333337,399.33333333333337,869.6548839946199,957.9122622998126,1112.5961417223555,977.1839196402303,881.7628857142857,759.2414666666666,694.27276,1116.6809483004856,1116.6809483004856,927.7385318480434,871.277608406712,1164.3753735803944,775.7178356713426,1132.7655310621244,1132.7655310621244,1132.7655310621244,808.3414829659317,695.0649298597193
Threads Created,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.323325,0.3266571428571428,0.3311,0.33732,0.34665,0.36219999999999997,0,0,4.836557705136757,4.836557705136757,4.836557705136757,4.836557705136757,0.6862509391435011,1.0017530678687705,1.0017530678687705,1.0017530678687705,0.714800901577761,0.6146255947908841,2.165583874729302,2.165583874729302,2.165583874729302,2.165583874729302,0,0,2.345957011258956,2.1333333333333337,2.1333333333333337,3.6822881640887686,5.15204443803203,6.934812760055479,6.090788257050393,6.145857142857143,6.299333333333333,4.645159999999999,12.139388746072552,12.139388746072552,10.085404170237075,9.145937863432462,11.755329746961547,1.715430861723447,2.50501002004008,2.50501002004008,2.50501002004008,1.7875751503006012,1.537074148296593
Created Tmp Disk Tables,8.88888888888889,8.88888888888889,9,9.11111111111111,9.222222222222223,9,7.8675749999999995,7.077571428571427,6.180533333333333,5.17224,4.27535,3.3805333333333336,2.3598,1.4598,8.839226150767178,8.839226150767178,8.839226150767178,8.839226150767178,6.519383921863261,9.51665414475332,9.51665414475332,9.51665414475332,6.79060856498873,5.8389431505133995,8.662335498917209,8.662335498917209,8.662335498917209,8.662335498917209,2.1987647690655208,3.068436043500777,3.812180143295804,3.4666666666666672,3.4666666666666672,6.983649966375252,7.728066657048046,9.078300340436263,7.973395536502333,7.0398,6.1848,5.478906666666665,8.711796629534419,8.711796629534419,7.2377606398171945,6.732426482804452,8.766686590954373,6.004008016032064,8.76753507014028,8.76753507014028,8.76753507014028,6.256513026052104,5.379759519038076
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.6666666666666667,3,5.444444444444445,7.333333333333334,7.11315,7.186457142857142,7.2842,7.4210400000000005,7.6263000000000005,7.244,5.1129,2.7573999999999996,26.184122748499,26.184122748499,26.184122748499,26.184122748499,15.2690833959429,22.28900576008014,22.28900576008014,22.28900576008014,15.904320060105183,13.675419484097171,16.325170747959355,16.325170747959355,16.325170747959355,16.325170747959355,4.886143931256713,7.500621439668566,8.357471852610031,7.600000000000001,7.600000000000001,17.649588096839274,18.522826431972298,20.42617576598159,17.94013995713025,15.867485714285715,13.514933333333335,12.506199999999998,16.281062553556126,16.281062553556126,13.52630676949443,12.956745306529323,18.13110181311018,9.949498997995992,14.529058116232466,14.529058116232466,14.529058116232466,10.367935871743486,8.915030060120241
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.22222222222222,28.444444444444446,29.77777777777778,30.666666666666668,30,29.333333333333336,25.542675,22.648228571428568,20.5282,16.75356,14.21265,10.866,6.8172,4.5416,28.685790527018007,28.685790527018007,28.685790527018007,28.685790527018007,21.44534184823441,31.304783370899077,31.304783370899077,31.304783370899077,22.33752817430503,19.20704983721513,27.31967349658504,27.31967349658504,27.31967349658504,27.31967349658504,8.306444683136412,9.546245468669085,12.756141248720573,11.600000000000001,11.600000000000001,23.87138533960995,26.128225364305298,29.504476106417854,25.913535493632583,22.34857142857143,20.38693333333333,17.50868,26.849471579548702,26.849471579548702,22.30654098828906,20.705387107492935,28.292488543534567,18.35511022044088,26.803607214428858,26.803607214428858,26.803607214428858,19.12705410821643,16.446693386773546
Sort Rows,80,90,100,100,100,90,87.29775,78.39771428571427,69.53099999999999,60.717600000000004,41.598,32.598,23.598,14.597999999999999,75.05003335557038,75.05003335557038,75.05003335557038,75.05003335557038,77.20323065364387,112.69722013523668,112.69722013523668,112.69722013523668,80.41510142749812,69.14537941397447,74.96251874062969,74.96251874062969,74.96251874062969,74.96251874062969,21.98764769065521,30.684360435007772,39.58802456499488,36.00000000000001,36.00000000000001,80.12151143241425,88.56609724426491,91.03517841381918,79.95543857437062,70.62148571428571,62.07706666666667,53.83621333333333,77.97772065124249,77.97772065124249,64.78389031705227,57.79724622030237,90.6555090655509,62.44168336673347,91.18236472945893,91.18236472945893,91.18236472945893,65.06773547094187,55.94949899799599
