Avg Threads Running,1,1,1.6,3.8,4.5,4.9,5.5,6,8.11111111111111,9,10.142857142857142,12.142857142857142,13,11.833333333333334,12,12,13,13,11.25,11.25,11.25,10,10,7,5,77,84.5,100.66666666666667,119.5,139,158,171.57142857142858,181.75,189.66666666666666,196,213.59999999999997,229.7,241.70000000000002,249.4,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,243.5,242.14285714285714,240.33333333333334,237.8,234,227.66666666666669,215,177,177,177
Peak Threads Connected,1,1,7,23,23,23,23,23,23,23,23,23,23,20,20,20,20,20,16,16,16,16,16,9,5,77,92,133,176,217,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,177,177,177
Peak Threads Running,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,58,83,128,172,213,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,149,149,149
Questions,38.55555555555556,37.88888888888889,93.22222222222223,194.11111111111111,369,498.33333333333337,664.8888888888889,639.429075,898.5137533274179,876.9250427715997,885.3108323831242,1211.7986249722776,1114.100548765278,1165.927240461402,1128.2222222222222,1089.888888888889,1088.0584192439862,869.902706185567,555.4666666666667,605.3010380043529,500.68024443328306,305.4,268.6616935483871,193.18019999999999,146.6059411146162,165.92250128139418,196.4946910651757,237.1111111111111,260.96013532619673,256.6367207192069,255.83754855416487,253.82126462080245,246.22947156742262,182.33333333333334,144.77777777777777,111.88888888888889,71.11111111111111,43.44444444444444,48.77777777777778,47.22222222222222,52.333333333333336,51.22222222222223,50.88888888888889,51.777777777777786,48.88888888888889,47.44444444444444,48.111111111111114,41.88888888888889,42.55555555555556,40.88888888888889,42,42.333333333333336,42.22222222222222,40.55555555555556,41.111111111111114,41,41.88888888888889,41,39.88888888888889,34.380225,30.161342857142852,460.1152226900067,453.03539330509176,455.9962795331626,462.9082724858944,476.37617721183176,507.6401515151515,603.1882352941177
Threads Created,0,0,0,1.8888888888888888,1.8888888888888888,1.8888888888888888,1.8888888888888888,1.832175,2.994676131322094,2.9339499572284002,2.971949828962372,2.994011976047904,1.115215764529808,1.4418811002661935,1.5555555555555558,1.5555555555555558,0.572737686139748,0.4579037800687285,0.5333333333333334,0.5811819856018751,0.4807299514481834,0.15,0.13195564516129032,0,1.9385909568874868,8.33012557662737,13.470574946345872,17.918055555555554,21.587010704908103,20.80172940122109,20.241828513882894,19.82245550874104,18.880572003128144,17.88888888888889,13.333333333333334,8.555555555555555,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9.222222222222223,9,8.88888888888889,8.88888888888889,9.11111111111111,9.11111111111111,9.222222222222223,7.7598,8.762200532386867,7.6065369261477045,6.9345496009122005,9.203814593036148,8.252596657520579,8.873114463176575,8.88888888888889,8.88888888888889,9.163802978235967,7.326460481099656,4.666666666666667,5.085342374016407,4.206387075171605,2.7,2.375201612903226,1.6219999999999999,2.4232386961093586,3.2300486929779604,4.099740201061787,5.1194444444444445,5.748020601898607,6.769793592113371,7.665544525967486,8.562362438686957,9.272706960116187,9,9,8.88888888888889,8.88888888888889,9,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9,9.11111111111111,9,9,9,8.777777777777779,9.11111111111111,9,9,8.88888888888889,8.88888888888889,9,8.88888888888889,9.11111111111111,9,9,9,7.8675749999999995,7.077571428571427,9.08486594283182,8.129151092283411,7.2628664958724745,6.298850813143046,5.597420082239023,4.737121212121211,4.1588565763384
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12773379115330236,0.1230871562202431,0.11977413321824197,0.11729263614639669,0.11171936096525528,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,1.3333333333333335,3.3333333333333335,5.222222222222222,7.555555555555555,7.3287,10.314995563442768,10.10582763045338,10.236716077537057,16.6333998669328,15.61302070341731,17.968056787932564,17,14.88888888888889,15.607101947308132,12.477878006872851,6.666666666666667,7.2647748200234386,6.009124393102293,1.5,1.3195564516129032,0.32439999999999997,0.9692954784437434,1.3600205023065095,1.3177736360555745,1.886111111111111,2.0437406584528377,1.9693944995238897,1.9163861314918715,1.876682178342347,1.7875097754440845,1.3333333333333335,0.888888888888889,0.7777777777777779,0.22222222222222224,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,6.647462884998893,6.591203588337902,6.704184457728438,6.8714736143378685,7.145642658177477,7.681818181818182,9.241903502974223
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29,29,28.333333333333336,28.444444444444446,30.444444444444446,29.77777777777778,29.666666666666668,24.5727,27.28482697426797,24.558247790134015,22.344659825161536,29.940119760479035,27.322786230980295,28.061224489795922,28.555555555555554,28.888888888888893,30.068728522336773,24.039948453608247,14.666666666666668,15.982504604051565,13.220073664825046,8.85,7.78538306451613,5.1903999999999995,7.996687697160884,11.05016658124039,13.763413532136,17.244444444444444,18.776867299535446,21.78642665098303,25.871212775140265,28.150232675135204,30.164227460618925,30,28.77777777777778,28.444444444444446,28.22222222222222,29.22222222222222,30.444444444444446,27.555555555555554,29.22222222222222,28.444444444444446,28.111111111111114,29.333333333333336,29,28.666666666666668,28.888888888888893,27.22222222222222,29.333333333333336,28.444444444444446,29.22222222222222,29.333333333333336,29,29,28.888888888888893,29.22222222222222,29.888888888888893,29.111111111111114,29.77777777777778,25.65045,22.539342857142856,29.802791934411704,27.0239347121854,24.35853686307999,21.187043644208426,18.221388778352566,16.387878787878787,14.016886979510906
Sort Rows,85.55555555555556,77,68.44444444444444,68.44444444444444,85.55555555555556,77,85.55555555555556,66.3894,68.32298136645963,58.57033433133732,59.328924363359945,85.38478598358837,77.2844524819157,76.86335403726709,77,68.44444444444444,77.17640320733105,61.70253436426117,30.800000000000004,33.56325966850829,27.76215469613259,11.55,10.160584677419354,12.4894,18.65893796004206,26.18039466940031,45.09714221167966,51.86805555555556,49.17750959402141,56.86626617375232,64.67803193785066,81.63567475789209,86.47078538710758,86.11111111111111,77.55555555555556,69.11111111111111,69.22222222222223,77.88888888888889,86.66666666666667,78,78,69.33333333333334,69.33333333333334,86.66666666666667,78,78,78,69.33333333333334,86.66666666666667,78,78,78,69.33333333333334,78,78,86.66666666666667,78,69.33333333333334,78,75.65805,67.94468571428571,86.41701750498561,77.11708198355345,69.72351836037576,53.59749419183537,55.73601273378431,49.93181818181818,36.043423661599476
