Avg Threads Running,2,2,2.4,2.7,3.6999999999999997,4,4.4,4.6000000000000005,5.4,6.7,7.2,7.5,7.6000000000000005,7.800000000000001,7.7,7.8,7.7,7.699999999999999,7.699999999999999,7.300000000000001,7.333333333333334,8.88888888888889,9.125,9.75,11.125,11.857142857142858,13,14.8,15,14.799999999999999,13.166666666666666,11,10.142857142857142,9.571428571428571,8,8.25,8,7.7,7.5,7.1,7.3,7.2,7.1000000000000005,6.799999999999999,6.5,6.3999999999999995,6.3,6.4,6.2,6.8,6.7,6.7,7.1,7.1,7.1,7.4,7.800000000000001,7.999999999999999,8.5,8.3,8.2,8.4,8,8.333333333333336,8.374999999999998,7.857142857142858,7.666666666666667,7.6,6.5,5.333333333333333,5.5,4,37,37,37,37,37,37,37,37,37,37
Peak Threads Connected,2,2,6,6,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,11,11,19,19,19,22,22,22,22,22,22,22,22,22,22,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,7,7,4,37,37,37,37,37,37,37,37,37,37
Peak Threads Running,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,7,7,7,7,7,7,7,7,7,7,6,6,6,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,22,22,22,22,22,22,22,22,22,22
Questions,37.22222222222222,36.55555555555556,153.77777777777777,280.11111111111114,394.22222222222223,494.7777777777778,631.2222222222223,773.2222222222223,902.5555555555557,1022.3333333333334,1160.7777777777778,1223,1203.5555555555557,1229.5555555555557,1227.2222222222222,1220.888888888889,1177.2222222222222,1191.7777777777778,1180.7777777777778,1179.7777777777778,967.8195,1156.1668145519077,993.0877281151982,1167.8686341950518,1152.7777777777778,1039.809125,908.3576857142858,815.0192,1162.2670807453417,1131.3877755511023,1120.6589492430987,1105.6717165393763,1118.1706909981083,1130.6666666666667,778.8726827094475,904.4426648666338,999.882364729459,1090.9394479073908,1078.2222222222222,1064.888888888889,1080.4444444444446,1109.6666666666667,1062.7777777777778,1091.7777777777778,1067.2222222222222,1076.3333333333335,1046.4444444444446,1064.2222222222222,1073.888888888889,1085.888888888889,1080.6666666666667,1139.888888888889,1162.7777777777778,1183.888888888889,1196,1242.4444444444446,1273.4444444444446,1298.111111111111,1281.5555555555557,1242,1221.6666666666667,1197.6666666666667,1173.3333333333335,1012.6539,868.2546857142855,731.6206333333332,607.7382,489.12315,380.9136666666667,265.73969999999997,157.82059999999998
Threads Created,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.5555555555555556,0.7777777777777779,0.888888888888889,0.888888888888889,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.11111111111111112,0,1.663708961845608,1.6299721984602222,1.664262731609897,2.111111111111111,2.087308333333333,2.1231142857142857,2.1761333333333335,2.77284826974268,1.25250501002004,1.1130899376669634,1.2520345561537498,1.1127183709803048,0.6666666666666667,0,0.1197144493536246,0.11724699398797596,0.11130899376669634,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9,9,9.11111111111111,8.777777777777779,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,8.777777777777779,9,8.88888888888889,8.777777777777779,9,9,9,9.11111111111111,9,9.222222222222223,9.11111111111111,9.11111111111111,7.975350000000001,9.094942324755989,7.715201739378385,8.987018750693442,9,7.9098,7.0398,6.299333333333333,8.873114463176575,9.143286573146293,8.904719501335707,8.889445348691623,8.901746967842438,8.777777777777779,6.6423128342246,7.6617247586319746,8.559030561122245,9.127337488869099,8.88888888888889,9.222222222222223,9.11111111111111,9.11111111111111,9,8.88888888888889,9,8.88888888888889,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,9,9.11111111111111,9.222222222222223,9,8.88888888888889,9,9,9,8.88888888888889,8.88888888888889,9.11111111111111,9,9,7.975350000000001,6.968685714285714,5.9597999999999995,5.17224,4.3909,3.3805333333333336,2.3598,1.4598
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,2.4444444444444446,4.777777777777778,5.111111111111112,5.333333333333334,6.444444444444445,8.777777777777779,9,10.11111111111111,12.555555555555555,14.555555555555557,13.444444444444446,17.77777777777778,17.77777777777778,17.77777777777778,17,18.77777777777778,17.77777777777778,16,11.2086,16.748003549245787,11.844464642144283,17.41928325751692,16.444444444444446,14.721016666666666,12.962171428571429,13.171333333333333,19.188110026619345,16.032064128256515,16.585040071237753,12.895955928383623,15.021698008234114,17.333333333333336,13.2846256684492,17.358595156275566,17.11806112224449,17.364203027604628,16.333333333333336,16.22222222222222,16.444444444444446,15.88888888888889,13.666666666666668,13.333333333333334,11.222222222222223,16.666666666666668,18.11111111111111,18.666666666666668,16.444444444444446,18.88888888888889,17.666666666666668,21.22222222222222,23.555555555555557,25.22222222222222,21.11111111111111,20.11111111111111,22.11111111111111,24.666666666666668,25.666666666666668,25.77777777777778,22.333333333333336,19.88888888888889,17.77777777777778,15.842925,14.481799999999998,11.698866666666666,9.33252,5.3153,3.501266666666667,3.4086,2.2708
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.555555555555554,27.888888888888893,29.111111111111114,28,30.444444444444446,29.111111111111114,27.77777777777778,30.333333333333336,28.888888888888893,28.77777777777778,28.444444444444446,28.555555555555554,28.888888888888893,29,29.77777777777778,30,29.333333333333336,29.666666666666668,29.22222222222222,29.555555555555554,25.111575,29.61401952085182,24.340918163672654,28.847220681238213,29,24.608266666666665,22.57205714285714,21.074133333333332,28.393966282165042,30.561122244488978,29.49688334817453,28.295980969074748,28.151774785801713,27.77777777777778,21.526013814616757,25.49917771232204,28.139278557114228,30.276046304541403,27.77777777777778,29.111111111111114,29.444444444444446,30.111111111111114,29.333333333333336,28.444444444444446,28.77777777777778,28.555555555555554,27.888888888888893,29.77777777777778,28.111111111111114,28.555555555555554,29.111111111111114,28.666666666666668,30.444444444444446,29.111111111111114,28.444444444444446,28.555555555555554,29.22222222222222,29.444444444444446,29.22222222222222,28.888888888888893,30.666666666666668,28.333333333333336,29.111111111111114,26.189325000000004,23.519314285714284,18.983066666666666,17.090880000000002,14.328199999999999,10.745266666666668,7.3416,5.8392
Sort Rows,75,75,83.33333333333334,66.66666666666667,83.33333333333334,83.33333333333334,66.66666666666667,75,66.66666666666667,75,66.66666666666667,66.66666666666667,75,75,75,83.33333333333334,75,83.33333333333334,75,83.33333333333334,72.748125,74.86690328305235,57.04902694610778,74.89182292244536,75,65.91499999999999,58.665,60.129999999999995,74.86690328305235,84.5440881763527,75.13357079252003,65.73181419807187,75.10849004117057,66.66666666666667,55.352606951871664,62.85008591065292,70.34819639278558,75.13357079252003,75,83.33333333333334,83.33333333333334,75,75,66.66666666666667,75,75,75,75,66.66666666666667,75,75,75,83.33333333333334,75,66.66666666666667,66.66666666666667,75,75,66.66666666666667,75,83.33333333333334,75,75,72.748125,65.33142857142857,49.665,50.598,43.33125,27.165000000000003,19.665,12.165
