Avg Threads Running,1,1,1.8,2.5,3.0999999999999996,3.6000000000000005,4.6,5.3,5.777777777777778,8.333333333333332,9.25,13.374999999999998,14,15,16.6,20.4,22.75,27.666666666666668,27.666666666666668,29.5,29.5,25,25,25,25,21,21,21,21,21,21,21,21,21,21,78,78,78,78,78,78,78,78,78,78,48,63.5,82.33333333333333,102.25,122.4,143.33333333333334,158.42857142857144,169.75,178.55555555555554,185.6,205.7,222.7,235.59999999999997,243.9,248,248.1,246.5,246.3,246.3,246.3,246.29999999999998,237.9,236.66666666666666,235.625,234.42857142857142,232,231.8,228,221,207,165,33,33,33,33,33,33,33,33,33,33
Peak Threads Connected,1,1,9,9,9,9,11,11,11,24,24,34,34,34,34,34,34,34,34,34,34,25,25,25,25,21,21,21,21,21,21,21,21,21,21,78,78,78,78,78,78,78,78,78,78,48,79,120,162,203,248,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,165,33,33,33,33,33,33,33,33,33,33
Peak Threads Running,1,1,2,2,2,2,2,2,2,7,7,13,13,13,13,13,13,13,13,13,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,50,50,50,50,50,50,50,50,24,71,112,156,197,243,245,247,247,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,128,14,14,14,14,14,14,14,14,14,14
Questions,36.77777777777778,37.77777777777778,80.44444444444444,230.55555555555557,415.2222222222223,524,650.6666666666667,785.1111111111111,756.257175,1067.4356699201421,1041.1175755631593,1264.1446638562236,1099.984816155062,930.6772825777018,836.7459511140672,1221.3842058562554,1217.440119760479,1188.3333333333335,907.649,869.6308095952024,747.816716641679,152.91266666666667,191.14602531645568,235.64098599439777,283.84619811320755,329.4601105527638,327.6232817294282,325.30823246287764,323.51869670846395,311.4206128133705,244.11111111111114,198.33333333333334,177.66666666666669,172.33333333333334,176.55555555555557,224.77777777777777,265.11111111111114,312.22222222222223,317.22222222222223,319.3566278424847,315.33333333333337,479.44444444444446,416.65815000000003,365.4204571428571,313.4413333333333,272.44212000000005,226.13134999999997,226.49573333333333,239.13789672544075,287.905
Threads Created,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.323325,1.885536823425022,1.8473018249215856,3.9937874417572665,3.625237085101073,3.687399486740804,3.779443797805122,4.547471162377994,5.114770459081837,4.5,3.4370999999999996,1.4270864567716142,1.2271864067966016,5.521179487179488,10.845164556962025,15.49500280112045,19.784443396226415,24.50846231155779,23.74438354253835,23.108019457245263,22.631065047021945,21.504178272980504,18.88888888888889,14.333333333333334,10.444444444444445,7.888888888888888,5.555555555555555,8.222222222222223,10,13.333333333333334,13.555555555555557,13.533000554631169,13.555555555555557,12.777777777777779,10.454175,7.948657142857142,5.2976,3.5980800000000004,0.2311,0,0,0
Created Tmp Disk Tables,8.777777777777779,9.11111111111111,8.777777777777779,8.777777777777779,9.222222222222223,9,9,9,7.7598,9.094942324755989,7.823866552609067,8.98602174395385,7.909608185675069,6.816102081551184,6.070015796474893,9.205856255545697,9.10678642714571,9.166666666666668,7.0015,6.778660669665167,5.8291354322838576,1.6803589743589746,2.7112911392405064,3.9468403361344544,4.845169811320755,5.488874371859297,6.397450488145049,7.423301587301587,8.442677115987461,9.025069637883009,9.11111111111111,9.11111111111111,9,8.88888888888889,9.222222222222223,9,9.11111111111111,8.777777777777779,9,9.095951192457015,9.11111111111111,8.88888888888889,7.7598,6.750914285714285,6.070166666666666,4.947360000000001,4.27535,3.139066666666667,2.2423299748110828,1.2975999999999999
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.6666666666666667,2.555555555555556,4.888888888888889,6.444444444444445,7.666666666666667,7.436475,11.202307009760426,10.97514613629883,15.198579986687374,14.391092671158805,12.738289136013687,10.651159793814434,21.40638864241349,22.704590818363275,25,19.095,20.335982008995504,17.48740629685157,0.48010256410256413,0.5083670886075949,0.5847170868347339,0.9421163522012579,0.893537688442211,0.8611952580195258,0.8381146953405019,0.8208158307210031,0.7799442896935933,0.5555555555555556,0.4444444444444445,0.33333333333333337,0.33333333333333337,0.5555555555555556,0.7777777777777779,1,1.5555555555555558,1.5555555555555558,1.552967276760954,1.5555555555555558,6.444444444444445,5.927625,5.770942857142857,5.628699999999999,5.5095600000000005,5.0842,5.312266666666667,5.803677581863979,7.136799999999999
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.111111111111114,29.111111111111114,27.22222222222222,28.333333333333336,30.444444444444446,28.444444444444446,29,28.888888888888893,23.7105,30.723158828748893,26.514214428286284,29.065897492789,25.156948257216538,21.677439406900486,20.157033588293984,30.50133096716948,30.314371257485032,28.666666666666668,21.895599999999998,22.29822588705647,19.1747876061969,4.080871794871795,7.7949620253164555,12.132879551820729,15.208449685534593,17.10486432160804,20.17657461645746,24.065864823348694,27.20418181818182,28.857938718662957,29.888888888888893,29.888888888888893,29.333333333333336,28.444444444444446,29.22222222222222,29,28.77777777777778,27.888888888888893,29.111111111111114,29.506378258458124,29.666666666666668,29.333333333333336,26.08155,23.301542857142856,20.5282,16.97844,14.7904,10.866,7.7822040302266995,4.703799999999999
Sort Rows,44.44444444444444,50,44.44444444444444,44.44444444444444,55.55555555555556,50,50,50,37.72125,55.45696539485359,48.89916595380667,49.92234302196583,43.942267698194826,33.52181351582549,34.358579980046564,55.45696539485359,56.13772455089821,50,38.19,44.59645177411294,38.3495752123938,0,8.642240506329113,22.365428571428573,27.455962264150948,26.040241206030153,31.372112970711292,42.74384946236559,47.84183699059561,51.14206128133705,56.66666666666667,56.66666666666667,51,45.333333333333336,56.66666666666667,51,51,45.333333333333336,51,50.91514143094842,51,51.111111111111114,49.576499999999996,38.98108571428571,39.511266666666664,28.784640000000003,29.5808,18.592933333333335,13.58588161209068,8.4344
