Avg Threads Running,1,1,1.7000000000000002,2.1,2.7,3.7,4.5,5.4,5.6000000000000005,6.1,6.700000000000001,7.2,7.5,7.7,7.777777777777777,7.374999999999999,7.142857142857143,6.666666666666666,7.4,7.75,8,9,7,18,18,18,18,18,18,18,18,18,18,32,32,32,32,32,32,32,32,32,32,340,325,318.6666666666667,315,311,308,305.7142857142857,305.7142857142857,305.7142857142857,305.7142857142857,300,298,296
Peak Threads Connected,1,1,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,18,18,18,18,18,18,18,18,18,18,32,32,32,32,32,32,32,32,32,32,340,340,340,340,340,340,340,340,340,340,310,306,304
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,29,37,50,56,118,126,135,135,135,135,135,135,135
Questions,37.88888888888889,39.44444444444444,102.33333333333334,251.66666666666669,383.6666666666667,506.88888888888886,649.5555555555555,774.7777777777778,930.5555555555557,1063.2222222222222,1201.5555555555557,1238.5555555555557,1216.5555555555557,1194.7777777777778,1034.6399999999999,902.7714571428571,785.3691999999999,639.6711600000001,514.31305,381.51733333333334,290.77979999999997,167.06599999999997,122.70928050052137,134.83611536498213,124.82704179339866,171.5789025006315,176.23315184513007,182.38581137774796,172.9,172.9,164.60380097331768,109.51656,79.49839999999999,75.94126666666668
Threads Created,0,0,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.5555555555555558,1.5555555555555558,1.5555555555555558,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.21555,0.21777142857142856,0.2207333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9.11111111111111,9.11111111111111,8.88888888888889,8.88888888888889,8.88888888888889,9,8.777777777777779,8.88888888888889,9.11111111111111,9,9,9,9.11111111111111,9,7.54425,6.8598,5.849433333333333,4.83492,4.04425,3.0183333333333335,2.2287,1.1354,2.4155370177267987,3.2265569167942827,3.9511490368367688,4.983060747663552,5.746733212341198,6.645636851820775,6.300000000000001,6.300000000000001,5.997709347205907,4.947360000000001,4.04425,3.2598
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.2073111111111112,4.499977777777778,5.817044444444445,6.256066666666667,10.207266666666667,12.182866666666667,13.170666666666667,15.695044444444445,16.57308888888889,16.333333333333336,14.444444444444446,15,14.118525,10.344142857142856,8.498233333333333,7.645920000000001,5.19975,4.467133333333334,3.933,2.7573999999999996,0.24155370177267987,0.16981878509443593,0.29267770643235325,0.2693546350088406,0.2554103649929421,0.24613469821558426,0.23333333333333334,0.23333333333333334,0.2221373832298484,0.11244000000000001,0.11555,0
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29,30.333333333333336,28.77777777777778,28.22222222222222,28,29.444444444444446,29.22222222222222,27.77777777777778,29.333333333333336,29.111111111111114,29.333333333333336,28.888888888888893,29.333333333333336,28.888888888888893,23.06385,21.450485714285712,18.8727,15.7416,12.4794,8.3306,6.948300000000001,3.2439999999999998,7.246611053180397,11.208039816232771,12.58514137659119,17.2386966405658,18.772661826981246,21.16758404654025,20.06666666666667,20.06666666666667,19.103814957766964,15.96648,12.2483,10.383066666666668
Sort Rows,0,0,4.060955555555556,4.060955555555556,8.999955555555555,19.09746666666667,19.09746666666667,24.146222222222224,34.24373333333334,39.29248888888889,44.34124444444445,40.77777777777778,51,46,34.70355,35.0612,30.461199999999998,20.68896,15.9459,11.107466666666667,12.0612,0,11.111470281543273,15.623328228688106,20.194761743832377,24.780626420813338,23.49775357935068,28.30549029479219,26.833333333333336,26.833333333333336,25.54579907143257,20.68896,15.9459,11.107466666666667
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.4444444444444445,0.323325,0.3266571428571428,0.3311,0.33732,0.34665,0.36219999999999997,0.3933,0.32439999999999997,0,0.16981878509443593,0.4390165596485299,4.983060747663552,5.619028029844727,6.2764348044973985,5.950000000000001,5.950000000000001,5.664503272361134,5.73444,5.7775,5.7951999999999995
table_open_cache_hits,283.77777777777777,286.77777777777777,410.2222222222223,698.7777777777778,956.5555555555557,1196.888888888889,1475,1719.3333333333335,2023.3333333333335,2281.3333333333335,2548,2617,2576.4444444444443,2531.666666666667,2191.49685,1912.686457142857,1662.4531,1356.8134800000003,1092.1786,815.0707333333334,619.4475,356.35339999999997,296.8694994786236,341.5055768249107,343.16461079193425,450.7649816872948,480.29919136922774,513.4369804777087,486.7333333333334,486.7333333333334,463.3785814174638,330.91092000000003,249.70355,220.57980000000003
table_open_cache_misses,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.4444444444444445,0.323325,0.3266571428571428,0.3311,0.33732,0.34665,0.36219999999999997,0.3933,0.32439999999999997,0,0.16981878509443593,0.4390165596485299,4.983060747663552,5.619028029844727,6.2764348044973985,5.950000000000001,5.950000000000001,5.664503272361134,5.73444,5.7775,5.7951999999999995
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12306734910779213,0.11666666666666667,0.11666666666666667,0.1110686916149242,0.11244000000000001,0.11555,0.12073333333333333
Sort Scan,1,1.1111111111111112,1,0.888888888888889,1,1,0.888888888888889,0.888888888888889,1.1111111111111112,1.1111111111111112,1,0.888888888888889,1.1111111111111112,1,0.754425,0.7621999999999999,0.6622,0.44976000000000005,0.34665,0.24146666666666666,0.2622,0,0.24155370177267987,0.33963757018887186,0.4390165596485299,0.5387092700176812,0.5108207299858842,0.6153367455389607,0.5833333333333334,0.5833333333333334,0.555343458074621,0.44976000000000005,0.34665,0.24146666666666666
Slow Queries,2.888888888888889,3,3.555555555555556,4.444444444444445,5.777777777777778,9.555555555555555,11,12.555555555555555,14.666666666666668,16.666666666666668,17.88888888888889,18.11111111111111,18.555555555555557,18.555555555555557,14.010749999999998,12.521857142857142,10.815933333333332,8.65788,6.35525,4.950066666666666,4.0641,2.433,3.864859228362878,4.754925982644206,4.682843302917652,6.3298339227077545,6.640669489816496,7.137906248251944,6.7666666666666675,6.7666666666666675,6.441984113665605,4.72248,3.4665,3.139066666666667
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.729718456725756,6.962570188871874,6.292570688295595,5.7911246526900735,5.491322847348256,5.291896011635062,5.0166666666666675,5.0166666666666675,4.775953739441741,1.2368400000000002,0.2311,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.729718456725756,6.962570188871874,6.292570688295595,5.7911246526900735,5.491322847348256,5.291896011635062,5.0166666666666675,5.0166666666666675,4.775953739441741,1.2368400000000002,0.2311,0
Table Locks Immediate,56.777777777777786,59.66666666666667,123.33333333333334,273.44444444444446,409.44444444444446,538.7777777777778,683.3333333333334,811.5555555555555,972.3333333333334,1109.3333333333335,1250.6666666666667,1288.6666666666667,1268.7777777777778,1246.5555555555557,1077.1033499999999,942.2969714285713,819.3621333333333,668.2309200000001,536.6142,398.2992666666667,303.7587,174.68939999999998,139.37648592283628,151.6481750893313,141.80234876647518,191.24179085627685,196.66598104456546,204.5379342171505,193.90000000000003,193.90000000000003,184.59616546400403,121.99740000000001,88.85794999999999,83.6682
Table Locks Waited,0,0,1.3170666666666668,4.719488888888889,7.024355555555556,10.756044444444445,14.268222222222224,15.8048,18.658444444444445,21.07306666666667,23.81695555555556,24.77777777777778,24.11111111111111,23.88888888888889,19.507275,16.223971428571424,14.899499999999998,12.25596,10.05285,7.485466666666667,5.7684,3.0818,3.3817518248175182,4.924744767738642,4.390165596485299,5.2524153826723925,4.980502117362372,5.045761313419478,4.783333333333333,4.783333333333333,4.553816356211892,3.03588,1.3866,1.3280666666666667
bytes_received_rate,12374.222222222223,12972.666666666668,20507.111111111113,37827.444444444445,54723.11111111111,70845.22222222222,87848.22222222222,102426.44444444445,122466.8888888889,139231.22222222222,156579.11111111112,161192.8888888889,159967.11111111112,156378.55555555556,134487.89594999998,118279.93817142856,103576.90933333333,84352.15068,67771.11494999999,50002.91733333333,38061.2142,21183.32,19192.64937434828,21505.171669218988,20419.39188351921,25880.53607287194,26996.109348659007,28019.235640767467,26561.966666666667,26561.966666666667,25287.453294736253,16665.74436,11674.9409,10641.315266666668
bytes_sent_rate,149850.6666666667,159448.33333333334,166846,186336.33333333334,210318.22222222225,251520.8888888889,274308.55555555556,289403.22222222225,338713.44444444444,362288.8888888889,392057.6666666667,394252.3333333334,396515,395029.55555555556,326343.1311,300373.22028571425,264257.4216333333,213558.30396000002,171388.72865,121579.55326666667,97763.89199999999,54726.11779999999,64588.31965589155,100215.49928534967,106573.90395403854,161398.77874778985,173654.40109497885,186546.71845108242,176844.5,176844.5,168359.03343681825,140372.68212,106962.0929,95082.5708
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_not_cached,27,28.444444444444446,56.88888888888889,124.55555555555557,183.66666666666669,241.11111111111114,305.22222222222223,363.55555555555554,434,492.6666666666667,554.3333333333334,566.5555555555555,556.7777777777778,545.5555555555555,470.11454999999995,410.17248571428564,353.8355333333333,287.39664000000005,230.75335,169.8718,132.2799,73.9632,51.69249217935349,61.474400204185805,58.82821899290301,90.2338027279616,92.33084694494859,97.34627314426358,92.28333333333333,92.28333333333333,87.85533506740505,64.87788,49.570949999999996,46.965266666666665
qcache_lowmem_prunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com admin_commands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8622,0.7621999999999999,0.6622,0.5622,0.4622,0.36219999999999997,0.2622,0.16219999999999998,0.24155370177267987,0.33963757018887186,0.4390165596485299,0.5387092700176812,0.6385259124823554,0.7384040946467528,0.7,0.7,0.6664121496895452,0.5622,0.4622,0.36219999999999997
com alter_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_db_upgrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
