Avg Threads Running,1,1,1.7000000000000002,2.8,3.5,4.3,5,5.9,6.444444444444444,7.111111111111111,7.444444444444445,8.249999999999998,9.375,9,9.166666666666666,10.5,11,11.25,11.25,12.666666666666668,17,17,17,17,17,18,18,18,18,18,18,18,18,18,33,48,48,48,48,48,48,48,48,48,52,46.5,50,55.5,64,73.5,83.14285714285714,93.375,103.66666666666667,114.2,131.9,152.7,171.9,189.6,204.69999999999996,217.5,228.3,236.70000000000002,243,247,249,249,249,249,249,249,249,249,249,249,249,77,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,88
Peak Threads Connected,1,1,8,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,48,48,48,48,48,48,48,48,48,48,52,52,57,72,98,121,141,165,186,209,229,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,77,88,88,88,88,88,88,88,88,88,88
Peak Threads Running,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,28,28,28,28,28,28,28,28,28,28,36,36,52,70,93,117,139,162,184,205,224,245,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,2,59,71,71,71,71,71,71,71,71,71,71
Questions,38,37.77777777777778,102.11111111111111,243.77777777777777,429.55555555555554,598,723.2222222222223,847.3333333333334,819.5210999999999,1094.2768411712511,1218.6666666666667,1123.2996392857144,1260.7297327270712,1061.09040684379,905.6416346016816,1166.3155560483424,1168.3501683501684,958.0469098783942,840.3724137931033,755.409563658099,675.6492338441038,555.8957361758827,1194.2685771409529,142.01446280991735,147.3944105691057,199.19097035040429,232.90473790322585,266.19842995169085,319.0560210008936,350.8479170083648,388.0433734939759,415.9232827832292,400.44444444444446,419.2222222222223,378,342.77777777777777,306.6666666666667,254.66666666666669,224.55555555555557,185.77777777777777,144.55555555555557,95.55555555555556,51.333333333333336,199.22222222222223,187.74405,186.41234285714285,184.53306666666666,180.57864,182.1068,184.23906666666667,197.0433,235.67659999999995,219.64047866805413,182,182,182,182,182,182,182,151.74557752341312
Threads Created,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.323325,0.8873114463176576,0.888888888888889,0.8693428571428571,1.5526228235555064,1.5379713941208266,1.5643408864186976,2.5501718594079166,2.8681880533732387,2.4412293853073463,2.1413793103448273,2.2937537358039446,1.6914723517654895,1.391672218520986,3.6654448517160945,0.7221074380165289,3.053048780487805,4.826212938005391,7.942993951612904,10.469194847020933,12.550603217158177,15.087657864523536,17.238554216867467,19.290811775200716,20.77777777777778,21.333333333333336,19.666666666666668,16.77777777777778,14.222222222222223,12,9.333333333333334,7,4.111111111111112,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,1.2068158168574403,1,1,1,1,1,1,1,0.8337669094693027
Created Tmp Disk Tables,9,8.88888888888889,8.777777777777779,9,9.11111111111111,9,9,9,7.975350000000001,8.873114463176575,9.11111111111111,7.932753571428572,8.983032050571143,7.689856970604133,6.9277953541399455,8.981040026610488,8.85397181693478,7.3236881559220395,6.4241379310344815,5.7343843395098615,5.262358427714856,4.3296469020652895,9.108075086082417,2.40702479338843,3.2226626016260163,4.094968553459119,5.115826612903226,5.745289855072464,6.767482126899017,7.543828932261768,8.443373493975903,9.143621766280107,9,8.88888888888889,8.88888888888889,8.88888888888889,9.11111111111111,9,9.11111111111111,9.11111111111111,9.11111111111111,8.88888888888889,9.222222222222223,9,7.652025,6.750914285714285,5.849433333333333,4.947360000000001,4.04425,3.0183333333333335,2.3598,1.1354,2.6549947970863688,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.8342872008324662
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,0.888888888888889,2.7777777777777777,3.8888888888888893,7.333333333333334,10,9.69975,13.975155279503108,16.333333333333336,15.756839285714284,21.514916269269158,19.44435262567045,18.660352002280177,22.840669697305685,22.696096770170847,19.801082791937368,17.368965517241378,15.928845387527394,13.155896069287142,10.824117255163223,25.213817616350106,3.1291322314049586,2.3745934959349597,5.118710691823899,7.539112903225808,9.44780998389694,13.28887399463807,14.129711333442676,15.127710843373492,15.72256913470116,16.444444444444446,19.333333333333336,17.555555555555557,15.222222222222223,13.222222222222223,9.444444444444445,8.333333333333334,7.111111111111112,5.777777777777778,3.555555555555556,0.5555555555555556,0,0,0,0,0,0,0,0,0,0.24136316337148805,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16675338189386055
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.888888888888893,28.77777777777778,27.444444444444446,28.77777777777778,30.555555555555554,30.111111111111114,27.555555555555554,28.22222222222222,25.65045,29.724933451641526,30.22222222222222,26.51495714285714,28.501718975268936,23.72870150929275,21.23034060139661,29.38241490187382,29.05599201895498,23.056055305680495,20.22413793103448,17.84030683403068,17.666489007328444,14.535243171219188,29.656781072975672,8.90599173553719,10.176829268292684,14.332389937106916,17.63613911290323,19.278639291465378,22.271168453976763,24.786866491717237,27.558232931726906,29.884032114183764,28.444444444444446,28.77777777777778,27.77777777777778,28.444444444444446,29.111111111111114,29,29.555555555555554,28.888888888888893,29.888888888888893,28.77777777777778,30.22222222222222,29.111111111111114,24.033825,21.450485714285712,18.5416,15.40428,13.28825,8.813533333333334,7.6038,3.0818,6.27544224765869,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.335587929240374
Sort Rows,62,62,55.11111111111111,62,62,55.11111111111111,68.88888888888889,62,60.13845,55.01330967169476,68.88888888888889,60.636664285714275,61.88310968171233,47.67711321774562,48.49456747897962,54.99501053331854,54.12146152886894,50.45207396301849,44.2551724137931,31.602829248854345,34.957095269820115,28.761225849433707,61.97934021992669,14.923553719008265,31.54817073170732,36.26972147349505,41.73437500000001,39.57866344605475,53.40158623771224,51.96859931113662,58.16546184738955,62.22123104371097,62,55.11111111111111,55.11111111111111,62,68.88888888888889,55.11111111111111,62,68.88888888888889,68.88888888888889,62,68.88888888888889,62,46.77435,40.50548571428571,41.0564,34.8564,21.4923,14.970933333333335,16.2564,0,29.929032258064517,24.8,24.8,24.8,24.8,24.8,24.8,24.8,20.677419354838708
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0.11111111111111112,0.107775,0.1109139307897072,0.11111111111111112,0.10866785714285714,0.22180326050792948,0.21971019916011808,0.22347726948838537,0.4435081494622463,0.3741114852225963,0.4068715642178911,0.3568965517241379,0.38229228930065745,0.3758827448367755,0.3092604930046635,0,0,0,0,0,0,0.12304512957998212,0.11974331638510742,0.11726907630522088,0.11150758251561106,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666,0.44976000000000005,0.4622,0.4829333333333333,0.5244,0.6487999999999999,0,0,0,0,0,0,0,0,0
table_open_cache_hits,285.6666666666667,285.11111111111114,411.11111111111114,686.6666666666667,1049,1376.3333333333335,1621.6666666666667,1861.5555555555554,1777.7486249999997,2336.9565217391305,2577.3333333333335,2364.2865678571425,2659.642896750582,2245.5480905159866,1922.7984266780677,2470.7839006541744,2474.49806709066,2030.1534815925374,1780.7948275862066,1601.5498306435543,1426.6629580279812,1173.7982011992003,2528.934799511274,304.7293388429752,336.174593495935,454.6877583108715,537.4310483870969,621.7680354267311,742.5773570151921,822.516840249303,912.2361445783132,978.1445138269403,954.1111111111111,991.5555555555557,915.2222222222223,851.5555555555557,784.3333333333334,686.8888888888889,631.7777777777778,560.7777777777778,484.7777777777778,393.11111111111114,310.33333333333337,634.6666666666667,582.20055,558.4748285714285,534.2850333333333,506.31732,489.0076,473.6368666666667,480.7437,544.8298,477.41633714880334,395.6,395.6,395.6,395.6,395.6,395.6,395.6,329.8381893860562
table_open_cache_misses,0,0,0,0,0,0,0,0.11111111111111112,0.107775,0.1109139307897072,0.11111111111111112,0.10866785714285714,0.22180326050792948,0.21971019916011808,0.22347726948838537,0.4435081494622463,0.3741114852225963,0.4068715642178911,0.3568965517241379,0.38229228930065745,0.3758827448367755,0.3092604930046635,0,0,0,0,0,0,0.12304512957998212,0.11974331638510742,0.11726907630522088,0.11150758251561106,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666,0.44976000000000005,0.4622,0.4829333333333333,0.5244,0.6487999999999999,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.12073333333333333,0.1311,0.16219999999999998,0,0,0,0,0,0,0,0,0
Sort Scan,1,1,0.888888888888889,1,1,0.888888888888889,1.1111111111111112,1,0.969975,0.8873114463176576,1.1111111111111112,0.9780107142857142,0.9981146722856826,0.7689856970604133,0.7821704432093488,0.8870162989244926,0.8729267988527247,0.8137431284357822,0.7137931034482758,0.5097230524008766,0.5638241172551632,0.46389073950699533,0.9996667777407531,0.24070247933884298,0.5088414634146342,0.584995507637017,0.6731350806451614,0.638365539452496,0.8613159070598749,0.8382032146957521,0.938152610441767,1.0035682426404997,1,0.888888888888889,0.888888888888889,1,1.1111111111111112,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1,1.1111111111111112,1,0.754425,0.6533142857142856,0.6622,0.5622,0.34665,0.24146666666666666,0.2622,0,0.4827263267429761,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3335067637877211
Slow Queries,4.222222222222222,4.333333333333334,4.666666666666667,6.333333333333334,8.666666666666668,10.555555555555555,12.333333333333334,13.444444444444446,12.932999999999998,15.306122448979593,16.11111111111111,14.670160714285714,16.19163801707885,13.292467049187144,11.062124839675075,12.750859297039582,12.34567901234568,10.036165250707981,8.803448275862069,8.155568838414025,6.765889407061958,5.566688874083944,16.105742530267687,4.573347107438017,4.579573170731708,6.142452830188679,7.13523185483871,8.554098228663445,10.45883601429848,11.495358372970312,13.720481927710841,15.834076717216771,15.88888888888889,17.11111111111111,16.22222222222222,15.88888888888889,14.777777777777777,13.444444444444446,12.88888888888889,11,8.88888888888889,6.777777777777779,5.666666666666667,5,3.9876750000000003,3.593228571428571,2.9798999999999998,2.36124,1.96435,1.3280666666666667,1.311,0.16219999999999998,2.6549947970863688,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.8342872008324662
