Avg Threads Running,1,1,1,2.2,2.5999999999999996,3.3,3.6999999999999997,4.1,4.4,4.8,5.222222222222222,5.75,7.75,7,7.333333333333334,7.2,7.75,8.666666666666668,11,17,17,17,53,53,53,53,53,53,53,53,53,53,53,53,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,62,62,56,56,56,56,56,56,45,45,45,45,34,34,58,58,58,58,82,82,82,82,82,82,27,20.5,17,14.75,15.2,15.2,15.2,15.2,15.2,15.2,12.25,11.666666666666668,12.5,17
Peak Threads Connected,1,1,1,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,53,53,53,53,53,53,53,53,53,53,53,53,62,62,62,62,62,62,62,62,62,62,56,56,56,56,56,56,56,56,56,56,34,34,82,82,82,82,82,82,82,82,82,82,27,27,27,27,27,27,27,27,27,27,17,17,17,17
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,33,33,33,33,33,33,33,33,33,33,42,42,43,43,43,43,43,43,43,43,43,43,30,30,30,30,30,30,30,30,30,30,17,17,42,42,42,42,42,42,42,42,42,42,12,12,12,12,12,12,12,12,12,12,5,2,2,1
Questions,36.66666666666667,37,37.77777777777778,135.33333333333334,304.77777777777777,465,610.3333333333334,763,855.1111111111111,1005.2222222222223,971.0527500000001,977.3581714285714,1237.297537164411,1055.7129814491307,907.2120131166241,774.9005071499835,639.6853144528653,573.6163428001993,479.2426343729264,367.79596977329976,463.51385390428214,380,380,380,490.7934508816121,395.0755667506296,299.3576826196474,1125.0626147937887,1125.0626147937887,1125.0626147937887,1125.0626147937887,1140,1140,1140,1140,180.1078028747433,319.63591691995947,450.4089105581708,580.5022332662305,539.1250000000001,539.1250000000001,539.1250000000001,539.1250000000001,501.2750062908908,430.17286666666666,318.1797,199.8304
Threads Created,0,0,0,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.323325,0.3266571428571428,0.7765697803416908,0.6591340154729224,0.6704362703165099,0.6871715996009312,0.7145991224571201,0.768236173393124,0.9242866622428668,1.3550377833753149,1.7076826196473551,1.4,1.4,1.4,1.8081863979848865,1.455541561712846,1.1028967254408062,2.3376189681081985,2.3376189681081985,2.3376189681081985,2.3376189681081985,9.5,9.5,9.5,9.5,0,0,0,0.8075616507297433,0.7500000000000002,0.7500000000000002,0.7500000000000002,0.7500000000000002,0.6973452440865626,0.7243999999999999,0.7866,0.9732
Created Tmp Disk Tables,9,8.88888888888889,9.11111111111111,8.777777777777779,9,9.11111111111111,8.88888888888889,9,8.777777777777779,8.88888888888889,7.7598,6.8598,8.98602174395385,7.909608185675069,6.9278414599372695,6.070015796474893,5.359493418428401,4.609417040358744,4.005242203052423,3.677959697732997,4.635138539042821,3.8,3.8,3.8,4.907934508816121,3.9507556675062965,2.993576826196474,9.016530305560194,9.016530305560194,9.016530305560194,9.016530305560194,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,1.6810061601642707,3.050607902735562,3.8009190764402603,4.576182687468545,4.250000000000001,4.250000000000001,4.250000000000001,4.250000000000001,3.951623049823855,3.2598,2.0976,1.2975999999999999
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.4444444444444445,2.4444444444444446,5.888888888888889,9.222222222222223,10.444444444444445,11.777777777777779,15.333333333333334,14.87295,15.02622857142857,18.637674728200576,16.47835038682306,13.296986027944111,10.19304539408048,9.28978859194256,8.450597907324363,5.237624419376244,4.2586901763224185,5.367002518891687,4.4,4.4,4.4,5.682871536523929,4.574559193954658,3.466246851385391,13.02387710803139,13.02387710803139,13.02387710803139,13.02387710803139,19.333333333333336,19.333333333333336,19.333333333333336,19.333333333333336,0.24014373716632442,4.745390070921986,7.309459762385115,9.825333417211876,9.125000000000002,9.125000000000002,9.125000000000002,9.125000000000002,8.484367136386513,8.6928,5.8995,3.7306
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,27.77777777777778,28.111111111111114,28.888888888888893,28,28.77777777777778,28.77777777777778,28.333333333333336,28.77777777777778,26.77777777777778,29.111111111111114,25.327125000000002,22.757114285714284,27.956512092300862,25.486515264953,21.677439406900486,18.78269038909212,17.269478792713734,14.724526656701542,12.323822163238223,12.776070528967256,16.101007556675064,13.2,13.2,13.2,17.048614609571786,13.723677581863976,10.398740554156173,29.88812823509768,29.88812823509768,29.88812823509768,29.88812823509768,27,27,27,27,3.8422997946611908,8.982345491388044,11.110378838825374,13.593954453950678,12.625000000000004,12.625000000000004,12.625000000000004,12.625000000000004,11.738644942123805,10.262333333333334,6.2928,4.055
Sort Rows,46,40.88888888888889,51.111111111111114,40.88888888888889,46,51.111111111111114,40.88888888888889,46,40.88888888888889,40.88888888888889,39.661199999999994,30.05245714285714,45.92855558020857,40.42688628233924,30.84006843455946,31.609893581642837,27.39296636085627,23.559242650722467,21.258593231585934,26.71360201511335,33.66574307304786,27.6,27.6,27.6,35.64710327455919,28.69496221662468,21.74282115869018,46.08448822841877,46.08448822841877,46.08448822841877,46.08448822841877,38.333333333333336,38.333333333333336,38.333333333333336,38.333333333333336,0,15.591995947315095,13.449405962788612,18.573917966784098,17.250000000000004,17.250000000000004,17.250000000000004,17.250000000000004,16.038940613990942,16.6612,6.0306,7.4612
