Avg Threads Running,1,1,1.1,1.9,2.2,2.5,3.4,3.7,4.5,4.9,5.5,6.1,7.1,6.888888888888889,8.555555555555555,9.125,8.75,8.75,8.5,9,8.75,8.625000000000002,8.125,8.125,6.571428571428572,6.571428571428572,6.5,7,7,6.333333333333333,7,8,30,30,30,30,30,30,30,30,30,30,21,21,21,21,21,21,21,21,21,21,312,308.5,306,304.25,303.4,302.8333333333333,302.4285714285714,302.24999999999994,302.1111111111111,302,300.90000000000003,300.5,300.5,300.70000000000005,300.8,300.90000000000003,301,301,301,301,301,301,301,300.8,300.6,300.4,300.2,280.9,278.6666666666667,275.875,272.28571428571433,267.5
Peak Threads Connected,1,1,2,9,9,9,10,10,10,10,10,10,12,12,19,19,19,19,19,19,19,19,19,19,9,9,9,9,9,8,8,8,30,30,30,30,30,30,30,30,30,30,21,21,21,21,21,21,21,21,21,21,312,312,312,312,312,312,312,312,312,312,305,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
Peak Threads Running,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,13,13,13,13,13,13,13,13,13,13,8,8,8,8,8,8,8,8,8,8,71,93,111,115,117,127,131,132,132,134,134,134,134,134,134,134,134,134,134,126,91,74,57,58,84,92,95,95,95,95,95,95
Questions,39.111111111111114,36.77777777777778,38.77777777777778,145.22222222222223,288.44444444444446,412.55555555555554,525,675.7777777777778,815.6666666666667,937.1111111111111,1061.5555555555557,1201.5555555555557,1248.2222222222222,1066.002525,1258.2362728785356,1117.1848970679976,1223.652096738407,1181.7777777777778,1169.3333333333335,1179.3333333333335,1167.4444444444446,1137.4444444444446,1098.8102692548528,955.1251292602201,774.7833333333334,734.5298056576456,645.4056,544.81825,419.54833333333335,297.7281,183.9348,106.46012269938653,104.00439838220424,107.4199126930826,108.73368526897937,111.04471675371636,116.25439110070256,120.92251156696554,121.12468820506395,120.73958565382046,77.22222222222223,64,57.333333333333336,51.55555555555556,49,44.88888888888889,43.44444444444444,45.44444444444444,43.88888888888889,42.44444444444444,39.44444444444444,38.333333333333336,41.22222222222222,64.11111111111111,75.44444444444444,75,77.44444444444444,247.77777777777777,235.81170000000003,235.62868571428572,233.20476666666664,232.30104
Threads Created,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.21555,0.9983361064891845,0.9779850280723643,0.9984468604393166,0.888888888888889,0.888888888888889,1,1,1,0.25046963055729493,0.21771714822434923,0.11666666666666667,0.11060530125849204,0.11244000000000001,0.11555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002
Created Tmp Disk Tables,9.11111111111111,8.88888888888889,9,9.11111111111111,9,8.777777777777779,9,9.222222222222223,9.11111111111111,9.11111111111111,9,8.88888888888889,9,7.652025,8.985024958402661,7.606550218340611,8.875083203905037,9,9,9,9,8.88888888888889,9.016906700062616,7.837817336076571,6.183333333333334,5.862080966700078,4.947360000000001,3.9287,3.139066666666667,2.2287,1.4598,2.637525562372189,3.2183771486349846,4.092187150212671,5.113712921065862,5.74369224588188,6.889149102263856,7.782141833517585,8.44237904236651,9.022053909556695,9,9,9.11111111111111,8.88888888888889,9.222222222222223,8.88888888888889,9,9.11111111111111,9.222222222222223,9,8.88888888888889,9,9.11111111111111,8.777777777777779,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,7.652025,6.968685714285714,5.849433333333333,4.947360000000001
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,3,4,5.444444444444445,6.222222222222223,8.11111111111111,9.444444444444445,11.666666666666668,14.222222222222223,18.444444444444446,17.333333333333336,15.842925,20.1885745978924,19.016375545851528,18.193920568005325,18.22222222222222,17.22222222222222,17.555555555555557,16.444444444444446,16.88888888888889,14.652473387601754,12.73645317112443,12.95,12.277188439692617,11.13156,10.1684,7.485466666666667,4.4574,2.1086,1.198875255623722,1.6938827098078868,1.4614954107902394,1.3457139265962794,1.276376054640418,1.2302051968328314,1.1972525897719362,1.1725526447731263,1.1138338159946537,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,1.6166249999999998,1.633285714285714,1.6555,1.6865999999999999
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.888888888888893,27.888888888888893,29,30,28.444444444444446,28.444444444444446,27.888888888888893,29,29.333333333333336,28.666666666666668,29.333333333333336,28.444444444444446,28.888888888888893,25.003800000000002,29.284525790349413,25.101615720524016,28.954958952740185,28.77777777777778,29.666666666666668,28.888888888888893,29.888888888888893,29.333333333333336,29.05447714464621,25.25518919402451,19.95,18.913506515202137,15.854040000000001,12.2483,10.383066666666668,6.423900000000001,3.4061999999999997,10.550102249488756,10.502072800808898,13.00730915603313,16.95599547511312,18.50745279228606,22.635775621724097,26.219831716005405,27.203221358736528,29.07106259746046,28.22222222222222,29.111111111111114,30.77777777777778,28.444444444444446,29.444444444444446,28,28.444444444444446,30.22222222222222,30.444444444444446,29.444444444444446,28.77777777777778,28,29.333333333333336,28.555555555555554,30.666666666666668,28.111111111111114,29.22222222222222,28.555555555555554,24.680474999999998,22.757114285714284,19.203799999999998,16.416240000000002
Sort Rows,46,40.88888888888889,46,46,46,40.88888888888889,46,51.111111111111114,46,51.111111111111114,51.111111111111114,40.88888888888889,46,34.70355,45.92346089850249,34.99013100436681,40.82538273796317,46,46,40.88888888888889,46,46,46.08641202254226,40.05995527328026,32.2,30.527063147343803,25.861200000000004,15.9459,16.6612,12.0612,7.4612,22.05930470347649,23.37558139534884,20.168636668905304,30.95142031171443,29.35664925672961,39.61260733801717,44.05889530360725,43.149937327651045,46.11271998217866,46,40.88888888888889,51.111111111111114,46,51.111111111111114,46,46,46,51.111111111111114,46,46,46,46,40.88888888888889,46,46,51.111111111111114,40.88888888888889,34.70355,35.0612,25.38433333333333,20.68896
