Avg Threads Running,1,1,2.3,3.3000000000000003,3.6999999999999997,4.2,5.4,5.888888888888889,6.5,7.2857142857142865,8.333333333333334,9.8,8.75,9.75,11.333333333333334,14,15,15,15,33.5,33.5,33.5,33.5,52,53,53,53,53,53,54,54,54,54,54,44,44,44,44,44,44,44,44,44,44,26,26,26,34,32.33333333333333,32.33333333333333,32.33333333333333,32.33333333333333,32.33333333333333,32.33333333333333,35.5,35.5,35.5,29
Peak Threads Connected,1,1,14,14,14,14,14,14,14,14,14,14,13,15,15,15,15,15,15,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54,44,44,44,44,44,44,44,44,44,44,26,26,26,42,42,42,42,42,42,42,42,42,42,29
Peak Threads Running,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,22,22,22,22,22,22,22,22,22,22,10,10,10,22,22,22,22,22,22,22,22,22,22,13
Questions,37.66666666666667,39.44444444444444,85,278.22222222222223,417.11111111111114,557.5555555555555,697.8888888888889,673.4859749999999,677.5957999999999,680.9623333333333,689.03232,656.5550999999999,471.34293333333335,1209.580838323353,1199.3015714642056,1183.81305215161,1153.358893148858,1153.358893148858,1153.358893148858,1153.358893148858,1175.8964143426294,1175.8964143426294,1175.8964143426297,1175.8964143426297,1175.8964143426297,646.6242054198727,677.366066935078,793.244275289381,690.75,824.5313915450427,708.6531831907397,592.7749748364369,198,198,162.2695431472081
Threads Created,0,0,0.33333333333333337,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.64665,0.6533142857142856,0.6622,0.67464,0.34665,0.12073333333333333,3.6593479707252157,4.115739585931654,4.559703619264748,6.001000166694449,6.001000166694449,6.001000166694449,6.001000166694449,5.776892430278884,5.776892430278884,5.7768924302788855,5.7768924302788855,5.7768924302788855,2.8619605219136828,2.3534977352793156,2.756114745848012,2.4,2.8648213387015597,2.4622043281328634,2.059587317564167,0,0,0
Created Tmp Disk Tables,9,9.11111111111111,9.11111111111111,8.88888888888889,8.777777777777779,9,9,7.7598,7.077571428571427,5.9597999999999995,5.059800000000001,4.27535,3.501266666666667,9.203814593036148,9.104514841606385,8.976916500427473,8.668111351891982,8.668111351891982,8.668111351891982,8.668111351891982,9.362549800796812,9.362549800796812,9.362549800796813,9.362549800796813,9.362549800796813,4.82955838072934,5.29536990437846,6.201258178158027,5.4,6.4458480120785095,5.5399597382989425,4.6340714645193755,1.8,1.8,1.475177664974619
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,2.555555555555556,4.777777777777778,8.444444444444445,10.222222222222223,9.915299999999998,10.017485714285714,10.153733333333332,10.34448,10.3995,8.3306,23.508538478598357,22.324769269144422,23.22599031062981,18.836472745457577,18.836472745457577,18.836472745457577,18.836472745457577,19.32270916334661,19.32270916334661,19.322709163346616,19.322709163346616,19.322709163346616,12.163332218133153,11.032020634121793,12.919287871162558,11.25,13.42885002516356,11.541582788122797,9.654315551082032,1.4,1.4,1.1473604060913705
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29,30.444444444444446,29.444444444444446,28.555555555555554,27.555555555555554,28.22222222222222,28.77777777777778,25.003800000000002,23.301542857142856,18.983066666666666,15.7416,13.634899999999998,11.831866666666667,29.163894433355505,28.934896482913445,28.070675406098605,29.00483413902317,29.00483413902317,29.00483413902317,29.00483413902317,31.474103585657367,31.474103585657367,31.47410358565737,31.47410358565737,31.47410358565737,14.309802609568413,16.32739053850025,19.120546049320584,16.65,19.874698037242073,17.08154252642174,14.28838701560141,6.2,6.2,5.081167512690355
Sort Rows,47,52.22222222222223,47,47,41.77777777777778,41.77777777777778,47,40.523399999999995,40.94102857142857,31.123399999999997,26.423400000000004,27.15425,22.697866666666666,52.11798624972276,52.75629832876028,46.87945283556569,39.173195532588764,39.173195532588764,39.173195532588764,39.173195532588764,56.175298804780866,56.175298804780866,56.17529880478088,56.17529880478088,56.17529880478088,25.22102709936433,27.653598389531957,32.384348263714145,28.2,33.66165072974333,28.930900855561145,24.20015098137896,9.4,9.4,7.703705583756344
