Avg Threads Running,1,1,1.1,1.5,2,3,4,4.300000000000001,5.1000000000000005,5.699999999999999,5.9,6.1000000000000005,6.7,6.6000000000000005,6.4,5.699999999999999,5.5,5.800000000000001,5.499999999999999,5.300000000000001,5.699999999999999,6.4,6.9,6.9,7.222222222222222,7.625,7.428571428571429,7.499999999999999,7.8,8.5,9,8.5,4,22,19.5,19.5,19.5,21.666666666666664,26,38.2,52.333333333333336,67.28571428571429,84.75,113.625,143.125,155.33333333333334,165.10000000000002,187.79999999999998,209.20000000000002,225.79999999999998,238.79999999999998,248.4,253,253,251.5,251.5,251.5,251.5,250.10000000000002,244.7,243.77777777777777,242.625,241.14285714285717,239.16666666666666,239.4,236,230.33333333333331,219,199,55,55,55,55,55,39.5,34,30.25,28.2,26.333333333333332,20.5,19.857142857142858,19.25,19.25,20.333333333333332,19.77777777777778,19.77777777777778,19.875,19.857142857142854,20.333333333333336,20.4,21.5,25,25.6,23.6,24.75,25.75,25.75,25.75,26.4
Peak Threads Connected,1,1,2,5,6,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,10,13,13,13,13,13,13,13,13,13,13,4,22,22,22,22,26,39,87,123,157,207,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,239,199,55,55,55,55,55,55,55,55,55,55,24,24,24,24,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Peak Threads Running,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,9,9,9,9,29,81,119,153,200,250,250,250,251,251,251,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,237,157,31,31,31,31,31,31,31,31,31,31,14,14,14,14,16,16,16,16,16,16,16,16,16,16,13,12,12,12,12,18
Questions,38.22222222222222,37.66666666666667,39.77777777777778,128.77777777777777,256.22222222222223,376.8888888888889,516.6666666666667,671.2222222222223,830.2222222222223,939.4444444444446,1053.7777777777778,1180.888888888889,1217,1189.2222222222222,1193,1164.7777777777778,1132.4444444444446,1088.4444444444446,1117.7777777777778,1129.4444444444446,1132.4444444444446,1129.5555555555557,1143.7777777777778,1138.5555555555557,990.8833500000001,875.9855714285713,771.3526333333332,641.3577600000001,522.5171,399.74806666666666,282.2583,177.93339999999998,234.38195173137464,193.6,193.6,620.7205283018868,673.5792045225115,706.6129535528305,732.5775377534877,798.6923173645165,760.3038087791801,696.8888888888889,363.00698521885107,360.20817247430443,348.964134551125,264,210.44444444444443,169.55555555555557,148.33333333333334,134.77777777777777,119.77777777777779,162.77777777777777,198.88888888888889,243.22222222222223,246.33333333333334,245.22222222222223,277.8888888888889,423,374.41035,345.82102857142854,304.72236666666663,269.40624,223.70479999999998,228.06526666666667,241.224,242.16459999999998,1115.9478435305919,1112.7895266868077,1122.0387652548457,1098.3915556672532,1085.695157330953,668.0280904522613,762.8034488531727,864.1223074716763,824.8,1090.878791245417,1093,1076.0591571222062,950.9524178571428,854.8629216695256,750.1788796265421,658.49126,564.1049333333333,1107.0133766720842,1109.0686274509806,1108.2222222222222,1118.625,621.0207116104868,600.9333333333333,600.9333333333333,976.1553348467651
Threads Created,0,0,0,0,0,0.33333333333333337,0.33333333333333337,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0.22222222222222224,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311,0.24146666666666666,0.2622,0,0.2421301154249738,0.2,0.2,1.6118805031446541,3.2254391278013324,9.161918360490509,13.243785416367036,17.854897522947315,21.44532558918798,26.333333333333336,27.177633787822952,26.616945036349968,25.28402762307864,23.77777777777778,18.444444444444446,14.444444444444446,11.333333333333334,7.333333333333334,3.3333333333333335,5.666666666666667,7.555555555555555,10.333333333333334,10.333333333333334,10.333333333333334,10.666666666666668,11.555555555555555,9.69975,8.710857142857142,6.511633333333333,4.72248,1.96435,2.0524666666666667,2.2287,2.2708,3.4102306920762286,2.8533064786841225,2.440775305096913,2.136215129429505,1.8968980138361975,0,0,0.23946856241420988,0.22857142857142856,1.1109876680368846,1.1111111111111112,1.2231735794506837,1.1953464285714284,1.2114779874213837,1.2327409136378793,1.26434,1.07745,2.8753594199274914,2.562388591800357,2.555555555555556,2.75,0.27558052434456926,0.26666666666666666,0.26666666666666666,1.9822928490351874
Created Tmp Disk Tables,9,9,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,9,9,8.777777777777779,9,9.11111111111111,9,9,9.11111111111111,8.88888888888889,8.88888888888889,9,9.11111111111111,9,9,9.11111111111111,9,7.652025,6.968685714285714,5.9597999999999995,5.059800000000001,4.1598,3.2598,2.2287,1.4598,1.9370409233997905,1.6,1.6,5.128710691823899,5.9133050676357755,6.871438770367883,7.480286207392493,9.05318747642399,9.04724673293868,9.11111111111111,7.662416574540392,8.44237904236651,9.13343729115616,8.88888888888889,9,9.222222222222223,8.777777777777779,9,8.88888888888889,9,9.11111111111111,8.88888888888889,9,9,8.777777777777779,9.222222222222223,7.7598,6.968685714285714,5.9597999999999995,5.059800000000001,4.27535,3.501266666666667,2.3598,1.7841999999999998,9.227683049147442,9.399127223900638,9.33237616654702,9.298818798693139,9.149743360856952,5.869969849246231,6.520739159551314,7.543259716047612,7.2,9.110098877902455,9,8.784610252418547,7.60675,6.82833047455689,5.827502500833611,5.1723,4.190083333333334,8.876109513689212,9.024064171122996,8.88888888888889,9.125,5.098239700374531,4.933333333333333,4.933333333333333,7.80527809307605
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,1.4444444444444444,4,5,5.555555555555555,7.888888888888888,8.11111111111111,9,12.555555555555555,13.88888888888889,12.777777777777779,10.333333333333334,11.666666666666668,12.444444444444446,15.777777777777777,16.666666666666668,19.333333333333336,18.22222222222222,16.88888888888889,16.77777777777778,20.555555555555557,20.444444444444446,18.5373,13.175171428571428,12.250699999999998,8.882760000000001,6.58635,6.8818,7.210499999999999,3.2439999999999998,3.631951731374607,3,3,5.714849056603773,5.644518473652331,5.726198975306568,5.640871566230404,5.783980887715328,5.47302580140735,3.7777777777777777,1.1972525897719362,1.1725526447731263,1.1138338159946537,0.7777777777777779,0.4444444444444445,0.33333333333333337,0.4444444444444445,0.22222222222222224,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,3,5.222222222222222,4.957649999999999,4.682085714285714,4.7457666666666665,4.83492,4.968649999999999,5.191533333333334,5.6373,3.4061999999999997,17.051153460381144,14.93789862369923,17.085427135678394,15.20482533299824,14.728855166257532,7.146050251256281,8.366231374518666,10.89581958984655,10.4,15.553827352516384,17.666666666666668,16.679639719782053,16.082842857142857,15.08840766152087,14.344621540513504,13.33304,11.13365,17.002125265658208,17.602495543672017,17.555555555555557,17.125,11.849962546816478,11.466666666666665,11.466666666666665,18.33620885357548
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.333333333333336,29,30.111111111111114,27.333333333333336,27.888888888888893,29.555555555555554,28.666666666666668,28.111111111111114,29.888888888888893,28.888888888888893,27.555555555555554,28.22222222222222,29.666666666666668,28.666666666666668,29.666666666666668,29.333333333333336,28.333333333333336,27.555555555555554,29.333333333333336,30,29.555555555555554,29.77777777777778,29.444444444444446,28.111111111111114,24.464925,22.212685714285712,19.424533333333333,15.854040000000001,12.7105,9.779399999999999,6.0306,4.5416,8.23242392444911,6.8,6.8,16.411874213836477,19.21824146981627,21.377809507811186,24.280273263339566,28.54268829372564,29.487322685133478,28.555555555555554,23.825326536461528,26.73420030082728,30.407663176654047,28.555555555555554,29.666666666666668,28.77777777777778,28.333333333333336,28.888888888888893,27.888888888888893,30.111111111111114,29.77777777777778,27.444444444444446,28.77777777777778,29.111111111111114,29,30.888888888888893,25.4349,23.737085714285712,19.645266666666664,17.090880000000002,14.7904,12.194066666666668,8.2593,6.812399999999999,30.692076228686055,31.050688150386037,31.58650394831299,30.66097009298819,29.457710332515063,19.396422110552763,20.42344717897204,24.306059085042303,23.2,28.77458060215531,29.22222222222222,27.91059713110197,24.66760357142857,22.797813036020585,18.60318106035345,17.47088,13.767416666666668,29.12864108013502,29.857397504456333,28.22222222222222,28.875,16.67262172284644,16.133333333333333,16.133333333333333,25.893700340522134
Sort Rows,92.22222222222223,83,83,73.77777777777779,83,92.22222222222223,83,73.77777777777779,83,73.77777777777779,73.77777777777779,83,92.22222222222223,83,73.77777777777779,83,83,73.77777777777779,92.22222222222223,83,83,83,83,83,62.61727499999999,63.2626,54.962599999999995,37.33008,38.3626,30.062600000000003,10.8813,13.462599999999998,20.096799580272826,16.6,16.6,36.48711320754717,44.618574601251765,63.36993532672602,61.068566086581335,83.49050672702124,83.4357198704345,83,79.49757196085656,87.58968256455253,92.44820672755625,83,83,92.22222222222223,73.77777777777779,83,83,83,83.11111111111111,83.22222222222223,83.22222222222223,83.44444444444444,74.22222222222223,92.88888888888889,72.20925,63.91591428571428,55.62479999999999,47.2248,38.824799999999996,40.5664,22.0248,27.249599999999997,84.25275827482447,98.69083585095669,96.4824120603015,94.99874340286505,84.35617049765678,64.31445226130653,62.008538422903065,80.46143697117452,76.8,93.3229641150983,84,74.72478594462359,63.896699999999996,64.7590051457976,47.06828942980993,48.2748,30.168600000000005,84.01050131266409,84.22459893048129,84,94.5,46.297528089887635,44.8,44.8,72.84926220204314
