Avg Threads Running,2,2,2.9000000000000004,3.7,4.2,5,5.3,5.6000000000000005,6.300000000000001,6.8,7.199999999999999,7.6,7.5,7.3,7.5,7,7.1,7.3,7,7,7.1,7.3,7.3,7.299999999999999,7,7,6.8999999999999995,7,7.1,6.8999999999999995,7.1000000000000005,7,6.9,6.6,6.7,6.6000000000000005,6.7,6.6,6.8999999999999995,7.1,6.7,6.7,6.8,7.3,7.1,7.3,7.1000000000000005,7,6.5,6.3,6.5,6.4,6.2,5.9,6.3,6.3,6.5,6.300000000000001,6.7,6.6000000000000005,6.5,6.6,6.7,7.800000000000001,9.399999999999999,9.777777777777779,10.25,11.142857142857142,11.5,13,14.75,17.333333333333336,21.5,25,26,26,23.5,23.5,23.5,23.5,23.5,22.333333333333336,22.333333333333336,22.333333333333336,20.5,20.5,20,22,22,22,22,24,24,24,24,24,24,21,22,22,22,22,22
Peak Threads Connected,2,2,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,9,9,9,9,9,9,9,9,9,18,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,21,21,20,24,24,24,24,24,24,24,24,24,24,21,23,23,23,23,23
Peak Threads Running,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9
Questions,38.333333333333336,39.77777777777778,61.55555555555556,158.55555555555557,283,438.7777777777778,556.1111111111111,696.8888888888889,793.6666666666667,904.1111111111111,1005.5555555555557,1109.3333333333335,1133,1126.2222222222222,1081.3333333333335,1062.4444444444446,1039,1053.111111111111,1066.888888888889,1048.6666666666667,1015.6666666666667,1033.3333333333335,1021.5555555555557,1039.3333333333335,1069.2222222222222,1042.6666666666667,1034.3333333333335,1029,1078.888888888889,1073.111111111111,1018.2222222222223,1086.5555555555557,1068.111111111111,1063.4444444444446,1107.7777777777778,1118.3333333333335,1112,1114,1169.5555555555557,1225.111111111111,1174,1209.4444444444446,1201.3333333333335,1178.7777777777778,1160.6666666666667,1170.111111111111,1150.3333333333335,1102.6666666666667,1084.888888888889,1066.7777777777778,1062.7777777777778,1100.3333333333335,1091.4444444444446,1099.4444444444446,1126.6666666666667,1130.2222222222222,1138.3333333333335,1139.2222222222222,1130.5555555555557,1084.5555555555557,1042,1047.5555555555557,1022.4444444444446,995.6681106297899,946.287870380646,814.3320777680689,700.2264431403712,608.2101938113458,520.3475314308521,413.8701383694839,310.7293590169379,238.27913973147685,111.56934523809522,335.7888450148075,422.7582428430404,352.4,352.4,352.4,950.9439359267733,950.9439359267733,950.9439359267733,984.0918244059606,984.0918244059606,1015.7728706624606,1015.7728706624606,1015.7728706624606,1015.7728706624606,233.3104615384615,194.8,194.8,194.8,194.8
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.7775186049094746,1.442681167461991,1.401047778055174,1.415478737494142,1.434718294238341,1.461650369187787,1.5020412615307905,1.5693401970552419,1.7038662357036298,0.9744047619047619,0,0,0,0,0,1.8592677345537758,1.8592677345537758,1.8592677345537758,2.6178010471204187,2.6178010471204187,0.9961813049975096,0.9961813049975096,0.9961813049975096,0.9961813049975096,0.7186153846153845,0.6,0.6,0.6,0.6
Created Tmp Disk Tables,8.88888888888889,9,9.11111111111111,8.88888888888889,8.777777777777779,9,9.11111111111111,9,9,9,8.777777777777779,9.11111111111111,9.11111111111111,9.11111111111111,9,9,9.11111111111111,8.777777777777779,9.222222222222223,9,9,9.11111111111111,9.11111111111111,9,9.11111111111111,9.11111111111111,9.11111111111111,8.777777777777779,9,8.88888888888889,8.777777777777779,9,9.222222222222223,8.777777777777779,8.88888888888889,9.11111111111111,9.222222222222223,9.11111111111111,9,9,9,8.777777777777779,9,8.88888888888889,8.88888888888889,8.777777777777779,9,9,9.222222222222223,8.777777777777779,9.11111111111111,9.222222222222223,9.11111111111111,9,9.11111111111111,9,9,8.777777777777779,9.222222222222223,9,9,9.11111111111111,9,8.997000999666778,9.09998890245256,7.867422138309824,7.077393687470709,5.959599068374646,5.171993614049092,4.159498878085266,3.2593988708070407,2.490266036797613,1.6240079365079363,3.43030602171767,4.318756169792694,3.6,3.6,3.6,8.867276887871853,8.867276887871853,8.867276887871853,8.860249697946033,8.860249697946033,9.131661962477171,9.131661962477171,9.131661962477171,9.131661962477171,2.1558461538461535,1.8,1.8,1.8,1.8
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7775186049094746,0.7768283209410722,0.7544103420297091,0.7621808586506919,0.7725406199744912,0.7870425064857314,0.8087914485165794,0.8450293368758995,0.9174664346096468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,1.6666666666666667,4.777777777777778,5.444444444444445,8.333333333333334,10.555555555555555,13.333333333333334,14.11111111111111,14.333333333333334,15.777777777777777,15.444444444444446,12.88888888888889,15.666666666666668,13.88888888888889,12.88888888888889,10.222222222222223,11,13.11111111111111,12.88888888888889,14,14.333333333333334,11.444444444444445,12.666666666666668,12.666666666666668,14.777777777777777,15.333333333333334,13.666666666666668,13.555555555555557,11.555555555555555,13.666666666666668,14.444444444444446,13.666666666666668,13.88888888888889,13,11.222222222222223,13.11111111111111,14.11111111111111,16.22222222222222,14.666666666666668,15.666666666666668,18.22222222222222,17.333333333333336,16.11111111111111,17.22222222222222,14.777777777777777,12.666666666666668,11.333333333333334,13.222222222222223,12.444444444444446,11.88888888888889,13.555555555555557,14.555555555555557,14.555555555555557,15.555555555555557,17.88888888888889,17.77777777777778,14.444444444444446,13.11111111111111,10.88888888888889,9.88888888888889,9.555555555555555,8.774852826835499,9.876817223393632,7.328557608288603,6.315212828820018,6.401050851217212,6.296340051885851,5.083831962104213,3.9837097309863827,3.4077324714072597,3.2480158730158726,3.43030602171767,4.318756169792694,3.6,3.6,3.6,16.018306636155607,16.018306636155607,16.018306636155607,18.928715263793798,18.928715263793798,16.104931097459737,16.104931097459737,16.104931097459737,16.104931097459737,2.874461538461538,2.4,2.4,2.4,2.4
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.22222222222222,30.111111111111114,28.22222222222222,29.111111111111114,27.333333333333336,29.333333333333336,28.333333333333336,29.22222222222222,28.666666666666668,29,27.111111111111114,30.22222222222222,29.888888888888893,29.888888888888893,28.666666666666668,28.888888888888893,29,28.333333333333336,29.444444444444446,29,28.666666666666668,29.333333333333336,29.555555555555554,29.444444444444446,30.555555555555554,29.77777777777778,28.888888888888893,28,29.444444444444446,28.111111111111114,27.888888888888893,29.333333333333336,29.444444444444446,27.22222222222222,28.555555555555554,30.333333333333336,30.666666666666668,29.111111111111114,29.22222222222222,29.22222222222222,28.888888888888893,28,29,28.888888888888893,28.444444444444446,27.666666666666668,28.666666666666668,29.111111111111114,29.444444444444446,27.444444444444446,29.333333333333336,29.888888888888893,29.111111111111114,28.888888888888893,30,30.555555555555554,29.111111111111114,28.22222222222222,30.111111111111114,29.666666666666668,29.888888888888893,29.888888888888893,28.666666666666668,29.656781072975672,28.853623349239825,25.8654974410186,23.518723638364204,19.644604336494204,16.977631211335062,13.287288082772378,10.623225949297021,8.650397812033813,4.222420634920635,11.62492596248766,14.6357847976308,12.2,12.2,12.2,29.319221967963387,29.319221967963387,29.319221967963387,28.997180829641557,28.997180829641557,28.723227627428194,28.723227627428194,28.723227627428194,28.723227627428194,5.748923076923076,4.8,4.8,4.8,4.8
Sort Rows,56,56,62.22222222222223,49.777777777777786,49.777777777777786,56,62.22222222222223,56,56,56,49.777777777777786,56,62.22222222222223,56,56,49.777777777777786,62.22222222222223,49.777777777777786,62.22222222222223,56,56,56,62.22222222222223,56,62.22222222222223,56,56,49.777777777777786,56,49.777777777777786,49.777777777777786,56,62.22222222222223,49.777777777777786,49.777777777777786,62.22222222222223,62.22222222222223,56,56,56,56,49.777777777777786,56,56,49.777777777777786,49.777777777777786,56,56,62.22222222222223,49.777777777777786,56,62.22222222222223,56,62.22222222222223,62.22222222222223,56,62.22222222222223,49.777777777777786,62.22222222222223,56,56,62.22222222222223,49.777777777777786,55.981339553482165,62.14626567528577,48.282261889901385,48.77957495364428,37.08194975877558,37.77804031131511,25.88132635253054,20.280704085021586,22.019194430631522,9.094444444444445,21.34412635735439,26.872260612043437,22.4,22.4,22.4,48.05491990846682,48.05491990846682,48.05491990846682,45.10672573499799,45.10672573499799,65.08384525983729,65.08384525983729,65.08384525983729,65.08384525983729,0,0,0,0,0
