Avg Threads Running,1,1,1.9,2.4,2.9,3.3,4.1,4.999999999999999,5.8,6.3,6.8999999999999995,7.1,7.3,7.444444444444445,7.625,8,7.833333333333333,7.4,7,7.333333333333333,7.5,12,18,18,18,19,19,19,28,41.5,58.2,76,108,128.14285714285714,143.25,171.87499999999997,180.44444444444443,187.29999999999998,207.6,224.29999999999998,236.70000000000002,245.1,249,249,249,249,249,249,249,243,242.33333333333334,241.5,240.42857142857144,239,237,234,229,219,189,105,105,105,105,105,105,105,105,105,105,26,25,25,25,25,25,25,25,25,25,24
Peak Threads Connected,1,1,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,18,18,18,20,20,20,46,82,125,165,210,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,189,105,105,105,105,105,105,105,105,105,105,26,26,26,26,26,26,26,26,26,26,24
Peak Threads Running,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,6,6,6,6,6,6,42,78,121,163,206,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,157,84,84,84,84,84,84,84,84,84,84,3,7,7,7,7,7,7,7,7,7,7
Questions,37.22222222222222,39,135,288.33333333333337,408.8888888888889,545.7777777777778,689.2222222222223,800.1111111111111,949.6666666666667,1079.2222222222222,1204.7777777777778,1212.111111111111,1188.6666666666667,1031.4067499999999,903.6425428571426,769.0349333333332,668.2309200000001,526.4458,404.5774,285.4047,196.9108,635.1502694509937,754.6854664870327,874.2206635230717,1160.8848667672198,1083.585095669688,1015.8470632624827,945.9278292928163,651.3645774849613,720.12027060887,644.622578490314,293.6595442644412,291.82776803607214,280.49866429207475,218.8888888888889,161.22222222222223,122.55555555555557,83.11111111111111,39.111111111111114,39.44444444444444,39,39.77777777777778,40.55555555555556,37.88888888888889,39.22222222222222,290.6666666666667,277.520625,276.2430571428571,275.0337333333333,276.0402,278.7066,286.6209333333333,307.16729999999995,373.871,230.70210420841687,196.2,196.2,196.2,196.2,196.2,196.2,196.2,162.09108216432864
Threads Created,0,0,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.11111111111111112,0,0,0,0,0,0,0,0,0,0.35793196362411595,0.4252947120242506,0.4926574604243853,5.362828892240658,9.207308300963891,13.457426738774998,16.422746061892525,23.28928673732455,28.68955149085442,25.495435315074598,23.823175421371296,23.332151803607214,22.150489759572572,18.555555555555557,13.777777777777777,9.333333333333334,4.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,8.88888888888889,9.222222222222223,9,8.88888888888889,9,8.88888888888889,8.88888888888889,8.88888888888889,9.11111111111111,9.11111111111111,8.88888888888889,9.222222222222223,9.11111111111111,7.652025,6.968685714285714,5.9597999999999995,5.17224,4.04425,3.139066666666667,2.3598,1.2975999999999999,5.190013472549682,6.1667733243516345,7.1435331761535865,9.384950561421151,9.207308300963891,9.181235064771727,9.160987599150932,7.722237181323403,8.895013781007266,8.795368514807395,7.542010309278351,8.207289579158317,8.79341050756901,9,8.88888888888889,9,8.777777777777779,9.11111111111111,9.222222222222223,8.777777777777779,9.11111111111111,9.11111111111111,8.88888888888889,9,9,7.8675749999999995,6.750914285714285,5.849433333333333,5.17224,4.1598,3.2598,2.4909,1.6219999999999999,1.8813627254509018,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.3218436873747494
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,2.4444444444444446,2.666666666666667,3.8888888888888893,7.444444444444445,7.444444444444445,9.777777777777779,11.11111111111111,12.333333333333334,12.777777777777779,15.555555555555557,14.87295,13.828485714285714,10.484833333333333,10.6818,8.5507,7.485466666666667,6.686099999999999,7.4612,14.854176490400812,17.6497305490064,20.44528460761199,33.014915367856545,32.51330743777874,30.05911206137593,27.818120880348562,20.347482096820393,22.049611626158857,19.594745045646853,7.422295859924726,7.269313627254509,6.901157613535173,3.666666666666667,2.2222222222222223,1.1111111111111112,1.1111111111111112,0,0,0,0,0,0,0,2.666666666666667,2.5866,2.6132571428571425,2.6488,2.69856,2.7732,2.8975999999999997,3.1464,3.8928,0.7055110220440882,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.49569138276553104
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.77777777777778,29.888888888888893,29.111111111111114,28.555555555555554,29.888888888888893,28.111111111111114,27.888888888888893,28.77777777777778,28.77777777777778,28.666666666666668,28,29.333333333333336,29.666666666666668,23.818275,22.539342857142856,19.424533333333333,16.866,13.4038,10.624533333333334,7.9971000000000005,5.0282,17.53866621758168,20.839440889188282,24.14021556079488,29.99832411597118,29.06056682491728,29.807571374669855,28.935314490001115,24.39246347751361,28.063142069656728,27.83344466711201,23.94288987072492,26.732314629258518,28.049866429207476,30.22222222222222,28,29,28.22222222222222,28.77777777777778,29.888888888888893,28.444444444444446,29.111111111111114,29.666666666666668,27.444444444444446,29,30.555555555555554,26.2971,23.301542857142856,19.645266666666664,17.9904,14.559299999999999,11.711133333333333,9.7014,7.2989999999999995,5.644088176352706,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3.9655310621242483
Sort Rows,56,62.22222222222223,56,49.777777777777786,56,49.777777777777786,56,49.777777777777786,56,56,49.777777777777786,62.22222222222223,62.22222222222223,48.2832,48.78079999999999,37.0832,37.77984,25.8832,20.2832,22.0248,9.0832,40.08837992590098,47.633007746716075,55.17763556753115,65.69465392994806,56.394763343403824,63.63979373663691,62.89800022343873,48.53977656831853,49.611626158857426,50.434201736806955,47.76606529209622,46.781550601202404,50.756901157613534,57,50.66666666666667,57,50.66666666666667,63.333333333333336,63.333333333333336,50.66666666666667,57,63.333333333333336,57,57,57.11111111111111,55.39635,43.55428571428571,37.85576666666667,38.56692,33.0473,20.766133333333336,22.5492,18.653,13.639879759519038,11.6,11.6,11.6,11.6,11.6,11.6,11.6,9.583366733466933
