Avg Threads Running,1,1,1.1,1.4000000000000001,2.4000000000000004,3.3,3.5,4.2,4.8999999999999995,5.2,6.4,9.2,10,10.75,10.714285714285715,10.833333333333332,12.4,13.5,15.333333333333332,21,29,29,29,30,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,35.25,35.25,37.33333333333333,37.33333333333333,40.5,55,55,55,55,55,340,324.5,317.3333333333333,312.5,309.4,307.3333333333333,305.85714285714283,304.75,303.8888888888889,302.90000000000003,298.2,296.6,295.59999999999997,295.09999999999997,294.7,294.1,293.5,280.59999999999997,278.77777777777777,276.875,274.5714285714286,271.5,267.2
Peak Threads Connected,1,1,2,4,11,11,11,11,11,11,13,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,31,31,55,55,55,55,55,55,55,55,55,55,340,340,340,340,340,340,340,340,340,340,309,303,298,297,297,297,297,297,294,293,293,293,293
Peak Threads Running,1,1,1,1,1,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,4,4,7,7,7,7,7,7,16,16,16,16,16,16,16,16,16,16,35,53,64,81,87,92,99,101,102,102,102,102,102,102,102,102,104,104,104,104,104,104,104
Questions,38.66666666666667,37.88888888888889,39.66666666666667,160.11111111111111,296.77777777777777,444.7777777777778,562.1111111111111,685.3333333333334,845.7777777777777,981,1090.888888888889,1222.4444444444446,1065.89475,938.9215142857141,800.3790666666666,692.7428400000001,578.6744,425.34353333333337,298.2525,201.77679999999998,429.53513104838703,494.2312015503877,479.55,479.55,479.55,479.55,1144.6643286573146,1144.6643286573146,1153,880.7767000000001,1184.3731313533983,110.9968105986261,149.077842377261,156.25586598523566,151.25971410419316,150.79371833839917,152.80052092108957,154.30661860129777,156.26344990548205,158.14213766088415,110.92418124719605,72.88888888888889,54.22222222222223,54,69.33333333333334,83.11111111111111,84.22222222222223,117,104.75730000000001,98.97711428571428,94.25313333333332,93.43764000000002,89.78235
Threads Created,0,0,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4444444444444445,2.2222222222222223,2.1555,2.1777142857142855,1.876233333333333,1.9114800000000003,1.96435,2.0524666666666667,2.2287,2.5951999999999997,0.7735887096774193,1.236737445230873,1.2,1.2,1.2,1.2,5.886773547094188,5.886773547094188,7.166666666666667,5.474616666666668,7.773569862467609,1.1395976447497547,0.85187338501292,0.7329074389551391,0.6740628970775095,0.6389564336372847,0.6156346531873069,0.5990163765578329,0.5865745116572149,0.5595970900951315,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9.11111111111111,9,8.88888888888889,9.222222222222223,9.11111111111111,9.11111111111111,9,8.88888888888889,9,9.11111111111111,8.88888888888889,9,7.652025,6.8598,5.849433333333333,5.17224,4.1598,3.139066666666667,2.2287,1.4598,3.0943548387096773,4.173988877654197,4.05,4.05,4.05,4.05,8.892785571142285,8.892785571142285,9.166666666666668,7.002416666666667,8.77018138329679,2.2791952894995093,3.40749354005168,4.250863145939807,4.853252858958069,5.750607902735562,6.771981185060376,7.5476063446286945,8.563987870195337,9.177392277560156,9.08479138627187,9,8.777777777777779,9,9.222222222222223,9.11111111111111,9.11111111111111,9,7.7598,6.8598,5.849433333333333,5.17224,4.27535
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0,1.1111111111111112,2.4444444444444446,3.555555555555556,5.444444444444445,9.11111111111111,10.333333333333334,12.11111111111111,15.444444444444446,14.980725000000001,14.04625714285714,12.912899999999999,12.03108,10.3995,6.8818,6.0306,4.866,8.509475806451613,8.193385574654535,7.95,7.95,7.95,7.95,23.42184368737475,23.42184368737475,23.833333333333336,18.206283333333335,26.70918875822204,0.6837585868498528,0.5111240310077519,0.5863259511641112,0.5392503176620076,0.5111651469098277,0.49250772254984554,0.4792131012462663,0.4692596093257719,0.4476776720761052,0.11215791834903543,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.77777777777778,28.888888888888893,28.22222222222222,29.22222222222222,29.333333333333336,30,28.888888888888893,28.666666666666668,29.22222222222222,29.555555555555554,29.22222222222222,29.22222222222222,25.21935,21.994914285714284,18.5416,16.97844,13.981549999999999,9.779399999999999,7.0794,4.3793999999999995,9.089667338709678,11.903597910347154,11.55,11.55,11.55,11.55,27.680360721442884,27.680360721442884,29,22.153100000000002,28.702411799880405,7.749263984298333,11.755852713178296,14.80473026689381,15.907884371029226,18.657527862208713,22.039720584105588,24.080458337624883,26.98242753623188,29.434806939003913,28.71242709735307,28.888888888888893,27.111111111111114,28.555555555555554,30.22222222222222,29.888888888888893,30.333333333333336,29.555555555555554,25.111575,22.43045714285714,18.43123333333333,16.97844,13.981549999999999
Sort Rows,51.111111111111114,46,40.88888888888889,51.111111111111114,46,46,46,40.88888888888889,46,46,46,46,34.70355,35.0612,25.38433333333333,25.861200000000004,21.2612,11.107466666666667,6.0306,0,8.896270161290321,21.333720930232563,20.7,20.7,20.7,20.7,40.33066132264529,40.33066132264529,46,35.1394,36.67530396651385,10.484298331697742,23.511705426356592,26.970993753549116,24.80551461245235,29.3919959473151,33.98303285593934,38.57665465032444,43.17188405797101,51.48293228875209,51.592642440556304,46,40.88888888888889,46,51.111111111111114,51.111111111111114,46,46,34.70355,30.05245714285714,25.38433333333333,25.861200000000004,21.2612
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311,0.24146666666666666,0.2622,0.32439999999999997,0.19339717741935483,0.15459218065385913,0.15,0.15,0.15,0.15,0.25050100200400804,0.25050100200400804,0.16666666666666669,0.1273166666666667,0.19932230416583613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,286.11111111111114,284.55555555555554,287.8888888888889,521.1111111111111,786.4444444444445,1072.888888888889,1298.7777777777778,1538.888888888889,1850.7777777777778,2113.1111111111113,2328.666666666667,2589.1111111111113,2256.269625,1988.3620285714285,1699.6466666666663,1471.5022800000002,1229.10535,909.7256666666666,641.6034,432.26300000000003,919.0233870967741,1057.1013313110886,1025.7,1025.7,1025.7,1025.7,2431.112224448898,2431.112224448898,2443,1866.2077000000002,2505.880007972892,311.79391560353287,401.0619896640827,429.77692220329357,438.68013341804317,458.0039716312057,482.7806950294861,505.68962509012255,530.2633585381222,547.2859541130385,432.25661731718253,353.8888888888889,318.77777777777777,318,347.6666666666667,373.77777777777777,377.44444444444446,416.11111111111114,363.740625,331.3392285714285,300.85953333333333,277.05216,248.31695
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.2311,0.24146666666666666,0.2622,0.32439999999999997,0.19339717741935483,0.15459218065385913,0.15,0.15,0.15,0.15,0.25050100200400804,0.25050100200400804,0.16666666666666669,0.1273166666666667,0.19932230416583613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,1,0.888888888888889,1.1111111111111112,1,1,1,0.888888888888889,1,1,1,1,0.754425,0.7621999999999999,0.5518333333333333,0.5622,0.4622,0.24146666666666666,0.1311,0,0.19339717741935483,0.4637765419615774,0.45,0.45,0.45,0.45,0.876753507014028,0.876753507014028,1,0.7639000000000001,0.7972892166633445,0.22791952894995093,0.5111240310077519,0.5863259511641112,0.5392503176620076,0.6389564336372847,0.7387615838247683,0.8386229271809661,0.9385192186515438,1.119194180190263,1.1215791834903543,1,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1,1,0.754425,0.6533142857142856,0.5518333333333333,0.5622,0.4622
Slow Queries,3.444444444444444,3.555555555555556,3.444444444444444,4.888888888888889,5.666666666666667,7.333333333333334,8.11111111111111,10.666666666666668,12.222222222222223,14.777777777777777,17.333333333333336,18.666666666666668,16.59735,15.461771428571428,13.79583333333333,12.930600000000002,10.3995,8.3306,5.6373,2.433,8.509475806451613,8.811754297269971,8.55,8.55,8.55,8.55,13.401803607214429,13.401803607214429,10.5,8.020950000000001,9.966115208291807,3.4187929342492636,4.0889922480620156,4.69060760931289,4.5836277001270656,5.239442755825735,5.663838809323224,5.870360490266763,6.452319628229364,6.9390039171796305,5.832211754149843,5.777777777777778,5,5.444444444444445,5.444444444444445,5.555555555555555,5.888888888888889,7.666666666666667,6.682049999999999,6.206485714285714,5.2976,5.28468,4.737550000000001
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.318940137389596,38.16392764857882,33.12741624077229,30.467642947903432,28.88083080040527,27.82668632406627,27.075540220414048,26.513167926906114,25.293788472299944,1.570210856886496,0.22222222222222224,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.318940137389596,38.16392764857882,33.12741624077229,30.467642947903432,28.88083080040527,27.82668632406627,27.075540220414048,26.513167926906114,25.293788472299944,1.570210856886496,0.22222222222222224,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,59,57.55555555555556,59,184.33333333333334,323.55555555555554,476,596.8888888888889,725.5555555555555,889.2222222222223,1029.2222222222222,1144,1278,1113.639075,982.1491428571428,837.9037333333332,725.35044,604.44205,445.50600000000003,311.7558,208.1026,447.3276713709677,516.4924755645434,501.15,501.15,501.15,501.15,1192.6352705410823,1192.6352705410823,1201.5,917.82585,1232.0111620490331,167.97669283611384,199.33837209302328,203.45510505394662,196.01749047013976,196.28741641337388,199.9581353552373,201.62891234936654,205.18376417769377,207.94627867935088,134.58950201884252,94.66666666666667,74.22222222222223,75.22222222222223,90.77777777777779,103.88888888888889,106,136.77777777777777,120.92355,113.56779999999999,105.73126666666664,103.89456,98.10195
Table Locks Waited,0,0,0,2,4.888888888888889,7.555555555555555,9.222222222222223,12,15.333333333333334,17.88888888888889,19.666666666666668,23.555555555555557,20.90835,18.292799999999996,15.8928,14.504760000000001,12.017199999999999,8.934266666666668,6.686099999999999,5.677,10.636844758064516,10.976044826423998,10.65,10.65,10.65,10.65,23.171342685370742,23.171342685370742,21.666666666666668,16.551166666666667,22.72274267490532,2.962953876349362,3.066744186046512,2.7850482680295285,2.5614390088945362,2.4280344478216818,2.3394116821117663,2.276262230919765,2.2289831442974166,2.3503077783995523,0.8972633467922835,0.33333333333333337,0.22222222222222224,0.22222222222222224,0.7777777777777779,0.7777777777777779,0.888888888888889,4.555555555555555,4.203225,4.246542857142857,4.3043,4.385160000000001,4.506449999999999
