Avg Threads Running,2,2,2.7,3.6999999999999997,4.4,5,6,6.444444444444445,7.444444444444445,8.125,9,10.166666666666666,12.833333333333334,13,14,16,18,18,25,25,25,25,42,42,42,42,42,42,42,42,42,42,53,53,53,53,53,53,53,53,53,53,44,44,44,44,44,44
Peak Threads Connected,2,2,9,12,12,12,12,12,12,12,12,12,25,25,25,25,25,25,25,25,25,25,42,42,42,42,42,42,42,42,42,42,53,53,53,53,53,53,53,53,53,53,44,44,44,44,44,44
Peak Threads Running,1,1,1,2,2,2,3,3,4,4,4,4,11,11,11,11,11,11,11,11,11,11,22,22,22,22,22,22,22,22,22,22,29,29,29,29,29,29,29,29,29,29,16,16,16,16,16,16
Questions,38.111111111111114,37.66666666666667,51.777777777777786,199.66666666666669,366.22222222222223,504.44444444444446,647.2222222222223,622.29285,907.1753354774315,885.2906867549315,891.3627974918056,889.4990526840618,1217.3671952977709,1176.2504677560185,964.7663958956819,867.0903190958949,785.468475,675.443475
Threads Created,0,0,0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.64665,2.10713097482533,2.0646278444020743,2.0913673934729937,2.12852418148579,4.21426194965066,4.739927653735811,4.499401453612655,4.8270483629715795,4.461875,3.836875
Created Tmp Disk Tables,9,9,8.88888888888889,9,8.88888888888889,8.777777777777779,9,7.652025,8.872130420317179,7.932517507439547,6.824462020806612,6.161517367458867,8.983032050571143,8.980915554446801,7.577939290294998,6.859489778959613,6.4251000000000005,5.5251
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,0.4444444444444445,4,5.333333333333334,6.555555555555555,6.358725,10.53565487412665,10.32313922201037,10.45683696736497,10.418565730430448,18.520572252412112,16.839216664587752,14.563852073535699,14.227089911916234,13.5641,11.664100000000001
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.22222222222222,28.77777777777778,28.333333333333336,29,28.666666666666668,27.77777777777778,28.555555555555554,23.7105,28.612620605522903,25.210192626383222,21.464033775117567,19.716855575868372,29.943440168570476,29.187975551952103,25.338734501923902,22.610910752866875,22.309375,19.184375
Sort Rows,91,91,91,80.88888888888889,80.88888888888889,80.88888888888889,91,68.652675,80.73638682488632,79.10784582761632,60.0992945703292,61.16706332059166,90.82843517799712,90.80703505051765,75.4241769987174,69.35706332059165,64.9649,55.8649
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,285.33333333333337,284.6666666666667,312.6666666666667,599.2222222222223,923.4444444444446,1191.3333333333335,1468.7777777777778,1392.23745,1972.8291005877786,1903.2608786685437,1894.3385706142224,1869.8524796410172,2573.915936564267,2492.9524759885244,2047.1092560923473,1843.4243643011464,1673.73855,1439.28855
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889,1,0.754425,0.8872130420317179,0.8693169871166628,0.6604318084651559,0.6721655309955127,0.9981146722856826,0.9978795060496445,0.8288371098760153,0.7621655309955127,0.7139,0.6139
Slow Queries,4.111111111111112,3.8888888888888893,4.333333333333334,6.666666666666667,8.777777777777779,10,12.11111111111111,11.2086,15.304424975047132,14.669724157593686,14.30935585007838,14.003448562406515,18.964178773427967,18.211300985406012,15.511094484822573,13.846007146418481,12.850200000000001,11.0502
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,58.333333333333336,57.66666666666667,73.33333333333334,225.44444444444443,393.22222222222223,535,683.4444444444445,655.0564499999999,949.0961517134301,924.7359450453501,928.2369067977767,924.3396327073293,1271.4871908617056,1232.1317200947985,1011.5364899529714,908.6283405351503,827.588575,711.663575
Table Locks Waited,0,0,0.22222222222222224,4.222222222222222,9.555555555555555,12.11111111111111,14.777777777777777,14.334074999999999,21.514916269269158,21.080936937579075,21.353961807040044,21.509296991856406,25.729178218919817,22.951228639141824,19.063253527148355,17.40277962439754,13.5641,11.664100000000001
bytes_received_rate,12378.555555555557,12481.444444444445,13773.777777777777,32537.222222222226,52889.55555555556,70214.55555555556,88187.55555555556,83780.83619999999,120060.2195852279,116617.02652310269,116204.95799486959,115641.03836629548,157044.69335699236,151815.1428215043,124294.07067122702,111186.23199268738,100438.94795,86369.89795
bytes_sent_rate,181069.77777777778,177662.44444444444,181799.8888888889,212276.1111111111,236892.55555555556,259807.22222222225,303157.8888888889,265837.922775,353064.8774536986,333986.91387141607,308222.8645788798,302406.4882017617,430988.5771320838,420876.76188100287,353240.9038050449,315388.0345811866,294344.5395,253114.0395
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
