Avg Threads Running,1,1,1,1.5,2.3,2.6,3.1999999999999997,3.6,4.1000000000000005,4.444444444444445,4.875,5.428571428571429,8.428571428571429,8.833333333333332,8.8,10,11,14,22,22,29,29,36,36,36,36,36,36,36,36,45,45,45,45,45,45,45,45,45,45,47,47,47,47,36,36,36,36,36,34.666666666666664,28.5,25,25,25,25,25,25,25,25,18,18,86,86,86,86,86,86,86,86,73,67.33333333333334,58,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,39.5,23,38.5,54,54,49.5,49.5,40.66666666666667,40.66666666666667,40.66666666666667,40.66666666666667,40.66666666666667,34,34,34
Peak Threads Connected,1,1,1,6,9,9,9,9,9,9,9,9,22,22,22,22,22,22,22,22,36,36,36,36,36,36,36,36,36,36,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,47,32,32,32,32,32,32,32,32,32,18,18,86,86,86,86,86,86,86,86,86,86,60,60,60,60,60,60,60,60,56,23,54,54,54,54,54,54,54,54,54,54,45,45,45
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,32,32,32,32,32,32,32,32,32,32,22,22,22,22,22,22,22,22,22,22,10,10,10,10,10,10,10,10,10,5,5,32,32,32,32,32,32,32,32,37,43,43,43,43,43,43,43,43,43,43,5,20,20,20,23,23,23,23,23,23,23,23,23,23
Questions,37.22222222222222,36.77777777777778,38.333333333333336,161.33333333333334,280.44444444444446,453.88888888888886,596.7777777777778,728,861.7777777777777,832.561875,836.8955999999998,843.8635333333332,1247.7817213842059,1131.8363323353294,975.6000570125428,857.0936502659575,765.357894736842,728.1540836653386,1151.3560804899387,1151.3560804899387,757.2973776662484,1107.4027603513175,1107.4027603513175,1107.4027603513175,789.744278544542,1113.5706340378197,1118.4815184815184,1104.902100900386,1104.902100900386,1104.902100900386,426.6,426.6,549.5259036144578,442.4475903614458,335.3692771084337,1145.0343535290444,1113.091922005571,164.8,503.5975209380234,490.8,490.8,490.8,490.8,535.2761809045226,425.6614405360134,382.0216377171215,1169.38798178385,587.2496671105193,696.7703062583223,786.909843937575,897.5941176470587,928.3643457382952,817.6800720288114,706.9957983193277,577.3655967903711,464.9282848545637,352.49097291875626
Threads Created,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,1.3309671694764862,1.3382634730538923,1.370866590649943,1.4243351063829788,1.274322169059011,1.5303784860557768,5.749281339832521,5.749281339832521,1.8876662484316185,2.760351317440402,2.760351317440402,2.760351317440402,1.9685445420326222,2.558398220244716,2.3976023976023977,1.7150207231670715,1.7150207231670715,1.7150207231670715,0,0,0,0,0,4.497189256714554,4.011142061281338,0,0,0,0,0,0,0,0,0,5.6647784071976,1.2494673768308922,1.4824900133155794,1.1379751900760304,1.2980392156862746,1.3425370148059224,1.1824729891956782,1.022408963585434,0.25752256770310933,0.20737211634904712,0.15722166499498497
Created Tmp Disk Tables,8.88888888888889,9,9,9,9.11111111111111,8.777777777777779,8.88888888888889,9,8.88888888888889,7.8675749999999995,6.8598,6.070166666666666,8.873114463176575,7.918058882235529,7.197049600912202,6.409507978723404,5.734449760765549,5.356324701195218,9.123859517560305,9.123859517560305,6.349422835633626,9.284818067754077,9.284818067754077,9.284818067754077,6.621468005018821,9.121245828698553,8.991008991008991,9.146777190224382,9.146777190224382,9.146777190224382,3.8,3.8,4.894979919678715,3.9411646586345386,2.9873493975903616,8.869456589631481,8.913649025069638,1.8,4.309514237855946,4.2,4.2,4.2,4.2,4.580603015075377,3.6425795644891124,2.965037220843672,8.997000999666778,4.640878828229028,5.506391478029295,6.258863545418167,7.139215686274509,7.383953581432573,6.50360144057623,5.6232492997198875,4.635406218655968,3.7326980942828483,2.8299899699097293
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,1.5555555555555558,4.111111111111112,6.333333333333334,8.444444444444445,10.444444444444445,10.666666666666668,10.3464,10.45302857142857,10.5952,19.07719609582964,16.61677145708583,14.736815849486888,13.056405141843971,11.7237639553429,13.773406374501992,19.74753155855518,19.74753155855518,13.042057716436636,19.071518193224595,19.071518193224595,19.071518193224595,13.600853199498118,11.902113459399333,6.193806193806195,7.288838073460054,7.288838073460054,7.288838073460054,4,4,5.152610441767068,4.14859437751004,3.144578313253012,25.35915053091818,22.95264623955432,0.6,5.694715242881072,5.55,5.55,5.55,5.55,6.052939698492462,4.813408710217756,5.305856079404466,19.437965122736863,10.531225033288948,12.495272969374168,11.94873949579832,13.629411764705882,14.096638655462183,12.41596638655462,10.735294117647058,6.438064192577732,5.1843029087261785,3.930541624874624
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.444444444444446,27.77777777777778,29.22222222222222,29.111111111111114,29.333333333333336,28.444444444444446,28.77777777777778,29,28.888888888888893,25.65045,22.648228571428568,19.645266666666664,28.393966282165042,25.76157185628743,23.19049315849487,20.53416445035461,18.60510366826156,17.1402390438247,29.871266091738534,29.871266091738534,20.42111668757842,29.86198243412798,29.86198243412798,29.86198243412798,21.296072772898366,29.81090100111235,29.77022977022977,29.44118908103473,29.44118908103473,29.44118908103473,11.4,11.4,14.684939759036146,11.823493975903615,8.962048192771084,28.856964397251723,28.635097493036216,5.2,13.082453936348406,12.75,12.75,12.75,12.75,13.90540201005025,11.05783082077052,9.207220843672456,29.323558813728756,14.279627163781623,16.942743009320907,20.483553421368548,23.364705882352943,24.165666266506598,21.284513805522206,18.403361344537814,16.481444332998997,13.271815446339016,10.062186559679038
Sort Rows,46,40.88888888888889,46,46,46,40.88888888888889,46,46,40.88888888888889,39.661199999999994,35.0612,30.461199999999998,45.91836734693878,41.040079840319365,36.78492018244014,32.75970744680851,29.309409888357255,28.158964143426296,45.99425071866017,45.99425071866017,31.575508155583435,46.173149309912176,46.173149309912176,46.173149309912176,32.928381430363864,51.16796440489433,55.14485514485515,52.59396884379019,52.59396884379019,52.59396884379019,18.4,18.4,23.702008032128514,19.083534136546184,14.465060240963856,40.22485946283574,41.00278551532033,9.2,28.31966499162479,27.6,27.6,27.6,27.6,30.10110552763819,23.936951423785594,21.5355334987593,45.98467177607464,16.421571238348868,19.484154460719044,26.1734293717487,29.854901960784314,30.87835134053621,27.1968787515006,23.515406162464984,23.692076228686055,19.078234704112337,14.464393179538614
