Avg Threads Running,2,2,2.2,2.7,3.6,4.1,4.8,5.7,6.8,7.7,8.4,8.799999999999999,8.799999999999999,9.2,9.1,9.333333333333332,10.333333333333334,11.222222222222221,11,11,11.333333333333334,12.4,14.5,15.666666666666666,18.5,18.5,19,47,47,47,47,29,29,29,29,29,29,11,11,11,11,23,23,23,23,23,21.5,20.666666666666664,24.75,24.75,29.2,30.75,30.75,30.75,27.8,25.666666666666668,25.333333333333332,29.833333333333332,37.33333333333333,37.33333333333333,35.4,35.4,35.4,35.4,40.25,48.666666666666664,64,82,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19,32,32,32,32,32,32,32,32,32,32,34
Peak Threads Connected,2,2,4,7,11,11,11,11,13,13,13,13,13,13,13,13,18,19,19,19,19,19,19,19,19,19,19,47,47,47,47,47,47,47,47,47,47,11,11,11,11,23,23,23,23,23,23,23,37,37,47,47,47,47,47,47,47,47,82,82,82,82,82,82,82,82,82,82,18,19,19,19,19,19,19,19,19,19,19,32,32,32,32,32,32,32,32,32,32,34
Peak Threads Running,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35,35,35,35,35,35,35,35,35,35,1,1,1,1,9,9,9,9,9,9,9,27,27,27,27,27,27,27,27,27,39,78,78,78,78,78,78,78,78,78,78,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,11
Questions,38.333333333333336,37.333333333333336,40.111111111111114,149.55555555555557,286.77777777777777,456.88888888888886,591.6666666666667,707.8888888888889,836.4444444444446,1002.2222222222223,1098.5555555555557,1236.888888888889,1250.2222222222222,1207,1183.2222222222222,1011.6839249999999,1196.5196187098204,1177,984.4221178571428,898.5519428571428,769.1088333333332,657.57174,578.9498000000001,449.9264,200.8,165.38282208588956,812.9382116879859,1189.1146225232003,1189.1146225232003,1189.1146225232003,848.7305618259343,729.8190995736143,1152.3886313243297,1128.174936921783,1100.6479481641468,1100.6479481641468,1134.9330357142856,593.6,593.6,593.6,1084.5299038581593,1082.1460373998218,1102.7777777777778,1125.6666666666667,1057.6080150281778,943.4392298058862,526.375,526.375,526.375,489.31025471698115,383.3283333333333,259.8402,136.0858,239.36790123456785,199.2,199.2,199.2,199.2,199.2,199.2,199.2,164.77037037037036
Threads Created,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.22222222222222224,0.22222222222222224,0.5555555555555556,0.538875,1.5517623586787852,1.5555555555555558,1.3040142857142858,1.3209142857142855,1.3443999999999998,1.37928,1.4365999999999999,1.1616,0,0,3.772335089039378,5.5179332831703025,5.5179332831703025,5.5179332831703025,3.9384248808628044,3.3866315525457735,1.209433581939125,1.009251471825063,2.8797696184305255,2.8797696184305255,4.4642857142857135,4.533333333333333,4.533333333333333,4.533333333333333,6.36783618429267,5.6767586821015135,5.666666666666667,6.777777777777779,9.643080776455855,8.602110206637445,7.5,7.5,7.5,6.97188679245283,7.244,7.866,5.8392,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9.222222222222223,8.88888888888889,9.222222222222223,8.88888888888889,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9,9,8.88888888888889,9.222222222222223,8.777777777777779,8.88888888888889,7.652025,9.088893815118599,9.11111111111111,7.7154178571428575,7.04487619047619,6.049799999999999,5.05736,4.429516666666666,3.6138666666666666,1.6,1.3177914110429447,6.344381740657136,9.28016052169551,9.28016052169551,9.28016052169551,6.623714572360171,5.69569852019062,9.070751864543437,9.083263246425568,8.783297336213103,8.783297336213103,9.04017857142857,4.8,4.8,4.8,8.8650268447996,8.79341050756901,8.88888888888889,9.11111111111111,8.766437069505322,7.820100187852224,4.375,4.375,4.375,4.066933962264151,3.2598,2.2287,1.2975999999999999,2.1629629629629625,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.488888888888889
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28797696184305255,0.28797696184305255,0.22321428571428567,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.24971906605069294,0.22261798753339268,0.22222222222222224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.22222222222222224,3.1111111111111116,3.8888888888888893,4.111111111111112,5.777777777777778,6.888888888888888,11.222222222222223,12.333333333333334,15.88888888888889,15.777777777777777,15.555555555555557,17.333333333333336,16.59735,20.39459099977832,21,16.30017857142857,15.410666666666666,12.099599999999999,12.29858,9.936483333333333,7.744,3,2.470858895705521,11.145535490343617,16.302984700275896,16.302984700275896,16.302984700275896,11.636255329821921,10.005956859794331,18.343075992743398,15.475189234650966,14.68682505399568,14.68682505399568,18.86160714285714,10.4,10.4,10.4,17.979772755649893,18.699910952804984,18.666666666666668,21.88888888888889,19.160926737633062,17.092504696305575,10.875,10.875,10.875,10.109235849056603,7.606199999999999,8.1282,3.7306,0.9613168724279835,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6617283950617284
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.77777777777778,28.555555555555554,30,28.666666666666668,29.444444444444446,30.22222222222222,28.444444444444446,30,28,29,28.666666666666668,29.111111111111114,29.555555555555554,28.111111111111114,27.888888888888893,24.5727,28.70760363555753,29.666666666666668,24.776271428571427,22.785771428571426,18.93363333333333,16.78124,14.605433333333334,11.874133333333333,5.6,4.612269938650306,19.719024329069477,28.843742162026587,28.843742162026587,28.843742162026587,20.587220968146475,17.702846751943817,31.64684539407377,30.613961312026913,29.08567314614831,29.08567314614831,30.24553571428571,15.2,15.2,15.2,27.593956798601567,27.604630454140693,28.77777777777778,28.888888888888893,27.301189730745147,24.354026299311208,13.875,13.875,13.875,12.897990566037734,10.1416,6.2928,4.3793999999999995,4.566255144032921,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.1432098765432097
Sort Rows,95.55555555555556,76.44444444444444,95.55555555555556,76.44444444444444,86,95.55555555555556,86,86,76.44444444444444,86,86,86,95.55555555555556,76.44444444444444,76.44444444444444,64.88055,95.32254489026823,86,65.41805,66.26586666666665,48.17433333333333,39.53936,41.18253333333333,33.2992,0,0,73.73200401304238,107.85051417105592,107.85051417105592,107.85051417105592,76.97830448959118,66.19325307248558,86.67607337230396,86.79562657695541,74.29805615550757,74.29805615550757,86.38392857142856,45.86666666666666,45.86666666666666,45.86666666666666,85.90335872143837,76.58058771148708,76.44444444444444,86,75.39135879774577,67.25286161552913,32.25,32.25,32.25,29.97911320754717,31.1492,22.5492,13.9492,20.668312757201644,17.2,17.2,17.2,17.2,17.2,17.2,17.2,14.22716049382716
