Avg Threads Running,2,2,2.5,2.8,3.3,4,4.3,4.6,5.5,6.7,7,7.555555555555555,7.625,8,8.166666666666668,8,8.75,10,9.5,5,19,19,19,19,19,19,19,19,19,37,55,55,55,55,55,55,55,55,55,15,15,15,15,15,15,15,24,24,24,33,33,33,33,31.5,31.5,31.5,30,21,21,21,21,21,21,12,15.5,15.5,15.5,19,19,19,23.5,23.5,23.5,23.5,28,28,28,28,29.5,22.333333333333332,18.333333333333332,18.333333333333332,17.25
Peak Threads Connected,2,2,7,7,7,9,9,9,11,14,14,14,14,14,14,14,14,14,14,5,19,19,19,19,19,19,19,19,19,55,55,55,55,55,55,55,55,55,55,15,15,15,15,15,15,15,33,33,33,33,33,33,33,33,33,33,30,30,30,30,30,30,30,12,19,19,19,19,19,19,28,28,28,28,28,28,28,28,31,31,31,31,31
Peak Threads Running,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,31,31,31,31,31,31,31,31,31,31,2,2,2,2,2,2,2,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,2,3,3,3,3,3,3,11,11,11,11,11,11,11,11,11,11,9,9,9
Questions,38.77777777777778,36.44444444444444,103.33333333333334,227.22222222222223,314.33333333333337,461.55555555555554,608.8888888888889,760.3333333333334,862.8888888888889,1014.6666666666667,1178,1074.4089749999998,960.372,882.2711333333333,746.37672,607.90855,465.90993333333336,379.7967,243.62439999999998,1179.3218454697053,1134.9183615010027,1134.9183615010027,1134.9183615010027,1189.795626697156,1189.795626697156,1189.795626697156,762.494702970297,1109.4059405940595,1109.4059405940593,1109.4059405940593,799.5488613861387,688.6082673267327,1118.9072609633356,1118.9072609633356,1118.9072609633356,1138.1086920392222,1138.1086920392222,1138.1086920392222,1138.1086920392222,1139.3340010015022,1131.716542440761,356.53478481012655,315.59999999999997,602.4162406015038
Threads Created,0,0,0,0,0,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.538875,0.5444285714285714,0.5518333333333333,0.11244000000000001,0.11555,0.12073333333333333,0.1311,0,6.448026681489715,4.8696648524778,4.8696648524778,4.8696648524778,3.1442046591396315,3.1442046591396315,3.1442046591396315,0,0,0,0,0,0,3.7383177570093458,3.7383177570093458,3.7383177570093458,4.154894465680572,4.154894465680572,4.154894465680572,4.154894465680572,3.00450676014021,2.669929914339749,0,0,1.5212531328320804
Created Tmp Disk Tables,9.11111111111111,9,8.88888888888889,9.11111111111111,8.88888888888889,9,8.88888888888889,9,9,8.88888888888889,9.11111111111111,7.975350000000001,6.8598,6.180533333333333,5.28468,4.27535,3.2598,2.3598,1.7841999999999998,9.116175653140633,8.879977083930106,8.879977083930106,8.879977083930106,9.003858796627126,9.003858796627126,9.003858796627126,6.294579207920792,9.15841584158416,9.158415841584159,9.158415841584159,6.600470297029704,5.684628712871287,8.914450035945363,8.914450035945363,8.914450035945363,8.80837626724281,8.80837626724281,8.80837626724281,8.80837626724281,9.01352028042063,9.122260540660807,3.05020253164557,2.6999999999999997,4.978646616541353
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.1111111111111112,2.4444444444444446,3.7777777777777777,6.111111111111112,8.555555555555555,11.88888888888889,13.11111111111111,15.666666666666668,15.777777777777777,14.2263,13.066285714285712,11.919599999999999,9.78228,7.51075,4.225666666666667,3.1464,0.16219999999999998,17.009449694274593,21.77026639931252,21.77026639931252,21.77026639931252,19.008146348435044,19.008146348435044,19.008146348435044,19.053861386138614,27.722772277227726,27.722772277227723,27.722772277227723,19.979801980198022,17.207524752475248,10.783608914450035,10.783608914450035,10.783608914450035,18.44773142762174,18.44773142762174,18.44773142762174,18.44773142762174,17.526289434151224,18.912003559906555,5.253126582278481,4.6499999999999995,7.8828571428571435
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.666666666666668,27.77777777777778,28.111111111111114,29.555555555555554,28.666666666666668,29.333333333333336,28.22222222222222,28.888888888888893,29.22222222222222,28.333333333333336,29.444444444444446,25.542675,21.66825714285714,19.424533333333333,16.416240000000002,13.51935,9.779399999999999,6.0306,5.514799999999999,30.350194552529178,27.642509309653395,27.642509309653395,27.642509309653395,29.01243390024296,29.01243390024296,29.01243390024296,20.75509900990099,30.198019801980205,30.1980198019802,30.1980198019802,21.763712871287133,18.743910891089108,28.61250898634076,28.61250898634076,28.61250898634076,28.751869702509556,28.751869702509556,28.751869702509556,28.751869702509556,28.54281422133199,29.035487818444768,9.828430379746836,8.7,16.04230576441103
Sort Rows,75,66.66666666666667,66.66666666666667,75,75,75,66.66666666666667,75,75,75,83.33333333333334,72.748125,57.165,57.942499999999995,50.598,43.33125,27.165000000000003,19.665,24.33,75.04168982768203,75.19335433973075,75.19335433973075,75.19335433973075,75.03215663855939,75.03215663855939,75.03215663855939,51.03712871287129,74.25742574257427,74.25742574257426,74.25742574257426,53.51732673267327,46.09158415841584,64.70165348670021,64.70165348670021,64.70165348670021,74.78810038225029,74.78810038225029,74.78810038225029,74.78810038225029,75.11266900350525,75.09177884080543,25.418354430379747,22.499999999999996,41.488721804511286
