Avg Threads Running,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,12,12,10.5,11,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,12,20,20,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,15,15,24,20,17.666666666666664,17.666666666666664,17.666666666666664,17.666666666666664,17.666666666666664,17.666666666666664,17.666666666666664,17.666666666666664,14.5,75.5,153.5,166.33333333333334,179.25,192,201.33333333333334,208.14285714285714,211.875,215,217.3,226.2,231.29999999999998,233.49999999999997,232.5,228.9,224.40000000000003,220.7,211.1,194,173,151.7,131.50000000000003,122.33333333333333,111.625,98,80.5,54.2,34.6,26,27.25,27.75,27.25,27.25,27.25,27.2,27.2,27.833333333333332,25,25,25.857142857142854,27.5,29.8,29.8,29.8,30.5,30.5,40.25,47.25,54.666666666666664,62.5,62.5,62.5,62.5,55.333333333333336,45,38.8,29.6,21.4,20.666666666666664
Peak Threads Connected,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,20,20,20,20,20,20,20,20,15,15,24,24,24,24,24,24,24,24,24,24,16,138,169,192,218,243,248,249,249,249,249,249,249,249,249,249,249,240,240,238,227,220,214,212,212,212,212,142,69,44,44,44,44,44,44,44,44,44,33,33,39,39,39,39,39,39,39,70,70,70,70,70,70,70,70,70,70,55,41,41
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,3,130,159,184,209,226,244,244,244,244,244,244,244,244,244,244,242,232,232,227,220,213,209,209,209,209,209,127,62,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,62,62,62,62,62,62,62,62,62,62,44,26,26
Questions,36.44444444444444,39.55555555555556,32.871375,28.31028571428571,26.8191,21.925800000000002,17.67915,15.695333333333334,11.5368,8.596599999999999,1165.645705713214,1164.7910863509749,226,226,226,226,226,226,226,186.40368852459017,408.0363863863864,513.9923423423422,423.4,423.4,423.4,545.1433933933934,439.1874374374373,333.2314814814815,267.1930722891566,348.3084471421345,308.4,308.4,308.4,308.4,308.4,308.4,272.07941325240256,152.0451070336391,1105.8810499501608,224.79479917610712,327.9018011161847,433.2469146190956,550.42151536137,634.9929873264936,685.4432381510635,736.6275221837407,839.6168924852591,888.4182365399622,890.5555555555557,928.7777777777777,917,909.1111111111111,956.1111111111111,1044.2222222222222,1092.2222222222222,1148.3333333333335,1246.4444444444446,1254.4444444444446,1235.111111111111,1258.0788450860632,1107.270563710181,976.2581604976037,836.1250402442408,737.9277222777222,583.5082709113609,1132.5648414985592,1142.6078284717028,1127.1900643158128,1121.0672595886604,596.4349170437406,573.2,573.2,956.1583500142981,1095.2244781241066,1118.7194308581593,1118.6419443748434,1119.5724782899133,1118,1002.1636500000001,703.125,761.2484951845906,648.3873394863564,429.4666666666666,390.9053990610329,1157.3930392374198,1125.6666666666667,1133.75,163.2,163.2,163.2,163.2,1079.4579172610556,1074.9561293557283,1090.1091557139675,1107.7777777777778,582.1272177419355,678.7102415458937
Threads Created,0,0,0,0,0,0,0,0,0,0,5.875734466808351,5.236768802228413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2362449799196787,0.16941072331815882,0.15,0.15,0.15,0.15,0.15,0.15,0.13233434496712188,0,13.290508361944845,7.453089598352214,9.155479452054795,11.697520475709636,14.134081465625789,14.042868638100984,13.657188913079887,13.889595671865072,14.540851210638568,14.714078698026976,12,10.666666666666668,9,7.444444444444445,7.888888888888888,8.88888888888889,9.222222222222223,9.333333333333334,8.444444444444445,7.666666666666667,6.444444444444445,5.219322598556357,3.8798657089319173,2.939880697460997,1.8762045517624202,1.0119380619380618,0,4.655287076036356,5.2356020942408374,5.2117986249722765,5.336297943301835,0.8324283559577677,0.8,0.8,1.9971975979410925,2.287675150128682,3.4459759893285904,3.3826108744675523,3.0060120240480965,4,4.0149,3.25,3.518659711075441,2.9969903691813804,1.4666666666666666,1.3349765258215964,7.64797162491687,7.666666666666667,7.375,0,0,0,0,1.1412268188302426,1.0027575833542242,0.891067052795723,1.3333333333333335,0.6731350806451614,0.8937117552334943
Created Tmp Disk Tables,8.777777777777779,9.222222222222223,7.7598,6.8598,6.180533333333333,5.28468,4.27535,3.501266666666667,2.622,1.7841999999999998,8.001000125015626,8.245125348189415,2,2,2,2,2,2,2,1.6495901639344261,3.2766266266266264,4.127477477477477,3.4,3.4,3.4,4.377627627627628,3.5267767767767766,2.675925925925926,1.8899598393574295,2.8799822964087,2.55,2.55,2.55,2.55,2.55,2.55,2.249683864441072,1.4793577981651373,8.971093144312771,2.1638002059732235,3.39091831557585,4.0941321664983725,4.845970788214556,5.744809897404948,6.767075587562106,7.782963091993359,8.443074896499812,9.252034332850295,9.11111111111111,8.88888888888889,8.88888888888889,9.222222222222223,9.222222222222223,8.88888888888889,8.777777777777779,9.222222222222223,8.88888888888889,8.88888888888889,9,9.106052193225985,7.651957370393504,6.75083715713266,6.070073549819594,5.172127872127872,4.04411672908864,8.978053646641543,9.099975068561456,9.09292526058993,9.116175653140633,4.994570135746606,4.8,4.8,7.98879039176437,9.150700600514728,9.115162294353045,8.769731896767727,8.795368514807395,8.777777777777779,7.9182749999999995,5.375,5.819321829855538,4.95656099518459,3.333333333333333,3.0340375586854464,9.088893815118599,9.222222222222223,9.25,2,2,2,2,8.844507845934379,9.150162948107296,9.022053909556695,8.777777777777779,5.115826612903226,5.745289855072464
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0,0,0,0,0,0,0,19.75246905863233,18.83008356545961,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.8145491803278688,3.8548548548548554,4.8558558558558556,4,4,4,5.15015015015015,4.149149149149149,3.1481481481481484,6.614859437751003,5.251732422862924,4.65,4.65,4.65,4.65,4.65,4.65,4.102364693980778,0.4931192660550458,8.30656772621553,0.24042224510813592,2.2040969051243025,6.4336362616403,8.076617980357593,12.255594447797222,13.165037961257188,12.811954628358299,15.127175856228831,14.714078698026976,14.777777777777777,15.666666666666668,12.444444444444446,13.444444444444446,10.555555555555555,13,13.11111111111111,11.333333333333334,12.666666666666668,14.222222222222223,13,14.21432537479178,11.100726889444097,10.12625573569899,6.621898417985011,6.633816183816182,6.123948189762797,21.946353358457106,22.68760907504363,21.734309159458856,21.011673151750976,5.549522373051785,5.333333333333333,5.333333333333333,10.360462539319418,11.867314841292536,14.117385504668743,14.031571034828364,16.143397906924964,16.88888888888889,15.725025000000002,12.25,13.262640449438203,11.296348314606742,7.2,6.553521126760563,19.729549988915984,16.333333333333336,16.75,0.4,0.4,0.4,0.4,11.697574893009985,10.904988718977188,9.91312096235242,9.666666666666668,2.557913306451613,4.979251207729469
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,27.666666666666668,30.111111111111114,25.003800000000002,21.450485714285712,20.5282,16.75356,13.4038,12.073333333333334,8.6526,6.6502,26.378297287160894,26.740947075208915,5.8,5.8,5.8,5.8,5.8,5.8,5.8,4.783811475409836,9.82987987987988,12.382432432432433,10.2,10.2,10.2,13.132882882882882,10.58033033033033,8.027777777777779,4.488654618473895,7.962303995953465,7.05,7.05,7.05,7.05,7.05,7.05,6.219714213454728,4.602446483180428,28.906855687230042,7.453089598352214,11.020484525621512,14.183243576797935,16.01862566104256,18.89404144035405,22.023755094065763,25.1449576818247,27.909053130096602,30.43139003455579,29.333333333333336,28.444444444444446,27.888888888888893,30.333333333333336,30.111111111111114,28.77777777777778,29.333333333333336,30,29.111111111111114,29.333333333333336,29.666666666666668,29.76124375347029,24.141386633354152,21.45024064443765,19.644965306688867,15.966133866133864,12.478988764044946,28.153402793172244,28.671154325604583,29.940119760479035,30.46136742634797,17.342257415786825,16.666666666666664,16.666666666666664,26.712517872462108,30.59765513297112,30.235660293463763,27.93786018541719,27.72211088844356,27.22222222222222,24.647025000000003,16.5,17.863964686998393,15.215489566613163,9.866666666666665,8.98075117370892,29.70516515185103,29.333333333333336,29.5,4.4,4.4,4.4,4.4,27.81740370898716,29.330659313111056,29.29382936065939,28.555555555555554,16.69375,18.384927536231885
Sort Rows,53.333333333333336,66.66666666666667,51.73199999999999,45.73199999999999,46.354,40.47840000000001,34.665,28.976,23.598,19.464,52.50656332041505,60.167130919220064,24,24,24,24,24,24,24,19.795081967213115,23.12912912912913,29.135135135135137,24,24,24,30.9009009009009,24.894894894894893,18.888888888888893,0,10.164643399089531,9,9,9,9,9,9,7.940060698027312,9.862385321100916,60.25030457414997,14.66575695159629,31.026902587519025,26.758078088185794,32.844913120120886,38.93704486018909,45.03181209177693,58.43209213681168,57.22528540960984,67.99687883179132,61,54.22222222222223,61,67.77777777777779,67.77777777777779,61,54.22222222222223,67.77777777777779,61,61,61,67.74014436424208,52.59373516552155,46.49366880799429,47.12584374132667,41.15214785214785,28.193270911360806,60.85125249390379,68.43679880329094,67.64249279219338,61.033907726514734,25.389064856711915,24.4,24.4,53.300210895052906,61.0523305690592,61.02712316585149,53.495364570283144,54.33088399020263,54.22222222222223,54.424200000000006,30.5,33.021268057784916,28.12560192616373,16.266666666666666,14.806103286384978,60.85125249390379,67.77777777777779,68.625,24.4,24.4,24.4,24.4,60.9129814550642,68.81423915768363,61.149476498106495,54.22222222222223,41.06123991935484,38.940297906602254
