Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.88888889,29.22222222,28.66666667,29.55555556,30.22222222,27.66666667,27.44444444,28.77777778,28.11111111,29.22222222,28.66666667,29.22222222,29,28,30.22222222,29.44444444,27.77777778,28.88888889,27.88888889,29.33333333,28.88888889,27.88888889,29.44444444,29.22222222,28.22222222,28.66666667,28.77777778,30.33333333,29.44444444,30,28.77777778,30.22222222,29.66666667,30.55555556,30.44444444,29.66666667,28.22222222,29.77777778,27.66666667,29.55555556,27.44444444,26.88888889,27.22222222,28.11111111,28.77777778,28.88888889,28.88888889,29.88888889,30,29.22222222,29.55555556,29.44444444,29.22222222,28.11111111,28.77777778,29.11111111,28.33333333,27.33333333,29.88888889,29.44444444,29.77777778,29.55555556,30.44444444,30.32322559,28.77777778,30.33333333,31,29.44444444,29.33333333,29.55555556,30,28.77777778,28.56507725,29.11111111,28.11111111,28.22222222,28.20968458,29.22222222,28.33333333,29,29.77777778,28.88888889,28.44444444,29.54570699,29.88888889,29.67985771,28.55555556,29.77777778,27.44444444,27.98445308,30.55555556,29.55555556,28.12048461,27.88888889,29.11111111,29.22222222,28.66666667,29,29.57198444,28.88888889,29.44444444,28.88888889,29.55555556,29.77777778,28.53019538,29.44444444,29.77777778,28.44444444,28.33333333,28.22222222,30.44444444,28.55555556,27.11111111,30.24911032,28.22222222,29,28.88888889,28.77777778,28.77777778,28.22222222,29.33333333
Sort Rows,40.88888889,46,46,51.11111111,51.11111111,40.88888889,40.88888889,46,46,46,46,46,46,46,51.11111111,51.11111111,40.88888889,51.11111111,46,51.11111111,46,40.88888889,46,46,40.88888889,46,40.88888889,51.11111111,40.88888889,46,46,46,46,51.11111111,51.11111111,51.11111111,46,51.11111111,46,46,40.88888889,40.88888889,40.88888889,40.88888889,46,40.88888889,46,46,51.11111111,46,46,46,51.11111111,40.88888889,46,46,40.88888889,40.88888889,51.11111111,46,51.11111111,46,51.11111111,51.09407975,40.88888889,51.11111111,51.11111111,46,46,46,46,40.88888889,40.90252306,46,40.88888889,40.88888889,40.87072412,46,40.88888889,40.88888889,51.11111111,46,46,51.09407975,51.11111111,51.13383726,46,46,46,40.86618545,51.11111111,46,40.90252306,40.88888889,40.88888889,46,46,46,51.13952196,40.88888889,46,46,46,51.11111111,45.95914742,51.11111111,51.11111111,40.88888889,51.11111111,46,51.11111111,46,40.88888889,46.04092527,40.88888889,40.88888889,51.11111111,46,46,46,46
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.222148173,0.888888889,1,1,1.111111111,1.222222222,1.333333333,1.444444444,1.888888889,2.33411137,2.666666667,2.666666667,2.666666667,2.443358507,3,3,3,2.666666667,2.888888889,1.888888889,1.999333555,2.444444444,2.445531347,1.888888889,2,2.111111111,2.776235425,2.111111111,2.111111111,1.889518728,1.666666667,1.666666667,1.555555556,1.444444444,1.333333333,0.889382991,0.777777778,0.777777778,0.777777778,0.555555556,0.555555556,0.555062167,0.444444444,0.444444444,0.222222222,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444839858,0.444444444,0.333333333,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222
table_open_cache_hits,278.6666667,279.5555556,332.2222222,551.7777778,831.1111111,1071,1328.444444,1572.666667,1805.888889,1988.777778,2286.444444,2429.777778,2474.222222,2424.888889,2465.333333,2428.555556,2394.333333,2385.888889,2380.222222,2290.444444,2379.666667,2301.444444,2286.777778,2211.333333,2231.222222,2216.888889,2237.333333,2330.333333,2402.444444,2347.555556,2407.666667,2380,2423.555556,2450.333333,2505.444444,2510.444444,2460.777778,2389.222222,2404.333333,2486.222222,2494.777778,2473.444444,2423.555556,2381.222222,2450.777778,2487.777778,2511.333333,2495.888889,2373.777778,2459.666667,2449.222222,2469.444444,2476,2386.555556,2364.333333,2398.555556,2378.888889,2411.666667,2391.777778,2477.333333,2519.555556,2516,2513.333333,2535.488171,2495.333333,2466.666667,2437.666667,2469,2441.666667,2381.666667,2420.777778,2453.444444,2383.461154,2416.777778,2499.222222,2551.777778,2443.913816,2433.888889,2465.444444,2449.777778,2441.555556,2550.888889,2495.333333,2492.058203,2503.666667,2623.499333,2621.444444,2608.555556,2522,2597.112715,2578.111111,2579.666667,2530.732466,2563.555556,2559,2487.555556,2494.888889,2587.333333,2569.316287,2514.666667,2519.333333,2549.777778,2432,2440.888889,2446.936057,2463,2415.888889,2379.888889,2476,2452.222222,2452.444444,2493,2390.444444,2508.451957,2511.888889,2504.777778,2427,2324.888889,2356.777778,2372.888889,2347.222222
table_open_cache_misses,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.222148173,0.888888889,1,1,1.111111111,1.222222222,1.333333333,1.444444444,1.888888889,2.33411137,2.666666667,2.666666667,2.666666667,2.443358507,3,3,3,2.666666667,2.888888889,1.888888889,1.999333555,2.444444444,2.445531347,1.888888889,2,2.111111111,2.776235425,2.111111111,2.111111111,1.889518728,1.666666667,1.666666667,1.555555556,1.444444444,1.333333333,0.889382991,0.777777778,0.777777778,0.777777778,0.555555556,0.555555556,0.555062167,0.444444444,0.444444444,0.222222222,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444839858,0.444444444,0.333333333,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.222296321,0.222222222,0.222222222,0.222222222,0.222123501,0.333333333,0.333333333,0.333333333,0.333333333,0.222222222,0.111111111,0.222148173,0.222222222,0.222321032,0.111111111,0.111111111,0.111111111,0.111049417,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,0.888888889,1,1,1.111111111,1.111111111,0.888888889,0.888888889,1,1,1,1,1,1,1,1.111111111,1.111111111,0.888888889,1.111111111,1,1.111111111,1,0.888888889,1,1,0.888888889,1,0.888888889,1.111111111,0.888888889,1,1,1,1,1.111111111,1.111111111,1.111111111,1,1.111111111,1,1,0.888888889,0.888888889,0.888888889,0.888888889,1,0.888888889,1,1,1.111111111,1,1,1,1.111111111,0.888888889,1,1,0.888888889,0.888888889,1.111111111,1,1.111111111,1,1.111111111,1.110740864,0.888888889,1.111111111,1.111111111,1,1,1,1,0.888888889,0.889185284,1,0.888888889,0.888888889,0.888494003,1,0.888888889,0.888888889,1.111111111,1,1,1.110740864,1.111111111,1.111605158,1,1,1,0.888395336,1.111111111,1,0.889185284,0.888888889,0.888888889,1,1,1,1.111728738,0.888888889,1,1,1,1.111111111,0.999111901,1.111111111,1.111111111,0.888888889,1.111111111,1,1.111111111,1,0.888888889,1.00088968,0.888888889,0.888888889,1.111111111,1,1,1,1
