Avg Threads Running,2,2,2.5,3,3.8,4.5,5.2,5.9,6.3999999999999995,6.9,7.6000000000000005,7.8999999999999995,7.9,7.8,7.499999999999999,7.3999999999999995,7.1,6.6000000000000005,6.6,6.5,6.2,6.099999999999999,6.000000000000001,5.800000000000001,6.1000000000000005,6.2,6.3,6.3999999999999995,6.1,6.5,6.699999999999999,7,6.8999999999999995,7.000000000000001,7,6.9,6.7,7.1000000000000005,7.5,7.1,7,6.9,7,7,7.2,7.1,7.1,6.9,6.7,6.7,7.300000000000001,7.3,7.2,7.1000000000000005,6.8999999999999995,7.1000000000000005,7.299999999999999,7.3999999999999995,7.7,7.6,7.4,7.5,7.699999999999999,8.11111111111111,7.875,7.714285714285715,7.833333333333334,7.799999999999999,7.5,8.333333333333334,7,7,30,30,30,30,28.5,28.5,28.5,28.5,28.5,28.5,27,27,27,27,30,30,30,30,30,30,30,30.5,30.5,30.5,31,31,31,31,31,31,31
Peak Threads Connected,2,2,7,7,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,7,7,30,30,30,30,30,30,30,30,30,30,27,27,27,27,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12
Questions,39.111111111111114,37.55555555555556,92.11111111111111,202,322.6666666666667,449.55555555555554,592.3333333333334,745.2222222222223,856.2222222222223,966.8888888888889,1090.2222222222222,1197.6666666666667,1193.111111111111,1187.5555555555557,1161.888888888889,1143.888888888889,1127.5555555555557,1137.7777777777778,1144.2222222222222,1155.3333333333335,1112.5555555555557,1117.3333333333335,1135.2222222222222,1129.5555555555557,1111.5555555555557,1095.5555555555557,1097.111111111111,1091.5555555555557,1077.6666666666667,1083.7777777777778,1077.4444444444446,1053,1071.7777777777778,1071.2222222222222,1051.2222222222222,1034.2222222222222,1048.6666666666667,1045.111111111111,1098.111111111111,1117.6666666666667,1119.7777777777778,1131.888888888889,1156.5555555555557,1172,1182.5555555555557,1157,1121.3333333333335,1033.6666666666667,1046.111111111111,1052.7777777777778,1020.4444444444446,1003.7777777777777,979.7777777777777,960.2222222222223,968.6666666666667,998.4444444444446,1023.6666666666667,991.4444444444446,992.2222222222223,1018.6666666666667,1029.888888888889,1067.4444444444446,1105.888888888889,962.1074249999999,858.5638571428569,751.2659,656.8744800000001,547.36035,437.6583333333333,322.7682,202.74999999999997,675.4638116704232,986.7267718507388,986.7267718507388,986.7267718507388,704.5722514400202,605.8995742549462,988.9716413635063,988.9716413635063,988.9716413635063
Threads Created,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666,0.44976000000000005,0.4622,0.4829333333333333,0,0,0.6857500626095667,1.0017530678687705,1.0017530678687705,1.0017530678687705,0.7153017781116955,0.6151264713248185,1.8619306788885706,1.8619306788885706,1.8619306788885706
Created Tmp Disk Tables,9.11111111111111,9,9.11111111111111,8.88888888888889,9,9.222222222222223,9.11111111111111,9,9.11111111111111,9.11111111111111,8.777777777777779,9,9,8.88888888888889,8.777777777777779,8.88888888888889,9.222222222222223,8.88888888888889,9,9.11111111111111,9,8.88888888888889,9,9,9,9,9.11111111111111,8.777777777777779,8.88888888888889,9,9.11111111111111,8.88888888888889,9,9,8.777777777777779,8.88888888888889,9.11111111111111,9,8.88888888888889,9,9.11111111111111,9.11111111111111,9.11111111111111,9.222222222222223,8.88888888888889,9.11111111111111,9.222222222222223,8.88888888888889,9.11111111111111,8.88888888888889,9.11111111111111,9.11111111111111,8.777777777777779,9.11111111111111,8.88888888888889,9,9.11111111111111,8.88888888888889,9.11111111111111,8.777777777777779,8.777777777777779,9.222222222222223,9.11111111111111,7.8675749999999995,6.8598,6.070166666666666,5.17224,4.27535,3.501266666666667,2.622,1.4598,6.343188079138492,9.266215877786127,9.266215877786127,9.266215877786127,6.6165414475331845,5.68991985975457,9.309653394442853,9.309653394442853,9.309653394442853
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.2222222222222223,4.111111111111112,8,9.555555555555555,12,15.666666666666668,16.444444444444446,19.11111111111111,23.22222222222222,24.666666666666668,23.333333333333336,21.444444444444446,21.333333333333336,21.333333333333336,19.88888888888889,20.444444444444446,19.11111111111111,19.666666666666668,17.11111111111111,16.88888888888889,17,16.88888888888889,15.777777777777777,14.777777777777777,14,17.11111111111111,15.777777777777777,15.777777777777777,16.666666666666668,15.777777777777777,15.555555555555557,15.333333333333334,16,16,12.666666666666668,10.88888888888889,14.222222222222223,12.88888888888889,13.11111111111111,13.222222222222223,13.88888888888889,15.11111111111111,15.777777777777777,15.777777777777777,14.555555555555557,12.333333333333334,13.333333333333334,14,14.88888888888889,14.555555555555557,11.555555555555555,10.555555555555555,10,10.333333333333334,10.333333333333334,9.666666666666668,9.555555555555555,10.222222222222223,12,13.11111111111111,15.555555555555557,14.549625,14.04625714285714,13.023266666666666,12.03108,10.28395,7.726933333333333,4.5885,3.8928,8.40043826696719,12.271475081392436,12.271475081392436,12.271475081392436,8.76244678186827,7.535299273729026,17.61672873102263,17.61672873102263,17.61672873102263
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.77777777777778,28.555555555555554,28.555555555555554,28.444444444444446,28.888888888888893,29.77777777777778,29.77777777777778,29.444444444444446,30.333333333333336,29.666666666666668,28.111111111111114,29,28.77777777777778,27.77777777777778,28.333333333333336,28.666666666666668,29.444444444444446,28,27.77777777777778,29,29.22222222222222,29.111111111111114,29.77777777777778,28.444444444444446,28.666666666666668,28.888888888888893,29.333333333333336,29.111111111111114,29.666666666666668,29.444444444444446,29.444444444444446,28.22222222222222,29,29.111111111111114,28.444444444444446,28.888888888888893,28.77777777777778,28.111111111111114,27.555555555555554,28.666666666666668,29.111111111111114,29.77777777777778,28.888888888888893,30,28.666666666666668,30.22222222222222,30.111111111111114,28.666666666666668,29.77777777777778,29.333333333333336,29.555555555555554,30.22222222222222,27.111111111111114,29.555555555555554,28.333333333333336,28.77777777777778,30.111111111111114,29.111111111111114,30,27.77777777777778,27.77777777777778,30.333333333333336,29.77777777777778,25.973775,22.865999999999996,19.755633333333332,16.75356,13.634899999999998,12.314800000000002,9.5703,5.3526,20.229626846982217,29.55171550212873,29.55171550212873,29.55171550212873,21.10140245429502,18.146230904082145,30.50701804640504,30.50701804640504,30.50701804640504
Sort Rows,84.44444444444444,76,84.44444444444444,67.55555555555556,76,84.44444444444444,76,76,76,76,67.55555555555556,76,76,67.55555555555556,67.55555555555556,76,84.44444444444444,67.55555555555556,76,84.44444444444444,76,76,84.44444444444444,76,76,76,84.44444444444444,67.55555555555556,67.55555555555556,76,84.44444444444444,67.55555555555556,76,76,67.55555555555556,76,76,76,67.55555555555556,67.55555555555556,76,84.44444444444444,84.44444444444444,84.44444444444444,67.55555555555556,84.44444444444444,84.44444444444444,76,84.44444444444444,76,76,76,67.55555555555556,84.44444444444444,67.55555555555556,76,76,67.55555555555556,76,67.55555555555556,67.55555555555556,84.44444444444444,76,73.7181,57.92719999999999,58.715066666666665,51.27264,43.909,36.702933333333334,29.890800000000002,12.3272,52.11700475832707,76.13323315802656,76.13323315802656,76.13323315802656,54.362935136488865,46.749611820686205,87.08106559725007,87.08106559725007,87.08106559725007
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34287503130478336,0.5008765339343852,0.5008765339343852,0.5008765339343852,0.35765088905584774,0.30756323566240923,0,0,0
table_open_cache_hits,280.77777777777777,278.6666666666667,384.33333333333337,598.6666666666667,832.5555555555557,1079.888888888889,1357.111111111111,1655.6666666666667,1872.3333333333335,2086.5555555555557,2326.666666666667,2536.4444444444443,2525.666666666667,2514.222222222222,2464.3333333333335,2429.1111111111113,2395.5555555555557,2414.666666666667,2429.5555555555557,2451.1111111111113,2365.777777777778,2375.222222222222,2411.888888888889,2399.666666666667,2365.1111111111113,2334.5555555555557,2336.222222222222,2325.3333333333335,2298.3333333333335,2310.5555555555557,2299.888888888889,2250.777777777778,2287.222222222222,2284.222222222222,2245.4444444444443,2211.1111111111113,2237.1111111111113,2229.888888888889,2333.888888888889,2370.666666666667,2374.666666666667,2398,2447,2477.4444444444443,2501.222222222222,2450.777777777778,2378.888888888889,2208.666666666667,2234.666666666667,2248.222222222222,2186.1111111111113,2152.1111111111113,2104.4444444444443,2064.888888888889,2083,2143.5555555555557,2190.777777777778,2124.888888888889,2125.3333333333335,2175.666666666667,2199.666666666667,2273.666666666667,2348.5555555555557,2041.3662749999999,1819.3714,1591.7080666666666,1389.5335200000002,1157.3488,924.6966,681.1956,427.2348,1451.0471324818432,2119.7094916103183,2119.7094916103183,2119.7094916103183,1513.578562484348,1301.607613323316,2119.1635634488684,2119.1635634488684,2119.1635634488684
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34287503130478336,0.5008765339343852,0.5008765339343852,0.5008765339343852,0.35765088905584774,0.30756323566240923,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,1,1.1111111111111112,0.888888888888889,1,1.1111111111111112,1,1,1,1,0.888888888888889,1,1,0.888888888888889,0.888888888888889,1,1.1111111111111112,0.888888888888889,1,1.1111111111111112,1,1,1.1111111111111112,1,1,1,1.1111111111111112,0.888888888888889,0.888888888888889,1,1.1111111111111112,0.888888888888889,1,1,0.888888888888889,1,1,1,0.888888888888889,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.888888888888889,1.1111111111111112,1.1111111111111112,1,1.1111111111111112,1,1,1,0.888888888888889,1.1111111111111112,0.888888888888889,1,1,0.888888888888889,1,0.888888888888889,0.888888888888889,1.1111111111111112,1,0.969975,0.7621999999999999,0.7725666666666666,0.67464,0.57775,0.4829333333333333,0.3933,0.16219999999999998,0.6857500626095667,1.0017530678687705,1.0017530678687705,1.0017530678687705,0.7153017781116955,0.6151264713248185,1.1458034947006588,1.1458034947006588,1.1458034947006588
