Avg Threads Running,1,1,1.4,3,3.9000000000000004,4.5,5.1000000000000005,5.6,7.3,8,8.875,10,12.571428571428571,11.833333333333332,12.2,13.5,15.666666666666668,20.5,23,23,23,23,21,21,21,21,21,21,21,21,21,21,32,32,32,32,32,32,32,32,32,32,37,42,44.66666666666667,53.5,65.8,78,91.71428571428572,106.5,121,121,131.5,132.625,138,144,150.25,159.5,168.875,155.125,143.42857142857142,143.42857142857142,143.42857142857142,158,171,181.75,187.33333333333334,174.5,100,61,61,61,61,61,61,61,61,61,61
Peak Threads Connected,1,1,5,17,17,17,17,17,18,18,18,18,23,23,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,21,21,32,32,32,32,32,32,32,32,32,32,37,47,50,80,115,139,174,210,237,237,237,237,237,237,237,237,249,249,249,249,249,249,249,249,249,249,100,61,61,61,61,61,61,61,61,61,61
Peak Threads Running,1,1,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,13,27,40,75,110,135,167,204,230,230,230,230,230,230,230,230,246,246,246,246,246,246,246,246,246,246,89,29,29,29,29,29,29,29,29,29,29
Questions,40.333333333333336,37.88888888888889,95.33333333333334,252.11111111111114,409,538.2222222222223,688.1111111111111,834.4444444444446,958.7777777777777,924.2783999999999,930.8639714285713,883.3747999999999,1236.8129432624114,1081.3021734795614,971.6990888382686,842.8311752988047,732.2032643312102,704.71148111332,199.51882845188283,334.3386503067485,359.0517117117117,392.2293225480283,406.7045062474809,434.5381583361288,478.5811550151976,507.25377512562807,468.7673932160804,381.3142857142857,779.3791574279379,776.0115606936416,780.4444444444445,805.6482099177231,825.9951078496777,830.5555555555557,1012.2276567363273,517.4166666666666,517.4166666666666,490.9896042363433,449.3102400000001,404.07835,362.0792666666667,323.817,318.23639999999995
Threads Created,0,0,0,0.6666666666666667,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7777777777777779,1.6666666666666667,1.6166249999999998,1.633285714285714,1.6555,2.2163120567375887,2.1188883349950154,2.170501138952164,2.2551460823373177,2.4211385350318473,1.6833499005964214,3.627615062761506,4.586963190184049,6.871103603603603,11.044919110212335,13.522797259169689,17.33726098624623,21.19841452394644,23.914899497487436,22.10042713567839,20.579211878926326,22.06208425720621,24.010671409515343,24,25.461418723593507,26.906826773404493,26.888888888888893,23.899510893730547,22.516666666666662,22.516666666666662,21.3666276477146,17.540640000000003,13.981549999999999,10.1416,4.7196,0
Created Tmp Disk Tables,9.222222222222223,9,9.222222222222223,9,8.88888888888889,9,8.88888888888889,8.777777777777779,9,7.54425,6.750914285714285,5.739066666666666,8.976063829787234,7.91795114656032,7.196924829157174,6.290670650730412,5.734275477707007,5.509145129224652,2.418410041841004,5.776175869120655,6.286328828828828,7.273483316481294,7.9095606610237805,8.607150844235715,8.623083874147705,9.495621859296481,8.775169597989949,7.7308150444643875,8.869179600886918,8.781680746998667,8.666666666666668,8.672448298865913,8.783633533466757,9.555555555555555,9.559804357492219,6.183333333333333,6.183333333333333,5.867519509476031,5.059800000000001,4.04425,3.2598,2.3598,1.4598
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1698875255623722,0.14619369369369367,0.13469413549039433,0.12757355904877066,0.12295929777479593,0.119765053807607,0.11722989949748744,0.10833542713567838,0.10888471893611813,0.11086474501108648,0.11116051578479325,0.11111111111111112,0.11118523460084502,0.11118523460084502,0.11111111111111112,0.11116051578479325,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0386503067484663,1.7543243243243243,1.6163296258847317,1.5308827085852479,1.4755115732975512,1.437180645691284,1.4067587939698492,1.3000251256281405,1.3066166272334176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,1.777777777777778,5.222222222222222,5.333333333333334,10.11111111111111,12.88888888888889,17.11111111111111,16.59735,16.768399999999996,16.77573333333333,25.930851063829788,22.63864905284148,23.075854214123005,18.872011952191237,17.075398089171976,14.691053677932405,2.1765690376569036,2.0386503067484663,2.1929054054054054,2.5591885743174925,2.934191858121725,3.073982444369898,3.353421506612996,3.9858165829145724,3.6834045226130647,2.7221179734029533,14.412416851441241,14.562027567807913,14.555555555555557,14.454080498109851,14.565265732710696,14.333333333333334,16.78523788350378,5.016666666666666,5.016666666666666,4.760440356744704,4.385160000000001,4.04425,3.8634666666666666,3.8019,4.5416
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.666666666666668,29,29.333333333333336,29.333333333333336,28.666666666666668,29,27.666666666666668,27.444444444444446,28.666666666666668,23.387175,21.232714285714284,18.76233333333333,28.590425531914896,24.757537387836493,23.075854214123005,20.177622841965473,18.094824840764332,17.75168986083499,6.771548117154812,20.046728016359918,21.490472972972974,25.18780333670374,25.642285368802902,28.526557083752653,29.46220323667132,32.23822236180904,29.792242462311556,26.89452557722118,29.15742793791574,28.45709204090707,27,28.35223482321548,28.79697576161886,30.666666666666668,30.235660293463763,19.366666666666664,19.366666666666664,18.377513935340023,16.19136,13.51935,10.986733333333333,7.3416,4.055
Sort Rows,116.66666666666667,93.33333333333334,116.66666666666667,105,105,105,105,93.33333333333334,105,79.214625,80.03099999999999,57.942499999999995,104.72074468085107,81.9675224327019,83.9641230068337,62.31324701195219,66.89988057324841,64.27335984095427,25.393305439330543,35.67638036809816,46.05101351351351,70.84911526794743,67.10369205965335,77.71027619367104,88.38660971001397,98.9420351758794,91.43510050251255,80.4658072937913,117.29490022172949,105.93597154290796,106,106.07071380920615,117.8563486768957,117.77777777777779,106.04713205869275,61.83333333333333,61.83333333333333,58.675195094760305,59.5932,36.7449,38.3932,13.896600000000001,0
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0.11111111111111112,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.323325,0.3266571428571428,0.3311,0.5540780141843972,0.33456131605184447,0.3427107061503416,0.3560756972111554,0.38228503184713375,0.45909542743538767,0,0.8494376278118609,1.3157432432432432,1.8857178968655206,2.0411769447803305,2.2132673599463266,2.874361291382568,3.047977386934673,2.816721105527638,2.8310026923390716,6.208425720620843,5.780346820809249,5.222222222222222,5.336891260840561,5.559261730042251,5.444444444444445,5.446865273454869,1.6333333333333333,1.6333333333333333,1.5499108138238573,1.5741600000000002,1.6177,1.3280666666666667,0.9177,0.32439999999999997
table_open_cache_hits,288.8888888888889,285.33333333333337,396,703.3333333333334,1007.5555555555557,1256.7777777777778,1550.2222222222222,1834.7777777777778,2079.1111111111113,1983.383325,1974.2068857142854,1861.4442,2617.1320921985816,2293.752382851446,2063.4611617312066,1792.9598273572378,1562.0166401273887,1499.8647614314116,438.9414225941423,717.095245398773,791.785045045045,880.0914812942365,930.9042603788796,1008.1432824555519,1092.8561159944138,1171.009466080402,1082.1625816582914,890.0236925838295,1691.9068736141908,1684.1929746554026,1692.8888888888891,1743.273293306649,1782.9664220591508,1814.6666666666667,2147.843485993775,1146.7166666666667,1146.7166666666667,1088.148099219621,983.17536,871.36255,764.8456666666667,665.4635999999999,625.1188
table_open_cache_misses,0,0,0,0.11111111111111112,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.323325,0.3266571428571428,0.3311,0.5540780141843972,0.33456131605184447,0.3427107061503416,0.3560756972111554,0.38228503184713375,0.45909542743538767,0,0.8494376278118609,1.3157432432432432,1.8857178968655206,2.0411769447803305,2.2132673599463266,2.874361291382568,3.047977386934673,2.816721105527638,2.8310026923390716,6.208425720620843,5.780346820809249,5.222222222222222,5.336891260840561,5.559261730042251,5.444444444444445,5.446865273454869,1.6333333333333333,1.6333333333333333,1.5499108138238573,1.5741600000000002,1.6177,1.3280666666666667,0.9177,0.32439999999999997
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29238738738738734,0.8081648129423659,1.0205884723901653,1.1066336799731633,1.556945699498891,1.7584484924623116,1.625031407035176,1.633270784041772,4.767184035476719,4.557581147176522,4.111111111111112,4.002668445630421,4.22503891483211,4.333333333333334,4.335260115606937,1.2833333333333332,1.2833333333333332,1.2177870680044593,1.2368400000000002,1.27105,1.2073333333333334,0.9177,0.32439999999999997
Sort Scan,1.1111111111111112,0.888888888888889,1.1111111111111112,1,1,1,1,0.888888888888889,1,0.754425,0.7621999999999999,0.5518333333333333,0.9973404255319149,0.7806430707876372,0.7996583143507972,0.5934594953519257,0.6371417197452229,0.6121272365805168,0.24184100418410043,1.6988752556237219,1.6081306306306307,1.751023761375126,1.6584562676340184,1.721430168847143,1.7964758071141051,1.875678391959799,1.7333668341708541,1.633270784041772,1.1086474501108647,1.0004446420631392,1,1.0006671114076053,1.1118523460084502,1.1111111111111112,1.0004446420631392,0.5833333333333333,0.5833333333333333,0.5535395763656633,0.5622,0.34665,0.36219999999999997,0.1311,0
Slow Queries,4.888888888888889,4.333333333333334,5.333333333333334,6.666666666666667,8.444444444444445,9.777777777777779,11.222222222222223,12.666666666666668,14.555555555555557,13.471875,13.284057142857142,12.250699999999998,20.279255319148938,17.843270189431706,16.79282460136674,14.83648738379814,13.634832802547772,13.466799204771371,4.836820083682008,13.251226993865032,15.350337837837836,17.644931749241657,17.22243047158404,17.706138879570613,20.958884416331223,22.273680904522614,20.583731155778892,18.510402219140083,32.48337028824834,30.79146287238773,28.888888888888893,29.352901934623084,29.464087169223927,27,31.236104935526903,11.666666666666666,11.666666666666666,11.070791527313265,10.00716,9.244,8.6928,8.1282,8.596599999999999
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,61.777777777777786,58.22222222222223,119.11111111111111,278.6666666666667,438.55555555555554,571.7777777777778,723.3333333333334,872.4444444444446,1000.7777777777777,961.99965,967.0140285714284,915.0500333333333,1287.5664893617022,1126.0218693918246,1012.367425968109,879.5069721115539,765.5894904458598,737.7663518886679,216.689539748954,352.3467280163599,386.097545045045,428.1926567239636,445.61444175735585,479.6642206194789,527.4452969687012,562.9379773869347,520.2267211055275,425.30371216447736,823.3924611973392,818.3637172076479,820.4444444444446,847.8985990660442,869.9132755170115,876.8888888888889,1045.3534904401956,548.9166666666666,548.9166666666666,520.8807413600891,472.58532,420.94865,372.7038,325.2591,309.802
Table Locks Waited,0,0,0.33333333333333337,4.666666666666667,7.888888888888888,10.555555555555555,14.11111111111111,17.333333333333336,20.444444444444446,19.830599999999997,20.034971428571428,19.976366666666664,26.484929078014186,23.419292123629113,21.248063781321182,18.27855245683931,15.928542993630575,14.844085487077535,2.418410041841004,20.556390593047034,18.420405405405404,17.240849342770474,16.456989117291414,15.98470871072347,19.761233878255155,19.342933417085426,17.875345477386936,16.87713143509831,40.57649667405765,40.57358826144953,40.88888888888889,41.58327774071604,42.4727596175228,38.88888888888889,52.80124499777679,17.849999999999998,17.849999999999998,16.938311036789298,16.75356,16.6392,16.540466666666667,16.7808,20.275
bytes_received_rate,13175.333333333334,12323,19590.222222222223,38896.66666666667,58061.11111111111,74633.11111111111,92590.88888888889,110326.22222222222,125696.11111111112,119899.6875,120153.20799999998,113661.88423333333,158557.4024822695,138453.51678963113,123838.3994305239,107292.37300796814,93208.8638933121,89821.25521868786,26885.46443514644,43372.28527607362,45369.312319819815,49211.98403690597,50426.63855300282,53774.40449234038,57788.43493797749,61449.099798994976,56786.83085427135,44970.042228930404,93880.82039911309,93621.72076478435,93212.88888888889,95745.94173893708,97906.82677340451,98551.88888888889,122746.77634504225,61401.783333333326,61401.783333333326,58265.68651616499,53504.349120000006,49008.10595,44911.83413333334,40706.1567,41997.472799999996
bytes_sent_rate,190745.22222222222,178107.22222222222,193808.77777777778,224648.7777777778,250081.6666666667,279815.22222222225,293351.3333333334,319284.7777777778,358559.1111111111,317079.546525,306355.4014285714,282521.67019999993,414118.3510638298,356027.32769192423,329263.3092255125,289857.4867197875,258833.72651273888,249660.99045725647,95926.7179916318,13353023.259406952,23882324.45831081,39343183.811615266,50833079.49227731,64870464.12016381,70611687.7524768,83338041.43452889,77015013.6966897,77362312.6437301,75633721.95121951,66435675.63361494,52154443.88888889,40392652.21258617,26110543.3622415,19258382.77777778,5821461.538461538,285667.31666666665,285667.31666666665,271076.8550557414,252739.2588,205815.00235,182488.3126,111302.72009999999,57326.5082
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_not_cached,28.77777777777778,27,53.22222222222223,129.55555555555557,196.55555555555557,253.33333333333334,319.33333333333337,386.44444444444446,443.6666666666667,426.14234999999996,428.4652857142857,406.0389666666666,564.2730496453901,496.3774725822533,448.03712984054664,390.25896414342634,338.4496815286624,325.3456262425447,92.86694560669456,151.539672801636,179.08727477477476,209.98815722952477,225.42247883917776,248.9925779939618,285.7594183849503,307.37679648241203,284.05548994974873,243.68400097903236,391.2416851441242,388.172521120498,393.8888888888889,414.05381365354685,430.28685790527027,435.2222222222223,470.8759448643842,284.31666666666666,284.31666666666666,269.7951895206243,240.73404,202.67469999999997,165.04246666666668,126.24929999999999,90.02099999999999
qcache_lowmem_prunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com admin_commands,1,1,1,1,1,1,1,1,1,0.8622,0.7621999999999999,0.6622,0.9973404255319149,0.8921635094715853,0.7996583143507972,0.7121513944223108,0.6371417197452229,0.6121272365805168,0.24184100418410043,0.3397750511247444,0.43858108108108107,0.5387765419615773,0.6378677952438533,0.7377557866487756,0.838355376653249,0.9378391959798995,0.8666834170854271,0.7621930325528269,0.9977827050997783,1.0004446420631392,1,1.0006671114076053,1.0006671114076053,1,1.0004446420631392,0.7,0.7,0.6642474916387959,0.5622,0.4622,0.36219999999999997,0.2622,0.16219999999999998
com alter_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_db_upgrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_function,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_instance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_procedure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_tablespace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_user,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com analyze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com assign_to_keycache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com begin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com binlog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
