Avg Threads Running,1,1,1.2,1.3,1.5,2,2.1,2.5,3,3.8,4.300000000000001,4.5,4.6000000000000005,4.7,4.800000000000001,4.8999999999999995,5.1,5,4.800000000000001,4.3999999999999995,4.4,4.700000000000001,5,5.1,5.2,5.2,4.8999999999999995,4.8,4.6000000000000005,4.5,4.8,4.7,4.4,4.4,4.6,4.5,4.6000000000000005,4.699999999999999,5.1,4.9,4.3,4.2,3.999999999999999,3.9,3.9,4.2,4.4,4.6000000000000005,4.4,4.5,4.9,5,5.1,5.1,4.800000000000001,4.3999999999999995,4.5,4.5,4.300000000000001,4.3,4.3,4.2,4.199999999999999,4.800000000000001,5.4,5.8,5.9,6.1,6.6,6.8,7.5,7.6000000000000005,8.11111111111111,8,7.7142857142857135,7.5,7.8,9.8,10.5,12.333333333333334,11.5,18,18,18,25.5,25.5,27,31.5,33.666666666666664,30.5,30.5,30.5,30.5,30.5,29.666666666666664,29.666666666666664,29.5,22.333333333333332,12.666666666666668,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9,15,12,12,12,12,12,12,12,12,12,9
Peak Threads Connected,1,1,3,3,3,6,6,6,6,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,9,10,10,10,10,10,10,14,14,14,14,14,14,14,18,18,18,18,18,18,18,33,33,33,33,38,38,38,38,38,38,38,38,38,38,21,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15,9
Peak Threads Running,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,9,9,19,19,21,21,21,21,21,21,21,21,21,21,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1
Questions,38.44444444444444,35.55555555555556,52.22222222222223,169,212.33333333333334,282.55555555555554,386.8888888888889,482.55555555555554,570,630.5555555555555,712.1111111111111,775.4444444444445,723,766.7777777777778,785,735.6666666666667,707.1111111111111,677.5555555555555,689.5555555555555,676.8888888888889,633.5555555555555,664,647,674.6666666666667,715.7777777777778,722.5555555555555,726.3333333333334,738.1111111111111,753.4444444444445,795,781.2222222222223,812.5555555555555,773.4444444444445,730.8888888888889,746.5555555555555,787.6666666666667,779.7777777777778,771,796.3333333333334,771.8888888888889,724.8888888888889,747.6666666666667,761.1111111111111,771.7777777777778,750.4444444444445,778,787.7777777777778,775.2222222222223,783.7777777777778,806,774.8888888888889,801.4444444444446,761.3333333333334,750.4444444444445,748.6666666666667,722.1111111111111,715.2222222222223,723.1111111111111,736.6666666666667,742.2222222222223,725,728.7777777777778,749,718.6666666666667,796,880.5555555555557,939.7777777777777,1004.3333333333334,1064.7777777777778,1142.888888888889,1211.7777777777778,1258.2222222222222,1145.64825,1021.5657714285713,865.9368666666666,742.104,599.35785,1224.168514412417,1196.508728179551,1192.3076923076926,1180.730897009967,1138.7621220764404,1138.7621220764404,1102.0680453635757,470.2774470232089,638.8954317269078,720.5985507246378,715.2,715.2,750.3985507246377,642.4275362318841,560.3829370395176,445.27911922304094,201.4,1157.807124625458,1163.4444444444446,209,209,209,209,209,209,209,172.75256937307296,250.37346938775508,209,209,209,209,209,209,209,171.89183673469387
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5555555555555556,0.6666666666666667,0.64665,0.3266571428571428,0.3311,0.33732,0.34665,2.9933481152993346,3.366583541147132,3.5612535612535616,3.98671096345515,2.852253280091272,2.852253280091272,2.2237046920169004,0,0.8798192771084338,2.0150966183574885,2.0000000000000004,2.0000000000000004,2.098429951690821,1.7964975845410627,2.445663094440723,1.9433188211654389,1.8,5.881700144268118,4.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9,8.777777777777779,8.88888888888889,8.88888888888889,9,9.11111111111111,8.777777777777779,8.88888888888889,9,9,9.11111111111111,9.11111111111111,9.11111111111111,9,8.88888888888889,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9,9,9,9.11111111111111,9.11111111111111,9,9.11111111111111,9,9.11111111111111,9,9.222222222222223,9.11111111111111,8.88888888888889,9.11111111111111,9,8.88888888888889,9,9,8.777777777777779,8.777777777777779,9,8.88888888888889,8.88888888888889,9,9.11111111111111,8.777777777777779,9.11111111111111,9.222222222222223,9.222222222222223,8.88888888888889,9,8.88888888888889,9,8.88888888888889,9,8.88888888888889,9,8.777777777777779,9.11111111111111,9.222222222222223,9.222222222222223,9.11111111111111,9,9,9,8.88888888888889,9,8.88888888888889,8.88888888888889,8.777777777777779,8.88888888888889,7.7598,6.968685714285714,5.9597999999999995,5.059800000000001,4.27535,9.09090909090909,9.102244389027431,9.259259259259261,9.136212624584719,8.984597832287507,8.984597832287507,8.783633533466757,3.9047426841574167,5.278915662650603,5.776610305958132,5.733333333333334,5.733333333333334,6.015499194847021,5.149959742351046,4.402193569993302,3.4979738780977905,1.4,8.989013428032406,9.11111111111111,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.3225077081192187,2.1563265306122448,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.480408163265306
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,7.888888888888888,7.888888888888888,8.555555555555555,11.333333333333334,11.333333333333334,11.555555555555555,12.333333333333334,13,14.333333333333334,7.333333333333334,8.444444444444445,7.888888888888888,6.666666666666667,7.444444444444445,7.333333333333334,8.88888888888889,8.222222222222223,6.888888888888888,7.222222222222223,7.111111111111112,9.11111111111111,13.777777777777777,14.222222222222223,14.222222222222223,14.222222222222223,16.666666666666668,18,17.11111111111111,16.88888888888889,14.777777777777777,8.666666666666668,10.11111111111111,12,9.777777777777779,8.777777777777779,10.555555555555555,10.555555555555555,10,12.222222222222223,12.222222222222223,11.88888888888889,10.11111111111111,10.11111111111111,8.666666666666668,6.777777777777779,7.555555555555555,7.333333333333334,6.333333333333334,8.777777777777779,7.222222222222223,7.333333333333334,9.11111111111111,10.666666666666668,12.88888888888889,13,15.444444444444446,14.444444444444446,12.222222222222223,11.555555555555555,12.333333333333334,11.555555555555555,10.777777777777779,10.222222222222223,10.11111111111111,12.555555555555555,14.666666666666668,18.333333333333336,21.555555555555557,24.333333333333336,22.524975,21.994914285714284,19.424533333333333,18.66504,14.097100000000001,27.0509977827051,25.935162094763093,25.35612535612536,23.75415282392027,13.262977752424415,13.262977752424415,11.452079163887037,2.4404641775983853,6.305371485943776,6.448309178743962,6.4,6.4,6.714975845410628,5.748792270531401,6.1956798392498325,4.923074346952445,1,17.64510043280435,20.333333333333336,5.8,5.8,5.8,5.8,5.8,5.8,5.8,4.794090441932168,2.3959183673469386,2,2,2,2,2,2,2,1.6448979591836737
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.666666666666668,27.22222222222222,29.111111111111114,27.666666666666668,29.111111111111114,29.555555555555554,27.77777777777778,28.111111111111114,29.333333333333336,28.666666666666668,29.555555555555554,29.77777777777778,30.111111111111114,29.333333333333336,28.666666666666668,28.444444444444446,28.444444444444446,29.22222222222222,29.111111111111114,30,28.111111111111114,29.444444444444446,28.22222222222222,29.444444444444446,30.22222222222222,29.666666666666668,28.666666666666668,28.666666666666668,29.22222222222222,30.22222222222222,28.444444444444446,30.555555555555554,29.77777777777778,27.77777777777778,29.22222222222222,28.77777777777778,28.22222222222222,28.22222222222222,28.333333333333336,28,27.444444444444446,27.666666666666668,28.666666666666668,28.444444444444446,28.77777777777778,30.555555555555554,28.77777777777778,30,30.111111111111114,29.888888888888893,29.22222222222222,29.666666666666668,28.444444444444446,29.888888888888893,28.333333333333336,29.444444444444446,28.666666666666668,28.22222222222222,28.555555555555554,29.666666666666668,30.333333333333336,30.666666666666668,29.77777777777778,28.111111111111114,27.888888888888893,28.111111111111114,29,28.555555555555554,28.77777777777778,27.77777777777778,27.666666666666668,28.22222222222222,25.973775,23.083771428571428,19.866,16.97844,14.559299999999999,29.15742793791574,29.67581047381546,30.341880341880348,29.401993355481732,28.807758128921847,28.807758128921847,27.685123415610413,11.47018163471241,16.716566265060244,18.53888888888889,18.400000000000002,18.400000000000002,19.305555555555554,16.52777777777778,14.837022772940387,11.78946751507033,4.8,28.187770502718905,29,6.2,6.2,6.2,6.2,6.2,6.2,6.2,5.1247173689619725,6.948163265306123,5.8,5.8,5.8,5.8,5.8,5.8,5.8,4.770204081632653
Sort Rows,46,40.88888888888889,40.88888888888889,40.88888888888889,46,46,40.88888888888889,46,46,46,46,46,51.111111111111114,46,46,46,40.88888888888889,51.111111111111114,40.88888888888889,51.111111111111114,46,46,46,40.88888888888889,51.111111111111114,51.111111111111114,46,51.111111111111114,46,46,46,51.111111111111114,51.111111111111114,46,46,40.88888888888889,46,46,51.111111111111114,40.88888888888889,40.88888888888889,46,40.88888888888889,46,46,46,40.88888888888889,46,51.111111111111114,51.111111111111114,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,51.111111111111114,51.111111111111114,51.111111111111114,51.111111111111114,46,46,51.111111111111114,46,46,40.88888888888889,40.88888888888889,40.88888888888889,46,44.618849999999995,40.069942857142856,30.461199999999998,25.861200000000004,26.5765,50.99778270509978,51.62094763092269,52.421652421652425,45.847176079734226,45.92127780946948,45.92127780946948,40.916166333110965,11.226135216952573,26.98112449799197,24.718518518518522,24.53333333333334,24.53333333333334,25.74074074074074,22.037037037037038,22.500100468854654,17.87853315472204,0,45.94384640994341,51.111111111111114,9.2,9.2,9.2,9.2,9.2,9.2,9.2,7.604419321685508,11.021224489795918,9.2,9.2,9.2,9.2,9.2,9.2,9.2,7.5665306122448985
