Avg Threads Running,2,2,2.3,3.1,4,4.8,5.699999999999999,6.699999999999999,7.600000000000001,8.5,9.222222222222221,10.125,10.857142857142858,11,11,11.25,11.333333333333332,11,11,26,26,26,26,26,25.5,25.5,25.5,25.5,25.5,25,25,25,25,25,35,41,40.66666666666667,40.5,41,40.833333333333336,40.285714285714285,40.25,39.666666666666664,39.199999999999996,37,34.3,32.4,30,27.099999999999998,23.6,20.5,17.799999999999997,15.4,12.700000000000001,12.666666666666666,11.75,10.428571428571429,9.5,8.6,9.5,10.666666666666666,9.5,8,13,13,13,16.5,16.5,16.5,16.5,16.5,14.333333333333334,14.333333333333334,15,15,15,10,10,10,10,10,32,32,32
Peak Threads Connected,2,2,5,10,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,35,47,47,47,47,47,47,47,47,47,47,43,43,43,40,40,40,35,35,21,21,21,16,14,13,13,13,11,8,13,13,13,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,32,32,32
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,12,12,12,12,3,3,3,3,3,6,20,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,9,9,9
Questions,39.44444444444444,38.77777777777778,137.66666666666669,262.6666666666667,414.7777777777778,584.2222222222223,717.4444444444445,885.5555555555557,997.5555555555557,1122.3333333333335,1084.970925,995.5420857142856,880.8363666666667,738.1686000000001,578.6744,454.3195333333333,291.04200000000003,189.77399999999997,1185.496794871795,1185.496794871795,1185.496794871795,1185.496794871795,1185.496794871795,241.89860103626944,329.8855222734255,398.62362698946424,485.22894636984563,609.575053074304,700.0556730502358,758.3014655438019,827.8318260404878,886.5184854238803,893.1909212283044,918.3333333333334,951.442254148569,1033.3333333333335,1060.3794642857142,1091.9758605274922,1136.6970437875084,1205.5555555555557,1257.111111111111,1260.2222222222222,1096.395075,990.4244571428569,825.2115666666666,682.5108,563.1907,460.9598666666667,323.94809999999995,182.9616,663.1749329758712,787.504691689008,911.8344504021449,949.1333780160858,824.8036193029491,1198.823823823824,1198.823823823824,1172.3242811501598,1172.3242811501598,1172.3242811501598
Threads Created,0,0,0,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.64665,0.6533142857142856,0.6622,0.11244000000000001,0.11555,0.12073333333333333,0.1311,0,2.403846153846154,2.403846153846154,2.403846153846154,2.403846153846154,2.403846153846154,3.8358549222797924,2.719303635432668,2.3277292086976016,2.559508601062484,2.408886441017424,2.319682209270052,2.2750241347437603,2.228507324280146,2.1221936780967274,0.33377837116154874,0.33333333333333337,0.3341129301703976,0.11111111111111112,0.11160714285714286,0.11175681716584711,0.11113580795732385,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4311,0.4355428571428571,0.3311,0.33732,0.34665,0.36219999999999997,0,0,3.2175603217158177,3.8207774798927616,4.423994638069705,4.604959785522788,4.001742627345845,2.5025025025025025,2.5025025025025025,0.3993610223642173,0.3993610223642173,0.3993610223642173
Created Tmp Disk Tables,9.11111111111111,9.11111111111111,9,9.11111111111111,9.11111111111111,9,8.777777777777779,9.11111111111111,9,8.88888888888889,7.54425,6.8598,5.849433333333333,4.83492,4.04425,3.2598,2.0976,1.2975999999999999,9.014423076923077,9.014423076923077,9.014423076923077,9.014423076923077,9.014423076923077,2.6371502590673574,3.0592165898617516,4.073526115220803,4.849595244118391,5.83204085720008,6.836958090480154,7.663239190715825,8.444869860430027,9.04724673293868,8.900756564307967,9,9.021049114600736,9.11111111111111,9.151785714285714,8.828788556101923,9.002000444543231,9.11111111111111,9.222222222222223,9.11111111111111,7.975350000000001,6.968685714285714,6.070166666666666,5.059800000000001,4.3909,3.3805333333333336,2.4909,1.4598,5.00509383378016,5.943431635388739,6.8817694369973195,7.163270777479893,6.2249329758713134,9.00900900900901,9.00900900900901,8.78594249201278,8.78594249201278,8.78594249201278
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.1111111111111112,2.3333333333333335,5.333333333333334,9.333333333333334,10.555555555555555,14.222222222222223,16.444444444444446,19,18.429525,17.5306,16.555,13.830119999999999,10.05285,9.175733333333334,5.6373,3.7306,21.233974358974358,21.233974358974358,21.233974358974358,21.233974358974358,21.233974358974358,4.315336787564767,5.77852022529442,7.274153777180004,8.352080698203896,10.142679751652313,11.720499583680265,12.452763684913217,14.07478310071671,15.190438959008153,14.352469959946598,14.88888888888889,15.035081857667894,21.88888888888889,22.433035714285715,24.474742959320515,25.783507446099133,25.333333333333336,26,26.666666666666668,23.602725,21.994914285714284,14.126933333333332,11.91864,8.3196,6.157400000000001,5.1129,2.7573999999999996,15.909048257372651,18.89162198391421,21.874195710455766,22.76896782841823,19.786394101876674,29.029029029029026,29.029029029029026,28.554313099041536,28.554313099041536,28.554313099041536
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30,29.444444444444446,29.111111111111114,29.77777777777778,28.555555555555554,29.22222222222222,28.555555555555554,30.444444444444446,29.22222222222222,28.111111111111114,24.357149999999997,22.212685714285712,18.651966666666663,16.303800000000003,13.1727,10.1416,5.8995,3.7306,31.25,31.25,31.25,31.25,31.25,12.466528497409325,12.57677931387609,14.693790629903608,16.83887237541108,19.651442018826355,22.708467943380512,25.623956043956042,28.03227634226078,30.269183513905954,28.482421005785493,28.111111111111114,29.290566878271523,29.22222222222222,30.580357142857146,28.72150201162271,28.784174260946877,29.888888888888893,30.111111111111114,28.77777777777778,25.865999999999996,22.1038,19.755633333333332,15.516720000000001,14.328199999999999,11.348933333333333,7.734899999999999,4.055,17.160321715817695,20.377479892761393,23.59463806970509,24.559785522788204,21.342627345844505,29.654654654654657,29.654654654654657,28.15495207667732,28.15495207667732,28.15495207667732
Sort Rows,97.77777777777779,88,88,88,97.77777777777779,97.77777777777779,78.22222222222223,97.77777777777779,88,78.22222222222223,66.3894,67.07359999999998,58.2736,39.578880000000005,30.505200000000002,31.8736,11.5368,14.273599999999998,88.14102564102564,88.14102564102564,88.14102564102564,88.14102564102564,88.14102564102564,42.19440414507772,29.912339989759346,38.40753194351042,47.418264609157596,55.78473863408772,75.2065389952817,73.75867721063982,82.57206085753803,88.46196805540043,78.32665776591011,88,88.20581356498498,88,98.21428571428572,78.67679928475636,88.01955990220048,88,97.77777777777779,97.77777777777779,85.3578,76.65554285714285,67.98586666666667,49.473600000000005,50.842,42.498133333333335,34.6104,14.273599999999998,62.92117962466487,74.71742627345844,86.51367292225201,90.05254691689008,78.25630026809651,88.08808808808809,88.08808808808809,70.28753993610223,70.28753993610223,70.28753993610223
