Avg Threads Running,2,2,2.4,3.3000000000000003,4,4.7,5.1,5.6,7.9,8.555555555555555,9.375,10.428571428571429,11.42857142857143,11.5,12,12.75,15,19,13,13,13,17,21,21,21,21,21,21,21,21,21,16,16,16,14.5,14.5,14.5,14.5,14.5,19.666666666666668,19.666666666666668,21.5,21.5,21.5,30,30,30,30,30,19,19,19,19,19,19,19,19,19,19
Peak Threads Connected,2,2,6,11,11,11,11,11,25,25,25,25,25,25,25,25,25,25,13,13,13,21,21,21,21,21,21,21,21,21,21,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,19,19,19,19,19,19,19,19,19,19
Peak Threads Running,1,1,1,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,3,3,15,15,15,15,15,15,15,15,15,15,2,2,2,2,2,2,2,2,2,2
Questions,37.55555555555556,40,70.77777777777779,217.11111111111114,398.55555555555554,544.1111111111111,696.5555555555555,802.6666666666667,928.7777777777777,897.226875,901.0292857142856,876.8631666666666,1260.1130444419816,1083.8689854169263,954.4513829560017,826.2166500636449,759.2209536133785,732.4138453890132,1184.695690804087,605.6657314629258,718.9589846359386,832.2522378089512,865.7870407481629,752.4937875751501,1172.9857819905212,1172.9857819905212,1196.8550955414012,1196.8550955414012,1196.8550955414012
Threads Created,0,0,0,0,0.5555555555555556,0.7777777777777779,0.7777777777777779,0.7777777777777779,2.2222222222222223,2.1555,2.1777142857142855,2.207333333333333,2.5490413388008424,2.0073713074909634,1.8277943898618823,1.8990757651225856,2.0388612383038027,0.4590976882923192,4.775655264326966,0,0,0,0,0,2.6191070092292343,2.6191070092292343,4.179936305732484,4.179936305732484,4.179936305732484
Created Tmp Disk Tables,9,9.222222222222223,8.88888888888889,8.777777777777779,9.222222222222223,8.777777777777779,9.222222222222223,9,9,7.8675749999999995,6.8598,6.070166666666666,9.198714396542169,8.029485229963853,7.425414708813896,6.409380707288726,5.8617260601234324,5.50917225950783,8.88494002665482,4.999599198396793,5.934802939211757,6.870006680026719,7.146826987307948,6.211623246492985,9.104514841606385,9.104514841606385,8.957006369426752,8.957006369426752,8.957006369426752
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.33333333333333337,3.444444444444444,4.777777777777778,6.111111111111112,7.555555555555555,9.555555555555555,10.222222222222223,9.915299999999998,10.017485714285714,9.822633333333332,16.845838412944694,15.612887947151938,14.622355118895058,13.649607061818582,12.360596257216804,13.92596321153368,21.54597956463794,5.713827655310621,6.782631930527723,7.851436205744823,8.167802271209084,7.098997995991982,15.589922673983537,15.589922673983537,18.511146496815286,18.511146496815286,18.511146496815286
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.333333333333336,30.444444444444446,29,27.444444444444446,30.444444444444446,28,30.333333333333336,28.22222222222222,29.555555555555554,25.973775,22.1038,19.09343333333333,29.25856145406184,24.86910008724916,23.075904172006265,19.702911063146825,18.98689528170416,16.52751677852349,29.653487338960463,16.24869739478958,19.28810955243821,22.327521710086838,23.227187708750833,20.1877755511022,29.683212771264653,29.683212771264653,29.259554140127385,29.259554140127385,29.259554140127385
Sort Rows,50,55.55555555555556,44.44444444444444,44.44444444444444,55.55555555555556,44.44444444444444,55.55555555555556,55.55555555555556,50,48.49875,38.11,38.62833333333333,55.413942147844395,44.60825127757697,45.69485974654706,35.60767059604848,31.85720684849692,30.60651255282128,44.4247001332741,35.71142284569138,42.39144956579826,49.07147628590514,51.04876419505677,44.36873747494989,56.123721626340725,56.123721626340725,49.761146496815286,49.761146496815286,49.761146496815286
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
