Avg Threads Running,1,1,1.7000000000000002,2.1999999999999997,2.9,3.2,4,4.6,5.1,6.1,6.666666666666667,7.375,7.285714285714285,7.5,7.4,8.25,8,8.5,11,53,53,53,53,53,53,45,33.666666666666664,28.25,28.25,20,20,20,20,20,20,11.5,12,83,83,78.5,78.5,78.5,78.5,62.33333333333333,54.5,45.8,45.8,36.5,31.8,21.25,21.25,21.25,21.25,18.333333333333332,12,13,13,13
Peak Threads Connected,1,1,8,8,8,8,9,9,9,11,11,11,11,11,11,11,11,11,11,53,53,53,53,53,53,53,53,53,53,37,37,37,37,37,37,12,12,83,83,83,83,83,83,83,83,83,83,74,74,31,31,31,31,31,13,13,13,13
Peak Threads Running,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,31,31,31,31,31,31,31,31,31,31,18,18,18,18,18,18,4,4,54,54,54,54,54,54,54,54,54,54,44,44,15,15,15,15,8,3,3,3,3
Questions,38.333333333333336,36.77777777777778,94.66666666666667,236.22222222222223,332.44444444444446,460.55555555555554,628.5555555555555,811.7777777777778,918.6666666666667,1073,1038.0888,988.3556285714285,856.8867999999999,770.66376,655.97735,497.42133333333334,320.1462,231.946,1133.355614973262,1121.4470284237727,1142.3550087873462,1142.3550087873462,347.7,347.7,347.7,347.7,347.7,306.12336024217956,208.9136,470.65865865865874,592.7807807807808,488,488,1155.4369579719812,1140.8915006449763,1124.4994994994995,1124.4994994994995,888.6618618618617,1109.1839003780299,731.7333333333333,731.7333333333333,765.6030958099813,655.7552175073392,570.5400249066004,530.0091
Threads Created,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666,0.44976000000000005,0.2311,0.24146666666666666,0.2622,0.32439999999999997,2.840909090909091,2.8710881424059718,2.5106703489831785,2.5106703489831785,0.45,0.45,0.45,0.45,0.45,0.3961907164480322,0,3.472072072072072,4.372972972972973,3.6,3.6,4.336224149432955,3.869858105202809,3.378378378378378,3.378378378378378,1.2216216216216214,1.7789637536135203,1.0666666666666667,1.0666666666666667,1.1160394982652788,0.9559113957832933,0.8962702366127024,1.0819666666666667
Created Tmp Disk Tables,9.222222222222223,8.777777777777779,9,9.11111111111111,8.88888888888889,9.11111111111111,9,9.222222222222223,8.88888888888889,9,7.975350000000001,7.077571428571427,5.9597999999999995,5.17224,4.27535,3.2598,2.3598,1.7841999999999998,9.024064171122994,9.18748205569911,9.163946773788602,9.163946773788602,2.85,2.85,2.85,2.85,2.85,2.5092078708375376,1.4598,3.664964964964965,4.615915915915916,3.8,3.8,8.839226150767178,8.886340834169413,8.883883883883884,8.883883883883884,7.058258258258258,8.894818768067601,6.133333333333333,6.133333333333333,6.417227115025353,5.496490525753936,4.737428393524285,4.327866666666667
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.1111111111111112,3.444444444444444,4.666666666666667,7,10.88888888888889,16.11111111111111,16.555555555555557,19.555555555555557,18.9684,18.075028571428568,16.003166666666665,15.06696,13.057149999999998,9.4172,4.0641,4.3793999999999995,14.705882352941178,14.355440712029857,19.959829274416272,19.959829274416272,10.65,10.65,10.65,10.65,10.65,9.37651362260343,9.569799999999999,6.365465465465466,8.017117117117118,6.6,6.6,23.51567711807872,22.645836319334954,19.894894894894897,19.894894894894897,17.1027027027027,16.56659995552591,5.466666666666667,5.466666666666667,5.719702428609553,4.899045903389378,3.0729265255292653,3.5550333333333333
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.22222222222222,28.333333333333336,28.888888888888893,28.888888888888893,28.22222222222222,30.555555555555554,29.888888888888893,30.444444444444446,28.444444444444446,29,25.865999999999996,22.865999999999996,19.424533333333333,16.866,12.9416,9.779399999999999,7.3416,6.001399999999999,28.409090909090914,28.85443583118002,30.002510670348983,30.002510670348983,10.35,10.35,10.35,10.35,10.35,9.11238647830474,6.1636,11.573573573573574,14.576576576576576,12,12,28.352234823215476,28.235631360183458,29.029029029029026,29.029029029029026,23.34654654654654,28.463420057816325,19.466666666666665,19.466666666666665,20.36772084334134,17.445382973045103,15.23659402241594,12.983600000000001
Sort Rows,53.333333333333336,42.66666666666667,48,53.333333333333336,42.66666666666667,48,48,53.333333333333336,48,48,46.5588,41.81211428571428,31.7856,32.38272,27.732,17.3856,12.5856,15.5712,48.12834224598931,55.124892334194655,54.23047953803666,54.23047953803666,21.6,21.6,21.6,21.6,21.6,19.017154389505546,7.7856,27.776576576576577,34.983783783783785,28.8,28.8,48.03202134756504,48.1582341980794,48.048048048048045,48.048048048048045,32.57657657657657,48.03202134756505,38.4,38.4,40.17742193755004,34.41281024819856,30.729265255292653,29.676800000000004
