Avg Threads Running,1,1,1.2,1.5,1.8,2,2.6,2.6999999999999997,2.7,2.9000000000000004,3.2,3.8000000000000003,3.6,3.5999999999999996,3.9,4.1,4,4.4,4.6,4.4,4.5,4.2,4.7,4.5,4.000000000000001,3.8,3.5999999999999996,3.4000000000000004,3.7,4.199999999999999,3.9999999999999996,4.1,3.8,3.9,3.8999999999999995,3.899999999999999,3.7,3.8,3.5999999999999996,3.5,3.5999999999999996,3.5,3.3,3.4000000000000004,3.8,3.8,4.1,4,3.8,3.5999999999999996,3.9,4.4,4.8,4.800000000000001,4.6000000000000005,4.5,4.4,4.4,4.7,4.6,4.6,4.199999999999999,3.8999999999999995,4,4.2,4.4,5.1000000000000005,5.4,5.444444444444445,9.88888888888889,10.25,11,12.5,14,16,20,24.5,42,42
Peak Threads Connected,1,1,3,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,7,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,11,11,11,42,42,42,42,42,42,42,42,42,42
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,19,19,19,19,19,19,19,19,19,19
Questions,37.22222222222222,37.22222222222222,84.33333333333334,165,218.77777777777777,312.8888888888889,381.11111111111114,462.2222222222223,538.7777777777778,643.5555555555555,718.8888888888889,758.6666666666667,762.4444444444445,778.1111111111111,779,776.2222222222223,773.3333333333334,792.1111111111111,755.3333333333334,734,703.5555555555555,672.1111111111111,681.4444444444445,705.7777777777778,723.8888888888889,705.1111111111111,687.4444444444445,690.1111111111111,769.6666666666667,784.4444444444445,804.8888888888889,793.1111111111111,764.8888888888889,761.5555555555555,774.1111111111111,792.8888888888889,788.6666666666667,727.1111111111111,733.7777777777778,719,757,748.7777777777778,732.3333333333334,740.5555555555555,731.8888888888889,743.8888888888889,767.4444444444445,764.5555555555555,757.5555555555555,707.6666666666667,723.3333333333334,711.8888888888889,734.6666666666667,733.6666666666667,736.7777777777778,719.3333333333334,706.5555555555555,742.1111111111111,776,742.8888888888889,766.2222222222223,753.7777777777778,735.4444444444445,771.7777777777778,830.1111111111111,915.7777777777777,970.7777777777777,1034.4444444444446,935.810325,1159.21446799068,1041.9923579540389,984.8227708065973,879.3151288874105,756.2635647316974,624.9891311570728,502.0010786591437,387.96666666666664
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.33333333333333337,0.323325,3.55042716076778,3.4772922572248666,3.5223347117258426,3.584925993680359,3.677877518452024,3.8306171608937616,3.7424244938599402,4.525757575757575
Created Tmp Disk Tables,8.777777777777779,9,9.11111111111111,8.88888888888889,9.11111111111111,9.222222222222223,8.88888888888889,9,9.222222222222223,9,9.11111111111111,9.11111111111111,9,9,8.88888888888889,9,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,9.222222222222223,8.777777777777779,9,8.88888888888889,9.11111111111111,9,8.88888888888889,9.222222222222223,9.11111111111111,8.88888888888889,9.11111111111111,9.11111111111111,9.222222222222223,8.777777777777779,8.88888888888889,8.88888888888889,9,9.11111111111111,9.11111111111111,8.88888888888889,8.88888888888889,8.777777777777779,9.11111111111111,9,9.222222222222223,8.777777777777779,9,8.88888888888889,9,9,9.11111111111111,8.88888888888889,9,9,9.222222222222223,8.88888888888889,9.11111111111111,9,9.11111111111111,9,9,9,8.88888888888889,9,7.8675749999999995,8.87606790191945,7.932572961794227,6.82452350396882,6.049562614335606,5.286948932774785,4.429151092283412,3.484326252904083,2.6530303030303033
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,1.1111111111111112,1.4444444444444444,3.8888888888888893,4.666666666666667,5.333333333333334,6.444444444444445,10.222222222222223,13.11111111111111,13.666666666666668,13.777777777777777,13.444444444444446,12.222222222222223,11.777777777777779,13.333333333333334,14.333333333333334,11,8.222222222222223,8.777777777777779,7.777777777777779,7.888888888888888,11.11111111111111,12.11111111111111,10,7.888888888888888,8.777777777777779,10.666666666666668,10,12.333333333333334,13,9.11111111111111,8,8,9.11111111111111,8,8.222222222222223,8.88888888888889,6.555555555555555,6,5.555555555555555,7.555555555555555,8.777777777777779,8,9.88888888888889,9.777777777777779,10.88888888888889,10.777777777777779,10.666666666666668,11.666666666666668,9.444444444444445,10.222222222222223,11.333333333333334,9.444444444444445,7.444444444444445,7.666666666666667,8.777777777777779,10,9,9.11111111111111,7.666666666666667,6.777777777777779,9.333333333333334,12.222222222222223,10.444444444444445,12.444444444444446,14.11111111111111,13.57965,16.753578164872962,15.756480540550177,15.410214363800563,12.88332778978879,10.114163175743068,9.815956474790266,6.839603385330236,4.057575757575758
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.22222222222222,28.333333333333336,30.22222222222222,28.333333333333336,29.444444444444446,30.333333333333336,28.111111111111114,28.77777777777778,30.111111111111114,29.555555555555554,30,29.555555555555554,30.444444444444446,28.77777777777778,27.888888888888893,29.22222222222222,28.888888888888893,28.444444444444446,29.22222222222222,28.444444444444446,28.666666666666668,28.888888888888893,28.555555555555554,29.111111111111114,30.444444444444446,28.444444444444446,29.111111111111114,28.333333333333336,30.333333333333336,27.77777777777778,28.111111111111114,29,29.444444444444446,28.22222222222222,29.22222222222222,29.111111111111114,30.555555555555554,27.555555555555554,28.888888888888893,28.444444444444446,30.333333333333336,29.555555555555554,29,28.666666666666668,28.444444444444446,27.666666666666668,29.888888888888893,28.888888888888893,29.555555555555554,27.444444444444446,28.333333333333336,28.77777777777778,28.888888888888893,30.111111111111114,30,27.555555555555554,29.22222222222222,29.444444444444446,30.22222222222222,29.555555555555554,29.666666666666668,29.22222222222222,28.77777777777778,28.77777777777778,28.888888888888893,30,28.22222222222222,29,24.680474999999998,28.40341728614224,25.753695780071673,21.904518988545085,19.15694827872942,17.469918212647116,13.407160063128165,11.485371722535678,8.427272727272726
Sort Rows,40.88888888888889,51.111111111111114,46,40.88888888888889,46,51.111111111111114,46,51.111111111111114,51.111111111111114,46,46,51.111111111111114,46,46,40.88888888888889,46,46,40.88888888888889,46,40.88888888888889,40.88888888888889,51.111111111111114,46,46,51.111111111111114,40.88888888888889,51.111111111111114,46,51.111111111111114,46,46,51.111111111111114,46,40.88888888888889,46,46,51.111111111111114,40.88888888888889,46,40.88888888888889,46,51.111111111111114,51.111111111111114,46,46,40.88888888888889,51.111111111111114,46,51.111111111111114,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,46,51.111111111111114,40.88888888888889,51.111111111111114,46,51.111111111111114,46,46,46,40.88888888888889,46,44.618849999999995,40.82991234882947,39.988860958085965,30.380136888635395,30.9199866954931,26.434744663873925,22.02604867513913,17.808778625954197,7.178787878787878
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,276.6666666666667,276.44444444444446,365.33333333333337,523.5555555555555,625.7777777777778,810.5555555555555,944,1101.5555555555557,1249.5555555555557,1456.111111111111,1601.7777777777778,1682,1687,1720.2222222222222,1722.2222222222222,1717.1111111111113,1712.2222222222222,1750.4444444444446,1676.5555555555554,1634.2222222222222,1574.2222222222222,1513.4444444444446,1532.6666666666667,1579.4444444444446,1612.4444444444446,1575.111111111111,1538.7777777777778,1543.111111111111,1700.2222222222222,1730.8888888888891,1770.4444444444446,1746.7777777777778,1690.4444444444446,1685.6666666666667,1710.1111111111113,1747.8888888888891,1739.1111111111113,1620,1630.8888888888891,1602.4444444444446,1676.1111111111113,1660,1627.8888888888891,1646.6666666666667,1629.7777777777778,1652.6666666666667,1698.1111111111113,1694,1680,1582.6666666666667,1614.6666666666667,1591.3333333333335,1633.8888888888891,1631.7777777777778,1638.2222222222222,1604,1578.111111111111,1648.3333333333335,1713.8888888888891,1647.4444444444446,1694.5555555555554,1670.4444444444446,1634.6666666666667,1705.6666666666667,1819.3333333333335,1986.1111111111113,2092,2213.4444444444443,1994.3763749999998,2458.559857982914,2203.625302633221,2072.1234671324682,1847.581233993015,1587.5788175743066,1312.824325110059,1056.2670511118488,822.7515151515152
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,0.888888888888889,1.1111111111111112,1,0.888888888888889,1,1.1111111111111112,1,1.1111111111111112,1.1111111111111112,1,1,1.1111111111111112,1,1,0.888888888888889,1,1,0.888888888888889,1,0.888888888888889,0.888888888888889,1.1111111111111112,1,1,1.1111111111111112,0.888888888888889,1.1111111111111112,1,1.1111111111111112,1,1,1.1111111111111112,1,0.888888888888889,1,1,1.1111111111111112,0.888888888888889,1,0.888888888888889,1,1.1111111111111112,1.1111111111111112,1,1,0.888888888888889,1.1111111111111112,1,1.1111111111111112,0.888888888888889,1,0.888888888888889,1,0.888888888888889,1,0.888888888888889,1,1,1.1111111111111112,0.888888888888889,1.1111111111111112,1,1.1111111111111112,1,1,1,0.888888888888889,1,0.969975,0.887606790191945,0.8693230643062166,0.6604377584485955,0.6721736238150673,0.5746683622581288,0.4788271451117202,0.3871473614337869,0.15606060606060607
Slow Queries,2.7777777777777777,2.7777777777777777,3.3333333333333335,4.111111111111112,4.777777777777778,6.666666666666667,7.222222222222223,9.11111111111111,10.555555555555555,12,13,13.666666666666668,13.555555555555557,13.555555555555557,13.444444444444446,14.333333333333334,13.666666666666668,14.11111111111111,13.555555555555557,13.222222222222223,12.88888888888889,13.444444444444446,13.88888888888889,13.444444444444446,13,12.222222222222223,10.88888888888889,10.555555555555555,11.555555555555555,11.666666666666668,10.88888888888889,10.88888888888889,11.222222222222223,11.555555555555555,11.88888888888889,12.555555555555555,13.333333333333334,13,12.333333333333334,12.222222222222223,12.88888888888889,12.666666666666668,12.11111111111111,12.666666666666668,13,12.88888888888889,12.555555555555555,13.444444444444446,14.444444444444446,14.333333333333334,14.333333333333334,14.666666666666668,14.11111111111111,14.555555555555557,14.333333333333334,14.555555555555557,14.555555555555557,14.11111111111111,13.666666666666668,14.11111111111111,14.222222222222223,14.555555555555557,14.555555555555557,14.777777777777777,16,17.22222222222222,17.555555555555557,17.555555555555557,14.980725000000001,16.864529013646955,15.104488242320514,13.20875516897191,11.87506735406619,9.309627468581686,6.942993604119943,5.4200630600730175,4.369696969696969
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,55.66666666666667,55.55555555555556,105.66666666666667,187.88888888888889,245.66666666666669,343.11111111111114,412.55555555555554,497.11111111111114,577.8888888888889,686.4444444444445,765.1111111111111,805.3333333333334,808.5555555555555,823,823.8888888888889,822.1111111111111,818.1111111111111,836.5555555555557,799,777.2222222222223,746.6666666666667,717,726.3333333333334,749.8888888888889,768.3333333333334,748.3333333333334,730.4444444444445,730.8888888888889,810.2222222222223,823.4444444444446,842.5555555555557,831.1111111111111,803.8888888888889,801.1111111111111,815.6666666666667,834.4444444444446,832.3333333333334,770.3333333333334,778,763.5555555555555,803.4444444444446,794.4444444444445,776.5555555555555,784.5555555555555,776.1111111111111,787.3333333333334,811.5555555555555,808.3333333333334,802.1111111111111,751,768.1111111111111,756.7777777777778,778.4444444444445,778.8888888888889,783.3333333333334,764.8888888888889,753.3333333333334,788.1111111111111,823.1111111111111,788.7777777777778,813.2222222222223,801,781.6666666666667,818,878.5555555555557,968.5555555555557,1022.1111111111111,1084.111111111111,979.24365,1210.029956729169,1087.5231534470772,1025.3296199914444,915.0523598869116,786.2612532415718,646.2969391145443,520.9712993693993,404.1969696969697
