Avg Threads Running,1,1,1.1,1.4000000000000001,1.6,2.4000000000000004,2.5999999999999996,3,3.4,3.5999999999999996,4.1,4.3,4.7,4.7,4.9,4.4,4.5,4.4,4.3999999999999995,4.5,4.800000000000001,5.1,4.800000000000001,5,5.1,5.6000000000000005,5.599999999999999,5.5,5.3,5.5,5,4.800000000000001,4.8999999999999995,5,5.3,5.300000000000001,5.4,5.400000000000001,5.300000000000001,5.1,5.1,5.1,5.1,4.7,4.8,4.3,4.2,4.3999999999999995,4.6,4.499999999999999,4.6,4.7,4.9,5,4.700000000000001,4.9,5.1,5,5.199999999999999,5.1000000000000005,5.3,5.199999999999999,5.1,5.499999999999999,5.6,5.699999999999999,5.7,5.8,5.8,6.2,6.199999999999999,6.5,6.5,6.3,6.6,6.8999999999999995,7,9.88888888888889,10.375,11,11.666666666666668,12.6,14.5,17.333333333333336,20.5,31,31,13,13,13,15.5,16,14.25,14.25,14.25,14.25,14.25,14.666666666666668,14.666666666666668,14.666666666666668,13,9
Peak Threads Connected,1,1,2,4,4,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,11,11,11,31,31,31,31,31,31,31,31,31,31,13,13,13,18,18,18,18,18,18,18,18,18,18,17,9
Peak Threads Running,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,14,14,14,14,14,14,14,14,14,14,2,2,2,6,6,6,6,6,6,6,6,6,6,5,2
Questions,37.22222222222222,37.77777777777778,72.77777777777779,166.88888888888889,218.66666666666669,291.55555555555554,368.33333333333337,463.88888888888886,556.2222222222223,644.7777777777778,708.4444444444445,766.1111111111111,755.6666666666667,774.2222222222223,795,779.4444444444445,764.3333333333334,729.3333333333334,723,735,734.3333333333334,727,751.4444444444445,746,788.8888888888889,805.7777777777778,833.4444444444446,850.6666666666667,858.6666666666667,829.2222222222223,820.5555555555557,829,814,788.8888888888889,775.7777777777778,745.4444444444445,731.3333333333334,727.2222222222223,730.6666666666667,716.3333333333334,691.2222222222223,698.4444444444445,711.5555555555555,706.1111111111111,740.6666666666667,716.8888888888889,706.1111111111111,728.7777777777778,742.1111111111111,757.5555555555555,737.6666666666667,740.3333333333334,744.8888888888889,744.3333333333334,751.4444444444445,765.6666666666667,759,799.3333333333334,789.2222222222223,807,773.5555555555555,760.7777777777778,783.2222222222223,837.5555555555557,897.3333333333334,942.5555555555557,957.5555555555557,1028.3333333333335,1062.3333333333335,1123.888888888889,1154.6666666666667,1164.888888888889,1152.888888888889,1166.5555555555557,1157.2222222222222,1183.111111111111,994.33215,1167.6281340137564,1020.040167207387,926.1517964071857,818.4809511140672,720.2862834064618,576.5042351768809,479.41249170537486,365.6429493545184,636.3767349636485,674.8909891769443,764.2922112742141,758.6666666666666,758.6666666666666,795.299450365306,680.8815939406127,314.99999999999994,314.99999999999994,281.3751926040061,178.74439999999998
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0,0.33333333333333337,0.323325,2.440647881073885,2.390634247210239,2.4215996578272025,2.4646291985367474,2.528530115676107,2.633532635774788,2.8390510948905106,2.9650943396226417,0.8863185723727692,0.7354958469670274,0.6716100274817347,0.6666666666666666,0.6666666666666666,0.6988571620081775,0.5983142301762853,0,0,0,0
Created Tmp Disk Tables,8.88888888888889,9.11111111111111,9,8.777777777777779,9,8.88888888888889,9,8.777777777777779,9.222222222222223,9,8.777777777777779,8.88888888888889,9.222222222222223,9,9.222222222222223,9.11111111111111,9.222222222222223,8.88888888888889,9.222222222222223,9,9.222222222222223,8.88888888888889,9.11111111111111,8.777777777777779,9.11111111111111,9,9,9,9.222222222222223,9,9,9.11111111111111,9.222222222222223,8.88888888888889,8.777777777777779,8.88888888888889,9,9,8.88888888888889,8.88888888888889,8.777777777777779,8.777777777777779,8.88888888888889,9.222222222222223,9,9,8.88888888888889,8.88888888888889,9,9.11111111111111,9.11111111111111,9,9,9.222222222222223,8.777777777777779,9,9.222222222222223,9.11111111111111,8.88888888888889,9.11111111111111,9,8.777777777777779,9,9.222222222222223,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.88888888888889,9.222222222222223,9.222222222222223,8.88888888888889,8.777777777777779,8.88888888888889,9.11111111111111,9.222222222222223,7.8675749999999995,8.875083203905037,7.606563513850761,6.714435414884517,5.937515796474893,5.1719934184284,4.18971101145989,3.2261944260119444,2.4969215491559087,4.431592861863846,5.001371759375786,5.910168241839266,5.866666666666666,5.866666666666666,6.149943025671962,5.265165225551311,2.8499999999999996,2.8499999999999996,2.5457755521314835,1.6219999999999999
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,0.33333333333333337,0.6666666666666667,1.777777777777778,3.1111111111111116,4.444444444444445,6.666666666666667,6.888888888888888,7,9.222222222222223,9.88888888888889,12.444444444444446,13.555555555555557,14.222222222222223,13.555555555555557,11.444444444444445,13.777777777777777,14.777777777777777,15.444444444444446,15.222222222222223,14.444444444444446,16,17.11111111111111,16.555555555555557,17.555555555555557,16.11111111111111,15.11111111111111,12.222222222222223,11.555555555555555,12.88888888888889,10.333333333333334,7.888888888888888,9.333333333333334,9.88888888888889,10.666666666666668,11.777777777777779,15,15.11111111111111,12.666666666666668,13.777777777777777,13.222222222222223,12.777777777777779,12.333333333333334,10.666666666666668,10,8.444444444444445,10.666666666666668,9.777777777777779,7.555555555555555,11,9.88888888888889,11,11,13.11111111111111,12.11111111111111,9.88888888888889,9.777777777777779,10.88888888888889,7.333333333333334,9.555555555555555,12.333333333333334,13.222222222222223,12.444444444444446,12.222222222222223,13.222222222222223,14,13.11111111111111,14.666666666666668,14.333333333333334,11.333333333333334,12.666666666666668,11.333333333333334,12.222222222222223,13.666666666666668,12.501900000000001,18.08298202795651,16.19111376519662,14.529597946963216,12.659231792484203,10.458920023932986,10.294718485301443,9.420487723954876,7.802879841112215,8.863185723727693,9.855644349358167,13.297878544138348,13.2,13.2,13.837371807761915,11.846621757490448,7.349999999999999,7.349999999999999,6.565421160760143,5.1903999999999995
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.333333333333336,28.888888888888893,27.77777777777778,28.666666666666668,28.333333333333336,28.444444444444446,29,27.22222222222222,29.77777777777778,28.77777777777778,28.22222222222222,29.111111111111114,29.111111111111114,28.666666666666668,30.666666666666668,29.555555555555554,30.666666666666668,28.666666666666668,30.22222222222222,29.111111111111114,30,28.333333333333336,29.666666666666668,27.444444444444446,29.22222222222222,28.555555555555554,29.555555555555554,28.666666666666668,30.666666666666668,28.77777777777778,28.77777777777778,29.555555555555554,29.333333333333336,28.888888888888893,28.22222222222222,28.555555555555554,28.888888888888893,28.77777777777778,28.666666666666668,28.666666666666668,28,28.77777777777778,28.333333333333336,29.555555555555554,29,29.111111111111114,27.888888888888893,28.333333333333336,29.333333333333336,29.666666666666668,29.444444444444446,29,29.22222222222222,30.111111111111114,28.444444444444446,30.111111111111114,30.555555555555554,29.444444444444446,28.444444444444446,30.111111111111114,29,27.666666666666668,28.666666666666668,29.22222222222222,29,27.77777777777778,28.22222222222222,30,28.22222222222222,29.666666666666668,30.555555555555554,29.111111111111114,28.444444444444446,28.555555555555554,29.888888888888893,29.666666666666668,24.357149999999997,27.956512092300862,24.558333630432454,20.80374251497006,17.924575989358164,16.665312126047066,12.688839063278525,9.80763105507631,8.114995034756703,14.535624586913418,16.033809463881198,18.93940277498492,18.8,18.8,19.707771968630603,16.872461290971245,8.849999999999998,8.849999999999998,7.9053030303030285,5.1903999999999995
Sort Rows,46,46,51.111111111111114,40.88888888888889,46,46,46,40.88888888888889,51.111111111111114,46,40.88888888888889,40.88888888888889,51.111111111111114,46,51.111111111111114,51.111111111111114,51.111111111111114,40.88888888888889,51.111111111111114,46,51.111111111111114,46,51.111111111111114,40.88888888888889,46,46,51.111111111111114,46,51.111111111111114,46,40.88888888888889,46,51.111111111111114,40.88888888888889,40.88888888888889,40.88888888888889,46,46,40.88888888888889,46,40.88888888888889,40.88888888888889,46,51.111111111111114,46,46,46,46,46,51.111111111111114,46,46,46,51.111111111111114,40.88888888888889,40.88888888888889,51.111111111111114,46,40.88888888888889,51.111111111111114,46,40.88888888888889,46,51.111111111111114,51.111111111111114,40.88888888888889,46,51.111111111111114,40.88888888888889,51.111111111111114,51.111111111111114,46,40.88888888888889,40.88888888888889,51.111111111111114,51.111111111111114,39.661199999999994,45.92855558020857,34.990192163713495,30.38006843455945,25.76657798470236,26.43463302752293,22.025909317389136,11.872395487723953,7.178649453823238,16.308261731658956,20.299685376289958,24.715249011327835,24.53333333333333,24.53333333333333,25.71794356190093,22.017963670487298,13.799999999999997,13.799999999999997,12.326913199794554,7.4612
