Avg Threads Running,2,2,2.3,2.7,3.5,4,4.6000000000000005,5.1000000000000005,5.3,5.799999999999999,6.299999999999999,6.5,6.7,6.9,6.799999999999999,6.6,6.2,6,6.2,6.6,6.6,6.7,6.7,6.799999999999999,6.5,6.699999999999999,6.8,6.7,7.1,6.7,7.5,7.7,7.6,8,7.8999999999999995,7.6,7.7,8,7.6,7.8,7,6.999999999999999,7.199999999999999,6.7,7.1000000000000005,7.2,7.199999999999999,7,7.1,7.300000000000001,7.2,7.2,6.8999999999999995,7.3,7.8,8.9,9.222222222222221,10.88888888888889,11.555555555555555,12.444444444444445,13.444444444444445,13.333333333333336,13.222222222222221,13.555555555555554,14.777777777777779,14.625,14.625,13.857142857142858,15.571428571428571,15,15,17.25,21.666666666666668,25,25,25,25,25,44,44,37.5,37.5,35,35,35,35,35,35,30.5,30.5,30,30,33,33,33,33,33,33,33,33,33,33,24,24,24,24,24
Peak Threads Connected,2,2,5,6,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,10,15,15,15,15,15,15,15,15,15,15,13,13,13,9,9,9,9,9,9,11,11,11,11,12,14,16,16,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,44,44,44,44,44,44,44,44,44,44,31,31,30,30,33,33,33,33,33,33,33,33,33,33,24,24,24,24,24
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,13,13,13,13,15,15,15,15,15,15,15,15,15,15,31,31,31,31,31,31,31,31,31,31,18,18,17,17,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10
Questions,37.44444444444444,37.88888888888889,42.44444444444444,139.66666666666669,287.33333333333337,424.7777777777778,549.1111111111111,663.4444444444445,791.7777777777778,882.5555555555557,1014.1111111111111,1148.5555555555557,1207.888888888889,1162.6666666666667,1124.2222222222222,1108.111111111111,1093.2222222222222,1062.2222222222222,1078.111111111111,1040.6666666666667,1053.2222222222222,1010.8888888888889,1032.888888888889,1046,1040.4444444444446,1035.5555555555557,1054.5555555555557,1066.111111111111,1094.3333333333335,1036.6666666666667,1046.7777777777778,1045.3333333333335,1032.888888888889,1053.7777777777778,1073.2222222222222,1070.2222222222222,1085.4444444444446,1110.4444444444446,1156.6666666666667,1131.6666666666667,1143.6666666666667,1206.7777777777778,1217.888888888889,1230,1237.111111111111,1222.5555555555557,1205.5555555555557,1167.7777777777778,1182.111111111111,1175.5555555555557,1158.4444444444446,1138.2222222222222,1123.6666666666667,1132.4444444444446,1131,1121.111111111111,984.7401749999999,1167.0916953099013,1146.3333333333335,1142.3333333333335,1144.5555555555557,1164.888888888889,1141.2222222222222,1140.2418728503274,1087.2795830098703,840,802.3092312089168,702.4472674644064,988.029261804478,870.5315033657444,753.7383437767019,666.1027122772058,575.9051207825913,592.0898127340823,363.3897287795078,457.764414866901,556.6785016286645,651.7925081433225,569.4,678.5195439739414,583.4055374592833,488.29153094462544,396.4356,300.5856
Threads Created,0,0,0,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.22222222222222224,0.11111111111111112,0.11111111111111112,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,1.1111111111111112,1.1111111111111112,1.07775,1.7740325978489853,2.111111111111111,2.111111111111111,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.2204593365139245,2.8834423866030834,2.2857142857142856,2.183154370636508,1.8761356711539527,1.8842828641099536,1.784333084018948,1.827798348048989,1.89908114690579,1.9154272309842284,0,0.9669763937719738,1.2181064791562028,1.0265409671761463,1.2019356051115009,1.05,1.2512214983713354,1.0758268604359809,0.9004322225006265,0.4136,0.3136
Created Tmp Disk Tables,8.88888888888889,9.11111111111111,9.222222222222223,9.222222222222223,9.11111111111111,9.11111111111111,9,8.88888888888889,9,9,9,8.88888888888889,8.777777777777779,9.11111111111111,9,9,9.222222222222223,9,9.222222222222223,8.88888888888889,9,9,8.88888888888889,9,9,8.88888888888889,9.222222222222223,9,9.11111111111111,8.88888888888889,9.222222222222223,9.11111111111111,9,8.88888888888889,9,8.777777777777779,9,9.11111111111111,9.11111111111111,9,8.88888888888889,8.88888888888889,9.11111111111111,9.11111111111111,9,8.88888888888889,9,9,8.777777777777779,8.88888888888889,9.222222222222223,8.777777777777779,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,7.7598,9.202794101341611,9,9,9.222222222222223,9,8.88888888888889,9.208920448241429,8.872130420317179,6.971428571428571,6.65862083044135,5.959489778959615,8.867213478164487,7.9179780603340815,7.196955995442894,6.528091442488654,5.6185865442204035,5.678414481897628,3.867905575087895,4.872425916624811,5.572650964670508,6.524793284891006,5.7,6.792345276872965,5.840202956652467,4.888060636431971,3.7224000000000004,2.8224
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22190169754798625,0.7763114117777532,0.8,0.7641040297227779,0.7725264528280982,2.327643538018178,2.3419371727748692,2.398985331814298,2.492544005313849,2.426207825913356,2.1485892634207238,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,1.3333333333333335,3.1111111111111116,5,6.111111111111112,7.333333333333334,9.666666666666668,9.777777777777779,10,11.222222222222223,9.88888888888889,10.666666666666668,11.333333333333334,11.666666666666668,10.666666666666668,10.333333333333334,11.777777777777779,12.88888888888889,16.333333333333336,19.555555555555557,18.666666666666668,19.666666666666668,19.333333333333336,21.444444444444446,19.555555555555557,18.11111111111111,19.11111111111111,16.22222222222222,14.222222222222223,15,11.666666666666668,13.88888888888889,12,13.444444444444446,16.444444444444446,17,19.333333333333336,18.666666666666668,18,20,17,20.88888888888889,20.444444444444446,20.22222222222222,21.666666666666668,20.88888888888889,21.555555555555557,20,17.77777777777778,17.666666666666668,14.555555555555557,15.88888888888889,13.222222222222223,10.666666666666668,7.11315,11.86384299811509,13.88888888888889,15.222222222222223,18.444444444444446,23.444444444444446,21.555555555555557,22.633973149894597,20.84950648774537,15.542857142857141,14.845449720328256,12.801866932579912,19.84039015739304,16.505081027175272,10.509840501281687,10.326253736300233,9.577136154921142,11.510299625468164,1.3537669512807633,1.7053490708186838,2.4930280631420696,2.918986469556502,2.55,3.038680781758958,2.612722375344525,2.186763968930093,2.068,1.568
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.444444444444446,28.888888888888893,29.77777777777778,29.666666666666668,29.111111111111114,30.666666666666668,27.77777777777778,28.888888888888893,29,29,29.333333333333336,28.444444444444446,28.111111111111114,30.333333333333336,28.666666666666668,29.444444444444446,30.444444444444446,29,29.666666666666668,28.333333333333336,29.888888888888893,29.555555555555554,28.555555555555554,28.444444444444446,28.888888888888893,28.555555555555554,30.22222222222222,30.22222222222222,29.77777777777778,28,29.77777777777778,28.666666666666668,28.888888888888893,28.555555555555554,28.666666666666668,28.444444444444446,28.22222222222222,29.666666666666668,29.888888888888893,28.22222222222222,28.333333333333336,28.333333333333336,29.22222222222222,29.444444444444446,29.111111111111114,28.444444444444446,28.666666666666668,28.666666666666668,28.555555555555554,28.77777777777778,29.666666666666668,28.22222222222222,27.77777777777778,29.333333333333336,29.666666666666668,28.555555555555554,25.111575,29.715046013970504,29,30.333333333333336,30.111111111111114,29.888888888888893,28.555555555555554,28.736269832464224,29.05622712653876,23.2,22.15901686196056,20.085687773530555,28.042562624695186,25.761308900523563,23.30442893762461,21.127277759326912,18.515796566180875,18.109538077403247,14.311250627825213,18.0279758915118,19.064332247557,22.321661237785015,19.5,23.236970684039086,19.979641693811075,16.722312703583064,11.5808,8.780800000000001
Sort Rows,53.333333333333336,60,66.66666666666667,66.66666666666667,66.66666666666667,60,60,60,60,60,60,53.333333333333336,53.333333333333336,60,60,60,66.66666666666667,60,66.66666666666667,60,60,60,53.333333333333336,66.66666666666667,60,60,66.66666666666667,60,66.66666666666667,60,66.66666666666667,66.66666666666667,53.333333333333336,60,60,53.333333333333336,60,60,60,60,60,60,60,60,60,53.333333333333336,60,66.66666666666667,53.333333333333336,53.333333333333336,66.66666666666667,53.333333333333336,53.333333333333336,60,60,53.333333333333336,45.265499999999996,66.52622241933695,60,60,66.66666666666667,60,60,66.57050926439588,59.88688033714095,41.14285714285714,39.29677867145715,39.72993185973077,155229.4391487475,156175.98359511344,159980.3351609228,166212.329680062,178803.8550608904,214895.7593008739,34.81115017579106,43.851833249623304,43.9946128789777,51.511525933350036,45,53.62377850162867,46.106865447256325,38.589952392883994,24.816,18.816
