Avg Threads Running,1,1,1.4,1.9,2.3,2.6,3.0999999999999996,3.7,3.9,4.2,4.5,5,5.1,5.1,5,4.8999999999999995,4.5,4.499999999999999,4.6000000000000005,4.800000000000001,4.9,4.8,4.700000000000001,4.5,4.7,4.5,4.6,4.3999999999999995,4.3,4.199999999999999,3.9999999999999996,4,4.3,4.199999999999999,3.8,3.9999999999999996,4.3,4.299999999999999,4.4,4.3999999999999995,4.7,4.7,4.5,4.7,4.7,4.7,4.3,4.6000000000000005,4.500000000000001,4.2,4.2,4.5,4.5,4.2,4.5,4.5,4.6,4.7,5,5.1,4.7,4.5,4.7,5.1,5.199999999999999,6.1,7.5,7.3,7.7,8.222222222222221,9.111111111111109,9.5,9.714285714285714,14.571428571428573,16,16.8,16.75,20,25,25,40,40,40,67,67,67,67,67,67,67,67,67,40.5,14,15,15,15,15,15,15,15,15,16,16,15,12.5,12.5,12.5,12.5,12.5,12.5,12.5,29
Peak Threads Connected,1,1,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,12,17,17,17,17,17,17,17,40,40,40,40,40,40,40,40,40,40,67,67,67,67,67,67,67,67,67,67,14,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,62
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,14,14,14,14,14,14,14,14,14,14,35,35,35,35,35,35,35,35,35,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
Questions,37.77777777777778,37,60.22222222222223,167.11111111111111,272.11111111111114,348,430.88888888888886,505.6666666666667,593.8888888888889,698.2222222222223,776.4444444444445,822.6666666666667,790.7777777777778,788.3333333333334,825,852.7777777777777,863,836.2222222222223,811,817.7777777777778,827.1111111111111,821.5555555555557,799.4444444444446,768.5555555555555,773.3333333333334,753.5555555555555,752.5555555555555,754.3333333333334,770.3333333333334,779.4444444444445,806.1111111111111,806,822.4444444444446,779.4444444444445,808.4444444444446,823,831.6666666666667,804.6666666666667,810.1111111111111,807.2222222222223,826.2222222222223,805.7777777777778,802.5555555555555,769.5555555555555,745.3333333333334,713.4444444444445,728.5555555555555,708.5555555555555,704.4444444444445,689.6666666666667,709.6666666666667,705.4444444444445,739.1111111111111,780.4444444444445,809.7777777777778,784.4444444444445,781.4444444444445,750.7777777777778,768.2222222222223,733.3333333333334,732.7777777777778,725.2222222222223,690.8888888888889,728.3333333333334,794.4444444444445,895.2222222222223,1000,1039.6666666666667,1100.4444444444446,1000.475325,1248.391391169292,1161.956909337231,1049.9835970915312,1305.5678793256434,1136.520254491018,993.1928449258837,877.1530363475179,795.049601275917,646.7380746169221,532.0478680879413,1155.9786239144958,445.04073435189747,560.0234844751109,466.6,466.6,466.6,596.4730162641696,481.4902661409562,366.5075160177428,296.92147270854787,247,247,247,247,247,247,1197.547854372576
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.7777777777777779,0.888888888888889,0.888888888888889,0.8622,1.4422010206345686,1.4126475097151412,1.430945252352438,4.32564330079858,4.126312375249501,3.6556442417331816,3.6795323581560284,3.950398724082934,4.883877415056629,4.0177881412391745,1.4473391226898245,0.5722769837358304,0.720133070478068,0.6,0.6,0.6,0.7670034499753574,0.6191473632331197,0.47129127649088226,0,0,0,0,0,0,0,6.380583010133867
Created Tmp Disk Tables,9,8.88888888888889,9,9,8.88888888888889,9.222222222222223,8.88888888888889,8.88888888888889,8.88888888888889,9.11111111111111,9.11111111111111,8.88888888888889,9,9.222222222222223,8.777777777777779,9,9.222222222222223,9.11111111111111,9,8.777777777777779,9,9,8.777777777777779,9.222222222222223,9.11111111111111,8.777777777777779,9.11111111111111,9,9.222222222222223,9.11111111111111,9,9,8.88888888888889,8.88888888888889,9,8.88888888888889,9,9,9,9,9.222222222222223,8.88888888888889,9.11111111111111,9,9,8.777777777777779,8.777777777777779,8.88888888888889,9.11111111111111,9,9.11111111111111,9,9,9.11111111111111,9.222222222222223,9,9.11111111111111,8.88888888888889,8.88888888888889,9,9,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.88888888888889,9,9,8.88888888888889,7.54425,8.875083203905037,7.715228706905771,6.824508126603935,8.984028393966282,8.029580838323353,7.197049600912202,6.409507978723404,5.86188197767145,5.259560293137907,4.326848767488341,9.240703629481185,3.2429029078363727,4.0807540660423856,3.4,3.4,3.4,4.346352883193692,3.5085017249876786,2.6706505667816662,2.6446446961894954,2.2,2.2,2.2,2.2,2.2,2.2,9.132991367446516
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.6666666666666667,3.444444444444444,6.111111111111112,7.222222222222223,9.666666666666668,11,12.11111111111111,13.333333333333334,14.777777777777777,16.22222222222222,15.444444444444446,13.444444444444446,15.777777777777777,16.88888888888889,16.88888888888889,16.88888888888889,15.666666666666668,15.444444444444446,13.777777777777777,14,14.555555555555557,11.444444444444445,10.222222222222223,10.11111111111111,9.11111111111111,10,12.222222222222223,12.333333333333334,11.222222222222223,11.222222222222223,12.444444444444446,10.777777777777779,10.666666666666668,12.777777777777779,14.222222222222223,10.88888888888889,12.333333333333334,11.555555555555555,10.555555555555555,10.11111111111111,9.555555555555555,9.777777777777779,8.88888888888889,7.111111111111112,8.88888888888889,6.888888888888888,6.666666666666667,7.555555555555555,7.555555555555555,7.444444444444445,6.666666666666667,7.222222222222223,6.666666666666667,4.888888888888889,5.333333333333334,7.555555555555555,7.444444444444445,7.666666666666667,7.888888888888888,7.888888888888888,7,9,11.444444444444445,17.77777777777778,17.555555555555557,17.88888888888889,20.555555555555557,19.722825,25.40492567117817,23.906342472102388,22.234687767322498,23.62466725820763,16.951337325349304,15.193771379703538,14.362045656028368,10.831738437001594,6.3866089273817455,5.254030646235843,19.483411266978404,9.347190734351896,11.76217348447511,9.8,9.8,9.8,12.52772301626417,10.112740266140957,7.697757516017743,6.250978372811534,5.2,5.2,5.2,5.2,5.2,5.2,19.517077442762417
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29,28.333333333333336,27.888888888888893,28.111111111111114,29.666666666666668,30,29.666666666666668,29.444444444444446,28.555555555555554,30,28.888888888888893,29,29.77777777777778,29.888888888888893,27.888888888888893,28,29.888888888888893,29,28.555555555555554,28,29.555555555555554,29,27.77777777777778,30,30.111111111111114,27.111111111111114,29.888888888888893,29.555555555555554,30.444444444444446,29.666666666666668,28.22222222222222,28.77777777777778,28.666666666666668,27.888888888888893,29.444444444444446,29,28.77777777777778,29,29.22222222222222,29.333333333333336,31,28.22222222222222,29.77777777777778,29.111111111111114,28.333333333333336,27.888888888888893,27.555555555555554,27.111111111111114,29.444444444444446,28.111111111111114,29.666666666666668,29.77777777777778,28.666666666666668,29.77777777777778,30.22222222222222,29.22222222222222,30.666666666666668,28.77777777777778,27.888888888888893,29,28.444444444444446,29.444444444444446,27.888888888888893,28.22222222222222,29.111111111111114,27.888888888888893,28.555555555555554,29.22222222222222,28.555555555555554,23.92605,28.51120479254493,25.210324788762517,21.684324208725407,28.948535936113576,25.538527944111777,23.19049315849487,20.41546985815603,18.60510366826156,16.53004663557628,13.598667554963356,29.837452683144072,9.728708723509119,12.242262198127154,10.2,10.2,10.2,13.039058649581076,10.525505174963037,8.011951700344998,9.616889804325437,8,8,8,8,8,8,30.526710872013012
Sort Rows,51.111111111111114,46,46,46,46,51.111111111111114,40.88888888888889,46,40.88888888888889,46,46,40.88888888888889,46,51.111111111111114,40.88888888888889,46,51.111111111111114,46,46,40.88888888888889,46,40.88888888888889,40.88888888888889,51.111111111111114,51.111111111111114,40.88888888888889,51.111111111111114,46,51.111111111111114,51.111111111111114,51.111111111111114,46,46,40.88888888888889,46,40.88888888888889,46,46,46,40.88888888888889,51.111111111111114,40.88888888888889,51.111111111111114,46,46,40.88888888888889,40.88888888888889,40.88888888888889,51.111111111111114,46,46,46,46,51.111111111111114,51.111111111111114,46,51.111111111111114,40.88888888888889,46,51.111111111111114,46,51.111111111111114,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,40.88888888888889,34.70355,40.82538273796317,34.990192163713495,35.443413173652694,45.91836734693878,41.040079840319365,36.78492018244014,32.75970744680851,29.309409888357255,25.92211858760826,21.325183211192538,51.213538187486094,8.774913750616067,11.042040413997041,9.2,9.2,9.2,11.760719566288813,9.493592902907837,7.226466239526862,22.118846549948508,18.4,18.4,18.4,18.4,18.4,18.4,51.79532090579257
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
