Avg Threads Running,2,2,2.6,2.8,3.4,4.8,5.5,6,6.5,7.9,8.555555555555555,9.375,9.571428571428571,10.5,12.833333333333334,12.2,13,15,19,22,22,22,22,22,55,55,55,55,55,55,55,55,55,55,53,53,53,53,53,42.5,42.5,42.5,42.5,42.5,32,32,32,34,34,36,36,36,36,36,36,36,36,20,20,20,20,20,20,20,20,20,20
Peak Threads Connected,2,2,8,8,8,16,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,55,55,55,55,55,55,55,55,55,55,53,53,53,53,53,53,53,53,53,53,32,32,32,36,36,36,36,36,36,36,36,36,36,20,20,20,20,20,20,20,20,20,20
Peak Threads Running,1,1,2,2,2,3,3,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,51,51,51,51,51,51,51,51,51,51,34,34,34,34,34,34,34,34,34,34,9,9,9,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7
Questions,39.44444444444444,38.66666666666667,79.11111111111111,181.11111111111111,317.11111111111114,432.88888888888886,595.3333333333334,747.5555555555555,899.7777777777777,1014.4444444444446,981.1836,946.7612857142856,854.7898333333333,728.0490000000001,1252.1064301552108,1221.571072319202,994.3614814814815,886.39146179402,1176.0956175298807,1186.7735470941884,1186.7735470941884,1186.7735470941884,1186.7735470941884,1186.7735470941884,1159.25,1159.25
Threads Created,0,0,0,0,0,0.4444444444444445,0.7777777777777779,0.7777777777777779,0.7777777777777779,1.3333333333333335,1.2933,1.3066285714285713,1.3244,1.34928,4.656319290465632,4.8628428927680805,4.617777777777778,4.954036544850498,6.772908366533865,2.004008016032064,2.004008016032064,2.004008016032064,2.004008016032064,2.004008016032064,3,3
Created Tmp Disk Tables,9,9.11111111111111,9,9,9.222222222222223,9,8.88888888888889,9.11111111111111,9,8.88888888888889,7.7598,6.8598,6.070166666666666,4.947360000000001,8.980044345898005,9.102244389027431,7.577891737891738,6.986461794019934,9.163346613545817,8.617234468937875,8.617234468937875,8.617234468937875,8.617234468937875,8.617234468937875,9,9
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.3333333333333335,2.4444444444444446,5.888888888888889,6.555555555555555,8.444444444444445,12,16.555555555555557,17.11111111111111,16.59735,15.461771428571428,14.5684,11.356440000000001,21.175166297117517,21.695760598503743,16.813447293447293,12.82968438538206,19.123505976095622,24.04809619238477,24.04809619238477,24.04809619238477,24.04809619238477,24.04809619238477,23.125,23.125
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30,29.77777777777778,28.555555555555554,29.22222222222222,29.22222222222222,28.444444444444446,28.666666666666668,29.888888888888893,27.888888888888893,28.666666666666668,25.4349,23.083771428571428,20.1971,16.64112,30.155210643015522,30.548628428927678,24.983361823361825,23.880996677740864,30.2788844621514,27.25450901803607,27.25450901803607,27.25450901803607,27.25450901803607,27.25450901803607,28.625,28.625
Sort Rows,78,78,78,78,86.66666666666667,78,69.33333333333334,78,78,78,75.65805,67.94468571428571,60.2602,43.851600000000005,77.8270509977827,87.53117206982543,73.88444444444445,69.35651162790698,77.68924302788847,62.525050100200396,62.525050100200396,62.525050100200396,62.525050100200396,62.525050100200396,78,78
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.5543237250554324,0.49875311720698257,0.47361823361823363,0.5081063122923588,0.5976095617529882,0,0,0,0,0,0,0
table_open_cache_hits,288.22222222222223,287,365.33333333333337,562.5555555555555,827.6666666666667,1054.5555555555557,1371,1666.7777777777778,1963.5555555555554,2187.4444444444443,2092.9905,2005.1304285714282,1806.3712333333333,1538.5165200000001,2648.1152993348114,2588.778054862843,2110.442849002849,1885.7095514950167,2498.4063745019926,2527.454909819639,2527.454909819639,2527.454909819639,2527.454909819639,2527.454909819639,2455.5,2455.5
table_open_cache_misses,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.5543237250554324,0.49875311720698257,0.47361823361823363,0.5081063122923588,0.5976095617529882,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,1,1,1,1.1111111111111112,1,0.888888888888889,1,1,1,0.969975,0.8710857142857142,0.7725666666666666,0.5622,0.9977827050997783,1.1221945137157108,0.9472364672364673,0.8891860465116279,0.9960159362549803,0.8016032064128256,0.8016032064128256,0.8016032064128256,0.8016032064128256,0.8016032064128256,1,1
Slow Queries,5,4.888888888888889,5.444444444444445,7.333333333333334,9.666666666666668,11.666666666666668,14.88888888888889,17.77777777777778,20.22222222222222,21.666666666666668,20.6928,19.708314285714284,17.658666666666665,14.954520000000002,26.82926829268293,26.30922693266833,21.312820512820515,19.308039867109635,26.693227091633467,35.67134268537074,35.67134268537074,35.67134268537074,35.67134268537074,35.67134268537074,16.75,16.75
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,61.11111111111111,60,101.11111111111111,207.77777777777777,347.44444444444446,467,632.7777777777778,790.1111111111111,946.8888888888889,1065.6666666666667,1029.25125,991.7310857142857,894.0803666666667,761.55612,1311.529933481153,1282.7930174563592,1044.6834188034188,931.3588704318938,1235.4581673306775,1243.6873747494988,1243.6873747494988,1243.6873747494988,1243.6873747494988,1243.6873747494988,1212.25,1212.25
Table Locks Waited,0,0,0.888888888888889,2.666666666666667,6.555555555555555,9,14.666666666666668,17.11111111111111,20.11111111111111,22.88888888888889,22.20165,21.559371428571428,20.08673333333333,16.52868,28.713968957871394,25.935162094763093,22.023247863247867,20.19722591362126,26.693227091633467,34.86973947895791,34.86973947895791,34.86973947895791,34.86973947895791,34.86973947895791,22.75,22.75
bytes_received_rate,12701.444444444445,12624,17348.222222222223,30076.666666666668,46699.66666666667,61142.55555555556,81244,100493.44444444445,118836.44444444445,133473,128470.063275,123589.42337142855,111489.31639999998,95061.04872,161838.91352549888,157976.8079800499,128407.84911680913,114675.02172757476,150991.43426294823,149002.20440881763,149002.20440881763,149002.20440881763,149002.20440881763,149002.20440881763,145891.5,145891.5
bytes_sent_rate,185712.11111111112,178412.55555555556,173180.55555555556,204796.33333333334,237171.22222222225,246910.33333333334,290067,322989,341589.44444444444,375011.6666666667,354507.64852499997,334943.45459999994,298727.3597,248272.80468,441132.92682926834,434942.76807980053,360502.68843304843,331178.4862624585,420874.9003984064,399970.34068136266,399970.34068136266,399970.34068136266,399970.34068136266,399970.34068136266,402172.375,402172.375
qcache_hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_inserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcache_not_cached,27.888888888888893,27.555555555555554,44.66666666666667,89.44444444444444,148.33333333333334,202.22222222222223,275.22222222222223,341.6666666666667,404.8888888888889,458.6666666666667,442.84747500000003,427.04977142857143,385.9522333333333,329.89896000000005,574.7228381374723,561.3466334164589,459.8833048433049,416.26609634551494,550.996015936255,543.4869739478956,543.4869739478956,543.4869739478956,543.4869739478956,543.4869739478956,536.5,536.5
qcache_lowmem_prunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com admin_commands,1,1,1,1,1,1,1,1,1,1,0.8622,0.7621999999999999,0.6622,0.5622,0.9977827050997783,0.9975062344139651,0.8288319088319088,0.7621594684385382,0.9960159362549803,1.002004008016032,1.002004008016032,1.002004008016032,1.002004008016032,1.002004008016032,1,1
com alter_db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_db_upgrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com alter_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
