Avg Threads Running,1,1,1.1,1.4000000000000001,1.7,2.1,2.7,3,3.2,3.4000000000000004,3.6999999999999997,4.2,5,5.1,4.900000000000001,4.7,4.5,4.6,4.8,4.9,5,4.9,4.5,4.7,4.7,4.9,4.9,5.2,4.9,4.9,4.800000000000001,4.5,4.5,4.1000000000000005,4.299999999999999,4.299999999999999,4.5,4.3,4.3,4.1,4.1,4.3999999999999995,4.3,4.4,4.6000000000000005,4.8,4.7,4.7,4.9,4.9,5.1,4.8,4.9,4.999999999999999,4.7,4.3,4.199999999999999,4.2,4,4.000000000000001,3.6999999999999997,4,4.1,4.3,4.4,4.500000000000001,4.700000000000001,5.5,6.1000000000000005,6.5,6.7,7.1,7.3999999999999995,7.2,7.555555555555555,9.11111111111111,9.888888888888891,9.375,9.571428571428571,10.166666666666668,11.2,11.75,12.333333333333334,16,16,14,28,28,28,28,29,29,29,29,32.333333333333336,32.333333333333336,34.5,34.5,34.5,34.5,39,39,39,39
Peak Threads Connected,1,1,2,4,4,5,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,14,28,28,28,28,30,30,30,30,39,39,39,39,39,39,39,39,39,39
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,20,20,20,20,20,20,20,20,20,20
Questions,37.22222222222222,39.77777777777778,40.333333333333336,119.22222222222221,185.66666666666669,273.44444444444446,345.11111111111114,436.7777777777778,539.6666666666667,616.3333333333334,682.8888888888889,750.3333333333334,747.8888888888889,775.7777777777778,758.8888888888889,753.4444444444445,728.8888888888889,706.6666666666667,700.4444444444445,710.1111111111111,727.5555555555555,721.7777777777778,712.4444444444445,728.6666666666667,754.7777777777778,749.5555555555555,754.3333333333334,770.1111111111111,784.5555555555555,787.3333333333334,798.2222222222223,823.7777777777777,805.3333333333334,791.2222222222223,814.1111111111111,810.4444444444446,796.1111111111111,794,763.6666666666667,743.7777777777778,722.1111111111111,745.8888888888889,740.7777777777778,765.1111111111111,787.3333333333334,804.8888888888889,773.2222222222223,808.4444444444446,813.4444444444446,794.8888888888889,759.6666666666667,742.8888888888889,707.4444444444445,723.3333333333334,685.3333333333334,714.1111111111111,694.6666666666667,684.8888888888889,698.7777777777778,690.1111111111111,690.7777777777778,684.4444444444445,651.2222222222223,684.1111111111111,746.2222222222223,815.6666666666667,848.7777777777777,885,985.4444444444446,1059.2222222222222,1114.2222222222222,1156.2222222222222,1192.3333333333335,1164.4444444444446,986.57235,1172.9148181011537,1161.111111111111,984.7481214285714,864.9787047619045,752.4158666666665,634.4688,526.7533333333333,421.7898666666667,195.8,160.57987804878047,783.1588632949424,1142.463695543315,1142.4636955433148,1142.4636955433148,1135.0844277673546,1135.0844277673546,1127.7180704823793,1127.7180704823793,804.9087728067983,692.1369657585603
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.538875,1.5527950310559007,1.3333333333333335,1.1953464285714284,1.210838095238095,1.2323666666666664,1.26434,1.3168833333333334,1.2906666666666666,0.2,0.16402439024390242,1.5446920380570854,2.253380070105158,2.2533800701051576,2.2533800701051576,3.2520325203252036,3.2520325203252036,4.24893776555861,4.24893776555861,3.0326793301674586,2.6077855536115973
Created Tmp Disk Tables,8.777777777777779,9.222222222222223,9.11111111111111,9,9.222222222222223,8.88888888888889,9.222222222222223,9,9.11111111111111,9,9,8.88888888888889,8.88888888888889,9,9.11111111111111,9,9,8.88888888888889,9.11111111111111,9,9,9.11111111111111,8.88888888888889,8.88888888888889,8.88888888888889,9,8.88888888888889,9,8.777777777777779,8.88888888888889,9,9,9.11111111111111,9,9,9.222222222222223,8.88888888888889,9,9,9,8.88888888888889,8.777777777777779,9.11111111111111,9,8.777777777777779,9.222222222222223,9.11111111111111,9.222222222222223,8.88888888888889,9.222222222222223,9.222222222222223,9,8.88888888888889,9.222222222222223,8.777777777777779,9.11111111111111,8.777777777777779,8.88888888888889,8.777777777777779,8.88888888888889,8.777777777777779,9.11111111111111,9,9.222222222222223,8.88888888888889,9.11111111111111,9.222222222222223,9.11111111111111,9,9.222222222222223,9,9,8.88888888888889,9,7.7598,8.984028393966282,9,7.824085714285713,6.8247238095238085,6.049799999999999,5.05736,4.3098,3.4848,1.6,1.3121951219512193,6.007135703555333,8.763144717075614,8.763144717075612,8.763144717075612,9.130706691682303,9.130706691682303,9.4976255936016,9.4976255936016,6.778930267433142,5.829167708072982
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.11111111111111112,0.22222222222222224,1.4444444444444444,1.4444444444444444,2.555555555555556,2.555555555555556,5,6.111111111111112,8.555555555555555,8.777777777777779,10.666666666666668,10.666666666666668,10.777777777777779,10.88888888888889,12.666666666666668,12.555555555555555,13,11.666666666666668,12.777777777777779,11.11111111111111,12,13,14.88888888888889,16.77777777777778,14.555555555555557,14.222222222222223,15.555555555555557,15.333333333333334,16.11111111111111,14.11111111111111,14.222222222222223,12.333333333333334,10.777777777777779,12.444444444444446,12.444444444444446,11.555555555555555,11.444444444444445,10.555555555555555,12.555555555555555,12.333333333333334,14.88888888888889,16,15.88888888888889,16,16.77777777777778,15.666666666666668,16.555555555555557,14.444444444444446,13.555555555555557,12.333333333333334,12.333333333333334,11.777777777777779,12.666666666666668,12,13.666666666666668,14.88888888888889,15.11111111111111,16,14.11111111111111,12,13.222222222222223,14.88888888888889,16.666666666666668,15.11111111111111,13.444444444444446,15.777777777777777,16.11111111111111,15.555555555555557,15.666666666666668,15.444444444444446,12.444444444444446,8.729775,11.313220940550135,12.444444444444446,9.671439285714285,8.475866666666665,8.514533333333333,7.4711,5.506966666666667,4.904533333333333,3.2,2.6243902439024387,18.021407110665997,26.28943415122684,26.289434151226835,26.289434151226835,20.888055034396498,20.888055034396498,15.496125968507872,15.496125968507872,11.060359910022495,9.510747313171708
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28,30.555555555555554,30.333333333333336,29.333333333333336,29.666666666666668,28.77777777777778,30.444444444444446,29.333333333333336,30,29,29.22222222222222,28.333333333333336,27.666666666666668,29.444444444444446,29.333333333333336,29.111111111111114,28.666666666666668,28.555555555555554,30.111111111111114,28.22222222222222,28.444444444444446,30.22222222222222,28.77777777777778,28.77777777777778,28.111111111111114,29.666666666666668,28,29,28.333333333333336,29.111111111111114,27.77777777777778,28,29.333333333333336,28.555555555555554,28.22222222222222,30.22222222222222,28,29.22222222222222,28.666666666666668,29.77777777777778,29.444444444444446,27.77777777777778,30.22222222222222,29.555555555555554,27.77777777777778,30.333333333333336,29.333333333333336,30.111111111111114,28,29.333333333333336,30,29,28.333333333333336,30.555555555555554,27.666666666666668,29.22222222222222,28.555555555555554,28.555555555555554,28.111111111111114,28.22222222222222,27.555555555555554,30,28.888888888888893,30.444444444444446,28.555555555555554,29,30.333333333333336,29.77777777777778,30,30.555555555555554,29,29.111111111111114,28,29.111111111111114,25.111575,29.392191659272406,29.333333333333336,25.102275,21.905161904761904,19.60583333333333,16.20654,14.485716666666667,11.616,4.6,3.772560975609756,19.566099148723083,28.542814221331998,28.54281422133199,28.54281422133199,30.769230769230766,30.769230769230766,32.9917520619845,32.9917520619845,23.54786303424144,20.248687828042993
Sort Rows,40.88888888888889,51.111111111111114,51.111111111111114,46,51.111111111111114,40.88888888888889,51.111111111111114,40.88888888888889,46,46,46,40.88888888888889,40.88888888888889,46,51.111111111111114,46,51.111111111111114,46,46,46,46,51.111111111111114,40.88888888888889,40.88888888888889,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,46,46,51.111111111111114,51.111111111111114,40.88888888888889,51.111111111111114,46,46,46,46,46,40.88888888888889,46,46,40.88888888888889,51.111111111111114,46,51.111111111111114,46,51.111111111111114,51.111111111111114,46,46,51.111111111111114,40.88888888888889,51.111111111111114,40.88888888888889,40.88888888888889,40.88888888888889,46,40.88888888888889,46,46,51.111111111111114,40.88888888888889,51.111111111111114,51.111111111111114,46,40.88888888888889,51.111111111111114,46,46,46,46,34.70355,45.91836734693878,46,39.98977142857142,30.381028571428565,30.921199999999992,21.14896,16.5209,17.8112,0,0,23.685277916875314,34.55182774161242,34.55182774161241,34.55182774161241,46.02876797998749,46.02876797998749,57.485628592851775,57.485628592851775,41.03036740814797,35.28180454886279
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.21555,0.33274179236912155,0.33333333333333337,0.10866785714285714,0.11007619047619047,0.11203333333333332,0.11494,0.11971666666666667,0.12906666666666666,0,0,0.5148973460190286,0.7511266900350526,0.7511266900350525,0.7511266900350525,0.5003126954346466,0.5003126954346466,0.2499375156210947,0.2499375156210947,0.17839290177455638,0.1533991502124469
table_open_cache_hits,276.11111111111114,281.11111111111114,281.8888888888889,436.7777777777778,566.2222222222223,737.4444444444445,877.1111111111111,1055.4444444444446,1255.6666666666667,1406.7777777777778,1535,1666.7777777777778,1663.1111111111113,1715,1681.3333333333335,1669.6666666666667,1621.8888888888891,1577.7777777777778,1564.7777777777778,1584.5555555555557,1618.4444444444446,1603.7777777777778,1587.2222222222222,1618.7777777777778,1669.7777777777778,1660.3333333333335,1670.4444444444446,1699.3333333333335,1728,1733.5555555555554,1756.5555555555554,1805.2222222222222,1769.1111111111113,1742.4444444444446,1786.5555555555554,1778.8888888888891,1753.3333333333335,1749.5555555555554,1688.5555555555554,1649.6666666666667,1609.5555555555557,1657.6666666666667,1646.4444444444446,1695.2222222222222,1740,1773.5555555555554,1709.3333333333335,1780.8888888888891,1791.2222222222222,1752.8888888888891,1682.7777777777778,1648.7777777777778,1580.2222222222222,1610.3333333333335,1535.3333333333335,1592.5555555555557,1553.7777777777778,1534.5555555555557,1561.111111111111,1543.7777777777778,1547.111111111111,1532.3333333333335,1467.7777777777778,1532,1654.4444444444446,1787.5555555555554,1848.4444444444446,1920,2114.3333333333335,2257.3333333333335,2364.1111111111113,2445.888888888889,2516.5555555555557,2459.5555555555557,2087.062875,2479.702750665484,2456.222222222222,2088.3788785714287,1836.180933333333,1597.9314333333332,1347.78644,1118.2733833333334,897.2714666666667,420,344.4512195121951,1660.372308462694,2422.1331997996995,2422.1331997996995,2422.1331997996995,2404.6278924327703,2404.6278924327703,2387.153211697075,2387.153211697075,1703.830604848788,1465.1152836790802
