Avg Threads Running,1,1,1,2.2,2.8,3.6,4.5,5.300000000000001,7.6,8.333333333333332,9.25,10.428571428571427,12,11.8,13,14.333333333333334,16.5,24,26,26,26,26,26,26,26,26,26,26,10,10,10,10,10,10,10,10,10,10,40,40,40,40,40,40,40,40,40,40,64,64,52,52,52,52,52,52,52,52,40,40
Peak Threads Connected,1,1,1,13,13,13,13,13,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,10,10,10,10,10,10,10,10,10,10,40,40,40,40,40,40,40,40,40,40,64,64,64,64,64,64,64,64,64,64,40,40
Peak Threads Running,1,1,1,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,44,44,44,44,44,44,44,44,44,44,20,20
Questions,39,37.88888888888889,37.44444444444444,154.22222222222223,306.77777777777777,497.6666666666667,642.3333333333334,784,888.6666666666667,856.9190249999999,862.5926285714283,870.3515333333332,765.0417600000001,621.77455,438.7449333333333,300.4812,158.6316,448.7242211055276,565.4578894472362,464.6,464.6,464.6,599.5441206030151,482.81045226130647,366.07678391959803
Threads Created,0,0,0,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,2.111111111111111,2.047725,2.068828571428571,2.0969666666666664,1.9114800000000003,1.73325,1.811,1.9665,2.433,0.19316582914572863,0.24341708542713567,0.2,0.2,0.2,0.25809045226130656,0.20783919597989947,0.15758793969849247
Created Tmp Disk Tables,9.222222222222223,9.11111111111111,8.88888888888889,9.222222222222223,8.88888888888889,9,9.11111111111111,8.88888888888889,9.11111111111111,7.652025,6.8598,6.070166666666666,4.947360000000001,4.1598,3.2598,2.2287,1.4598,3.4769849246231153,4.381507537688442,3.6,3.6,3.6,4.645628140703518,3.741105527638191,2.8365829145728645
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,2.4444444444444446,3.7777777777777777,7.555555555555555,9.88888888888889,13.222222222222223,14.11111111111111,13.687425,13.828485714285714,14.016566666666666,11.8062,10.74615,7.123266666666668,4.9818,1.2975999999999999,4.635979899497487,5.842010050251256,4.8,4.8,4.8,6.194170854271357,4.988140703517588,3.7821105527638195
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.111111111111114,28.888888888888893,28.333333333333336,30.77777777777778,28.444444444444446,29.333333333333336,29.888888888888893,28.666666666666668,29.555555555555554,24.680474999999998,22.648228571428568,19.866,15.40428,13.51935,10.745266666666668,6.948300000000001,5.514799999999999,11.39678391959799,14.361608040201006,11.8,11.8,11.8,15.227336683417088,12.26251256281407,9.297688442211056
Sort Rows,51.111111111111114,46,46,51.111111111111114,46,51.111111111111114,51.111111111111114,46,51.111111111111114,39.661199999999994,40.069942857142856,35.538066666666666,25.861200000000004,21.2612,16.6612,12.0612,7.4612,17.771256281407034,22.39437185929648,18.4,18.4,18.4,23.744321608040202,19.121206030150752,14.498090452261309
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0.11111111111111112,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666,0.33732,0.2311,0.12073333333333333,0.1311,0,0,0,0,0,0,0,0,0
