Avg Threads Running,2,2,2.3,2.7,3,3.7,4.5,4.8,5.3999999999999995,5.8,6.2,6.9,6.8999999999999995,6.9,6.8,6.8999999999999995,6.8,6.699999999999999,6.7,6.7,6.799999999999999,6.8999999999999995,6.8999999999999995,6.6,6.800000000000001,7,7.3,7.7,7.5,7.6000000000000005,7.300000000000001,7.299999999999999,7.399999999999999,7.300000000000001,7.1000000000000005,6.9,6.8999999999999995,7.1,7.1,7,7.4,7.199999999999999,7.3999999999999995,7.6,7.800000000000002,7.700000000000001,7.6000000000000005,7.2,7.199999999999999,7.299999999999999,7.3999999999999995,7.6,7.8,8.1,8.200000000000001,8.1,7.7,7.700000000000001,7.6000000000000005,7.5,7.2,7,6.4,7.1,7.7,8.6,9.600000000000001,10.3,11.2,12.3,13.2,14.200000000000001,15.100000000000001,15.3,15.3,15.299999999999999,15.5,15.200000000000001,15.700000000000001,15.5,15.9,15.899999999999999,15.899999999999999,15.8,16.2,16.1,16,16.666666666666668,16.375,16.57142857142857,16.166666666666668,15.8,16.5,17,17,18,27,27,27,27,27
Peak Threads Connected,2,2,5,6,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,8,14,14,17,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,27,27,27,27,27
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,8,8,13,13,13,13,13
Questions,39,37.77777777777778,127.66666666666667,273.6666666666667,384.22222222222223,486.44444444444446,609.8888888888889,714.2222222222223,840.2222222222223,963.2222222222223,1101,1117.2222222222222,1089,1063,1106.5555555555557,1085.888888888889,1106.111111111111,1086.4444444444446,1046.6666666666667,1062.7777777777778,1099.3333333333335,1078.5555555555557,1120.888888888889,1080.6666666666667,1095.111111111111,1076.2222222222222,1119.6666666666667,1192.111111111111,1169,1157.6666666666667,1164.4444444444446,1175.111111111111,1181.6666666666667,1151.2222222222222,1143.3333333333335,1111.4444444444446,1078.7777777777778,1139.6666666666667,1161.3333333333335,1153,1180.2222222222222,1190.4444444444446,1223.5555555555557,1235.7777777777778,1216.7777777777778,1186.111111111111,1114.5555555555557,1122.888888888889,1140.5555555555557,1098.111111111111,1113.6666666666667,1107.888888888889,1134,1158.5555555555557,1184.4444444444446,1187.7777777777778,1136.888888888889,1144.6666666666667,1146,1121.4444444444446,1136.2222222222222,1112.2222222222222,1148.888888888889,1158.4444444444446,1134.3333333333335,1150,1138.3333333333335,1172.888888888889,1186,1153.5555555555557,1147,1098.5555555555557,1073.888888888889,1129,1148.5555555555557,1129.2222222222222,1096.5555555555557,1063,1085.3333333333335,1114.6666666666667,1149.6666666666667,1164.7777777777778,1119.5555555555557,1066.0890814173054,1082.3333333333335,1067.7777777777778,1071.7777777777778,921.9073500000001,793.5590857142856,654.1432333333333,542.18568,441.6321,356.47063730397065,256.82489999999996,150.035
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.22222222222222224,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0.7777777777777779,1.777777777777778,1.777777777777778,1.777777777777778,1.777777777777778,1.777777777777778,1.777777777777778,1.777777777777778,2,1.2222222222222223,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7775186049094746,0.7777777777777779,0.6666666666666667,0.4444444444444445,0.4311,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.1208375041708375,0.1311,0.16219999999999998
Created Tmp Disk Tables,9,8.88888888888889,9,9.11111111111111,9,8.88888888888889,9.11111111111111,9,8.88888888888889,8.88888888888889,9.11111111111111,9.222222222222223,9,9,8.88888888888889,8.777777777777779,8.88888888888889,9,9,9,9,8.88888888888889,9.11111111111111,9.11111111111111,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,9.11111111111111,9,9,9,9,8.88888888888889,9,9.222222222222223,8.777777777777779,8.88888888888889,8.88888888888889,8.88888888888889,8.88888888888889,9.11111111111111,9,9,8.88888888888889,9.222222222222223,9,9.11111111111111,9,9.11111111111111,8.88888888888889,9,9.11111111111111,9.11111111111111,8.777777777777779,9,8.88888888888889,9,9,8.88888888888889,9.222222222222223,9.11111111111111,8.777777777777779,9.222222222222223,9,9,9.11111111111111,9,9.222222222222223,8.777777777777779,9,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9,8.88888888888889,8.777777777777779,9.11111111111111,8.777777777777779,9,9.11111111111111,9,9.219149172498057,8.88888888888889,9.222222222222223,9,7.652025,6.8598,5.849433333333333,4.83492,3.9287,3.0209376042709373,2.3598,1.1354
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.4444444444444444,3.7777777777777777,4.111111111111112,5.777777777777778,6.555555555555555,7,8.444444444444445,10.222222222222223,13.333333333333334,13,11.333333333333334,12.333333333333334,15.777777777777777,15.666666666666668,16.77777777777778,16.555555555555557,15.666666666666668,17.444444444444446,18.77777777777778,18.11111111111111,18,14.11111111111111,13.555555555555557,13.333333333333334,14.555555555555557,16.88888888888889,13.11111111111111,13,13.222222222222223,14.222222222222223,14.11111111111111,14.11111111111111,14.777777777777777,15.11111111111111,16.77777777777778,21.666666666666668,19.77777777777778,20.11111111111111,19.666666666666668,18.555555555555557,18.88888888888889,20.22222222222222,17.555555555555557,14,10,11.11111111111111,12,10.222222222222223,12.777777777777779,12.666666666666668,12.666666666666668,13.777777777777777,16.333333333333336,16.333333333333336,16.333333333333336,17.333333333333336,17.666666666666668,15.777777777777777,17.22222222222222,17.666666666666668,21.22222222222222,17.444444444444446,16.88888888888889,17.666666666666668,17.444444444444446,21.88888888888889,23.444444444444446,22.88888888888889,20.555555555555557,16.333333333333336,19.555555555555557,21.88888888888889,23.77777777777778,22.555555555555557,19.333333333333336,18.333333333333336,19.555555555555557,21.22222222222222,25.22222222222222,23.333333333333336,21.77777777777778,18.66044651782739,21.555555555555557,21.22222222222222,22.333333333333336,19.291725,16.441742857142856,12.140333333333333,10.90668,8.89735,8.096112779446113,4.1952,3.4061999999999997
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.77777777777778,28.77777777777778,28.888888888888893,29.333333333333336,29.77777777777778,28.666666666666668,30.22222222222222,29.555555555555554,27.77777777777778,27.444444444444446,29.77777777777778,29.666666666666668,29.888888888888893,28,28.333333333333336,27.77777777777778,28.77777777777778,29.444444444444446,29,29,30.22222222222222,28.111111111111114,30.22222222222222,29,30.22222222222222,27.888888888888893,28.111111111111114,29.888888888888893,29.22222222222222,28.22222222222222,28.444444444444446,29.333333333333336,29.22222222222222,27.666666666666668,29.444444444444446,30.555555555555554,28,28.22222222222222,28.666666666666668,28.888888888888893,27.555555555555554,29.444444444444446,29.555555555555554,28.666666666666668,28.111111111111114,30.333333333333336,29.22222222222222,29.888888888888893,29.22222222222222,29.444444444444446,28.444444444444446,28.77777777777778,29.888888888888893,28.77777777777778,27.77777777777778,29.111111111111114,28.333333333333336,28.888888888888893,29.111111111111114,28.555555555555554,29.666666666666668,28.444444444444446,28.77777777777778,30.444444444444446,31.333333333333336,28.77777777777778,30,29.666666666666668,31.444444444444446,29,29.888888888888893,30.111111111111114,28.444444444444446,28.333333333333336,29.333333333333336,28.77777777777778,28.666666666666668,28.111111111111114,29.77777777777778,28.22222222222222,28.77777777777778,30.444444444444446,28.555555555555554,29.323558813728756,29.22222222222222,30.111111111111114,28.22222222222222,24.033825,21.994914285714284,18.8727,14.6172,12.36385,9.546162829496163,7.210499999999999,2.7573999999999996
Sort Rows,68,68,68,68,68,68,68,68,60.44444444444444,60.44444444444444,75.55555555555556,75.55555555555556,68,68,60.44444444444444,60.44444444444444,60.44444444444444,75.55555555555556,68,68,68,60.44444444444444,68,68,75.55555555555556,68,60.44444444444444,75.55555555555556,68,68,68,75.55555555555556,75.55555555555556,60.44444444444444,68,75.55555555555556,60.44444444444444,60.44444444444444,68,68,60.44444444444444,68,68,68,60.44444444444444,75.55555555555556,68,68,68,75.55555555555556,60.44444444444444,68,68,75.55555555555556,60.44444444444444,68,60.44444444444444,68,60.44444444444444,68,75.55555555555556,75.55555555555556,60.44444444444444,75.55555555555556,68,68,68,68,75.55555555555556,60.44444444444444,68,68,68,75.55555555555556,68,68,68,60.44444444444444,68,60.44444444444444,68,68,68,75.53037876263468,68,75.55555555555556,68,58.6296,51.82959999999999,45.029599999999995,30.583680000000005,23.5722,16.4339005672339,17.8296,0
