Avg Threads Running,1,1,1.5,2.5,2.8000000000000003,3.6,4.1000000000000005,4.3,5.2,5.666666666666666,6.25,7,7.166666666666666,6.4,7,6.333333333333334,6.5,10,20,20,20,20,20,15.5,15.5,15.5,15.5,15.5,11,11,11,11,11,81,78.5,72.33333333333333,72.33333333333333,72.33333333333333,72.33333333333333,72.33333333333333,71.75,72.4,75,79.5,80.2,95.4,102.5,109.14285714285714,116.125,124,139.22222222222223,156.44444444444446,174.33333333333334,189.77777777777777,195.1,206.1,216.79999999999995,226.5,234.9,240,242.79999999999998,242.8,241.2,241.2,241.8,241.9,242.29999999999998,242.5,242.09999999999997,243.2,243.7,244.5,244.4,242.49999999999997,242.19999999999996,242.39999999999998,241.5,241.6,241.8,240.7,241.6,241.7,242.29999999999998,243.8,241.7,240.19999999999996,241.1,239.99999999999997,240.20000000000005,240.9,240
Peak Threads Connected,1,1,6,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,11,11,11,11,11,81,81,81,81,81,81,81,81,81,88,108,108,136,138,149,165,187,207,230,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,47,59,59,59,59,59,59,59,71,81,100,100,126,135,144,162,184,206,228,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,248,249,249,249,249,249,249,249,249,249,249,249
Questions,37.55555555555556,40.22222222222222,50.777777777777786,167.11111111111111,320.8888888888889,461.2222222222223,593.2222222222223,720.7777777777778,853.8888888888889,824.47875,828.0758571428571,824.3286333333333,716.8050000000001,571.5103,441.64253333333335,318.7041,201.77679999999998,1148.6676016830295,1148.6676016830295,1148.6676016830295,1148.6676016830295,1148.6676016830295,271.5363445378151,355.4271516393443,313.65,313.65,313.65,313.65,1127.0615230173528,1101.986921529175,1105.3395889186772,1087.888888888889,1102.625,709.3843474779824,797.4835323632715,854.1360175765392,997.2427622509085,955.8970932175076,946.5555555555557,880.3333333333334,821.3333333333334,599.1391785669548,598.1298007347211,524.6666666666667,480.6666666666667,409.6666666666667,365.77777777777777,288.8888888888889,270.44444444444446,269.77777777777777,306.8888888888889,316.11111111111114,313.6666666666667,312,313.77777777777777,309.22222222222223,320.22222222222223,304.77777777777777,273.22222222222223,256.44444444444446,258.55555555555554,274.77777777777777,296.6666666666667,290.22222222222223,292.33333333333337,295.22222222222223,294,301.33333333333337,297.77777777777777,282.22222222222223,276.55555555555554,281.8888888888889,291.8888888888889,312.77777777777777,322,323.11111111111114,322.22222222222223,309.8888888888889,315.22222222222223
Threads Created,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.11555,0.12073333333333333,0.1311,0.16219999999999998,1.402524544179523,1.402524544179523,1.402524544179523,1.402524544179523,1.402524544179523,2.664495798319328,1.8697745901639344,1.65,1.65,1.65,1.65,7.457335436684355,6.916498993963782,7.596067917783735,8.444444444444445,9.5,8.692163730984788,8.85261582204382,9.552200649567752,11.906253916530893,12.91903329992204,14.88888888888889,16.333333333333336,16.333333333333336,13.48356272704497,13.358566180563287,13.555555555555557,13.222222222222223,12.333333333333334,10.333333333333334,8,6.444444444444445,6.333333333333334,8.666666666666668,9.88888888888889,9.555555555555555,9.88888888888889,9.444444444444445,9.666666666666668,10.222222222222223,9.333333333333334,7.777777777777779,6.777777777777779,6.111111111111112,7.777777777777779,9.777777777777779,9.777777777777779,9.444444444444445,9.88888888888889,9.666666666666668,9.444444444444445,9.333333333333334,8.555555555555555,8,7.111111111111112,7.222222222222223,9.222222222222223,9.777777777777779,9.88888888888889,10.88888888888889,9.666666666666668,9.666666666666668
Created Tmp Disk Tables,8.88888888888889,9.222222222222223,9,9,8.88888888888889,9,8.88888888888889,9,8.88888888888889,7.7598,6.750914285714285,6.070166666666666,4.947360000000001,4.1598,3.2598,2.3598,1.2975999999999999,8.615507914245644,8.615507914245644,8.615507914245644,8.615507914245644,8.615507914245644,2.664495798319328,3.229610655737705,2.85,2.85,2.85,2.85,9.751900186433385,9.557344064386317,9.718498659517426,9.444444444444445,9.625,5.708286629303442,6.73297541394882,7.496663800926589,9.149016167439529,9.132420091324203,9,8.88888888888889,8.777777777777779,8.676379493924589,9.239674941556272,8.88888888888889,9.11111111111111,8.88888888888889,9,9.11111111111111,9,9.222222222222223,9,8.777777777777779,9.11111111111111,8.88888888888889,8.88888888888889,9,9.11111111111111,8.88888888888889,9,8.88888888888889,9.11111111111111,9.11111111111111,9.222222222222223,9.222222222222223,8.88888888888889,8.777777777777779,9.11111111111111,8.88888888888889,9,9.11111111111111,8.88888888888889,9,8.777777777777779,8.88888888888889,9.11111111111111,9.11111111111111,9.11111111111111,8.88888888888889,8.88888888888889
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,1.777777777777778,2.3333333333333335,5,5.777777777777778,6.888888888888888,10.333333333333334,10.023075,10.126371428571428,10.153733333333332,8.65788,8.3196,5.7951999999999995,5.3751,5.0282,22.039671408535362,22.039671408535362,22.039671408535362,22.039671408535362,22.039671408535362,5.086764705882354,5.949282786885246,5.25,5.25,5.25,5.25,18.21310770113294,16.348088531187123,14.968722073279713,13.666666666666668,13.625,2.4649419535628505,2.743064057534705,3.2646761713712564,6.266449429753101,6.236774696514089,6.222222222222223,6.333333333333334,5.555555555555555,5.745170205436553,5.454747857063341,5.333333333333334,5,2.555555555555556,2,1.777777777777778,1.2222222222222223,1,1.4444444444444444,1.5555555555555558,1.3333333333333335,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.4444444444444444,1.4444444444444444,1,1.1111111111111112,1.2222222222222223,1.3333333333333335,1.4444444444444444,1.4444444444444444,1.5555555555555558,1.5555555555555558,1.6666666666666667,1.5555555555555558,1.4444444444444444,1.5555555555555558,1.5555555555555558,1.4444444444444444,1.6666666666666667,1.6666666666666667,1.5555555555555558,1.6666666666666667,1.777777777777778,1.777777777777778
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.444444444444446,30.666666666666668,30,28.888888888888893,28.111111111111114,29.666666666666668,29,29.77777777777778,28.333333333333336,24.896025,21.341599999999996,18.983066666666666,16.19136,13.866,10.1416,7.9971000000000005,3.8928,26.84832698857944,26.84832698857944,26.84832698857944,26.84832698857944,26.84832698857944,8.962394957983195,10.36875,9.15,9.15,9.15,9.15,29.25570055930016,29.175050301810863,30.6076854334227,28.77777777777778,29.375,18.94113290632506,22.318566649941463,25.150097912785977,30.454944228600073,30.515647622229647,29,28.22222222222222,28.333333333333336,27.67061568332707,30.279416675943445,28.666666666666668,28.888888888888893,28.77777777777778,29.22222222222222,29.333333333333336,29.111111111111114,30.22222222222222,29.77777777777778,27.555555555555554,29.333333333333336,28.77777777777778,28.333333333333336,28.444444444444446,29.77777777777778,28.77777777777778,29.555555555555554,28.555555555555554,29.555555555555554,30.22222222222222,29.666666666666668,29.333333333333336,28.444444444444446,28,29.77777777777778,28.111111111111114,28.888888888888893,30,27.666666666666668,29.77777777777778,28.22222222222222,28.333333333333336,29.666666666666668,28.888888888888893,28.77777777777778,28.333333333333336,27.666666666666668
Sort Rows,106,117.77777777777779,106,106,94.22222222222223,94.22222222222223,94.22222222222223,106,94.22222222222223,79.96905000000001,69.25131428571429,70.19319999999999,47.67456,48.9932,38.3932,27.793200000000002,0,84.9529152474454,84.9529152474454,84.9529152474454,84.9529152474454,84.9529152474454,52.80546218487395,55.58329918032787,49.05,49.05,49.05,49.05,125.7708303456188,110.28672032193158,122.54244861483467,109.88888888888889,110,57.21260008006406,68.8259708981435,80.1659370970053,110.91615490662988,110.92549281657202,110.66666666666667,98.55555555555556,98.66666666666667,117.13112316798197,123.5667371702104,111,123.33333333333334,98.66666666666667,111,123.33333333333334,123.33333333333334,123.33333333333334,111,98.66666666666667,111,98.66666666666667,111,111,111,98.66666666666667,111,111,123.33333333333334,123.33333333333334,123.33333333333334,123.33333333333334,98.66666666666667,98.66666666666667,111,111,111,111,98.66666666666667,111,98.66666666666667,111,123.33333333333334,123.33333333333334,111,98.66666666666667,98.66666666666667
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
