Avg Threads Running,1,1,1.3,1.4,1.9,2.3,2.8000000000000003,3,3.4,4,4.3999999999999995,4.7,4.7,4.8,4.7,4.7,4.499999999999999,4.6000000000000005,4.699999999999999,4.500000000000001,4.5,4.5,4.5,4.800000000000001,4.699999999999999,5,5,5.1,4.7,4.8,4.7,5,5.199999999999999,4.8999999999999995,4.7,4.3999999999999995,4.5,4.5,4.7,4.7,4.699999999999999,4.500000000000001,4.3,4.3,4.5,4.699999999999999,4.6,4.8,4.800000000000001,4.9,5.1,4.699999999999999,4.5,4.5,4.5,4.199999999999999,4.3,4,3.8,3.9000000000000004,4.2,4.3,4.3999999999999995,4.5,4.8,5,5,5.3,5.5,5.2,4.9,5.1,5.699999999999999,6,6.1000000000000005,6.6,6.6000000000000005,6.3,6.3999999999999995,6.8,7,7,6.7,6.4,6.3,6.5,6.666666666666667,7,7.2857142857142865,7,6.8,7.5,8,10,13,29,23,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,18.666666666666664,16.333333333333332,19.666666666666668,24.5
Peak Threads Connected,1,1,4,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,29,29,29,29,29,29,29,29,29,29,22,27,27
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,14,14,14,14,14,14,14,14,14,14,10,9,9
Questions,36.44444444444444,38.44444444444444,79.44444444444444,127,194,264.11111111111114,344.33333333333337,402.44444444444446,514.2222222222223,594.1111111111111,659,684.1111111111111,714.6666666666667,714.4444444444445,730.8888888888889,747.6666666666667,767.3333333333334,719.1111111111111,709.2222222222223,719.8888888888889,717.3333333333334,735,726.7777777777778,714.1111111111111,683.3333333333334,669.3333333333334,706.3333333333334,732.3333333333334,737.6666666666667,755.2222222222223,728.3333333333334,747.7777777777778,737,730,734.3333333333334,720,714.5555555555555,710.7777777777778,714.7777777777778,726.4444444444445,718.1111111111111,764.5555555555555,779.6666666666667,813.4444444444446,793.3333333333334,761.3333333333334,769.4444444444445,767.3333333333334,796.8888888888889,801.7777777777778,771.5555555555555,782.4444444444445,742.3333333333334,744.4444444444445,766.7777777777778,751.4444444444445,755.6666666666667,735.3333333333334,730,739.1111111111111,720,719.7777777777778,733.5555555555555,742.2222222222223,793.5555555555555,855.3333333333334,897.5555555555557,944.4444444444446,962.2222222222223,967.6666666666667,1020.5555555555557,1073.3333333333335,1104.7777777777778,1153.111111111111,1111,1095.2222222222222,1123.2222222222222,1129.111111111111,1167.4444444444446,1177.888888888889,1173.2222222222222,1166,1131,1153.7777777777778,1159.5555555555557,1151.2222222222222,1005.8640750000001,904.4047428571428,786.1417666666666,666.09456,562.9595999999999,437.0546666666667,314.7711,205.183,207.1642414860681,367.84323260538343,325.35,325.35,325.35,325.35,325.35,325.35,287.9790883697308,1164.6719858156027,1139.3333333333335,210.4
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.11244000000000001,0.11555,0.12073333333333333,0.1311,0.16219999999999998,0,0,0,0,0,0,0,0,0,2.548758865248227,3.1111111111111116,1
Created Tmp Disk Tables,8.777777777777779,9.11111111111111,8.88888888888889,9,9,9.11111111111111,9.222222222222223,8.88888888888889,9,9.222222222222223,8.88888888888889,8.88888888888889,9.222222222222223,8.88888888888889,9,8.88888888888889,9,9,8.777777777777779,9,9,8.777777777777779,8.88888888888889,9,9.11111111111111,9.11111111111111,9,9.222222222222223,9.11111111111111,9.11111111111111,9.11111111111111,9.11111111111111,8.88888888888889,9,8.777777777777779,9,8.88888888888889,9,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9,9,9,9,9.222222222222223,9.11111111111111,9.11111111111111,9.11111111111111,8.88888888888889,8.88888888888889,8.88888888888889,8.777777777777779,9.11111111111111,8.88888888888889,9,8.777777777777779,9,9.11111111111111,9.11111111111111,9,9.222222222222223,9,9,9,9.222222222222223,8.777777777777779,9.11111111111111,9,9.222222222222223,9,8.88888888888889,9,8.88888888888889,8.88888888888889,9,9,9,8.777777777777779,8.777777777777779,9.11111111111111,9,7.7598,6.8598,6.070166666666666,4.947360000000001,4.1598,3.3805333333333336,2.4909,1.4598,2.6466976264189888,3.2222320975114274,2.85,2.85,2.85,2.85,2.85,2.85,2.5226383951244284,8.865248226950355,9.11111111111111,2
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,2.3333333333333335,2.3333333333333335,3.666666666666667,4.777777777777778,6.888888888888888,8.777777777777779,12.444444444444446,12.555555555555555,13.333333333333334,12.666666666666668,13.777777777777777,14,17.11111111111111,17.333333333333336,16.555555555555557,14.444444444444446,15.555555555555557,15.11111111111111,13.444444444444446,13.666666666666668,14.333333333333334,12.555555555555555,10.222222222222223,10.11111111111111,9.777777777777779,10.555555555555555,10.88888888888889,13,12.222222222222223,10,7.666666666666667,7.666666666666667,6.888888888888888,7.888888888888888,8.11111111111111,7.555555555555555,5.444444444444445,6.333333333333334,8.333333333333334,11.555555555555555,12,13.88888888888889,11.777777777777779,11.222222222222223,14.222222222222223,17.444444444444446,17.444444444444446,17.555555555555557,15.666666666666668,17.444444444444446,15.333333333333334,15.444444444444446,13.777777777777777,10.777777777777779,8.777777777777779,7.555555555555555,7.777777777777779,6.444444444444445,5.111111111111112,8,7.777777777777779,10.777777777777779,13.444444444444446,12.444444444444446,14,12.444444444444446,12.444444444444446,11.666666666666668,9.222222222222223,9.444444444444445,9.777777777777779,11.333333333333334,12.777777777777779,13.88888888888889,15.222222222222223,17.555555555555557,18.666666666666668,19.333333333333336,21.333333333333336,19.22222222222222,19.333333333333336,18.88888888888889,17.333333333333336,16.666666666666668,13.7952,12.73962857142857,11.809233333333333,9.78228,8.7818,4.3464,3.2775,2.1086,2.165479876160991,7.970784662265109,7.05,7.05,7.05,7.05,7.05,7.05,6.240210766886744,20.833333333333336,18.77777777777778,3.8
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28,29.444444444444446,28.333333333333336,28,27.888888888888893,29.555555555555554,30.444444444444446,27.333333333333336,28.77777777777778,30.22222222222222,29,28.444444444444446,30.22222222222222,29.22222222222222,29.444444444444446,28.333333333333336,29.555555555555554,29.666666666666668,27.555555555555554,29.111111111111114,28.77777777777778,27.666666666666668,28.333333333333336,28.333333333333336,28.77777777777778,29.555555555555554,28.888888888888893,30.555555555555554,29.111111111111114,29.555555555555554,29.111111111111114,30,28.77777777777778,29.555555555555554,27.666666666666668,28.444444444444446,27.77777777777778,28.666666666666668,29.666666666666668,28.888888888888893,28.111111111111114,30,28.444444444444446,30.22222222222222,28.555555555555554,29.111111111111114,28.77777777777778,29.22222222222222,29,30.22222222222222,29.111111111111114,29.888888888888893,28.22222222222222,28.666666666666668,28.77777777777778,29,27.666666666666668,29.444444444444446,28.77777777777778,29.888888888888893,27.666666666666668,29.666666666666668,29,29,29.333333333333336,30.111111111111114,29.77777777777778,28,28.111111111111114,30.333333333333336,27.888888888888893,30,29.555555555555554,29.666666666666668,29.22222222222222,27.888888888888893,29.444444444444446,27.77777777777778,27.77777777777778,29.22222222222222,28.22222222222222,28.444444444444446,29.111111111111114,28.22222222222222,29.444444444444446,28.333333333333336,25.003800000000002,21.886028571428568,19.09343333333333,15.854040000000001,13.28825,9.296466666666667,6.948300000000001,3.8928,8.180701754385966,10.005878618588117,8.85,8.85,8.85,8.85,8.85,8.85,7.833456069070593,29.366134751773053,30,6
Sort Rows,40.88888888888889,51.111111111111114,46,46,46,46,51.111111111111114,40.88888888888889,46,51.111111111111114,40.88888888888889,40.88888888888889,51.111111111111114,40.88888888888889,46,46,51.111111111111114,46,40.88888888888889,46,46,40.88888888888889,46,46,46,46,46,51.111111111111114,51.111111111111114,46,46,46,46,46,40.88888888888889,46,46,40.88888888888889,51.111111111111114,46,46,46,46,46,40.88888888888889,46,51.111111111111114,46,46,51.111111111111114,51.111111111111114,46,51.111111111111114,46,40.88888888888889,40.88888888888889,40.88888888888889,51.111111111111114,40.88888888888889,46,40.88888888888889,46,46,51.111111111111114,46,51.111111111111114,46,46,46,51.111111111111114,40.88888888888889,51.111111111111114,40.88888888888889,51.111111111111114,46,40.88888888888889,51.111111111111114,40.88888888888889,40.88888888888889,46,46,46,40.88888888888889,40.88888888888889,46,40.88888888888889,39.661199999999994,35.0612,30.461199999999998,20.68896,21.2612,16.6612,12.0612,7.4612,22.136016511867904,15.602386998476385,13.8,13.8,13.8,13.8,13.8,13.8,12.214880650076179,45.87765957446808,51.111111111111114,9.2
