Avg Threads Running,1,1,1.5,2.1,3,3.6,3.9,4.4,5.3,6.4,7,7.75,8,8.166666666666668,7.8,8,9.333333333333334,11,12,17,17,17,17,17,17,17,17,17,17,41,41,41,32.5,32.5,32.5,32.5,32.5,32.5,25,17.333333333333332,17.333333333333332,17.333333333333332,14,14,14,14,16.666666666666664,16.666666666666664,20.333333333333332,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21,21,46,39,34.333333333333336,38.25,38.25,38.25,38.25,38.25,38.25,38.25,35.66666666666667,37.5,50,16,16,16,16,16,16,16,32.5,32.5,32.5,49,49,49,49,49,49,49
Peak Threads Connected,1,1,6,7,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,41,41,41,41,41,41,41,41,41,41,24,24,24,18,18,18,18,22,22,22,22,22,22,22,22,22,22,21,21,46,46,46,50,50,50,50,50,50,50,50,50,50,16,16,16,16,16,16,16,49,49,49,49,49,49,49,49,49,49
Peak Threads Running,1,1,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,24,24,24,35,35,35,35,35,35,35,35,35,35,2,2,2,2,2,2,2,21,21,21,21,21,21,21,21,21,21
Questions,39,36.333333333333336,47,178.33333333333334,313.33333333333337,462.7777777777778,585.2222222222223,750.5555555555555,865.6666666666667,991.4444444444446,958.8741749999999,955.7987999999999,834.7031,707.9222400000001,568.15935,456.85493333333335,294.975,192.207,651.034869739479,772.6781563126252,894.3214428857715,928.868136272545,807.2248496993986,685.5815631262524,1149.7498610339076,1095.517685808392,1095.517685808392,1095.517685808392,190,190,190,190,1136.4488316881168,1136.4488316881168,1137.3157486423584,513.7055944055944,423.4,423.4,423.4,544.15994005994,438.4156843156842,332.6714285714286,236.18623481781373,366.7302631578947,556.5532881355932,507.6,507.6,507.6,507.6,507.6,467.25010169491526,373.69931192660545,268.9462012320329,1122.779593576808,1122.7795935768083,1122.7795935768083
Threads Created,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.11244000000000001,0.11555,0.12073333333333333,0.1311,0.16219999999999998,1.2513026052104208,1.4851035404141615,1.7189044756179022,1.785303941215765,1.5515030060120238,1.317702070808283,2.223457476375764,2.004868967492482,2.004868967492482,2.004868967492482,0.2,0.2,0.2,0.2,2.3741097088591774,2.3741097088591774,2.7706971073922197,1.6986013986013986,1.4,1.4,1.4,1.799300699300699,1.4496503496503494,1.1,0,0,2.777649717514124,2.533333333333333,2.533333333333333,2.533333333333333,2.533333333333333,2.533333333333333,2.331954802259887,2.536722731906218,3.1523613963039017,7.389512576381979,7.38951257638198,7.38951257638198
Created Tmp Disk Tables,9.222222222222223,9,9.11111111111111,9.11111111111111,9,9,8.88888888888889,8.777777777777779,9,8.777777777777779,7.54425,6.642028571428571,5.849433333333333,4.83492,4.1598,3.2598,2.3598,1.2975999999999999,4.647695390781563,5.516098864395457,6.384502338009352,6.631128924515698,5.762725450901803,4.894321977287909,8.893829905503056,9.308320206215095,9.308320206215095,9.308320206215095,2.2,2.2,2.2,2.2,8.996626265150569,8.996626265150569,8.755402859359416,4.367832167832168,3.6,3.6,3.6,4.626773226773226,3.7276723276723276,2.8285714285714283,2.108805668016194,3.019736842105263,4.9705310734463275,4.533333333333333,4.533333333333333,4.533333333333333,4.533333333333333,4.533333333333333,4.172971751412429,3.3377930682976555,2.6546201232032858,8.952678698308937,8.952678698308938,8.952678698308938
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.888888888888889,1.8888888888888888,3.8888888888888893,6.444444444444445,12.555555555555555,13.555555555555557,13.555555555555557,13.14855,13.284057142857142,12.581799999999998,11.8062,10.05285,7.726933333333333,1.1799,0,13.76432865731463,16.336138944555778,18.907949231796927,19.63834335337341,17.066533066132262,14.494722778891113,18.677042801556418,15.89574681369039,15.89574681369039,15.89574681369039,4,4,4,4,19.492690241159565,19.492690241159565,16.51335476005763,3.1545454545454548,2.6,2.6,2.6,3.3415584415584414,2.6922077922077916,2.0428571428571427,2.108805668016194,5.8717105263157885,8.332949152542373,7.6,7.6,7.6,7.6,7.6,6.99586440677966,6.408562691131499,3.650102669404518,14.494813130595421,14.494813130595423,14.494813130595423
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.555555555555554,27.77777777777778,29.77777777777778,29.888888888888893,29.111111111111114,28.444444444444446,28.77777777777778,28,29.77777777777778,28.111111111111114,25.111575,21.232714285714284,18.76233333333333,15.06696,13.4038,10.745266666666668,7.9971000000000005,4.055,12.69178356713427,15.06319305277221,17.434602538410154,18.108082832331327,15.736673346693385,13.365263861055443,27.348526959421896,30.932264069884006,30.932264069884006,30.932264069884006,8.2,8.2,8.2,8.2,28.86417593402474,28.86417593402474,27.485315305330822,14.074125874125874,11.6,11.6,11.6,14.908491508491505,12.01138861138861,9.114285714285714,7.029352226720647,10.233552631578945,15.203977401129944,13.866666666666665,13.866666666666665,13.866666666666665,13.866666666666665,13.866666666666665,12.764384180790959,9.87986748216106,7.1342915811088305,27.85277817251669,27.852778172516697,27.852778172516697
Sort Rows,113.33333333333334,102,113.33333333333334,113.33333333333334,102,102,90.66666666666667,90.66666666666667,102,90.66666666666667,76.95135,66.63805714285714,56.287,45.87552,47.1444,36.9444,26.744399999999995,0,54.6997995991984,64.92024048096191,75.14068136272545,78.04328657314629,67.82284569138275,57.60240480961924,102.05669816564756,116.85521981956181,116.85521981956181,116.85521981956181,40.8,40.8,40.8,40.8,101.96176433837311,101.96176433837311,90.43555358528207,49.5020979020979,40.8,40.8,40.8,52.43676323676323,42.24695304695304,32.05714285714286,47.79959514170041,51.335526315789465,44.73477966101695,40.8,40.8,40.8,40.8,40.8,37.556745762711856,13.618195718654434,0,101.46369191416795,101.46369191416797,101.46369191416797
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
