Avg Threads Running,2,2,2.7,3,3.9000000000000004,4.6,5.2,5.599999999999999,5.999999999999999,6.500000000000001,7.142857142857143,8,13,18.5,20,22.75,27.666666666666664,38.5,38.5,38.5,38.5,38.5,38,49,49,49,49,49,74.5,74.5,74.5,74.5,74.5,100,100,100,100,100,25,25,25,25,25,25,25,25,25,25
Peak Threads Connected,2,2,9,9,11,11,11,11,11,11,11,11,39,39,39,39,39,39,39,39,39,39,38,49,49,49,49,49,100,100,100,100,100,100,100,100,100,100,25,25,25,25,25,25,25,25,25,25
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,2,2,18,20,20,20,20,20,20,20,20,20,20,27,27,27,27,27,59,59,59,59,59,59,59,59,59,59,6,6,6,6,6,6,6,6,6,6
Questions,37.77777777777778,36.44444444444444,110.88888888888889,244.77777777777777,380.55555555555554,480.88888888888886,612.6666666666667,779.6666666666667,752.05395,753.5980285714285,761.6403666666666,697.57776,1197.9374584165002,1172,1201.125,992.627038095238,870.6864666666667,201,201,201,201,165.07790224032587,1128.838049367851,1128.838049367851,1128.838049367851,1128.838049367851,1128.838049367851
Threads Created,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,3.6593479707252157,3.666666666666667,4,3.789104761904762,4.065066666666667,0,0,0,0,0,10.636162954043751,10.636162954043751,10.636162954043751,10.636162954043751,10.636162954043751
Created Tmp Disk Tables,9,8.777777777777779,8.88888888888889,8.88888888888889,9,9,9.11111111111111,9,7.7598,6.642028571428571,5.9597999999999995,5.059800000000001,9.203814593036148,9,9,7.341390476190476,6.986833333333334,1.6,1.6,1.6,1.6,1.3140529531568228,9.231386714830425,9.231386714830425,9.231386714830425,9.231386714830425,9.231386714830425
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,2.4444444444444446,3.666666666666667,3.8888888888888893,5.111111111111112,5.222222222222222,5.065424999999999,5.117628571428571,5.187233333333333,5.17224,12.308715901530272,12.555555555555555,13.875,11.84095238095238,12.5763,2.6,2.6,2.6,2.6,2.135336048879837,11.840256873369459,11.840256873369459,11.840256873369459,11.840256873369459,11.840256873369459
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.666666666666668,27.77777777777778,28.444444444444446,27.77777777777778,28.22222222222222,28.666666666666668,29,29.444444444444446,25.4349,20.90605714285714,19.424533333333333,16.866,29.829230428032822,29.77777777777778,29.625,24.155542857142855,22.993033333333333,6.6,6.6,6.6,6.6,5.420468431771894,29.700983343367454,29.700983343367454,29.700983343367454,29.700983343367454,29.700983343367454
Sort Rows,75,66.66666666666667,75,75,75,83.33333333333334,83.33333333333334,75,64.66499999999999,48.998571428571424,49.665,42.165000000000006,83.16699933466398,75,65.625,53.284285714285716,57.165,0,0,0,0,0,90.30704394942806,90.30704394942806,90.30704394942806,90.30704394942806,90.30704394942806
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opened_tables,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.2217786648924373,0.22222222222222224,0.25,0.11840952380952381,0.12703333333333333,0,0,0,0,0,0.40136463977523584,0.40136463977523584,0.40136463977523584,0.40136463977523584,0.40136463977523584
table_open_cache_hits,279.22222222222223,277.22222222222223,422,681.5555555555555,945.7777777777777,1138.3333333333335,1393.3333333333335,1718.5555555555554,1636.563375,1619.8927714285712,1614.1124999999997,1467.79176,2528.055001108893,2473.888888888889,2532.125,2093.480380952381,1841.4752,425,425,425,425,349.04531568228106,2403.7728276138873,2403.7728276138873,2403.7728276138873,2403.7728276138873,2403.7728276138873
table_open_cache_misses,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.2217786648924373,0.22222222222222224,0.25,0.11840952380952381,0.12703333333333333,0,0,0,0,0,0.40136463977523584,0.40136463977523584,0.40136463977523584,0.40136463977523584,0.40136463977523584
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1,0.888888888888889,1,1,1,1.1111111111111112,1.1111111111111112,1,0.8622,0.6533142857142856,0.6622,0.5622,1.1088933244621866,1,0.875,0.7104571428571429,0.7622,0,0,0,0,0,1.2040939193257076,1.2040939193257076,1.2040939193257076,1.2040939193257076,1.2040939193257076
Slow Queries,4.444444444444445,4.222222222222222,5.555555555555555,6.888888888888888,7.666666666666667,9.666666666666668,11.333333333333334,12.777777777777779,11.85525,11.21522857142857,11.147033333333333,9.66984,14.637391882900863,14.333333333333334,13.5,10.420038095238095,9.273433333333333,1.8,1.8,1.8,1.8,1.4783095723014257,16.255267910897054,16.255267910897054,16.255267910897054,16.255267910897054,16.255267910897054
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
