Avg Threads Running,1,1,1,1.9,2.3,2.9000000000000004,3.1,3.7,4.4,4.777777777777778,5.25,5.857142857142857,6.666666666666667,6,6.25,7,8,10.75,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,16.25,16.25,16.25,18.333333333333332,21.333333333333332,23,23,23,23,23,16,16,16,16,24,24,24,24,24,24,24,24,24,24,43,43,43,43,43,43,43,43,43,43
Peak Threads Connected,1,1,1,10,10,10,10,10,10,10,10,10,10,8,8,10,10,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,16,16,16,16,24,24,24,24,24,24,24,24,24,24,43,43,43,43,43,43,43,43,43,43
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,5,5,5,2,2,2,2,2,2,2,2,2,2,23,23,23,23,23,23,23,23,23,23
Questions,39.66666666666667,38.111111111111114,36.77777777777778,148.88888888888889,290.77777777777777,458.6666666666667,579.6666666666667,738.8888888888889,871.3333333333334,840.42945,845.9331142857142,853.9069,752.8982400000001,622.5834,463.73673333333335,1226.2353201861292,1176.888888888889,1162.2222222222222,313.5,313.5,313.5,313.5,1114.383757506434,1114.383757506434,925.7928796110951,864.6699169435217,1120.119787045253,1099.8498498498498,1099.8498498498498,1099.8498498498498,784.8528528528528,674.8678678678679
Threads Created,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,0.11555,0.12073333333333333,2.4374030578329275,2.3333333333333335,3.444444444444444,1.5,1.5,1.5,1.5,3.8604518158421506,3.8604518158421506,3.2071346868744635,3.429717607973422,2.218278615794144,0.7507507507507507,0.7507507507507507,0.7507507507507507,0.5357357357357357,0.4606606606606607
Created Tmp Disk Tables,9.11111111111111,9.11111111111111,8.777777777777779,8.777777777777779,9,9.222222222222223,8.777777777777779,8.777777777777779,8.88888888888889,7.652025,6.750914285714285,6.070166666666666,5.17224,4.27535,3.139066666666667,9.195656990915136,9.11111111111111,9,2.55,2.55,2.55,2.55,9.007720903631684,9.007720903631684,7.483314269373748,6.986461794019934,9.094942324755989,9.00900900900901,9.00900900900901,9.00900900900901,6.428828828828829,5.527927927927928
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,1.2222222222222223,2.4444444444444446,7.555555555555555,11.555555555555555,14.222222222222223,16.666666666666668,16.166249999999998,16.332857142857144,16.555,15.629160000000002,14.7904,9.900133333333333,30.024374030578333,31.111111111111114,29.555555555555554,6.15,6.15,6.15,6.15,25.1644266514155,25.1644266514155,20.90576684777428,18.164800664451825,19.631765749778175,10.51051051051051,10.51051051051051,10.51051051051051,7.5003003003003,6.449249249249249
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.444444444444446,29.444444444444446,27.888888888888893,28.333333333333336,28.888888888888893,29.666666666666668,27.77777777777778,28.555555555555554,28.22222222222222,23.818275,21.450485714285712,19.424533333333333,16.866,13.866,10.262333333333334,29.802791934411704,29.555555555555554,29.333333333333336,8.4,8.4,8.4,8.4,29.596797254789823,29.596797254789823,24.588032599370887,22.737757475083058,29.059449866903286,27.77777777777778,27.77777777777778,27.77777777777778,19.822222222222223,17.044444444444444
Sort Rows,53.333333333333336,53.333333333333336,42.66666666666667,42.66666666666667,48,53.333333333333336,42.66666666666667,42.66666666666667,48,41.3856,36.58559999999999,37.0832,32.38272,27.732,17.3856,53.17970307999114,53.333333333333336,48,14.4,14.4,14.4,14.4,48.04117815270232,48.04117815270232,39.911009436659995,36.583654485049834,47.91481810115351,48.048048048048045,48.048048048048045,48.048048048048045,34.28708708708709,29.482282282282284
