Avg Threads Running,1,1,1.6,2.2,2.6,3.0999999999999996,4.2,5.3,5.777777777777778,6.375,8.875,10.000000000000002,10.428571428571429,10.428571428571429,11.333333333333332,12.4,12.5,12.666666666666666,12.666666666666666,12.666666666666666,8.5,8.5,7,26,26,26,26,26,26,26,26,26,26,48,48,48,48,48,32.5,32.5,27.333333333333332,27.333333333333332,27.333333333333332,17,17,17,17,17,17,17,34,34,34,34,34,34,36,31,28,25.4,21.6,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,17.4,16.5,15.666666666666668,16,17,42,42,42,42,42,42,42,42,42,42
Peak Threads Connected,1,1,7,7,7,7,12,12,12,12,21,21,21,21,21,21,21,21,21,21,10,10,7,26,26,26,26,26,26,26,26,26,26,48,48,48,48,48,48,48,48,48,48,17,17,17,17,17,17,17,34,34,34,34,34,34,38,38,38,38,38,38,38,38,38,38,21,19,17,17,17,42,42,42,42,42,42,42,42,42,42
Peak Threads Running,1,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,10,10,10,10,10,10,10,10,10,10,22,22,22,22,22,22,22,22,22,22,8,8,8,8,8,5,5,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,8,4,4,4,1,14,14,14,14,14,14,14,14,14,14
Questions,38,38,175.77777777777777,338.8888888888889,458.33333333333337,601.5555555555555,743.1111111111111,890.3333333333334,859.074525,863.3548285714285,1258.0931263858092,1106.2351205320033,1184.692179700499,1167.2222222222222,1022.68425,898.8627999999999,771.6687000000001,457.95,498.62251677852356,396.1728523489933,185,151.61548223350252,1193.3480264476057,1193.3480264476057,1175.4611754611753,1175.4611754611753,1175.4611754611753,452.8,452.8,581.2667332667332,468.1798201798201,355.09290709290707,1143.5,1138.9485747027645,1132.5648414985592,1132.1679100322904,605.092756217031,720.5819433848625,677.52,677.52,677.52,637.042453322626,526.4458,418.70320000000004,306.6429,186.3678
Threads Created,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.4444444444444445,0.4311,0.4355428571428571,2.9933481152993346,2.8562177888611804,3.549639489739323,3.555555555555556,3.5688000000000004,3.5415285714285707,3.4423000000000004,0.9,0.9799328859060402,0.7785906040268455,0,0,2.805049088359046,2.805049088359046,2.4310024310024305,2.4310024310024305,2.4310024310024305,0.6,0.6,0.7702297702297702,0.6203796203796204,0.4705294705294705,3.8333333333333335,3.2946569259418417,2.881844380403458,2.560962030954237,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9,9,9.11111111111111,9.11111111111111,9.222222222222223,8.88888888888889,9,9,7.652025,6.642028571428571,9.09090909090909,7.909526184538653,8.874098724348308,8.88888888888889,8.0298,7.3115428571428565,6.528499999999999,4.05,4.409697986577181,3.503657718120805,1.8,1.475177664974619,9.216589861751153,9.216589861751153,9.152009152009152,9.152009152009152,9.152009152009152,3.6,3.6,4.621378621378621,3.7222777222777226,2.8231768231768233,9,8.881249104712792,8.770830722967046,8.90769402071039,4.8439713639789,5.487960248945995,5.16,5.16,5.16,4.851722545673559,4.04425,3.2598,2.2287,1.1354
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.1111111111111112,1.3333333333333335,2.666666666666667,3.8888888888888893,6.666666666666667,10.11111111111111,9.807525,9.908599999999998,11.751662971175167,10.546034912718204,14.642262895174706,14.222222222222223,13.048425,10.510342857142856,7.2406999999999995,6.9,7.512818791946309,5.969194630872483,1.6,1.3112690355329948,22.039671408535362,22.039671408535362,20.449020449020445,20.449020449020445,20.449020449020445,6.6,6.6,8.47252747252747,6.824175824175823,5.175824175824176,22.666666666666668,22.059876808480162,21.175291316877583,19.040195969268456,9.015168927405174,11.358801445492873,10.68,10.68,10.68,10.041937361975506,8.204049999999999,6.761066666666667,7.0794,3.5683999999999996
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.666666666666668,29.111111111111114,28.888888888888893,27.77777777777778,30.444444444444446,28.22222222222222,29.666666666666668,28.666666666666668,24.033825,21.232714285714284,29.490022172949,26.255232751454695,28.729894620077648,28.22222222222222,26.54295,23.305542857142857,21.4847,12.9,14.04570469798658,11.15979865771812,7,5.736802030456852,29.653376076938493,29.653376076938493,30.602030602030602,30.602030602030602,30.602030602030602,13.2,13.2,16.94505494505494,13.648351648351646,10.351648351648352,29.833333333333336,28.935682566967483,28.06665831349455,28.615967041532127,15.204687892489327,16.71913471190524,15.719999999999999,15.719999999999999,15.719999999999999,14.780829150772936,12.4794,10.383066666666668,6.948300000000001,2.9196
Sort Rows,46,46,46,46,51.111111111111114,46,46,46,39.661199999999994,30.05245714285714,45.8980044345898,40.42646716541979,40.82085413200222,46,41.0412,42.04137142857142,38.2214,27.6,30.051275167785235,23.876778523489932,18.4,15.07959390862944,46.082949308755765,46.082949308755765,52.62405262405262,52.62405262405262,52.62405262405262,27.6,27.6,35.430569430569435,28.537462537462535,21.644355644355645,46,39.535883111302105,40.345821325648416,40.97539249526779,24.7580758603366,23.483364786187515,22.08,22.08,22.08,20.76085926520779,21.2612,16.6612,12.0612,0
