Avg Threads Running,2,2,2.3,3.2,3.9000000000000004,4.699999999999999,5.4,5.6,6.2,6.9,7.4,7.6,7.800000000000001,7.800000000000001,7.700000000000001,7.4,7.222222222222222,7.624999999999999,7.571428571428571,7.333333333333334,7.4,8.25,8.666666666666668,7.5,7,12,11,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,10.333333333333334,9.5,9,14,9.5,8.666666666666668,9,9,9,9,9,9,9,7.333333333333334,13,16,22,22,22,22,22,22,22,22,59,59,59,59,66,68.66666666666667,69.25,66.4,66.4,67,68.33333333333333,68.33333333333333,67.28571428571428,66,64.625,62.75,61.625,61.375,60.77777777777778,59.44444444444444,59.22222222222222,60.7,61.599999999999994,61.400000000000006,60.6,59.5,58.800000000000004,58.99999999999999,57.70000000000001,56.099999999999994,55.400000000000006,52.5,50.2,48.599999999999994,47.2,46.300000000000004,44.900000000000006,45.5,48.00000000000001,51.199999999999996,50.44444444444444,51.125,51.714285714285715,58.14285714285714,62.85714285714286,63.857142857142854,63.57142857142858,64,63.2,58,55.666666666666664,54.14285714285714,53.5,49.14285714285714,45.166666666666664,45,46.5
Peak Threads Connected,2,2,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,12,12,12,12,12,12,12,12,12,12,10,9,14,14,14,14,14,14,14,14,14,14,10,22,22,22,22,22,22,22,22,22,22,59,59,59,59,73,74,74,74,74,74,74,74,74,74,74,71,70,70,70,67,65,74,74,74,74,74,74,74,74,74,74,70,58,58,58,58,58,61,68,74,74,74,74,84,84,84,84,84,84,84,84,84,84,73,49,49,49
Peak Threads Running,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,1,1,1,1,1,34,34,34,34,54,71,71,71,71,71,71,71,71,71,71,65,65,65,65,63,54,57,64,64,64,64,64,64,64,64,64,64,52,48,46,46,46,42,50,64,64,64,64,71,71,71,71,71,71,71,71,71,71,60,43,42,42
Questions,37.44444444444444,38.77777777777778,88,221.55555555555557,335.22222222222223,456.88888888888886,612.8888888888889,747,880.8888888888889,1006.8888888888889,1144.4444444444446,1244.2222222222222,1236.3333333333335,1237.3333333333335,1228.888888888889,1189.5555555555557,1019.228175,894.4961428571427,777.6435333333333,648.5539200000001,507.84225,388.39913333333334,279.6363,176.47359999999998,235.37337796086507,348.7559487569762,308.55,308.55,308.55,308.55,308.55,308.55,272.88385337392185,174.8516,219.45103519668737,351.3642166836216,478.88413126545294,436.5333333333334,436.5333333333334,436.5333333333334,436.5333333333334,436.5333333333334,399.18662620813666,309.7893,1174.7034696818534,1171.1756638823088,743.8673804157274,767.3812764031383,847.3434098141015,962.8564965571655,1104.145746664754,1098.475575831757,812.8357678153228,782.2800000000001,1098.7993996998498,1103.9206950323012,1100.888888888889,1097,1073.7777777777778,1091.933867735471,1092.6090828138913,1091.7777777777778,1024.7628100726638,1083.5003340013361,1058.888888888889,1067.4444444444446,1080.5555555555557,1090,1062.6666666666667,1060.888888888889,1083.5555555555557,1077,1081.7777777777778,1086.4444444444446,1095.3333333333335,1083,1052.6666666666667,1052.7777777777778,1069.3333333333335,1049,1046.7777777777778,1041.4306342330333,906.4907167624639,785.8228116521491,681.3975262368815,1066.8588535314334,1067.3333333333335,1047.3333333333335,1047.2222222222222,928.2225750000001,838.0627572531084,825.3398518148518,922.2693081220456,1075.6797393810298,1089.6336710833984,968.7307833333332,867.9067714285715,773.2145333333333,436.2666666666666
Threads Created,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,1,1,0.969975,0.9799714285714284,0.8829333333333332,0.8995200000000001,0.9244,0.9658666666666667,1.0488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5496064737833946,2.867472883680339,2.9144377660906584,3.2812361697847514,3.0215346396471836,2.8771858413427056,3.299383158800746,3.671970624235006,1.9949949815991972,1.9200000000000004,2.376188094047023,2.116284250389842,1.6666666666666667,2.3333333333333335,2.888888888888889,2.0040080160320644,1.8922528940338377,2.7777777777777777,3.2829929842144834,3.562680917390337,3.555555555555556,3.3333333333333335,2.666666666666667,2.111111111111111,2.4444444444444446,3.2222222222222223,2.3333333333333335,1.6666666666666667,2.666666666666667,2.666666666666667,3,3.8888888888888893,3.8888888888888893,3.555555555555556,2.666666666666667,4.777777777777778,5.666666666666667,5.109407975119405,4.957623703611145,4.682053609677485,3.862797767782775,5.211220756181395,5.222222222222222,5.222222222222222,3.1111111111111116,2.2305,1.3714377590395883,1.267024642024642,1.470923936398797,1.503570981080065,1.4475002783654383,1.4281583333333332,1.4526571428571429,1.4889333333333332,0.4
Created Tmp Disk Tables,9,8.88888888888889,9,9.11111111111111,8.88888888888889,9,8.777777777777779,8.777777777777779,9.11111111111111,8.777777777777779,8.88888888888889,9.11111111111111,8.777777777777779,9.11111111111111,9,9.222222222222223,7.975350000000001,6.8598,6.180533333333333,5.28468,4.27535,3.501266666666667,2.3598,1.4598,1.9233779608650874,3.0518264840182647,2.7,2.7,2.7,2.7,2.7,2.7,2.387899543378995,1.6219999999999999,2.408902691511387,3.223524923702951,4.095527084738143,3.7333333333333334,3.7333333333333334,3.7333333333333334,3.7333333333333334,3.7333333333333334,3.413935715891212,2.3598,8.868196430550936,8.851764119187134,6.000313047833709,6.277147455240394,7.094037849606432,7.880987304547412,9.037440826280305,8.901746967842438,6.857795249247241,6.600000000000001,9.129564782391196,9.13343729115616,9.11111111111111,9,9,9.268537074148297,9.238646482635797,8.88888888888889,8.559231708844901,8.906702293475842,9,9,9.11111111111111,9,8.777777777777779,8.777777777777779,9.222222222222223,9,9.222222222222223,9.11111111111111,9.11111111111111,9,8.88888888888889,9,9,8.88888888888889,9,8.997000999666778,7.759758840434836,6.8597529630158505,5.959745127436282,9.202794101341611,9,9,9.11111111111111,8.0298,7.200048234957839,6.715230602730602,7.722350666093684,8.770830722967046,8.79634784545151,7.9098,7.0398,5.955733333333333,3.4666666666666663
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.4444444444444445,3.3333333333333335,3.444444444444444,5.222222222222222,8.444444444444445,12,14.444444444444446,16.333333333333336,17.77777777777778,19.333333333333336,16.666666666666668,17.666666666666668,17.22222222222222,15.333333333333334,11.424150000000001,9.146399999999998,7.394566666666665,6.07176,4.1598,4.104933333333333,3.1464,1.9464,4.087178166838311,5.934107052257738,5.25,5.25,5.25,5.25,5.25,5.25,4.643138001014713,2.9196,1.2044513457556936,3.9021617497456766,8.776129467296022,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,7.315576534052596,7.210499999999999,17.847245316483757,15.45941902505922,16.4580015026296,16.976830617581975,18.91743426561715,20.515585999139294,23.52603643666619,20.140202514743514,11.221846771495484,10.8,11.630815407703851,11.249721541546002,10.333333333333334,7.777777777777779,8,10.521042084168338,11.910062333036509,13,15.828716173891257,17.59073702961479,17.444444444444446,18.77777777777778,21.555555555555557,19.22222222222222,16.88888888888889,15.88888888888889,16.11111111111111,15.555555555555557,14.11111111111111,13.777777777777777,11.88888888888889,9.222222222222223,9.11111111111111,8.777777777777779,8,7.333333333333334,7.888888888888888,8.219482394757303,7.54420998375609,6.533098060015095,6.2908420789605195,13.305244483867389,13,13.444444444444446,13.555555555555557,11.264025,10.057210232956981,9.629387279387279,10.541621544191376,13.281543666207241,15.254426010466542,14.830874999999997,13.856114285714288,12.827733333333333,8.133333333333333
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.333333333333336,29.77777777777778,29.22222222222222,28.666666666666668,27.555555555555554,28.555555555555554,28.555555555555554,27.555555555555554,28.888888888888893,28.22222222222222,27.888888888888893,29.333333333333336,28.555555555555554,29.555555555555554,29.77777777777778,29.22222222222222,25.973775,21.994914285714284,20.08673333333333,17.090880000000002,13.866,11.590399999999999,7.472700000000001,4.055,3.8467559217301748,9.155479452054795,8.1,8.1,8.1,8.1,8.1,8.1,7.163698630136986,6.1636,5.299585921325052,10.179552390640897,12.579118903124298,11.466666666666669,11.466666666666669,11.466666666666669,11.466666666666669,11.466666666666669,10.485659698808721,8.3904,28.599933488526766,28.924074304949507,19.029564237415478,19.97274190303762,22.989937475576397,25.394292425763883,29.12064266245876,28.819405808389895,22.31900635664102,21.480000000000004,30.01500750375187,30.519046558253514,29.444444444444446,28.888888888888893,28.888888888888893,30.310621242484974,30.609973285841495,28.77777777777778,26.967442370333252,28.16744600311735,28.111111111111114,29,29.333333333333336,28.888888888888893,27.555555555555554,27.555555555555554,30.555555555555554,30.111111111111114,30.22222222222222,29.888888888888893,29.111111111111114,29.444444444444446,28.888888888888893,29.444444444444446,28.888888888888893,27.555555555555554,28.77777777777778,28.990336554481836,24.788118518055725,22.756958242385917,19.09325753789772,29.715046013970504,28.555555555555554,29.22222222222222,30.111111111111114,25.8738,23.543014863512933,21.792823842823843,24.147667955880248,28.06665831349455,28.615967041532127,26.036424999999998,22.683799999999998,18.898,11.333333333333332
Sort Rows,77,77,77,85.55555555555556,68.44444444444444,77,68.44444444444444,68.44444444444444,85.55555555555556,68.44444444444444,68.44444444444444,85.55555555555556,68.44444444444444,85.55555555555556,77,85.55555555555556,74.688075,58.68939999999999,59.48763333333333,51.94728,35.5894,37.18586666666667,20.1894,12.4894,18.512512873326465,26.110071029934044,23.1,23.1,23.1,23.1,23.1,23.1,20.429807204464737,12.4894,18.548550724637682,26.127517802644967,33.78809844908968,30.800000000000004,30.800000000000004,30.800000000000004,30.800000000000004,30.800000000000004,28.164969656102492,20.1894,68.28511251524222,67.19860366537839,52.80275482093664,54.92504023335344,60.693434935521694,67.42622471668341,77.32032706928705,77.11138310893513,67.20639344262295,64.68,86.66833416708354,85.76520383158834,85.55555555555556,77,77,86.79859719438878,85.70792520035619,68.44444444444444,72.22584565271863,68.58160765976399,68.44444444444444,68.44444444444444,85.55555555555556,85.55555555555556,68.44444444444444,68.44444444444444,85.55555555555556,77,85.55555555555556,85.55555555555556,85.55555555555556,77,68.44444444444444,77,77,68.44444444444444,77,76.97434188603799,66.3890478570536,58.68899757246894,50.98893053473263,85.37531877148243,77,77,85.55555555555556,68.6994,61.60041267686152,48.780448717948715,66.06900014324596,67.53539656684626,68.58924395947,67.67273333333333,60.2294,44.09533333333333,30.8
