Avg Threads Running,1,1,1.3,2.1,2.5,2.9,3.4,4,4.333333333333333,4.75,8,9,9.833333333333334,10,11.25,13.333333333333334,25.666666666666668,35,35,35,43,33,33,28.333333333333332,24.25,24.25,18,18,18,18,18,15.5,15.5,12,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,15.5,15.5,15.5,15.5,15.5,13,13,29,46,65,100.5,120.19999999999999,140,156.14285714285714,168.25,177.66666666666666,185.2,206,223.2,235.3,243.30000000000004,247.89999999999998,247.3,245.7,245.7,245.69999999999996,245.7,245.7,245.8,226.5,225.55555555555554,223.125,221.71428571428572,219.16666666666669,212.4,202.25,185.33333333333334,151.5,40,30,30,30,30,30,30,30,30,30,51,51,51,51,51,51,51,51,51,51
Peak Threads Connected,1,1,4,9,9,9,9,9,9,9,27,27,27,27,27,27,43,43,43,43,43,43,43,43,43,43,23,23,23,23,23,19,19,12,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,13,13,45,80,122,155,199,239,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,50,30,30,30,30,30,30,30,30,30,51,51,51,51,51,51,51,51,51,51
Peak Threads Running,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,5,5,5,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,2,2,37,76,119,152,195,233,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,206,38,9,9,9,9,9,9,9,9,9,34,34,34,34,34,34,34,34,34,34
Questions,37.44444444444444,37.77777777777778,38.55555555555556,197,345.77777777777777,502.44444444444446,631.5555555555555,775.5555555555555,749.790675,752.7269428571428,1155.1513807252966,1138.0988316494117,995.2560196665241,862.9653793418647,725.0710517573583,625.0770848892208,1149.9833721316927,1138.2411725516322,1138.2411725516324,1138.2411725516324,1142.8286056731922,1142.8286056731922,1140.528949249464,1122.5717508459707,1122.5717508459707,485.3999999999999,485.3999999999999,485.3999999999999,529.5643794147326,420.71809619912545,195.8,160.57987804878047,1168.8,1168.8,1168.8,1168.8,1168.8,1125.7322474639236,1072.1985460015044,1028.2913789262643,269.3353642161799,313.2692887660216,385.32723639285007,423.55119167084797,415.08122223814297,412.26466035844095,394.36462857779264,324.6666666666667,282.22222222222223,269.55555555555554,270,251.22222222222223,251.44444444444443,313.77777777777777,353.77777777777777,356.55555555555554,354.11111111111114,326.11111111111114,387.9817838498278,570.3333333333334,496.950525,455.68671428571423,397.32,358.79604000000006,362.94255,375.1184666666667,401.5593,346.04257773319955,1186.267995570321
Threads Created,0,0,0,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4311,0.4355428571428571,2.550737495841189,2.526667290341358,2.123034060139661,2.176024181485791,2.2628695767723075,2.4327047547921334,4.8775080368030155,4.163890739506995,4.1638907395069955,4.1638907395069955,4.394726328405913,4.394726328405913,3.288062902072909,2.882566737686427,2.882566737686427,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.1636478304742684,0.1300117726202489,0,0,3,3,3,3,3,4.143449064152022,7.771371270995237,11.583871686344398,15.783081570996979,20.454008544860518,24.63337417152039,25.34172102358254,24.66303195300186,24.15430035092117,22.94242120503397,19.22222222222222,16,13.222222222222223,10.222222222222223,8.555555555555555,8.11111111111111,11,12.777777777777779,12.777777777777779,12.777777777777779,11.333333333333334,10.996334555148284,9.11111111111111,6.0354,5.117628571428571,2.3177,0.5622,0.57775,0.6036666666666667,0.6555,0,3.6544850498338866
Created Tmp Disk Tables,9,9,8.777777777777779,9.11111111111111,9,8.88888888888889,9,9,7.975350000000001,6.968685714285714,8.983032050571143,8.01942226934431,6.9277953541399455,6.184489778959615,5.478526343764534,4.737372417226786,8.75734397516905,8.82744836775483,8.82744836775483,8.82744836775483,9.188973232121453,9.188973232121453,9.1493924231594,9.149016167439529,9.149016167439529,4.049999999999999,4.049999999999999,4.049999999999999,4.418491422805247,3.51031786074672,1.8,1.4762195121951218,9.2,9.2,9.2,9.2,9.2,8.715530790112874,9.024818250188018,8.799287146357765,3.9457703927492447,4.978936290525257,5.998800964049007,6.88901154039137,7.542577733199598,8.559533619501192,9.021049114600736,8.777777777777779,9,9.222222222222223,9.11111111111111,8.777777777777779,9,9.11111111111111,9,9.222222222222223,9.11111111111111,9.222222222222223,8.997000999666778,8.88888888888889,7.8675749999999995,6.750914285714285,5.9597999999999995,5.059800000000001,4.04425,3.2598,2.2287,1.3003009027081243,8.859357696566999
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,2.666666666666667,4.111111111111112,5.444444444444445,8.11111111111111,10.333333333333334,10.023075,10.126371428571428,19.40778529444383,19.114787326930273,16.872533846373095,15.804807212896794,15.006398245963723,13.059783420463031,16.073606030373572,10.493004663557628,10.49300466355763,10.49300466355763,18.178186176588092,18.178186176588092,20.87205146533238,20.428625140995113,20.428625140995113,10.799999999999999,10.799999999999999,10.799999999999999,11.782643794147326,9.36084762865792,3.4,2.788414634146341,14.6,14.6,14.6,14.6,14.6,21.43163309044149,20.055151667084484,20.16039206950323,7.3069822087948975,8.07395074139231,13.529210684876483,15.992348218765681,15.56404929072933,15.243005075824039,14.478226974050562,13.333333333333334,11,10,10,6,4.444444444444445,6.666666666666667,8.88888888888889,8.88888888888889,8.88888888888889,8.88888888888889,10.663112295901366,14.555555555555557,13.040775,12.086314285714284,10.043366666666666,7.98324,8.204049999999999,8.572066666666668,9.3081,7.314192577733199,20.376522702104097
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.555555555555554,29,27.444444444444446,28.555555555555554,28.77777777777778,29,28.666666666666668,28,25.542675,22.1038,29.388932017300654,26.475078998794224,23.35337466153627,21.07307628386239,18.10295661417846,15.620525267612646,28.93249085467243,28.31445702864757,28.31445702864757,28.31445702864757,28.76548142229325,28.76548142229325,28.591851322373124,28.700338388269206,28.700338388269206,12.749999999999998,12.749999999999998,12.749999999999998,13.910065590312815,11.051000672721155,5.8,4.75670731707317,31.6,31.6,31.6,31.6,31.6,28.004000571510215,28.829280521433947,27.73446201826688,12.421869754951327,15.878769791404874,19.14510945973087,22.1432513798294,23.58552084825906,27.78917079207921,28.28822808776033,28.555555555555554,28.77777777777778,29.111111111111114,29,27.888888888888893,28.444444444444446,29.555555555555554,28.333333333333336,30.555555555555554,29.444444444444446,30.888888888888893,30.767521937132067,28.666666666666668,25.4349,21.886028571428568,19.203799999999998,16.303800000000003,12.4794,9.779399999999999,6.1617,2.1129889669007023,29.014396456256925
Sort Rows,70,70,62.22222222222223,70,77.77777777777779,70,70,70,67.89824999999999,60.976,77.63114117777532,69.20871273543719,54.75193102465441,48.10158716968589,50.021327486545744,44.81298232511825,62.07737501385655,58.29447035309793,58.294470353097935,58.294470353097935,83.89932081502198,83.89932081502198,80.05718370264475,78.95726281488908,78.95726281488908,31.499999999999993,31.499999999999993,31.499999999999993,34.36604439959636,27.302472250252272,14,11.48170731707317,70,70,70,70,70,60.008572653236186,70.19303083479569,62.3746936957006,30.68932527693857,37.67843679316411,53.60630648724644,60.27885097842449,58.66449348044132,65.66217571124201,70.16371533578351,62.22222222222223,70,77.77777777777779,77.77777777777779,62.22222222222223,70,77.77777777777779,70,77.77777777777779,70,77.77777777777779,69.97667444185271,62.22222222222223,60.354,45.73199999999999,38.62833333333333,39.354,24.2655,25.354000000000003,9.177,0,69.76744186046511
