Avg Threads Running,1,1,1.5,2.5,3.1,3.4000000000000004,4.1000000000000005,4.7,5.199999999999999,5.800000000000001,6.699999999999999,7.333333333333333,7.5,7,7,7.6,7.5,7.666666666666667,8.5,10,22,22,22,22,25.5,25.5,25.5,25.5,25.5,25.5,29,29,29,29,100,104,95.33333333333334,91.25,87.2,87.2,87.2,75.16666666666667,75.16666666666667,75.16666666666667,70.2,60.75,55,43,15,15,15,7,7,7,7,7,7,7,7,7,7
Peak Threads Connected,1,1,6,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,22,22,22,22,29,29,29,29,29,29,29,29,29,29,100,108,108,108,108,108,108,108,108,108,108,79,79,71,15,15,15,7,7,7,7,7,7,7,7,7,7
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,6,6,6,6,86,96,96,96,96,96,96,96,96,96,96,66,62,60,6,6,6,1,1,1,1,1,1,1,1,1,1
Questions,38,36.77777777777778,55.66666666666667,202.55555555555557,387.44444444444446,518.8888888888889,631.5555555555555,731.6666666666667,860.6666666666667,985.8888888888889,1119,1062.87705,927.0529714285713,751.3762666666665,628.65204,523.4415,434.76073333333335,313.59119999999996,198.695,794.524592220828,1162.8607277289839,1162.8607277289839,1162.8607277289839,829.991844416562,713.7057716436636,206.7288343558282,351.0233642452344,453.22763440860217,562.4311374016747,521.6250000000001,521.6250000000001,956.5686190066035,993.4132931380994,881.0819695664657,800.2142535070141,686.3417611940299,605.8154190499877,562.5287272727272
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8860100376411544,2.760351317440402,2.760351317440402,2.760351317440402,1.9702007528230865,1.6941656210790463,1.6519427402862985,1.5321097372488408,1.3170967741935482,1.2130074854097945,1.1250000000000002,1.1250000000000002,1.1002067183462532,1.1425839793281654,1.0133850129198967,0.23031062124248497,0,0,0
Created Tmp Disk Tables,9.11111111111111,8.88888888888889,8.88888888888889,9,9.11111111111111,9,9,8.88888888888889,9,9,8.88888888888889,7.7598,6.8598,5.739066666666666,4.947360000000001,4.04425,3.2598,2.0976,1.1354,6.515307402760351,9.535759096612297,9.535759096612297,9.535759096612297,6.806148055207027,5.852572145545796,2.123926380368098,4.0856259659969085,4.829354838709677,5.795480208069018,5.375000000000001,5.375000000000001,8.434918173987942,8.759810508182602,7.769285099052541,6.909318637274549,5.359253731343284,4.612807759263865,4.004859504132232
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.5555555555555556,3.3333333333333335,7,8.333333333333334,9.333333333333334,10.88888888888889,13.777777777777777,18.333333333333336,20.77777777777778,19.61505,17.09505714285714,13.685466666666665,12.593280000000002,11.90165,10.745266666666668,8.2593,3.5683999999999996,11.316060225846925,16.56210790464241,16.56210790464241,16.56210790464241,11.821204516938518,10.164993726474277,2.831901840490797,4.936798042246265,5.561075268817204,5.660701598579041,5.250000000000001,5.250000000000001,7.945937410278496,8.251995406258974,7.318891759977032,6.103231462925852,4.2874029850746265,3.459605819447899,3.542760330578512
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29,27.888888888888893,28,29.444444444444446,30.22222222222222,30.111111111111114,29.333333333333336,29.22222222222222,28.555555555555554,29.22222222222222,29,25.003800000000002,21.777142857142856,17.548299999999998,15.291840000000002,12.13275,10.383066666666668,7.210499999999999,2.9196,22.11775407779172,32.37139272271016,32.37139272271016,32.37139272271016,23.105081555834378,19.86794228356336,4.719836400817996,9.87359608449253,12.146559139784944,16.577768967267193,15.375000000000004,15.375000000000004,25.182509331036464,26.152477749066897,23.195256962388747,21.418887775551106,17.625990049751245,15.760426510818206,12.784743801652892
Sort Rows,108.88888888888889,87.11111111111111,98,98,108.88888888888889,108.88888888888889,87.11111111111111,87.11111111111111,98,98,98,84.4956,74.69559999999998,54.07966666666666,44.076480000000004,45.2956,35.4956,12.847800000000001,0,84.01317440401506,122.96110414052698,122.96110414052698,122.96110414052698,87.76348808030113,75.46737766624842,23.835173824130877,34.387351880473986,44.48860215053763,54.720115452930735,50.750000000000014,50.750000000000014,87.03857594028138,90.39108814240598,80.17001435544071,70.35989478957916,60.73820895522389,52.278487938323806,47.134115702479335
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
