Avg Threads Running,1,1,1.2,1.6,2.4000000000000004,3.5,4.5,5,5.3,6.099999999999999,6.8999999999999995,7.9,8.3,8.666666666666666,8.625,8.142857142857142,7.666666666666668,8,9,9,9,7,14,14,14,26,26,23,20.75,18.2,18.2,18.2,19.25,19.6,19.6,15,15,14.5,14.666666666666668,18,18,18,18,15,15,15,15,85,85,85,85,85,85,85,85,85,85,36,36,36,36,44.5,44.5,44.5,44.5,44.5,44.5,53,53,53,53,28,28,28,28,28,28,28,28,30.5,30,31,24.666666666666664,24.666666666666664,24.666666666666664,24.666666666666664,24.666666666666664,24.666666666666664,24.666666666666664,20.5,12,12,11,12,12,12,12,12,12,12,12,13,12.333333333333332,13.333333333333332,12.25,12.25,16,15.833333333333334,15.833333333333334,15.833333333333334
Peak Threads Connected,1,1,3,5,9,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,7,14,14,14,38,38,38,38,38,38,38,38,38,38,21,21,21,21,21,21,21,21,15,15,15,15,85,85,85,85,85,85,85,85,85,85,36,36,36,36,53,53,53,53,53,53,53,53,53,53,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,33,33,29,12,12,11,13,13,13,13,13,13,13,13,15,15,16,16,16,31,31,31,31
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,5,5,4,4,4,4,4,4,2,2,2,2,59,59,59,59,59,59,59,59,59,59,11,11,11,11,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,12,12,12,12
Questions,38.77777777777778,37.88888888888889,37.22222222222222,162.22222222222223,309.55555555555554,442.55555555555554,580.1111111111111,742.4444444444445,859,948,1079.888888888889,1242.111111111111,1252.888888888889,1068.05025,943.4947142857142,815.9407666666666,663.84576,555.5644,479.79426666666666,359.3451,202.42559999999997,603.5028414755732,716.0651545363909,799.3947433857171,882.5167691540635,977.0045583178105,1119.2147872187993,894.7422714572288,589.8666666666667,1150.7260891337005,1150.7260891337005,944.3140703517587,828.2336683417085,1112.3983513423193,1114.2857142857142,1041.5311483612709,1041.5311483612709,743.1845509131849,639.0314360770578,795.2820631737278,1162.9481072950616,1162.9481072950616,1162.9481072950616,830.2868012033092,713.991990473803,1158.2895723930983,1139.3250918810559,193.2,494.17570093457954,481.95,481.95,481.95,481.95,523.9892523364485,416.74626168224296,350.6546650124069,255.68450777202074,212.2,212.2,212.2,212.2,212.2,212.2,212.2,1148.7373456446767,1144.7777777777778,370.38097165991906,474.9042338709677,433.2,699.0517785571143,808.6282797858098,778.2,837.7109437751003
Threads Created,0,0,0,0,0,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4444444444444445,0.6666666666666667,0.6666666666666667,0.64665,0.4355428571428571,0.3311,0.33732,0.34665,0.36219999999999997,0.2622,0,2.8509139248919904,3.382652043868395,2.830216829122737,2.6125422414270676,2.501611978793523,2.865740077374982,2.290980083106462,0.5333333333333334,2.6289434151226834,2.6289434151226834,2.316499162479062,2.0317420435510885,3.119082098696669,3.4934497816593884,2.752064048036027,2.752064048036027,1.9637353014761072,1.6885288966725043,4.971584356981699,7.269992479318125,7.269992479318125,7.269992479318125,5.190411130609176,4.463411882677363,5.7514378594648665,5.4571778594498275,0.6,0.461415220293725,0.45,0.45,0.45,0.45,0.48925233644859817,0.3891188251001335,0,0,0,0,0,0,0,0,0,2.2249415952831235,2.2222222222222223,0.1694331983805668,0.7308467741935484,0.6666666666666666,2.5962925851703407,2.49384203480589,2.4,2.583534136546185
Created Tmp Disk Tables,9,9,8.88888888888889,9.222222222222223,9.222222222222223,9,9,9,9,9.11111111111111,9,8.88888888888889,8.88888888888889,7.652025,6.8598,5.849433333333333,5.059800000000001,4.04425,3.2598,2.2287,1.6219999999999999,4.810917248255234,5.708225324027916,6.0849661826138846,6.792609827710376,7.880077733199597,9.027081243731192,7.216587261785355,4.800000000000001,8.888332498748122,8.888332498748122,7.494556113902847,6.573283082077052,9.023058928372507,8.733624454148472,8.756567425569177,8.756567425569177,6.248248686514886,5.372591943957969,6.171621960391076,9.024818250188018,9.024818250188018,9.024818250188018,6.4432689897217355,5.540787164702933,8.752188047011753,9.021049114600736,2.2,4.152736982643526,4.05,4.05,4.05,4.05,4.403271028037383,3.502069425901202,2.496873449131513,2.6508290155440415,2.2,2.2,2.2,2.2,2.2,2.2,2.2,9.122260540660807,8.88888888888889,2.8803643724696357,3.800403225806451,3.4666666666666663,5.971472945891784,6.858065595716198,6.6,7.104718875502009
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0,3.666666666666667,4.555555555555555,8.11111111111111,13.555555555555557,17.555555555555557,17.77777777777778,22.22222222222222,24.77777777777778,26.111111111111114,21.77055,21.123828571428568,17.879399999999997,12.705720000000001,8.89735,9.055,4.5885,1.9464,11.403655699567961,13.53060817547358,19.245474438034613,20.90033793141654,20.13797642928786,23.069207622868607,18.44238966900702,12.933333333333334,23.284927391086626,23.284927391086626,15.534170854271355,13.62462311557789,14.927035758048344,16.593886462882097,11.008256192144108,11.008256192144108,7.854941205904429,6.754115586690017,11.143206317372776,16.294810729506143,16.294810729506143,16.294810729506143,11.633680120330911,10.004199047380295,17.004251062765693,15.591936741285224,0.8,3.2299065420560753,3.15,3.15,3.15,3.15,3.424766355140187,2.7238317757009343,2.652928039702233,2.8918134715025907,2.4,2.4,2.4,2.4,2.4,2.4,2.4,23.473133830236954,22.333333333333336,2.541497975708502,5.408266129032258,4.933333333333333,10.255355711422846,12.593902275769745,12.12,13.046847389558232
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.77777777777778,29.333333333333336,28.666666666666668,30.111111111111114,29.333333333333336,28.77777777777778,28.444444444444446,30,29.555555555555554,28.77777777777778,28.77777777777778,28.555555555555554,28.333333333333336,24.788249999999998,21.994914285714284,19.424533333333333,15.96648,12.4794,10.745266666666668,7.210499999999999,5.0282,15.32366234629445,18.181754735792623,19.245474438034613,21.684100603844662,25.516442183693936,29.230548789224816,23.367996847685912,15.733333333333334,28.793189784677015,28.793189784677015,24.52763819095477,21.51256281407035,28.85150941294419,27.573300062383034,27.270452839629723,27.270452839629723,19.45883162371779,16.731786339754816,19.02916771120582,27.826522938079723,27.826522938079723,27.826522938079723,19.866746051642018,17.084093757834044,27.256814203550885,28.176857111036867,7,13.381041388518025,13.05,13.05,13.05,13.05,14.188317757009347,11.284445927903871,8.114838709677418,9.639378238341969,8,8,8,8,8,8,8,29.369229057737233,28.333333333333336,8.97995951417004,13.009072580645162,11.866666666666665,19.60200901803607,22.07050200803213,21.240000000000002,22.864277108433736
Sort Rows,46,46,46,51.111111111111114,51.111111111111114,51.111111111111114,46,46,46,46,46,40.88888888888889,40.88888888888889,34.70355,30.05245714285714,25.38433333333333,25.861200000000004,15.9459,16.6612,6.0306,7.4612,24.589132602193416,29.175373878364905,26.03799482792918,30.044235776411277,40.27595285857572,46.138415245737214,36.88477933801404,24.53333333333334,46.06910365548322,46.06910365548322,43.87721943048576,38.483584589614736,46.11785674501503,40.174672489082965,34.52589442081562,34.52589442081562,24.63595196397298,21.183362521891418,31.543845575332163,46.126848834294314,46.126848834294314,46.126848834294314,32.932263725244425,28.31957884181499,40.26006501625406,46.107584363514874,18.4,21.225100133511354,20.7,20.7,20.7,20.7,22.505607476635515,17.899465954606143,7.1785111662531005,22.17056994818653,18.4,18.4,18.4,18.4,18.4,18.4,18.4,46.05629102236066,46,15.587854251012146,20.171370967741936,18.4,35.8288376753507,40.15085676037483,38.64,41.594899598393575
