Avg Threads Running,1,1,1.2,2.4000000000000004,3.1999999999999997,3.9000000000000004,4.6000000000000005,5.3,6,6.8,7.2,7.6000000000000005,8,7.499999999999999,7.3999999999999995,7.6,7.555555555555555,7.5,7.428571428571429,7.166666666666666,7.6,8.25,8.666666666666668,9,10,309,308.5,306.6666666666667,305.5,304.4,303.8333333333333,303.4285714285714,302.87499999999994,302.33333333333326,301.79999999999995,300.5,299.20000000000005,298.3,297.40000000000003,296.59999999999997,287.29999999999995,285.77777777777777,284.125,282.14285714285717
Peak Threads Connected,1,1,3,13,13,13,13,13,13,13,13,13,13,9,9,10,10,10,10,10,10,10,10,10,10,309,309,309,309,309,309,309,309,309,309,308,303,302,301,301,301,299,298,297
Peak Threads Running,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,43,60,67,72,72,80,82,86,89,110,158,158,158,158,158,158,158,158,158
Questions,37.77777777777778,38.333333333333336,71.33333333333334,212.8888888888889,341.55555555555554,477.7777777777778,616.7777777777778,744.7777777777778,838.8888888888889,1005.2222222222223,1125.2222222222222,1202.2222222222222,1218.5555555555557,1176.7777777777778,1174.111111111111,1224.5555555555557,1059.320475,972.8938571428571,818.2584666666665,706.9102800000001,607.4463499999999,460.11473333333333,390.1536,283.039,109.93073394495411,107.85750883392227,109.15154310634014,111.14223185129364,116.01292712306766,119.6917976369615,138.5158685820697,143.51538027816062,152.32156775414765,126,113.55555555555557,110.77777777777779,109.88888888888889,109.66666666666667,235.11111111111114,208.2213,203.07185714285714,189.94103333333334
Threads Created,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0,0.11111111111111112,0.11111111111111112,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0.12073333333333333,0.1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666
Created Tmp Disk Tables,8.88888888888889,8.777777777777779,9,9.11111111111111,8.777777777777779,9,8.88888888888889,9,8.777777777777779,9.222222222222223,9.222222222222223,8.88888888888889,9.11111111111111,9,9,9,7.652025,6.8598,5.739066666666666,4.83492,4.1598,3.0183333333333335,2.3598,1.2975999999999999,1.916004077471967,3.0477788995456843,3.7991166275299113,4.709416603868375,5.743214214013251,6.519697096360699,7.422630814250925,8.207578937476507,8.79634784545151,9.11111111111111,8.88888888888889,9,9,8.777777777777779,9.11111111111111,7.8675749999999995,7.077571428571427,6.180533333333333
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,1.3333333333333335,4.666666666666667,7.222222222222223,8.333333333333334,9.555555555555555,10.444444444444445,14.222222222222223,14.666666666666668,15.88888888888889,15.88888888888889,13.88888888888889,12.444444444444446,15.555555555555557,13.902975000000001,13.175171428571428,9.601899999999999,9.33252,8.204049999999999,7.244,6.2928,6.1636,1.916004077471967,1.5238894497728421,1.3150788326065077,1.210992840994725,1.14864284280265,1.1071183748537035,3.471875703439949,3.400282702668838,3.2290390825075166,2.3333333333333335,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,3.444444444444444,1.185525,1.197742857142857,1.2140333333333333
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.888888888888893,29.22222222222222,29.555555555555554,30.333333333333336,28.22222222222222,29.22222222222222,28.666666666666668,28.666666666666668,27.77777777777778,28.888888888888893,29.333333333333336,27.666666666666668,29.555555555555554,28.666666666666668,28.77777777777778,28.666666666666668,24.464925,21.777142857142856,18.8727,14.72964,13.1727,8.572066666666668,7.472700000000001,3.8928,6.706014271151885,10.497905098435135,12.56630884490663,15.877461693041951,19.526928327645052,22.265380649835592,23.943970368551373,26.147001472246586,28.059236165237724,28.666666666666668,27.666666666666668,28.77777777777778,28.22222222222222,27.111111111111114,28.666666666666668,25.758225,23.519314285714284,20.638566666666666
Sort Rows,46,40.88888888888889,46,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,51.111111111111114,51.111111111111114,40.88888888888889,51.111111111111114,46,46,46,39.661199999999994,35.0612,25.38433333333333,20.68896,21.2612,11.107466666666667,12.0612,0,0,15.57753659767794,13.443028066644302,18.56855689525245,29.354205982734392,28.293025135150195,33.04267910860089,37.75486311239193,40.97539249526779,51.111111111111114,40.88888888888889,51.111111111111114,51.111111111111114,40.88888888888889,51.111111111111114,44.618849999999995,40.069942857142856,35.538066666666666
