Avg Threads Running,1,1,2,2.9,3.2,3.5,4.4,5.5,6,6.3999999999999995,6.5,6.699999999999999,6.5,6,6.3,6.6,6.3,5.9,6.1000000000000005,6.2,6.700000000000001,7.111111111111111,6.875,7.142857142857143,7.166666666666667,7.2,7.25,7,12,15,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,12,26,40,40,40,40,40,40,40,40,40,61,61,61,89,105.66666666666667,118,129.4,141.16666666666669,151.8571428571429,162.62500000000003,185.25,189.77777777777777,194,205.5,212.3,218.66666666666666,224.125,227.57142857142858,229.5,227.8,224.25,223.66666666666669,191.66666666666666,164.66666666666669,136.66666666666666,136.66666666666666,136.66666666666666,124.75,124.75,124.75,128.4,132.16666666666669,138.33333333333334,138.16666666666669,141.2,141.2,141.2,163,163,166.66666666666666,171,175,175.5,169,159.2,159.2,159.2,149.5,149.5,137.66666666666666,122,122,122,120
Peak Threads Connected,1,1,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,8,8,8,8,8,8,23,23,23,23,23,23,23,23,23,23,12,40,40,40,40,40,40,40,40,40,40,61,61,61,117,139,155,175,200,216,238,242,242,242,242,242,242,242,242,242,242,232,232,232,207,151,151,151,151,151,151,151,151,173,173,173,173,173,198,198,198,198,198,198,198,198,198,198,185,185,169,124,124,124,120
Peak Threads Running,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,2,22,22,22,22,22,22,22,22,22,22,37,37,37,110,132,152,171,191,210,231,237,237,237,237,237,237,237,237,237,237,229,229,226,204,138,138,138,138,138,138,138,145,159,159,159,159,159,182,182,182,182,182,182,182,182,182,182,174,174,160,109,109,109,109
Questions,38.44444444444444,37.66666666666667,52.66666666666667,194.44444444444446,357.33333333333337,470.33333333333337,600.1111111111111,719.2222222222223,855.5555555555557,1006.6666666666667,1113.2222222222222,1222.3333333333335,1204.3333333333335,1158.111111111111,1185,1179,1187.888888888889,1177.111111111111,1143.888888888889,1146.3333333333335,1162.888888888889,1005.217425,895.6938857142856,765.3928333333332,650.0156400000001,531.7610999999999,413.51166666666666,305.59409999999997,1191.135734072022,1175.576323987539,417.2856281407036,525.7278391959799,431.6,431.6,431.6,556.5254271356783,448.08321608040194,339.64100502512565,1176.7643142476697,582.5541528239203,635.5621561948019,725.1278561354021,839.5520480462853,903.8772885250612,1058.2694964209468,1082.1153631596565,870.8513046783504,969.0488164843455,1040.6567630961688,1038.4444444444446,1061.2222222222222,899.8134749999999,824.9181714285712,719.7010333333333,590.1975600000001,508.07335,411.2177333333333,308.2161,1246.2901439645625,1219.111111111111,369.32025380710655,326.7,326.7,749.8896325985304,746.9333333333334,746.9333333333334,1117.006632461519,1093.5340022296546,1098.888888888889,1093.5555555555557,802.2500000000002,844.5894816053511,737.2650668896322,936.9306917250251,1073.0312991281978,1094.111111111111,1118.4444444444446,1123,930.1068095238095,907.9546620046619,994.7230127470639,1139.0718991692925,910.6595065883699,783.8439914306755,671.0904264577892,577.7616,203.2,203.2,167.5983606557377
Threads Created,0,0,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0,0,0,0,0,0,0,0.4444444444444445,0.4444444444444445,0.4311,0.4355428571428571,0.4414666666666666,0.44976000000000005,0.4622,0.4829333333333333,0.5244,4.2105263157894735,4.735202492211838,0,0,0,0,0,0,0,0,6.213936972924989,10.301262458471763,11.625239717385819,12.763970044999665,14.503551064900218,17.042721528076978,19.590606555318345,19.747852281602142,15.570164985309527,15.482261410788382,16.530771808332403,15.333333333333334,14.666666666666668,12.178574999999999,9.581942857142856,7.836033333333333,5.622000000000001,4.506449999999999,4.467133333333334,2.7531,9.302325581395348,9.88888888888889,2.543527918781726,2.25,2.25,2.4094989979959918,2.4000000000000004,2.4000000000000004,9.385558753597795,9.253065774804906,10,10.666666666666668,11.625000000000002,12.238520066889631,10.68333612040134,10.108069529798485,11.576389881377734,9.88888888888889,9,7.375,6.275704761904762,1.177972027972028,1.1256767401890575,1.289028931538241,1.0305464050415352,0.1396230836178617,0.11953872932985203,0.12805,0,0,0
Created Tmp Disk Tables,9.11111111111111,8.88888888888889,8.88888888888889,9,8.88888888888889,9.11111111111111,9.222222222222223,9,9,9,9,9.11111111111111,9.11111111111111,9,9,9,9,8.88888888888889,8.88888888888889,9.11111111111111,9,7.8675749999999995,6.968685714285714,5.9597999999999995,5.059800000000001,4.3909,3.501266666666667,2.622,8.864265927977838,8.722741433021806,3.8673366834170855,4.872361809045226,4,4,4,5.157788944723618,4.152763819095477,3.147738693467337,8.988015978695072,4.973023255813954,5.444732525864245,6.314806232789308,7.124551400301861,7.724398965962948,9.29298003265101,9.148722525939977,7.665311992767767,8.327580001257386,8.935552328828326,9.11111111111111,9,7.7598,7.077571428571427,5.9597999999999995,5.17224,4.1598,3.501266666666667,2.622,8.748615725359912,9,3.2218020304568524,2.85,2.85,6.291469605878424,6.2666666666666675,6.2666666666666675,9.26041797021649,9.141583054626533,8.777777777777779,9.11111111111111,6.750000000000002,7.106237458193979,6.203227424749164,7.612249892811205,8.718022009432614,8.88888888888889,9,9.125,7.341390476190476,7.198717948717949,8.004812374677742,9.16642795760527,7.328329991406473,6.283038762803776,5.379242819843341,4.6098,1.8,1.8,1.4846311475409837
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,1.4444444444444444,4.888888888888889,5.333333333333334,7.666666666666667,9.88888888888889,13.222222222222223,14.666666666666668,16,19.22222222222222,20.555555555555557,19.11111111111111,18.77777777777778,17.77777777777778,18.88888888888889,16.88888888888889,17,16.88888888888889,14.88888888888889,11.963025,10.126371428571428,10.153733333333332,8.9952,5.7775,4.587866666666667,3.1464,17.950138504155124,18.56697819314642,5.607638190954774,7.064924623115577,5.8,5.8,5.8,7.478793969849245,6.021507537688441,4.564221105527638,21.637816245006658,13.498205980066448,15.745577845066867,16.122909530525895,16.666361311420424,16.184454976303318,17.832475197789776,19.970991855405558,13.1747549875696,13.957493241544071,17.647715849435944,17,17.444444444444446,15.735149999999999,15.788428571428572,14.899499999999998,11.019120000000001,10.515049999999999,9.900133333333333,5.6373,21.373200442967885,21.555555555555557,7.291446700507613,6.45,6.45,10.307301269205077,10.266666666666667,10.266666666666667,13.139782255036915,12.709030100334449,11.11111111111111,10.555555555555555,7.625000000000002,8.027416387959866,7.00734949832776,11.231188366442762,12.862655423753036,16.666666666666668,19.11111111111111,21,17.524609523809524,20.156410256410258,20.887557290174733,23.918647951876252,19.122361071326264,14.939669947111202,12.790644038294168,9.7318,2.6,2.6,2.144467213114754
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.333333333333336,28.666666666666668,28.77777777777778,29,28.666666666666668,28.888888888888893,29,29,28.444444444444446,29,29.22222222222222,29.111111111111114,29.444444444444446,28.22222222222222,29.333333333333336,29.22222222222222,29,28.888888888888893,28.77777777777778,29.333333333333336,29.111111111111114,25.865999999999996,23.19265714285714,19.424533333333333,16.416240000000002,14.905949999999999,12.073333333333334,9.177,28.808864265927973,27.788161993769467,12.762211055276381,16.078793969849247,13.2,13.2,13.2,17.02070351758794,13.704120603015074,10.387537688442212,28.739458499778074,15.807109634551498,18.39436664143326,21.22849754852576,24.427033372463523,25.0123395088324,30.139394700489767,30.01227267655919,25.391345976043226,27.093957468879665,28.817156260471354,29.888888888888893,29.888888888888893,25.327125000000002,24.281514285714284,20.638566666666666,17.765520000000002,14.559299999999999,12.918466666666665,10.488,27.68549280177187,28.666666666666668,10.343680203045684,9.15,9.15,21.283907815631263,21.200000000000003,21.200000000000003,30.284069578275552,28.985507246376812,28,29.888888888888893,21.375000000000004,22.503085284280935,19.643553511705687,24.708614406174075,28.29784193225668,28.444444444444446,30,29.625,23.68190476190476,23.035897435897436,25.140113864222283,28.788312804354053,23.015536379260954,19.96610095735422,17.09403829416884,14.213550000000001,5,5,4.123975409836065
Sort Rows,50,50,50,50,44.44444444444444,55.55555555555556,55.55555555555556,50,44.44444444444444,50,50,50,50,50,50,50,50,50,50,50,50,48.49875,43.55428571428571,33.11,28.110000000000003,28.8875,24.14666666666667,19.665,49.861495844875336,43.613707165109034,29.00502512562814,36.54271356783919,30,30,30,38.68341708542713,31.14572864321608,23.608040201005025,49.93342210386152,36.232026578073096,30.01960635881908,41.113419302841024,45.41901517692436,43.771594140456706,57.64159236468667,56.90059131987058,42.7580684596577,41.872479724632214,45.571316877024465,56.66666666666667,51,43.9722,44.425371428571424,33.7722,28.672200000000004,23.5722,24.629600000000003,20.0583,45.51495016611296,51.55555555555556,17.6351269035533,15.6,15.6,41.76464929859719,41.60000000000001,41.60000000000001,58.56588662245025,52.173913043478265,46.22222222222222,57.777777777777786,39.00000000000001,41.05826086956522,35.840869565217396,38.93478633700157,44.590538802343865,46.22222222222222,52,52,36.943771428571424,47.64242424242424,45.52737038097966,52.13405900887998,41.679876826124314,36.30200174064404,31.08006962576153,26.6344,0,0,0
