Avg Threads Running,1,1,1.2,1.7000000000000002,2.3,2.8000000000000003,3.4,3.6999999999999993,4.2,4.499999999999999,4.800000000000001,5.3,5.8,5.7,5.5,5.7,5.699999999999999,5.9,5.888888888888889,6.125,6.428571428571429,6.5,6.2,6.5,7,6.5,6,20,20,20,20,20,20,20,20,20,19,18,18,18,18,18,18,18,18,18,43,39.5,35,31.75,31,31,30.857142857142858,30.625,29.444444444444443,29.099999999999998,27.6,26.400000000000002,26.099999999999998,31.5,29.199999999999996,26.8,24.5,23.999999999999996,23.77777777777778,23.5,22.857142857142858,22.666666666666668,22.6,9.25,10.666666666666666,12.5,18,18,29,29,29,29,29,29,29,29,29,29
Peak Threads Connected,1,1,3,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,20,20,20,20,20,20,20,20,20,20,18,18,18,18,18,18,18,18,18,43,43,43,43,43,43,43,43,43,43,36,31,31,76,76,76,76,76,76,76,76,76,76,18,18,18,18,18,29,29,29,29,29,29,29,29,29,29
Peak Threads Running,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,16,20,20,20,20,20,20,20,20,20,20,17,17,64,64,64,64,64,64,64,64,64,64,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7
Questions,38.77777777777778,38.111111111111114,121.11111111111111,250,413.2222222222223,546.2222222222223,696.1111111111111,846.8888888888889,958.4444444444446,1082.6666666666667,1183.7777777777778,1241.3333333333335,1235,1182.888888888889,1201.6666666666667,1197.4444444444446,1153.6666666666667,1178.4444444444446,1018.04265,926.8351999999999,795.0814666666666,681.8361600000001,581.33205,437.5376,298.77689999999996,207.12939999999998,1160.3731674811195,323.8327868852459,409.12439271255056,491.6193548387097,612.9060516372796,729.9941649899396,867.9255778894473,946.0633756917401,1095.2416896638233,1145.8658346333852,1095.3757225433526,1072.3815877251502,1118.8570157883034,1192.7777777777778,1125.2222222222222,1114.4444444444446,1152.5555555555557,962.8730620155036,1175.1330967169476,1051.1349695328367,970.1677777777777,834.261926910299,642.4602589641433,602.4576119402985,489.57675496688745,406.3271287128713
Threads Created,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.538875,0.5444285714285714,0.5518333333333333,0.5622,0.57775,0,0,0,2.4433585073300756,2.8721311475409834,2.029554655870445,1.7516129032258063,1.7500062972292192,1.787323943661972,1.9686432160804022,1.915835212133634,2.1102922729553435,2.0057945174949854,1.0004446420631392,1.0006671114076053,1.1118523460084502,6.333333333333334,6.222222222222223,6,6,5.605620155038759,6.433007985803018,5.977915760966397,6.053917378917379,6.049435215946844,0.6895816733067729,0.7182089552238806,0.7742384105960265,0.9362376237623764
Created Tmp Disk Tables,8.88888888888889,9,8.88888888888889,8.88888888888889,9,9,9,9.222222222222223,8.88888888888889,8.88888888888889,9,9.222222222222223,9.222222222222223,9,9.11111111111111,9,8.777777777777779,8.88888888888889,7.7598,6.8598,5.739066666666666,4.83492,4.04425,3.0183333333333335,2.2287,1.4598,9.107063527321191,11.00983606557377,9.302125506072873,9.341935483870968,9.692342569269522,10.46861167002012,11.319698492462312,11.85423037507686,12.661753637732062,13.149097392467127,9.115162294353045,8.894818768067601,9.339559706470983,10.11111111111111,10.11111111111111,9.88888888888889,10.11111111111111,8.839631782945734,9.982253771073648,8.695150197769305,8.03519943019943,6.721594684385383,5.171862549800797,4.1895522388059705,3.484072847682119,2.8087128712871285
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.462295081967213,4.566497975708502,3.9411290322580648,3.6346284634760706,3.4469818913480887,3.3220854271356783,3.2329719204755074,3.1654384094330155,3.008691776242478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.3333333333333335,4.666666666666667,8.222222222222223,11.777777777777779,14.88888888888889,18.666666666666668,22.11111111111111,22.22222222222222,24.666666666666668,28.22222222222222,25.333333333333336,24.555555555555557,24.666666666666668,24.666666666666668,21.11111111111111,17.88888888888889,17.244,15.02622857142857,10.374466666666667,10.119600000000002,7.51075,3.8634666666666666,0.5244,0.32439999999999997,21.212794313638383,4.308196721311475,4.904757085020242,6.7145161290322575,13.057739294710327,15.064587525150904,17.225628140703517,19.876790325886454,23.56493038133467,23.623802094940938,22.23210315695865,22.459417389370692,23.571269735379143,21.22222222222222,18.88888888888889,17.333333333333336,17.555555555555557,13.2594476744186,15.86069210292813,14.890444713679935,13.648831908831909,10.866578073089702,7.700328685258964,8.02,7.613344370860927,4.837227722772278
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.444444444444446,29,28.333333333333336,28.22222222222222,28.888888888888893,29.333333333333336,29.555555555555554,30.333333333333336,28.555555555555554,27.555555555555554,28.77777777777778,30,30.333333333333336,29.888888888888893,29.111111111111114,28.77777777777778,27.444444444444446,28.22222222222222,24.896025,21.994914285714284,18.2105,14.954520000000002,12.13275,9.296466666666667,6.948300000000001,4.703799999999999,29.653487338960463,42.842622950819674,34.67155870445344,32.98870967741935,34.73089420654912,36.76780684104627,39.98806532663316,40.59175855708137,43.37823005519317,45.687541787385776,28.45709204090707,27.796308650211255,30.131198576829,29.77777777777778,30.333333333333336,29.22222222222222,30.666666666666668,26.411094961240302,28.83762200532387,25.542003705947334,23.66531339031339,19.38059800664452,16.54996015936255,13.047462686567163,10.581258278145695,8.582178217821783
Sort Rows,62,62,62,55.11111111111111,62,62,68.88888888888889,68.88888888888889,55.11111111111111,55.11111111111111,62,68.88888888888889,68.88888888888889,55.11111111111111,62,55.11111111111111,55.11111111111111,62,53.456399999999995,47.2564,34.21366666666667,27.88512,28.656399999999998,14.970933333333335,16.2564,10.0564,68.85828520657486,14.839344262295082,21.479453441295544,28.0258064516129,34.59627833753149,49.40674044265593,55.61417085427136,54.122344742775155,60.61228361766181,64.85402273233787,72.25433526011561,65.04336224149434,72.27040249054926,72.33333333333334,65.22222222222223,58,65.33333333333334,56.37960271317828,72.75953859804791,57.17061255033318,57.89746438746438,44.36252491694353,37.92699203187251,31.601194029850745,34.06649006622517,30.895841584158415
