Avg Threads Running,1,1,1.6,2,3,3.7,4.6,5,5.3,6.1,6.9,7.555555555555555,7.624999999999999,8,7.5,7.4,10.4,11.75,14.333333333333334,17,25,25,25,25,25,25,38,38,38,33,33,33,33,31.666666666666664,31.666666666666664,32,30,30,30,31,31,31,31,33,27.5,21,17,14.25,12.6,13.833333333333332,13.833333333333332,13.833333333333332,13.833333333333332,13.833333333333332,12.2,10.25,13.5,24,45.5,73.25,93.6,113.5,131.85714285714286,146.5,157.88888888888889,167,189.70000000000002,209.8,225.5,236.5,242.8,244.49999999999997,244.29999999999998,244.1,244.1,244.1,244.1,244.1,234.2,233.44444444444446,232.875,233.2857142857143,232.16666666666666,229.2,224.25,216,199.5,150,12,10,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,10.25,9.666666666666666,10.5,16,16,16,16,16,13,13,14,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,12.5,12.5
Peak Threads Connected,1,1,7,7,11,11,11,11,11,11,11,11,11,11,10,10,25,25,25,25,25,25,25,25,25,25,38,38,38,38,38,38,38,38,38,38,33,33,33,33,33,33,33,33,33,22,22,22,22,22,22,22,22,22,20,20,22,48,92,131,175,213,242,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,150,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18
Peak Threads Running,1,1,1,1,3,3,3,3,3,3,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,9,9,9,9,9,9,9,9,9,2,1,12,44,88,128,172,211,240,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,240,110,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6
Questions,36.66666666666667,37.44444444444444,55.11111111111111,212.66666666666669,371.33333333333337,504.44444444444446,630.1111111111111,762.2222222222223,874.6666666666667,1017.1111111111111,1167.111111111111,1111.5913500000001,963.2030285714285,814.506,692.0682,574.9768,1234.987812984711,1257.911786693247,1248.2208938229435,1225.5227348157982,594.8508701472557,706.1627844712183,817.4746987951806,849.5325301204819,1154.2423808842466,1154.2423808842466,1155.797907856666,1177.0590196732244,1177.0590196732244,898.7434144714904,463.8,596.2396344516775,480.1154481722583,363.99126189283925,1163.6343465719988,260.2765432098765,369.56085192697765,467.28416330192914,569.2434164149043,694.8473370876911,653.1600000000001,653.1600000000001,653.1600000000001,615.1509573612228,503.79799999999994,393.95286666666664,1165.5577733422044,1119.888888888889,1033.111111111111,217.55778001341383,263.04372802611755,301.0637053392212,334.95813273152794,337.36546630110075,333.9272863943874,322.08862168782014,260,226.44444444444443,205.77777777777777,193.77777777777777,197.11111111111111,209.44444444444443,260.22222222222223,307.6666666666667,309.8888888888889,308.44444444444446,299,302.77777777777777,493.88888888888886,432.28552499999995,385.0198857142857,329.3341333333333,284.13588,284.4841,293.0198,312.1491,337.05159999999995,235.8211498973306,341.668085106383,302.4,302.4,302.4,302.4,302.4,302.4,1154.4534638051819,1172.215987030802,1191.9076791565749,1171.4785651793527,1171.4785651793527,422.30541082164325,496.75328859060403,482.4,482.4,482.4,482.4,525.2440268456377,417.3245637583892,206,168.9451219512195
Threads Created,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.323325,0.3266571428571428,0.2207333333333333,0.22488000000000002,0.2311,3.1021493463328165,3.23947171692001,3.700540848277826,4.31463657484235,1.2519410977242302,1.486211512717537,1.7204819277108434,1.7879518072289156,3.4339676634711696,3.4339676634711696,2.6708212775428444,2.834278092697566,2.834278092697566,2.1641130376792264,0,0,0,0,2.4406478810738848,0,0,0,0,1.5319066773934031,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.3562027353177797,1.3866,1.4487999999999999,3.215790640940341,5.555555555555555,9.11111111111111,15.195439302481557,19.91328478151683,23.73796065837013,26.447300234035442,26.577407210377704,26.029444374843404,24.716098864395462,22.333333333333336,17.444444444444446,14.11111111111111,10.88888888888889,8.666666666666668,7.555555555555555,9.88888888888889,12.333333333333334,12.555555555555555,12.555555555555555,12.555555555555555,11.555555555555555,10.333333333333334,8.083124999999999,6.097599999999999,3.0902666666666665,0.67464,0.4622,0.4829333333333333,0.5244,0.6487999999999999,0,0,0,0,0,0,0,0,3.1135327476926498,3.491707195410899,3.9891722467587973,2.6246719160104988,2.6246719160104988,1.159118236472946,1.3901677852348993,1.35,1.35,1.35,1.35,1.4698993288590605,1.1678859060402682,0.6,0.49207317073170725
Created Tmp Disk Tables,8.777777777777779,8.88888888888889,8.88888888888889,9,9,9.222222222222223,9,9.222222222222223,9,9,8.88888888888889,7.7598,6.750914285714285,5.739066666666666,4.83492,3.9287,8.86328384666519,8.97084475454772,9.109023626530032,9.12711583139728,4.650066934404284,5.520214190093709,6.390361445783133,6.640963855421686,8.728001144655888,8.728001144655888,9.0140218117071,9.16972324108036,9.16972324108036,7.00154218072691,4,5.1422133199799696,4.140711066599899,3.1392088132198297,8.986021743953847,1.922633744855967,2.7123732251521298,3.8014356213548672,4.845770392749245,5.6169911504424785,5.280000000000001,5.280000000000001,5.280000000000001,4.972743362831858,4.1598,3.3805333333333336,9.09292526058993,9,8.88888888888889,3.6527498323272973,4.574673530889001,5.743054997992774,6.519567034436643,7.422519130826205,8.207482460536209,8.906702293475842,8.88888888888889,9.11111111111111,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,9,9.11111111111111,9,9,9,9,9,7.7598,6.750914285714285,5.9597999999999995,5.059800000000001,4.1598,3.2598,2.3598,1.4598,2.641581108829569,3.2200861195542045,2.85,2.85,2.85,2.85,2.85,2.85,9.22940064494607,8.978675645342312,9.118107992591536,8.998875140607424,8.998875140607424,3.4773547094188375,4.016040268456376,3.9,3.9,3.9,3.9,4.246375838926175,3.373892617449664,1.6,1.3121951219512193
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,5.444444444444445,6.333333333333334,9.222222222222223,11.11111111111111,14.444444444444446,16.333333333333336,20.11111111111111,22.22222222222222,21.447225,16.441742857142856,15.782433333333334,13.15548,11.555,23.15532904941281,23.922252678793917,22.48790207799602,23.066710919349486,10.730923694779117,12.738955823293173,14.746987951807228,15.325301204819278,20.603805980827012,20.603805980827012,19.029601602492768,18.50616872290764,18.50616872290764,14.130385128376124,5.4,6.941987981972959,5.589959939909864,4.23793189784677,13.423563345906365,6.2485596707818925,8.13711967545639,8.333916554508749,10.633773917421953,10.851005631536605,10.200000000000001,10.200000000000001,10.200000000000001,9.606436041834272,6.817449999999999,4.467133333333334,17.298735861610112,15.333333333333334,14.88888888888889,1.314989939637827,1.7491398794575592,1.9143516659975912,2.091181878970244,2.1549249089495435,2.1104954898521675,2.0040080160320644,1.5555555555555558,1.4444444444444444,1.1111111111111112,1,1,0.888888888888889,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.2222222222222223,3.3333333333333335,7.444444444444445,7.005374999999999,6.968685714285714,6.511633333333333,6.63396,6.817449999999999,7.123266666666668,7.734899999999999,6.4879999999999995,7.444455852156056,6.609650455927051,5.85,5.85,5.85,5.85,5.85,5.85,25.90904036472812,25.190173338321486,27.639264852543096,14.623172103487065,14.623172103487065,5.216032064128256,6.950838926174496,6.75,6.75,6.75,6.75,7.349496644295303,5.8394295302013415,3.6,2.9524390243902436
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28,28.555555555555554,29.333333333333336,29.111111111111114,28.888888888888893,30.666666666666668,28.333333333333336,30,29.555555555555554,28.555555555555554,28.555555555555554,24.357149999999997,20.688285714285712,18.100133333333332,14.392320000000002,12.82605,28.251717261245297,28.65686518813855,29.17734130372901,29.372718221042152,15.55983935742972,18.4714859437751,21.38313253012048,22.22168674698795,29.04564315352697,29.04564315352697,30.26930781215224,30.843614538179395,30.843614538179395,23.550641880626877,13.8,17.740635953930894,14.285453179769652,10.830270405608413,27.62369647215442,7.450205761316871,9.493306288032453,13.743651861821444,16.556382175226588,19.53181013676589,18.360000000000003,18.360000000000003,18.360000000000003,17.291584875301687,14.097100000000001,11.711133333333333,29.163894433355505,29.444444444444446,27.77777777777778,11.54268947015426,13.993119035660474,18.505399437976713,20.419775994650617,23.823892048942177,25.677695126534708,28.16744600311735,28.77777777777778,29.333333333333336,29,29.111111111111114,27.666666666666668,29.444444444444446,28.22222222222222,29.888888888888893,28.888888888888893,27.666666666666668,29.555555555555554,29.666666666666668,29.444444444444446,25.542675,21.777142857142856,19.645266666666664,16.078920000000004,13.634899999999998,11.107466666666667,7.210499999999999,3.8928,8.885318275154003,11.693996960486322,10.35,10.35,10.35,10.35,10.35,10.35,30.690537084398976,29.804214989400172,29.491380538538255,28.1214848143982,28.1214848143982,12.750300601202404,12.665973154362415,12.3,12.3,12.3,12.3,13.39241610738255,10.640738255033558,3.2,2.6243902439024387
Sort Rows,48,48,54,60,54,60,54,60,48,54,54,46.5588,35.278971428571424,29.798999999999996,24.28704,18.7191,53.84444936849103,60.5532020931971,61.48590947907771,62.72817789578494,28.973493975903615,34.39518072289157,39.81686746987951,41.378313253012045,46.35856345686078,46.35856345686078,54.084130870242596,54.01800600200066,54.01800600200066,41.245448482827605,32.4,41.65192789183776,33.539759639459184,25.427591387080618,53.916130463723086,12.977777777777778,9.154259634888437,15.79057873485868,29.074622356495468,27.574320193081256,25.920000000000005,25.920000000000005,25.920000000000005,24.41164923572003,18.7191,19.558799999999998,59.88023952095807,54,54,15.779879275653922,21.79697388247112,34.458329987956645,33.212888665997994,45.25342308794041,44.32040528689552,54.108216432865746,48,54,60,54,54,60,54,60,48,60,60,48,60,46.5588,41.1588,35.758799999999994,30.358800000000002,31.198500000000003,19.558799999999998,14.1588,17.517599999999998,25.93552361396304,18.303647416413373,16.2,16.2,16.2,16.2,16.2,16.2,60.04670299121538,53.87205387205387,61.54722894999287,53.993250843644546,53.993250843644546,20.864128256513023,25.023020134228187,24.3,24.3,24.3,24.3,26.458187919463093,21.02194630872483,10.8,8.85731707317073
