Avg Threads Running,2,2,2.3,2.7,3.6,4.7,5.3,5.700000000000001,6.3,6.7,7.3,8,8,7.8999999999999995,7.699999999999999,7.3999999999999995,7.199999999999999,7.3,7.3,7.2,7.3999999999999995,7.8,8.6,9.1,8.6,8.700000000000001,8.499999999999998,8.2,8.2,8.7,8.699999999999998,7.799999999999999,7.1,6.4,6.900000000000001,6.2,6.3,6.8,6.7,6.3999999999999995,6.7,7.1,7.2,7.7,7.3999999999999995,7.7,7.7,7.1,6.8999999999999995,7.1000000000000005,6.600000000000001,7,7.1,7.1,7.6,7.6000000000000005,7.6000000000000005,7.8,8.5,8.4,8.8,8,7.7,9.2,10.100000000000001,10.444444444444445,11.125,12,11.999999999999998,12.8,13,16,22.666666666666668,22.5,25,25,25,25,25,25,25,25
Peak Threads Connected,2,2,5,6,11,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,11,11,11,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,9,12,12,12,12,12,12,12,12,12,12,12,12,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25
Peak Threads Running,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Questions,39.111111111111114,37.22222222222222,92.44444444444444,194.66666666666669,307.55555555555554,418.88888888888886,592.8888888888889,722.7910082350323,855.8888888888889,991.4444444444446,1085.4444444444446,1169.111111111111,1220.4444444444446,1232.111111111111,1209.6666666666667,1160.6666666666667,1160.3333333333335,1142.3333333333335,1126.2222222222222,1155.111111111111,1123.5555555555557,1105.888888888889,1117.6666666666667,1141.888888888889,1124.4444444444446,1073.2222222222222,1091.111111111111,1084,1074.7777777777778,1080.4444444444446,1072.5555555555557,1067.7777777777778,1053,1054.3333333333335,1076.2222222222222,1039.7777777777778,1020.2222222222223,1002.7777777777777,1023.3333333333334,1030.5555555555557,1003.6666666666667,1011.6666666666667,1031.111111111111,1082.5555555555557,1118.888888888889,1106.4444444444446,1133,1116.3333333333335,1138.6666666666667,1185.6666666666667,1203.111111111111,1205.4444444444446,1167.888888888889,1174.5555555555557,1216.3333333333335,1203,1215.4444444444446,1166.3333333333335,1127.7777777777778,1125.6666666666667,1125,1121.111111111111,1109.2222222222222,1088.5445489762037,1065.2753108348136,903.6806006493507,803.5618884540118,697.5002219263205,582.9811900958467,460.90466566866263,359.02876773049644,230.95537848605574,921.230974336185,937.0951669157948
Threads Created,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.5555555555555556,0.5564210994880926,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444445,0.6666666666666667,0.6666666666666667,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.22222222222222224,0,0,0,0,0,0,0,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,1.6602102933038183,2.2202486678507993,2.1554695304695306,2.1776744944553164,2.2072791833111407,1.9114137380191694,1.964246506986028,1.931560283687943,1.96613545816733,5.443839573380736,5.480817140009966
Created Tmp Disk Tables,9,9,8.88888888888889,9,8.88888888888889,8.777777777777779,8.88888888888889,9.125306031604719,8.88888888888889,8.88888888888889,9,9,8.777777777777779,9,9.222222222222223,9.222222222222223,8.88888888888889,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,9,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.777777777777779,8.777777777777779,8.88888888888889,8.88888888888889,9,8.88888888888889,8.88888888888889,9.11111111111111,8.88888888888889,9.11111111111111,9.222222222222223,9,8.88888888888889,9,8.88888888888889,9.222222222222223,9,8.88888888888889,8.88888888888889,8.777777777777779,9.222222222222223,9.222222222222223,9.11111111111111,9.222222222222223,8.88888888888889,8.777777777777779,9.222222222222223,9.222222222222223,9.222222222222223,9,9,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.777777777777779,9,8.854454897620364,8.880994671403197,7.651916833166834,6.750790932811481,5.959653794940079,5.1720607028754,4.159580838323353,3.3802304964539003,2.2282868525896413,9.110098877902455,9.093173891380172
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7747648035417819,0.7770870337477798,0.7544143356643357,0.7621860730593607,0.7725477141588992,0.787052715654952,0.8088073852295409,0.8450576241134751,0.9175298804780875,1.5553827352516387,1.7438963627304438
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,2.3333333333333335,9.222222222222223,13.11111111111111,14.333333333333334,15.579790785666592,15.88888888888889,20.11111111111111,20.666666666666668,23.88888888888889,23.22222222222222,17.77777777777778,14.11111111111111,14.11111111111111,14.666666666666668,15,15.11111111111111,18.666666666666668,15.666666666666668,15.777777777777777,16.22222222222222,16.22222222222222,16.333333333333336,14.88888888888889,17.333333333333336,13.222222222222223,10.222222222222223,13.333333333333334,16.333333333333336,17.77777777777778,20,20,19.77777777777778,18.22222222222222,20.666666666666668,20.666666666666668,17.11111111111111,13.88888888888889,10.555555555555555,8.777777777777779,8.11111111111111,9.11111111111111,9.11111111111111,6.777777777777779,6.888888888888888,9.222222222222223,11.555555555555555,14.555555555555557,18.22222222222222,19.555555555555557,22.77777777777778,22.666666666666668,24.333333333333336,23.555555555555557,22.444444444444446,20.11111111111111,22.555555555555557,21.88888888888889,21.333333333333336,19.444444444444446,21.444444444444446,21.029330381848364,21.425399644760212,19.61477272727273,18.51023320287019,13.354039059032402,9.894376996805113,8.665793413173652,6.398293439716312,2.8836653386454176,12.998555716031552,13.702042850024915
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.888888888888893,28.22222222222222,28.333333333333336,29,28.111111111111114,28.111111111111114,27.888888888888893,30.491876251947474,28.888888888888893,27.888888888888893,28.888888888888893,28.666666666666668,27.666666666666668,29.333333333333336,29.22222222222222,30.888888888888893,27.77777777777778,29,29.888888888888893,29.22222222222222,28.555555555555554,29.111111111111114,29.22222222222222,29.666666666666668,27.444444444444446,28.888888888888893,27.444444444444446,27.22222222222222,28.22222222222222,29.77777777777778,29.333333333333336,27.77777777777778,27.444444444444446,30.444444444444446,28.888888888888893,29.333333333333336,29.666666666666668,29,28,28.77777777777778,29,30.22222222222222,29,28.77777777777778,28.888888888888893,28.555555555555554,30.333333333333336,30.888888888888893,29.111111111111114,30.555555555555554,28.888888888888893,27.77777777777778,30,30.111111111111114,29.555555555555554,29.555555555555554,28.111111111111114,29.555555555555554,27.888888888888893,27.77777777777778,29.444444444444446,28.555555555555554,29.111111111111114,29.551743220807964,29.19626998223801,25.650087412587414,23.301117090671887,20.638060363959166,18.32708466453674,14.558532934131737,11.830806737588652,8.388844621513943,29.996667036995895,29.27254608868959
Sort Rows,55,55,55,55,55,48.88888888888889,48.88888888888889,55.08568884932117,55,48.88888888888889,55,48.88888888888889,48.88888888888889,55,61.11111111111111,61.11111111111111,48.88888888888889,55,61.11111111111111,48.88888888888889,61.11111111111111,55,55,48.88888888888889,48.88888888888889,61.11111111111111,48.88888888888889,48.88888888888889,55,48.88888888888889,55,48.88888888888889,55,61.11111111111111,48.88888888888889,61.11111111111111,61.11111111111111,55,55,55,55,61.11111111111111,55,55,48.88888888888889,48.88888888888889,61.11111111111111,61.11111111111111,55,61.11111111111111,48.88888888888889,48.88888888888889,61.11111111111111,61.11111111111111,61.11111111111111,55,55,61.11111111111111,48.88888888888889,55,61.11111111111111,48.88888888888889,55,54.786939679026,48.84547069271758,41.49278846153847,35.93162915851272,36.42010652463382,30.919928115015978,19.064745508982035,19.919215425531913,7.209163346613545,155593.26741473173,174451.29546586948
