Avg Threads Running,2,2,2,3.1,3.7,4.4,5.1000000000000005,5.799999999999999,6.8,7.333333333333333,7.999999999999999,8.857142857142856,10,10.666666666666668,10.166666666666666,9.833333333333334,10,10.2,9.75,9.75,9.75,9.75,9.75,7.333333333333334,8.5,10,12,12,12,12,18.5,18.5,18.5,18.5,18.5,18.5,21,21,21,20.666666666666668,18.5,18.5,18.5,18.5,18.5,18.5,20,20,20,10,10,9,9,9,9,15,15,15,15,17.5,17.5,28,28,27.666666666666664,26.5,28,28,28,28,28,28,27.666666666666664,39.25,49,57.66666666666667,70,70,70,70,70,61,61,54.5,43,43,39.5,39.5,39.5,35,35,31,31,31,31,31,28.5,28.5,28.5,31,31,31,31,38.5,46,46,46,46,49.5,45.333333333333336,45.333333333333336,45.333333333333336,45.333333333333336,45,43.666666666666664,43.666666666666664,43.666666666666664,43.666666666666664,39,41
Peak Threads Connected,2,2,2,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,10,10,10,12,12,12,12,25,25,25,25,25,25,25,25,25,25,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,27,27,27,27,27,27,29,29,29,29,33,33,33,33,33,33,33,74,74,74,74,74,74,74,74,74,74,66,43,43,43,43,43,43,43,36,36,36,36,36,31,31,31,31,31,31,31,46,46,46,46,46,53,53,53,53,53,53,53,53,53,53,41,41
Peak Threads Running,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,4,4,4,1,1,1,1,1,1,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,37,44,44,44,44,44,44,44,44,44,44,26,26,26,26,26,26,26,9,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,33,33,33,33,33,33,33,33,33,33,23,7
Questions,38.66666666666667,37.55555555555556,37.77777777777778,136,306.33333333333337,450.33333333333337,580,727.7777777777778,870.4444444444446,839.5672500000001,844.5175999999999,852.5824999999999,764.3671200000001,1254.158349966733,1187.7777777777778,1173.888888888889,1170.6666666666667,1150.75,418.4,418.4,418.4,418.4,380.8323943661972,316.8687,216.21259999999998,809.7853560682047,1183.5506519558676,1183.5506519558676,1183.5506519558676,844.3450351053158,725.9899699097291,1139.1564264364,1139.1564264364,1139.1564264364,1135.1711871943085,712.8917283120376,825.6018829858776,859.189509078682,746.479354404842,633.769199731002,521.059045057162,420.9382146439319,530.2160481444332,435.8,435.8,1135.0900600400266,1135.0900600400266,1135.0900600400266,867.2088058705804,825.7379810094951,710.1207896051974,1163.3366633366634,1163.3366633366634,1150.5121159130654,1143.6365660839551,612.7408301886793,588.8,588.8,588.8,642.6252075471698,531.5308679245283,328.79999999999995,1200.6666666666667,1134.7777777777778,1135.125,93.4,93.4,93.4,93.4,93.4,1056.75,1056.75,1136.9395017793593,1162.2271179651511,1162.2271179651511,1162.2271179651511,1161.4518147684607,1161.4518147684607,853.7038538538538,885.8402902902905,769.8242742742743,1138.521109168124,1138.521109168124,1125.5739668596525,1125.5739668596525,1125.5739668596525,1190.5976272314003,1124.249699879952,1108.43776106934,1108.43776106934,1108.43776106934,847.5392230576441,203,1198.2931726907632,1198.2931726907632,1198.2931726907632,914.6571787148594,1231.91020244538
Threads Created,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.7777777777777779,0.754425,0.7621999999999999,0.7725666666666666,0.44976000000000005,2.7722333111554667,2.7777777777777777,2.7777777777777777,2.7777777777777777,2.625,0,0,0,0,0,0,0,1.0293881644934806,1.5045135406218655,1.5045135406218655,1.5045135406218655,1.0733199598796388,0.9228686058174522,4.815675855197609,4.815675855197609,4.815675855197609,3.890618052467764,1.2760591795561533,1.4778076664425017,1.5379287155346337,1.3361802286482853,1.134431741761937,0.9326832548755885,1.352256770310933,1.7033099297893681,1.4,1.4,4.0026684456304205,4.0026684456304205,4.0026684456304205,3.058038692461641,3.0338330834582705,2.609045477261369,2.9970029970029968,2.9970029970029968,3.247564326754934,2.8950005567308765,1.2487924528301888,1.2,1.2,1.2,1.309698113207547,1.0832830188679243,0.14999999999999997,8.777777777777779,8.777777777777779,9.75,0,0,0,0,0,0.25,0.25,0.2846975088967971,2.603645103144402,2.603645103144402,2.603645103144402,2.8785982478097623,2.8785982478097623,2.4552886219552885,2.5477143810477147,2.2140473807140477,2.9977516862353233,2.9977516862353233,2.7949690556997404,2.7949690556997404,2.7949690556997404,4.767712606719148,2.000800320128051,1.6708437761069341,1.6708437761069341,1.6708437761069341,1.2775689223057645,0,4.016064257028113,4.016064257028113,4.016064257028113,3.065461847389558,4.8105832832230915
Created Tmp Disk Tables,9.11111111111111,9,9.11111111111111,8.777777777777779,9,9.11111111111111,8.88888888888889,9.11111111111111,8.777777777777779,7.54425,6.642028571428571,5.849433333333333,5.059800000000001,9.203814593036148,8.777777777777779,8.88888888888889,8.88888888888889,9.125,3.4666666666666663,3.4666666666666663,3.4666666666666663,3.4666666666666663,3.155399061032864,2.4909,1.6219999999999999,6.34789368104313,9.277833500501504,9.277833500501504,9.277833500501504,6.618806419257773,5.691023069207622,8.801062769843906,8.801062769843906,8.801062769843906,8.89284126278346,5.74226630800269,6.6501344989912585,6.9206792199058516,6.012811028917283,5.104942837928716,4.197074646940147,3.477231695085256,4.379939819458375,3.6,3.6,9.006004002668444,9.006004002668444,9.006004002668444,6.880587058038692,6.424587706146926,5.52503748125937,8.824508824508824,8.824508824508824,9.118161378965777,9.01904019596927,5.27267924528302,5.066666666666666,5.066666666666666,5.066666666666666,5.529836477987422,4.5738616352201245,2.6999999999999997,9,9,8.875,1.6,1.6,1.6,1.6,1.6,8.75,8.75,8.825622775800712,9.212898057280192,9.212898057280192,9.212898057280192,9.136420525657071,9.136420525657071,6.629279279279279,6.87882882882883,5.9779279279279285,9.118161378965777,9.118161378965777,9.183469754442005,9.183469754442005,9.183469754442005,8.759285951879365,9.203681472589036,9.189640768588138,9.189640768588138,9.189640768588138,7.026629072681705,1.8,9.036144578313252,9.036144578313252,9.036144578313252,6.897289156626504,9.019843656043296
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2498126405196103,0.22269235051775974,0.2775094339622642,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2910440251572327,0.24072955974842764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,2,3.555555555555556,6.111111111111112,11.11111111111111,12.555555555555555,14.333333333333334,13.902975000000001,14.04625714285714,14.2373,12.48084,19.73830117542692,18.333333333333336,15.222222222222223,16.555555555555557,16.625,6.933333333333333,6.933333333333333,6.933333333333333,6.933333333333333,6.310798122065728,5.5062,4.055,14.926128385155469,21.81544633901705,21.81544633901705,21.81544633901705,15.563139418254764,13.381594784353059,14.447027565592828,14.447027565592828,14.447027565592828,12.227656736327258,4.8915601882985875,5.66492938802959,5.8953934095494285,5.122024209818426,4.348655010087424,3.575285810356422,4.636308926780342,5.839919759277834,4.8,4.8,17.34489659773182,17.34489659773182,17.34489659773182,13.25150100066711,14.27686156921539,12.277861069465267,13.986013986013987,13.986013986013987,14.614039470397202,17.92673421667966,14.708000000000002,14.133333333333331,14.133333333333331,14.133333333333331,15.425333333333333,12.758666666666665,10.95,17.88888888888889,13.555555555555557,11.625,1,1,1,1,1,20.75,20.75,22.91814946619217,12.617664730622872,12.617664730622872,12.617664730622872,14.768460575719649,14.768460575719649,13.504087420754086,14.012429095762432,12.177260593927262,18.111416437671746,18.111416437671746,17.967658215212616,17.967658215212616,17.967658215212616,23.505931921499055,9.00360144057623,12.36424394319131,12.36424394319131,12.36424394319131,9.454010025062656,5.8,34.805890227576974,34.805890227576974,34.805890227576974,26.567336010709504,35.87893365403889
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.77777777777778,28.333333333333336,28.888888888888893,27.888888888888893,29.333333333333336,29.77777777777778,28.666666666666668,29.22222222222222,28.111111111111114,23.92605,21.450485714285712,19.09343333333333,16.75356,30.161898425371476,27.77777777777778,28.555555555555554,28.888888888888893,29,10.266666666666666,10.266666666666666,10.266666666666666,10.266666666666666,9.344835680751174,8.1282,5.3526,21.960280842527585,32.0962888665998,32.0962888665998,32.0962888665998,22.897492477432294,19.687863590772317,28.06376619063434,28.06376619063434,28.06376619063434,28.12361049355269,17.864828513786144,20.689307330195025,21.53100201748487,18.706523201075992,15.882044384667115,13.057565568258237,11.204413239719159,14.113139418254764,11.6,11.6,29.686457638425615,29.686457638425615,29.686457638425615,22.68045363575717,21.415292353823087,18.4167916041979,29.637029637029638,29.637029637029638,29.977516862353234,28.393274691014362,16.095547169811322,15.466666666666665,15.466666666666665,15.466666666666665,16.880553459119497,13.9623144654088,8.099999999999998,28.77777777777778,29.77777777777778,28.625,4.8,4.8,4.8,4.8,4.8,27.5,27.5,27.90035587188612,30.642900060084116,30.642900060084116,30.642900060084116,30.287859824780973,30.287859824780973,21.852068735402067,22.67465799132466,19.705021688355025,28.85335998001499,28.85335998001499,28.348971850668796,28.348971850668796,28.348971850668796,29.38241490187382,28.011204481792713,28.571428571428573,28.571428571428573,28.571428571428573,21.84642857142857,6.2,28.78179384203481,28.78179384203481,28.78179384203481,21.969143239625165,28.26217678893566
Sort Rows,98.88888888888889,89,89,79.11111111111111,89,98.88888888888889,79.11111111111111,89,79.11111111111111,67.143825,58.144971428571424,58.93579999999999,50.0358,98.6915058771346,79.11111111111111,89,79.11111111111111,89,23.73333333333333,23.73333333333333,23.73333333333333,23.73333333333333,21.602347417840377,23.3358,14.4358,61.07703109327984,89.2678034102307,89.2678034102307,89.2678034102307,63.68365095285857,54.75687061183551,73.89571570906676,73.89571570906676,73.89571570906676,89.03957314361938,75.71284465366509,87.68325487558843,91.25043712172159,79.28002689979826,67.30961667787491,55.33920645595158,34.38595787362087,43.312738214643936,35.6,35.6,89.05937291527684,89.05937291527684,89.05937291527684,68.04136090727152,63.53203398300849,54.63648175912044,88.91108891108891,88.91108891108891,100.04996252810392,89.18828638236278,61.745849056603774,59.33333333333333,59.33333333333333,59.33333333333333,64.75729559748427,53.56232704402514,26.699999999999996,89,89,77.875,0,0,0,0,0,77.875,77.875,88.6832740213523,106.94972962147006,106.94972962147006,106.94972962147006,100.2503128911139,100.2503128911139,65.55620620620621,68.023973973974,59.115065065065075,88.93330002498126,88.93330002498126,88.8400878418846,88.8400878418846,88.8400878418846,78.94445060427985,89.03561424569827,104.09356725146199,104.09356725146199,104.09356725146199,79.59254385964913,35.6,104.25033467202141,104.25033467202141,104.25033467202141,79.57428045515394,89.19623170976148
