Avg Threads Running,2,2,2.3,3.1,3.6,3.9,4.3,5,5.6,6.1,6.5,6.6,6.8,6.7,7.1000000000000005,7.4,7.2,7,7.1000000000000005,7,6.8,7.2,7.199999999999999,7.3,7.1,7.1,7.7,7.799999999999999,8,7.999999999999999,8.2,8.100000000000001,8.2,8.299999999999999,8.2,7.799999999999999,7.3999999999999995,7.3,7.300000000000001,7.299999999999999,7.2,7.3999999999999995,7.4,7,6.875,7.874999999999999,8.625,8.499999999999998,8,8,8.749999999999998,8.375,7.875,8.11111111111111,7.8999999999999995,7.300000000000001,6.7,6.999999999999999,7.2,7.3999999999999995,6.700000000000001,6.6000000000000005,6.7,6.199999999999999,7.5,8.1,9.100000000000001,10.3,11.2,11.8,13.299999999999999,16,17.22222222222222,18.75,19.374999999999996,20.42857142857143,21.166666666666668,21.2,22,24.666666666666664,27.5,24,24,24,26,23,21.666666666666664,21.25,21,21,19.857142857142858,19.25,18.88888888888889,19.6,18.88888888888889,18.75,18.714285714285715,18.5,18.2,17.5,19,21,26,32,32,27.5,27.5,27.5,27.5,30.333333333333336,30.333333333333336,30.333333333333336,30.333333333333336,29.5,29.5,36,36,36,36
Peak Threads Connected,2,2,5,10,10,10,10,10,10,10,10,10,10,9,11,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,9,19,19,19,21,21,21,21,31,31,31,31,31,31,31,31,31,31,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,32,32,32,32,32,32,36,36,36,36,36,36,36,36,36,36
Peak Threads Running,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,12,12,12,12,18,18,18,18,18,18,18,18,18,18,11,11,11,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17
Questions,38.44444444444444,38.55555555555556,39.77777777777778,146.55555555555557,251.8888888888889,387.55555555555554,521.7777777777778,626.7777777777778,746.7777777777778,864.7777777777777,976.3333333333334,1102.4444444444446,1102.3333333333335,1114.2222222222222,1112.3333333333335,1099.7777777777778,1121.6666666666667,1102.2222222222222,1085.7777777777778,1118.2222222222222,1137.4444444444446,1161,1197,1175.888888888889,1191.5555555555557,1187,1215.7777777777778,1235.7777777777778,1221.111111111111,1204.7777777777778,1197.5555555555557,1184.6666666666667,1179.2222222222222,1155.111111111111,1162.7777777777778,1139.888888888889,1149.2222222222222,1125.6666666666667,1111.5555555555557,1144.6666666666667,1154.4444444444446,1198.2222222222222,1210.888888888889,1045.956375,948.7212285714284,1226.4464641986256,1225.4348066910381,1215.2222222222222,1188.4444444444446,1145.7777777777778,1117.111111111111,1087.111111111111,867.8884023256766,954.2233423163701,1042.8826019157943,1030.313161707344,1029.6666666666667,1002.8888888888889,1011,1043.111111111111,1066.3333333333335,1051.3333333333335,1078.2222222222222,1063.111111111111,1078.4444444444446,1090.4444444444446,1092,1114.5555555555557,1082.6666666666667,1073.2222222222222,1105.7777777777778,1105.6431904021329,955.3142214446389,856.5999979597667,1060.7906101206952,944.9507471049683,819.2422870146495,708.2095009119548,612.9646292983502,504.55261101463657,432.84937273027407,248.26496881496882,379.56156982670745,476.3814539725411,577.6936521958606,696.5733776702942,794.5980012300123,883.9055710592193,973.6368092187892,1069.069404150859,921.6918,799.7655714285713,698.0691666666665,594.9200400000001,476.7593,377.1709333333333,288.41999999999996,207.4538,369.6565636087177,466.5648251393817,382.4,382.4,998.8350807122649,998.8350807122649,998.8350807122649,767.4299633882508,729.5319623389494,628.1940039643212
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.22222222222222224,0.21555,0.21777142857142856,1.3300820217246732,1.3293452974410105,1.3333333333333335,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0,0,0.11138338159946537,0.11144544745347151,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.4444444444444444,1.4444444444444444,1.4444444444444444,2.4439013552543876,2.3710416145963507,1.4155078140939323,1.8824050492747204,1.8674915950691073,1.8994979377044519,1.4887974631072791,1.5481912144702843,1.6643450756636071,0.6163750412677451,0,0,0,0,0,0,0,0,0.5579111805400581,0.538875,0.5444285714285714,0.5518333333333333,0.5622,0.57775,0.6036666666666667,0.6555,0.8109999999999999,0,0,0,0,1.8305874521551004,1.8305874521551004,1.8305874521551004,1.4064861041770675,1.9620664023785923,1.689519326065411
Created Tmp Disk Tables,9,9,9.222222222222223,8.88888888888889,9.11111111111111,9.11111111111111,8.88888888888889,8.777777777777779,9.11111111111111,8.777777777777779,9.11111111111111,9,9,8.777777777777779,9.11111111111111,9,9.11111111111111,8.88888888888889,9.222222222222223,9.11111111111111,8.777777777777779,8.88888888888889,9,8.88888888888889,8.88888888888889,9,9.222222222222223,8.88888888888889,9,9,9,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,8.777777777777779,9,9.11111111111111,9,9,9,7.8675749999999995,6.8598,8.978053646641543,8.973080757726821,9,8.88888888888889,9,9.11111111111111,9.11111111111111,7.542691315563198,8.325123777889196,9.022053909556695,9.138526691184664,9.11111111111111,9.222222222222223,8.88888888888889,9,8.777777777777779,8.777777777777779,9.11111111111111,9,8.88888888888889,8.88888888888889,8.88888888888889,9,8.88888888888889,9.222222222222223,9.11111111111111,8.775827593868028,7.544223319170207,6.8597686375321345,9.19056582881187,8.019228614120284,7.262786232399374,6.413281379539048,5.359123434704831,4.736982138427189,4.468719049191153,1.9301455301455301,3.2252548419979616,3.804028809363043,4.847778899545683,5.618557033454252,6.645236497819523,7.66426724668609,8.326693983923636,9.149743360856952,7.975350000000001,6.8598,6.180533333333333,5.17224,4.3909,3.3805333333333336,2.3598,1.7841999999999998,3.866700456158135,4.8803852002027375,4,4,8.986520219670494,8.986520219670494,8.986520219670494,6.904568147778332,6.064568880079286,5.222150644202181
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.22222222222222224,0.5555555555555556,2.7777777777777777,5,6,7.444444444444445,8.555555555555555,12,14.444444444444446,16.77777777777778,16.77777777777778,18,16.88888888888889,16,16.11111111111111,15.222222222222223,15.444444444444446,15.777777777777777,16.444444444444446,17.666666666666668,15,16.88888888888889,18.22222222222222,17.88888888888889,20,17.22222222222222,16,15.444444444444446,16,17.555555555555557,15.666666666666668,17.22222222222222,17.555555555555557,17.555555555555557,16.666666666666668,16.333333333333336,16.11111111111111,17.11111111111111,17.555555555555557,21.22222222222222,17.6751,16.332857142857144,22.057193526934164,24.925224327018945,24.888888888888893,24.444444444444446,25.11111111111111,25.666666666666668,21.88888888888889,16.641810997829914,17.82280020055152,18.155491200712856,15.490917196032541,15.444444444444446,14.444444444444446,13.333333333333334,11.555555555555555,11.777777777777779,12,13.11111111111111,13.11111111111111,13,14.222222222222223,16.88888888888889,16.666666666666668,16.11111111111111,18.88888888888889,18.555555555555557,19.440124416796266,17.675037490627343,17.748290284408537,18.934780201528067,15.1596376540904,12.961280045512728,12.253948350190681,8.4555058636454,7.681592656908956,4.468719049191153,5.066632016632017,5.941258919469929,6.730204816565385,8.079631499242806,9.960169286577992,9.598674941294869,11.735909221488075,13.369621326299924,13.613032805177417,10.885275,9.473057142857142,8.387866666666666,6.97128,5.0842,5.312266666666667,3.1464,1.2975999999999999,7.73340091231627,9.760770400405475,8,8,19.13795972707605,19.13795972707605,19.13795972707605,14.704172907305708,13.37772547076313,11.519449950445985
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.555555555555554,29.555555555555554,29.555555555555554,28.77777777777778,30,29.555555555555554,27.666666666666668,28.77777777777778,29.666666666666668,27.444444444444446,28.888888888888893,28.888888888888893,30.111111111111114,28,29.444444444444446,29.77777777777778,29.666666666666668,28.333333333333336,30.555555555555554,29.555555555555554,27.888888888888893,27,28.888888888888893,28.333333333333336,28,29.333333333333336,30.22222222222222,28.666666666666668,29.111111111111114,29,29.333333333333336,30.22222222222222,28.111111111111114,29.111111111111114,28.555555555555554,28.666666666666668,28.444444444444446,28.22222222222222,29.333333333333336,30.444444444444446,28,28.888888888888893,29,24.464925,21.341599999999996,29.594324983373973,29.24559654370223,29.111111111111114,27.22222222222222,29.22222222222222,29.444444444444446,29.22222222222222,24.3042275723703,26.265179242918027,28.6255290710626,29.97882536498384,29.666666666666668,30.666666666666668,28.77777777777778,29.333333333333336,28.555555555555554,27.666666666666668,30.444444444444446,29.77777777777778,28.22222222222222,29.444444444444446,28.77777777777778,30.111111111111114,29,30.444444444444446,30.333333333333336,28.215952010664296,24.464838477880527,22.43035459256539,28.5682648654634,25.266062756817334,22.570504906841133,20.385072956391973,17.03010335917313,14.72305259240883,13.560250907890396,6.031704781704782,10.86401630988787,12.728865631330184,15.35129984856133,18.13261588069327,21.781608520630662,25.627393606106615,27.208352172820902,30.127203749163137,26.404874999999997,22.43045714285714,20.1971,17.540640000000003,14.7904,11.2282,7.3416,6.1636,13.146781550937657,16.59330968068931,13.6,13.6,29.45581627558662,29.45581627558662,29.45581627558662,22.631640039940088,19.442294350842417,16.741600594648165
Sort Rows,64,64,71.11111111111111,56.88888888888889,71.11111111111111,71.11111111111111,56.88888888888889,56.88888888888889,64,56.88888888888889,64,64,64,56.88888888888889,64,64,64,64,71.11111111111111,71.11111111111111,56.88888888888889,64,64,56.88888888888889,64,64,71.11111111111111,56.88888888888889,64,64,64,71.11111111111111,64,64,64,56.88888888888889,71.11111111111111,56.88888888888889,64,64,56.88888888888889,64,71.11111111111111,62.0784,55.74948571428571,63.843937042784304,63.808574277168496,64,64,64,64,64,53.63691602178274,52.530358485836054,64.15682780129205,71.32508637022177,64,71.11111111111111,64,64,56.88888888888889,56.88888888888889,71.11111111111111,64,56.88888888888889,64,56.88888888888889,64,64,71.11111111111111,64,56.87624972228393,48.283029242689324,48.78057697800629,70.86701361975418,63.275009338812104,57.208408476745845,51.30625103631238,38.10932220234546,40.968494170181096,39.44800264113569,0,21.72803261977574,18.72752644609498,25.85482079757698,32.6897863764611,39.37917924633792,53.64987072680263,52.5402662647576,64.27136799821469,62.0784,48.78079999999999,49.444266666666664,43.17696,36.976,30.907733333333333,16.7808,20.761599999999998,37.120324379118095,46.851697921946275,38.4,38.4,63.904143784323516,63.904143784323516,63.904143784323516,49.09915127309036,34.24697720515361,29.489791873141723
