Avg Threads Running,2,2,2.2,4.2,4.6000000000000005,6,6.3,7.099999999999999,7.7,8.600000000000001,9.700000000000001,10.3,10.300000000000002,8.7,9.1,8.100000000000001,8.2,7.900000000000001,8.1,7.5,6.8999999999999995,6.8,6.8,6.7,6.199999999999999,6.7,7,7.3,7.2,7.800000000000001,8.3,8,8.1,8.200000000000001,8.5,8.6,8.6,8.4,8,7.6000000000000005,7.3999999999999995,7.4,7.300000000000001,7.600000000000001,7.6,7.1,6.800000000000001,6.2,6.3999999999999995,6.6,6.5,6.8,7,6.7,6.5,6.8,6.6000000000000005,6.699999999999999,6.5,6.6,6.5,6.600000000000001,6.7,6.8,6.888888888888889,6.499999999999999,6.857142857142857,7.5,8,7.5,7.333333333333334,7,7,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,21,21,21,21,21,20.5,20.333333333333336,20.333333333333336,20.333333333333336,20.333333333333336,20,20,20,20,20,20
Peak Threads Connected,2,2,4,22,22,22,22,22,22,22,22,22,22,16,16,13,13,13,13,13,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,7,7,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20
Peak Threads Running,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8
Questions,37.44444444444444,37.77777777777778,41.111111111111114,225.44444444444443,332.6666666666667,486.6666666666667,608,727.6666666666667,834.4444444444446,938.2222222222223,1056.3333333333335,1177.5555555555557,1099.6666666666667,1109.2222222222222,1111.888888888889,1106.3333333333335,1104.2222222222222,1112.7777777777778,1152.3333333333335,1143.4444444444446,1121.7777777777778,1135.2222222222222,1135.3333333333335,1095.888888888889,1099.7777777777778,1090.5555555555557,1106.4444444444446,1060.111111111111,1067.3333333333335,1087.888888888889,1095,1108.2222222222222,1100,1088.5555555555557,1064.4444444444446,1079.6666666666667,1131.5555555555557,1131.7777777777778,1122.6666666666667,1109.2222222222222,1072.5555555555557,1089.111111111111,1073.6666666666667,1105,1068.3333333333335,1006.6666666666667,989.7777777777777,1019.4444444444446,1033.111111111111,1070.2222222222222,1055.3333333333335,1070.888888888889,1077.2222222222222,1078.4444444444446,1121.7777777777778,1162.3333333333335,1123.5555555555557,1110.888888888889,1084.5555555555557,1060.5555555555557,1087.888888888889,1065.3333333333335,1071.7777777777778,1096.888888888889,924.06285,824.9181714285712,720.0321333333333,622.3554,545.1649,418.46173333333337,331.4208,232.5948,1022.7310713688785,1022.7310713688785,1022.7310713688785,1022.7310713688785,976.3952790558111,942.9575108732018,942.9575108732018,942.9575108732018,718.2035881565741,151.2,151.2,151.2,151.2,124.44269662921347
Threads Created,0,0,0,1.1111111111111112,1.2222222222222223,1.777777777777778,1.777777777777778,1.777777777777778,1.777777777777778,1.777777777777778,1.8888888888888888,1.8888888888888888,0.7777777777777779,0.6666666666666667,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.6666666666666667,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.5555555555555556,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.107775,0.10888571428571428,0.11036666666666665,0.11244000000000001,0.11555,0,0,0,1.5042620758816647,1.5042620758816647,1.5042620758816647,1.5042620758816647,0.40008001600320064,0.3345600535296086,0.3345600535296086,0.3345600535296086,0.25481766477082635,0,0,0,0,0
Created Tmp Disk Tables,9.11111111111111,9,8.777777777777779,9.222222222222223,9,9.11111111111111,9.11111111111111,8.777777777777779,8.88888888888889,8.88888888888889,9.11111111111111,9.222222222222223,9,9,8.88888888888889,8.88888888888889,9.222222222222223,9.11111111111111,9,8.88888888888889,9,8.88888888888889,9,9,9.11111111111111,8.88888888888889,9.11111111111111,9,9.222222222222223,9,8.88888888888889,9,9.11111111111111,9,8.88888888888889,9,8.88888888888889,8.777777777777779,9,9.222222222222223,8.88888888888889,8.777777777777779,9,9,8.777777777777779,9.222222222222223,9.11111111111111,9,8.88888888888889,8.88888888888889,9.222222222222223,9,9.222222222222223,9,8.777777777777779,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,9,8.88888888888889,8.88888888888889,9.222222222222223,9,7.54425,6.750914285714285,5.9597999999999995,4.947360000000001,3.9287,3.139066666666667,2.2287,1.1354,8.85843222463647,8.85843222463647,8.85843222463647,8.85843222463647,9.001800360072014,8.698561391769823,8.698561391769823,8.698561391769823,6.625259284041485,1.4,1.4,1.4,1.4,1.1522471910112357
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,2.888888888888889,4.888888888888889,8.88888888888889,9.777777777777779,11,11.666666666666668,13.333333333333334,14.11111111111111,17.88888888888889,19,17.11111111111111,15.555555555555557,17.555555555555557,18.77777777777778,19.22222222222222,19.666666666666668,19.22222222222222,15.555555555555557,13.222222222222223,15.222222222222223,13.11111111111111,12.555555555555555,11.333333333333334,11.444444444444445,9.333333333333334,9.11111111111111,11.444444444444445,14.444444444444446,13.555555555555557,16.22222222222222,16.77777777777778,15.777777777777777,15.777777777777777,19.11111111111111,20.444444444444446,19.333333333333336,19.22222222222222,21.22222222222222,22.11111111111111,19.666666666666668,20.444444444444446,20.666666666666668,17.333333333333336,17.77777777777778,21.77777777777778,17.444444444444446,16.555555555555557,14.333333333333334,15.88888888888889,16.11111111111111,14.666666666666668,17.11111111111111,17.666666666666668,13.555555555555557,13.444444444444446,12.333333333333334,11.555555555555555,12.444444444444446,11.555555555555555,11.88888888888889,9.666666666666668,7.005374999999999,5.879828571428571,5.849433333333333,4.72248,3.9287,0.9658666666666667,0.6555,0.32439999999999997,12.702657529667391,12.702657529667391,12.702657529667391,12.702657529667391,21.004200840168032,17.89896286383406,17.89896286383406,17.89896286383406,13.632745065239211,0.4,0.4,0.4,0.4,0.3292134831460674
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.666666666666668,28.888888888888893,28,30.22222222222222,28.666666666666668,29,29.444444444444446,27.77777777777778,28.22222222222222,28.666666666666668,29.333333333333336,28.666666666666668,28.111111111111114,29.22222222222222,28.555555555555554,28.333333333333336,29.888888888888893,29.333333333333336,29.333333333333336,28.555555555555554,30.111111111111114,29.77777777777778,29.111111111111114,29.444444444444446,30.666666666666668,28.77777777777778,29.77777777777778,29.111111111111114,29.666666666666668,29.555555555555554,28,29,29.666666666666668,28.333333333333336,28.444444444444446,29.22222222222222,28.77777777777778,28.555555555555554,27.555555555555554,30.111111111111114,28.333333333333336,27.444444444444446,28.555555555555554,29.111111111111114,28.111111111111114,29.444444444444446,28.888888888888893,30,28.444444444444446,28.444444444444446,30.888888888888893,29.555555555555554,30.333333333333336,28.666666666666668,28.111111111111114,29.888888888888893,28.444444444444446,28.555555555555554,29.555555555555554,28.333333333333336,27.888888888888893,27.666666666666668,30.111111111111114,29.333333333333336,24.249375,21.450485714285712,19.314166666666665,15.854040000000001,12.2483,10.624533333333334,7.734899999999999,3.2439999999999998,28.748119672405146,28.748119672405146,28.748119672405146,28.748119672405146,31.206241248249647,28.437604550016726,28.437604550016726,28.437604550016726,21.659501505520243,2.8,2.8,2.8,2.8,2.3044943820224715
Sort Rows,67.77777777777779,61,54.22222222222223,67.77777777777779,61,61,61,54.22222222222223,61,61,61,67.77777777777779,61,61,54.22222222222223,54.22222222222223,67.77777777777779,61,54.22222222222223,61,61,61,61,67.77777777777779,67.77777777777779,54.22222222222223,67.77777777777779,61,67.77777777777779,61,54.22222222222223,61,61,61,61,61,61,54.22222222222223,61,67.77777777777779,54.22222222222223,54.22222222222223,61,61,54.22222222222223,67.77777777777779,61,61,54.22222222222223,61,67.77777777777779,61,67.77777777777779,61,54.22222222222223,67.77777777777779,61,61,61,61,61,54.22222222222223,67.77777777777779,61,46.019925,39.852171428571424,40.3942,34.294200000000004,21.14565,14.729466666666667,15.994200000000001,0,61.1733244191877,61.1733244191877,61.1733244191877,61.1733244191877,61.01220244048809,51.02040816326531,51.02040816326531,51.02040816326531,38.859693877551024,0,0,0,0,0
