Avg Threads Running,1,1,1.9,2.5,2.8000000000000003,3.3,3.5555555555555554,3.875,4.285714285714286,4.833333333333333,5.6,6.75,5.666666666666667,5,6,38,38,38,38,38,38,38,38,38,38,89,86.5,85.66666666666667,85.25,85,84.83333333333333,84.71428571428571,84.625,84.55555555555556,84.5,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
Peak Threads Connected,1,1,10,10,10,10,10,10,10,10,10,10,7,6,6,38,38,38,38,38,38,38,38,38,38,89,89,89,89,89,89,89,89,89,89,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,6,6,6,6,6,6,6,6,6,6,44,44,44,44,44,44,44,44,44,44,38,38,38,38,38,38,38,34,27,19,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Questions,37.44444444444444,39.55555555555556,103.77777777777779,278.55555555555554,425.44444444444446,585,563.0166,564.4635428571428,569.0505333333333,575.35548,585.49185,535.6938,372.19289999999995,240.70479999999998,81.32579979360165,62.070365667851696,59.66547659144493,59.906541320231796,61.79206278929363,63.982185737421126,66.81576163827563,69.89154536328273,70.68792507525924,38.333333333333336,39.22222222222222,40.111111111111114,38.77777777777778,40.111111111111114,38.333333333333336,37.77777777777778,38.66666666666667,37.77777777777778,37.22222222222222,37,36,38.77777777777778,36.77777777777778,38.66666666666667,38,37.66666666666667,39.66666666666667,38.333333333333336,37.88888888888889,37.55555555555556,37.111111111111114,37.66666666666667,38.55555555555556,38.77777777777778,37.77777777777778,37.333333333333336,38.111111111111114,38.111111111111114,38.55555555555556,37.111111111111114,39.77777777777778,36.88888888888889,37.44444444444444,38.77777777777778,38.66666666666667,37.66666666666667,38.111111111111114,38.333333333333336,38.44444444444444,35.55555555555556,38,37.77777777777778,37.22222222222222,36.88888888888889,38.333333333333336,37.77777777777778,37.111111111111114,38.333333333333336
Threads Created,0,0,0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.64665,0.6533142857142856,0.6622,0.67464,0.6933,0.7243999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9,9.11111111111111,8.88888888888889,9.11111111111111,9,9,7.54425,6.750914285714285,5.9597999999999995,4.947360000000001,3.9287,3.139066666666667,2.2287,1.4598,2.165479876160991,3.05264093448451,3.9484506567867967,4.711750440917108,5.617460253572148,6.5212612386217685,7.423973515363959,8.3260062429414,8.919611996878137,9.11111111111111,9.11111111111111,9.11111111111111,9.11111111111111,9.222222222222223,9.11111111111111,9,9.222222222222223,9,8.777777777777779,8.777777777777779,9,9.11111111111111,9,9,9,8.88888888888889,9.11111111111111,9.222222222222223,9,8.777777777777779,8.88888888888889,8.88888888888889,9.11111111111111,9,9,9,9,9.11111111111111,9,8.88888888888889,9.11111111111111,8.777777777777779,9,9.11111111111111,9.11111111111111,8.88888888888889,9,9.222222222222223,9.11111111111111,8.777777777777779,9.11111111111111,9,8.88888888888889,8.88888888888889,9.11111111111111,9,8.777777777777779,9.11111111111111
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.4444444444444444,3.666666666666667,5.111111111111112,9.333333333333334,9.0531,9.146399999999998,9.2708,9.44496,9.706199999999999,8.572066666666668,6.686099999999999,6.1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.333333333333336,30.111111111111114,28,28.888888888888893,29,28.22222222222222,24.1416,21.014942857142856,18.983066666666666,15.96648,11.90165,9.779399999999999,7.0794,4.703799999999999,7.2182662538699685,8.988331640426612,12.430307623217693,15.212222852103803,18.12907627289193,20.91725302954152,23.94830166246438,26.737034132262515,28.654253539971016,29.444444444444446,29.888888888888893,30.555555555555554,29.77777777777778,30.666666666666668,29.111111111111114,28.666666666666668,29.555555555555554,28.77777777777778,28.22222222222222,28.333333333333336,27.444444444444446,29.444444444444446,28.22222222222222,29.666666666666668,29,28.666666666666668,30.444444444444446,29.333333333333336,28.77777777777778,28.666666666666668,28.333333333333336,28.666666666666668,29.444444444444446,29.555555555555554,28.888888888888893,28.444444444444446,29.111111111111114,29,29.444444444444446,28.22222222222222,30.333333333333336,28,28.555555555555554,29.888888888888893,29.444444444444446,28.888888888888893,29.22222222222222,29.22222222222222,29.444444444444446,27,29.333333333333336,29,28,28.111111111111114,29.111111111111114,28.77777777777778,28.22222222222222,29.22222222222222
Sort Rows,40.88888888888889,51.111111111111114,40.88888888888889,46,46,46,34.70355,35.0612,30.461199999999998,25.861200000000004,15.9459,16.6612,12.0612,7.4612,22.136016511867904,15.602386998476385,26.907960031435948,24.770345175107078,29.363996780036228,33.95977550678506,38.55676567656765,43.15451123102021,46.15899208384436,46,51.111111111111114,46,46,51.111111111111114,51.111111111111114,46,51.111111111111114,46,40.88888888888889,40.88888888888889,46,51.111111111111114,46,40.88888888888889,46,40.88888888888889,46,51.111111111111114,46,40.88888888888889,40.88888888888889,46,51.111111111111114,46,51.111111111111114,51.111111111111114,46,46,46,46,46,40.88888888888889,46,46,46,40.88888888888889,46,51.111111111111114,46,40.88888888888889,46,46,40.88888888888889,40.88888888888889,51.111111111111114,46,40.88888888888889,51.111111111111114
