Avg Threads Running,1,1,1.2,1.3,1.4,2,2.4,2.6999999999999997,3.2,3.5,3.9,4.3,4.6000000000000005,5,5.1,4.800000000000001,4.7,4.6000000000000005,4.3,4.599999999999999,4.8999999999999995,4.7,4.3999999999999995,4,3.8999999999999995,4.2,4.3999999999999995,4.5,4.6000000000000005,4.5,4.199999999999999,4.5,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.3999999999999995,4.1,3.9999999999999996,4.1,4.2,4.1,3.8,3.8,4,4.3,4.5,4.600000000000001,4.5,4.3,3.9,3.9999999999999996,3.9999999999999996,3.9,3.8,3.5,3.3,3.6000000000000005,3.6999999999999993,4,4.199999999999999,4.3,4.7,4.7,4.800000000000001,5.300000000000001,5.8,6,6.199999999999999,6.3,6.700000000000001,6.777777777777778,6.749999999999999,7.285714285714286,7.833333333333333,8,7.5,7,8,9,44,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,35,30.5,14,14,14,14,14,14,14,14,10,10,10,10,16,16,16,16,16,16,22,22,22,22,59,59,59
Peak Threads Connected,1,1,3,3,3,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,9,9,9,9,44,47,47,47,47,47,47,47,47,47,47,14,14,14,14,14,14,14,14,10,10,10,10,22,22,22,22,22,22,22,22,22,22,59,59,59
Peak Threads Running,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,23,27,27,27,27,27,27,27,27,27,27,2,2,2,2,2,2,2,2,1,1,1,1,7,7,7,7,7,7,7,7,7,7,34,34,34
Questions,37.44444444444444,37.88888888888889,79.88888888888889,156.11111111111111,210.44444444444443,279.11111111111114,384.22222222222223,480.11111111111114,585.5555555555555,665.4444444444445,728.1111111111111,772.5555555555555,766.2222222222223,811,839.2222222222223,793.4444444444445,777.4444444444445,763.1111111111111,766.6666666666667,802.5555555555555,796.3333333333334,819.3333333333334,800.1111111111111,776.3333333333334,781.8888888888889,763.1111111111111,749.8888888888889,772.7777777777778,738.1111111111111,733,730.2222222222223,748.1111111111111,791.4444444444445,795.4444444444445,809.3333333333334,801.8888888888889,763.8888888888889,759.7777777777778,779.2222222222223,773.2222222222223,752.6666666666667,707.6666666666667,726.3333333333334,745.5555555555555,744.6666666666667,757.6666666666667,790.5555555555555,769.4444444444445,775.3333333333334,755.2222222222223,749.6666666666667,739.3333333333334,706.2222222222223,711.4444444444445,706.2222222222223,680.6666666666667,686.7777777777778,670.6666666666667,738.3333333333334,718,699.3333333333334,719.4444444444445,720.5555555555555,743.8888888888889,831.7777777777777,905,956.6666666666667,975.3333333333334,1060.7777777777778,1155.888888888889,1037.334375,971.0427999999999,880.7259999999999,737.15664,592.42485,478.104,346.7595,231.45940000000002,233.81318510858324,194.2,194.2,194.2,194.2,194.2,194.2,194.2,1157.5959933222034,1176.103766525318,790.567521902378,1153.6921151439299,1153.6921151439299,1153.6921151439299,823.44774718398,708.0785356695869
Threads Created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.538875,0.5444285714285714,0.5518333333333333,0.5622,0,0,0,0,0.24079627714581178,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.450194769059544,3.7415814417560482,1.3722152690863578,2.002503128911139,2.002503128911139,2.002503128911139,1.4292866082603255,1.2290362953692113
Created Tmp Disk Tables,8.88888888888889,8.88888888888889,8.88888888888889,9,8.88888888888889,9,8.88888888888889,9,8.88888888888889,9,9,9,9,9.11111111111111,8.88888888888889,8.88888888888889,8.88888888888889,9.11111111111111,9,9.222222222222223,8.88888888888889,8.88888888888889,8.88888888888889,9,9.222222222222223,9.11111111111111,9,8.88888888888889,9,9.11111111111111,9,9.11111111111111,9,8.777777777777779,9,9,9.11111111111111,8.777777777777779,9.11111111111111,9.11111111111111,8.88888888888889,9,9.11111111111111,9,8.777777777777779,8.88888888888889,9.222222222222223,8.777777777777779,9,9.11111111111111,9,9.11111111111111,8.777777777777779,9.11111111111111,9.11111111111111,8.88888888888889,9,8.88888888888889,9.11111111111111,9.11111111111111,8.777777777777779,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,9.222222222222223,8.88888888888889,9,8.777777777777779,9,7.652025,6.8598,5.9597999999999995,4.83492,3.9287,3.2598,2.0976,1.4598,1.6855739400206826,1.4,1.4,1.4,1.4,1.4,1.4,1.4,8.792431830829159,8.979795460214516,6.174968710888611,9.011264080100124,9.011264080100124,9.011264080100124,6.431789737171465,5.530663329161451
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.1111111111111112,2.3333333333333335,2.4444444444444446,2.555555555555556,5.555555555555555,7,7.111111111111112,8.222222222222223,9.444444444444445,9.444444444444445,10.11111111111111,12.222222222222223,14.555555555555557,12,11.666666666666668,12.555555555555555,12.666666666666668,12.11111111111111,13.555555555555557,14.222222222222223,14.555555555555557,12.333333333333334,13.222222222222223,13.666666666666668,13.777777777777777,13.666666666666668,14.11111111111111,11.666666666666668,10.222222222222223,10,9.777777777777779,9.666666666666668,10.666666666666668,10.88888888888889,9.777777777777779,9.11111111111111,10.88888888888889,9.777777777777779,8.777777777777779,10,11,10.777777777777779,10.777777777777779,13,13.666666666666668,14.11111111111111,14.11111111111111,12.88888888888889,12.555555555555555,12,9.666666666666668,8.333333333333334,7.333333333333334,6.222222222222223,5,8.666666666666668,11.777777777777779,11.555555555555555,10.777777777777779,11.88888888888889,13,12.333333333333334,13.555555555555557,15.88888888888889,12.555555555555555,13.222222222222223,17.666666666666668,20.11111111111111,18.429525,17.5306,17.2172,16.303800000000003,13.1727,13.4014,9.9636,4.866,4.8159255429162355,4,4,4,4,4,4,4,19.588202559821923,19.456223497131454,12.349937421777222,18.02252816020025,18.02252816020025,18.02252816020025,12.86357947434293,11.061326658322901
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.444444444444446,29,27.555555555555554,29.111111111111114,28.77777777777778,29.77777777777778,29.111111111111114,28.111111111111114,29.111111111111114,28.77777777777778,29,29.111111111111114,29.22222222222222,29.333333333333336,27.888888888888893,28.22222222222222,28.666666666666668,29.555555555555554,28.555555555555554,29.888888888888893,29,28.111111111111114,28.888888888888893,29.555555555555554,30.22222222222222,30.22222222222222,28.77777777777778,29.333333333333336,29.444444444444446,29,29.22222222222222,29.111111111111114,28.77777777777778,27.666666666666668,28.666666666666668,29.888888888888893,29.444444444444446,27.444444444444446,29.666666666666668,29.555555555555554,29.22222222222222,29.555555555555554,29.444444444444446,29,27.22222222222222,28.444444444444446,30.111111111111114,28.333333333333336,28.444444444444446,29.77777777777778,29.22222222222222,29.444444444444446,27.555555555555554,29.444444444444446,29.444444444444446,29.555555555555554,29.111111111111114,28.333333333333336,29.333333333333336,28.333333333333336,29.444444444444446,29.888888888888893,28.555555555555554,28.111111111111114,28.555555555555554,30.333333333333336,29.111111111111114,28.555555555555554,28.888888888888893,27.888888888888893,24.357149999999997,22.212685714285712,19.424533333333333,15.291840000000002,11.90165,10.1416,6.423900000000001,4.3793999999999995,2.889555325749741,2.4,2.4,2.4,2.4,2.4,2.4,2.4,27.156371730662215,28.934896482913445,20.754755944931162,30.287859824780973,30.287859824780973,30.287859824780973,21.617959949937422,18.589173967459324
Sort Rows,46,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,46,40.88888888888889,46,46,46,46,40.88888888888889,46,46,46,46,51.111111111111114,46,40.88888888888889,46,46,51.111111111111114,46,46,46,46,46,46,46,46,40.88888888888889,46,46,46,40.88888888888889,51.111111111111114,51.111111111111114,46,46,46,46,40.88888888888889,46,51.111111111111114,40.88888888888889,46,46,46,51.111111111111114,40.88888888888889,51.111111111111114,51.111111111111114,40.88888888888889,46,46,51.111111111111114,51.111111111111114,40.88888888888889,46,40.88888888888889,40.88888888888889,51.111111111111114,51.111111111111114,40.88888888888889,46,40.88888888888889,46,39.661199999999994,35.0612,30.461199999999998,20.68896,15.9459,16.6612,6.0306,7.4612,0,0,0,0,0,0,0,0,40.95715080690039,45.89673235220753,31.560951188986234,46.057571964956196,46.057571964956196,46.057571964956196,32.87359198998749,28.267834793491865
