Avg Threads Running,1,1,1.5,1.8,2,2.1,2.3000000000000003,2.5,3.4,3.9000000000000004,4.1,4.4,4.7,4.9,5,5.1,5.199999999999999,5.6,5,4.5,4.5,4.5,3.8,3.6999999999999997,3.5999999999999996,3.5,3.4000000000000004,3.1,3.4,3.6999999999999997,3.7,3.6999999999999997,4.2,4.199999999999999,4.3999999999999995,4.800000000000001,4.9,4.9,4.7,4.6,4.5,4.3,3.8,3.8999999999999995,3.9,3.9,3.8,3.9,4.2,4.3999999999999995,4.800000000000001,5,5.3999999999999995,5.6,5.6000000000000005,5.6,5.699999999999999,5.7,5.299999999999999,5.199999999999999,4.8999999999999995,4.999999999999999,5.1000000000000005,5.699999999999999,5.8,5.8,5.9,6.2,6.6000000000000005,6.9,7.199999999999999,7.299999999999999,7.499999999999999,6.777777777777778,6.875,8.875,9.428571428571427,9.666666666666668,10,10.75,12.333333333333332,15.5,22,22,22,50,50,50,50,50,50,50,50,50,50
Peak Threads Connected,1,1,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,9,9,9,9,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,9,9,22,22,22,22,22,22,22,22,22,22,50,50,50,50,50,50,50,50,50,50
Peak Threads Running,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21,21
Questions,37.333333333333336,37.66666666666667,61.777777777777786,155,232.66666666666669,288.44444444444446,348.77777777777777,395.8888888888889,504.33333333333337,570.3333333333334,655.3333333333334,700.4444444444445,696.6666666666667,698.1111111111111,742.5555555555555,756.5555555555555,790.4444444444445,741,729.1111111111111,695.6666666666667,703.2222222222223,672.5555555555555,671.8888888888889,656.1111111111111,684.1111111111111,671,666,673.6666666666667,701.6666666666667,719.6666666666667,759.2222222222223,756.8888888888889,754.1111111111111,723.2222222222223,732.6666666666667,768.5555555555555,798.7777777777778,788.7777777777778,757.3333333333334,751.8888888888889,746.1111111111111,725.2222222222223,740.2222222222223,749.8888888888889,751,752.3333333333334,781.8888888888889,806.6666666666667,788.5555555555555,818,855,826.8888888888889,819.3333333333334,797.2222222222223,811.7777777777778,803.3333333333334,773.2222222222223,775.2222222222223,748,736.7777777777778,747.2222222222223,756.4444444444445,776.4444444444445,788,838.3333333333334,917.3333333333334,969.3333333333334,1015.7777777777777,1076.2222222222222,1140.3333333333335,1179.3333333333335,1208.2222222222222,1226.3333333333335,1047.78855,920.1931714285713,1176.7968056787934,1045.053368263473,911.1188483466361,791.7315492021277,680.650119617225,593.0713147410358,517.5915119363395
Threads Created,0,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.22222222222222224,0.107775,0.10888571428571428,1.885536823425022,1.8675399201596803,1.7878221208665905,1.8324468085106382,1.9055821371610846,2.048605577689243,2.4647214854111406
Created Tmp Disk Tables,8.777777777777779,9,8.777777777777779,8.777777777777779,9.11111111111111,9.11111111111111,9,9,9,9.11111111111111,9.11111111111111,9,9,8.88888888888889,8.88888888888889,8.88888888888889,8.777777777777779,8.88888888888889,8.88888888888889,8.88888888888889,9.222222222222223,9,8.88888888888889,9.11111111111111,9.11111111111111,9.222222222222223,9,9.11111111111111,9.11111111111111,8.777777777777779,9.11111111111111,9.11111111111111,9,8.88888888888889,8.777777777777779,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,9,9.11111111111111,9.222222222222223,8.88888888888889,8.88888888888889,9,9,9,9.222222222222223,9.11111111111111,9,9,9.11111111111111,9,9.11111111111111,9,9,8.777777777777779,8.88888888888889,9,8.88888888888889,9.11111111111111,8.88888888888889,8.777777777777779,9,9.222222222222223,9.222222222222223,9.11111111111111,8.88888888888889,9.11111111111111,8.777777777777779,9.222222222222223,7.975350000000001,6.968685714285714,8.762200532386867,7.6898702594810375,6.816071835803877,6.069980053191489,5.121251993620415,4.609362549800797,3.8511273209549066
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.7777777777777779,2.3333333333333335,3.444444444444444,3.444444444444444,4.777777777777778,5.333333333333334,6.222222222222223,6.333333333333334,7.222222222222223,7.888888888888888,7,6.666666666666667,10.222222222222223,11.11111111111111,10.666666666666668,10.666666666666668,11,10.222222222222223,9.88888888888889,9.333333333333334,8.777777777777779,9.222222222222223,9.777777777777779,10.88888888888889,11.11111111111111,11,12.777777777777779,14.222222222222223,15.444444444444446,15.444444444444446,11.555555555555555,9.88888888888889,8.666666666666668,7.777777777777779,9.777777777777779,8.88888888888889,7,6.333333333333334,6.222222222222223,6.111111111111112,6.111111111111112,7.333333333333334,7.666666666666667,7.222222222222223,6.555555555555555,7.222222222222223,6.555555555555555,9.444444444444445,11.11111111111111,10.11111111111111,8.88888888888889,8.88888888888889,8.777777777777779,9.666666666666668,9.444444444444445,9.444444444444445,7.666666666666667,8.333333333333334,8.88888888888889,8.88888888888889,10,10.88888888888889,12.11111111111111,14.777777777777777,18.22222222222222,19.444444444444446,20.77777777777778,21.22222222222222,21.77777777777778,22.666666666666668,20.333333333333336,17.351775,13.828485714285714,14.64063886424135,12.084081836327345,8.603893956670467,7.673371010638297,7.384130781499204,4.993476095617529,5.545623342175066
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.22222222222222,28.888888888888893,27.77777777777778,27.555555555555554,29.444444444444446,29.22222222222222,28.888888888888893,29,29.444444444444446,30.22222222222222,29.666666666666668,29.22222222222222,29.77777777777778,28.888888888888893,28.666666666666668,29.22222222222222,28.444444444444446,28.333333333333336,27.666666666666668,28.22222222222222,30,28.333333333333336,28.22222222222222,29,29.77777777777778,29.666666666666668,29,29.77777777777778,28.888888888888893,27.77777777777778,30.22222222222222,29.888888888888893,29.111111111111114,28.22222222222222,27.555555555555554,29.888888888888893,29.666666666666668,28.666666666666668,29.555555555555554,28.111111111111114,28.555555555555554,29.333333333333336,29.555555555555554,29.444444444444446,28.444444444444446,28.333333333333336,29.333333333333336,29.111111111111114,28.666666666666668,29.444444444444446,30.444444444444446,28.333333333333336,29.333333333333336,29.22222222222222,29.111111111111114,29.77777777777778,29.444444444444446,28.888888888888893,28.77777777777778,27.77777777777778,29.333333333333336,28.333333333333336,29.555555555555554,28.111111111111114,27.444444444444446,28.888888888888893,30.555555555555554,29.666666666666668,30,28.888888888888893,30.111111111111114,27.888888888888893,31.111111111111114,27.051524999999998,23.19265714285714,27.728482697426795,24.49772954091816,21.23038768529076,19.01163563829787,16.07834928229665,14.98042828685259,10.937201591511934
Sort Rows,40.88888888888889,51.111111111111114,40.88888888888889,40.88888888888889,51.111111111111114,46,46,46,46,51.111111111111114,46,46,46,46,46,46,40.88888888888889,40.88888888888889,40.88888888888889,46,51.111111111111114,46,40.88888888888889,51.111111111111114,46,51.111111111111114,46,51.111111111111114,46,40.88888888888889,46,46,40.88888888888889,40.88888888888889,40.88888888888889,46,46,40.88888888888889,51.111111111111114,46,46,51.111111111111114,51.111111111111114,51.111111111111114,46,40.88888888888889,46,46,46,51.111111111111114,46,46,46,51.111111111111114,46,51.111111111111114,40.88888888888889,46,40.88888888888889,40.88888888888889,46,46,46,46,40.88888888888889,51.111111111111114,51.111111111111114,51.111111111111114,51.111111111111114,40.88888888888889,46,40.88888888888889,51.111111111111114,44.618849999999995,35.0612,40.816326530612244,35.37340319361277,30.839931584948687,31.60970744680851,21.914194577352475,23.55896414342629,14.172148541114058
